Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-03-29,529416,1,605400,R,542255,L,5,Groundout,2,1,180329_202316,1c558bfb-86f8-41b3-8b6f-2406e0a1d787,0,0,0,S,Called Strike,FT,2,2.0,2.59,1.1,90.8,83.7,38.65,-1.75,50.0,4.9,-0.21,2.25,-9.3,4.76,7.2,-132.07,-2.4,-16.57,25.65,-23.69,32.4,6.0,24.0,2104,241,,,,,,,0,1,1,bottom
2018-03-29,529416,1,605400,R,542255,L,5,Groundout,2,2,180329_202335,420a744e-95e1-4c9f-a073-ae900ffa6add,0,1,0,X,In play- out(s),FT,13,2.0,2.96,1.17,90.6,82.8,61.23,-1.85,50.0,4.82,-0.81,1.44,-10.12,5.49,6.12,-131.85,-4.45,-17.75,28.98,-22.55,34.8,7.2,24.0,2076,241,,,,,,,0,1,1,bottom
2018-03-29,529416,1,605400,R,645277,L,6,Groundout,4,1,180329_202416,899faee4-7f4c-4476-be56-5ef68248ff91,0,0,1,S,Foul,FT,13,2.0,3.48,1.31,91.6,83.6,25.41,-1.79,50.0,4.74,-0.08,0.81,-10.9,4.14,8.18,-132.98,-5.57,-19.43,29.79,-24.8,34.8,7.2,24.0,2151,250,,,,,,,0,1,1,bottom
2018-03-29,529416,1,605400,R,645277,L,6,Groundout,4,2,180329_202438,b0399c63-2f63-4d23-9f3c-9b0cb983ce03,0,1,1,S,Foul,CU,13,2.0,3.48,1.31,75.4,68.8,32.96,-1.89,50.0,5.18,-0.34,1.24,10.2,-8.03,0.5,-109.54,1.28,12.17,22.46,-41.77,16.8,14.4,24.0,2408,53,,,,,,,0,1,1,bottom
2018-03-29,529416,1,605400,R,645277,L,6,Groundout,4,3,180329_202507,f343a371-f00e-41ce-8204-53a597bce454,0,2,1,B,Ball,CU,14,2.0,3.03,1.45,78.0,72.2,31.22,-2.02,50.0,4.66,1.2,-0.27,9.01,-6.52,4.58,-113.42,-1.92,11.66,22.0,-40.62,16.8,13.2,24.0,2492,55,,,,,,,0,1,1,bottom
2018-03-29,529416,1,605400,R,645277,L,6,Groundout,4,4,180329_202532,20430b91-01e7-4eed-87b0-b371cd2636cb,1,2,1,X,In play- out(s),CU,7,2.0,3.48,1.31,77.0,70.5,26.98,-1.92,50.0,5.12,-0.33,1.63,11.21,-6.8,0.28,-111.91,1.58,14.05,22.35,-40.7,19.2,14.4,24.0,2487,60,,,,,,,0,1,1,bottom
2018-03-29,529416,1,605400,R,518692,L,7,Walk,4,1,180329_202614,a18c31a3-97c6-4c75-910e-d922656606f6,0,0,2,B,Ball,FF,14,2.0,3.5,1.75,92.0,82.8,72.43,-1.79,50.0,4.77,0.69,1.41,-10.86,6.56,10.17,-133.56,-4.88,-19.28,33.38,-20.52,37.2,6.0,24.0,2349,237,,,,518692,,,0,0,1,bottom
2018-03-29,529416,1,605400,R,518692,L,7,Walk,4,2,180329_202628,24260842-a8db-42fd-8511-72d8ad1fe704,1,0,2,B,Ball,FF,12,2.0,3.58,1.68,93.0,84.0,55.06,-1.73,50.0,4.93,0.82,3.36,-7.92,7.08,9.49,-135.04,-0.56,-14.48,32.19,-19.23,32.4,4.8,24.0,2298,223,,,,518692,,,0,0,1,bottom
2018-03-29,529416,1,605400,R,518692,L,7,Walk,4,3,180329_202644,fdcf6eb3-19ba-4e9a-b8c8-50bf33e980ed,2,0,2,B,Ball,CH,13,2.0,3.27,1.56,84.3,77.2,20.01,-1.92,50.0,4.76,-0.26,0.88,-10.42,-2.09,7.26,-122.58,-2.05,-15.77,25.46,-35.34,21.6,10.8,24.0,1520,283,,,,518692,,,0,0,1,bottom
2018-03-29,529416,1,605400,R,518692,L,7,Walk,4,4,180329_202701,f5930583-de62-4112-82f5-b1ed1b563c46,3,0,2,B,Ball,CH,13,2.0,3.37,1.65,82.9,75.9,43.94,-1.95,50.0,4.78,-1.02,2.3,-9.01,2.9,5.0,-120.75,-0.06,-13.28,23.81,-27.91,24.0,8.4,24.0,1454,249,,,,518692,,,0,0,1,bottom
2018-03-29,529416,1,605400,R,455976,L,8,Pop Out,2,1,180329_202744,a3fac07a-097c-4a98-b852-5e8e60085f0b,0,0,2,B,Ball,FF,1,2.0,3.41,1.66,91.6,82.9,49.37,-1.82,50.0,4.91,-0.25,3.1,-8.91,5.71,7.15,-133.2,-0.52,-15.85,31.3,-22.02,32.4,6.0,24.0,2346,234,518692,,,,,,0,1,1,bottom
2018-03-29,529416,1,605400,R,455976,L,8,Pop Out,2,2,180329_202806,c29410fc-3601-49c2-9082-501ee6addb09,1,0,2,X,In play- out(s),FF,6,2.0,3.5,1.56,91.7,82.7,40.8,-1.71,50.0,4.83,0.7,2.7,-6.84,7.04,8.61,-133.17,-1.8,-12.12,32.23,-19.7,26.4,4.8,24.0,2196,219,518692,,,,,,0,1,1,bottom
