Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-08-17,491893,1,642083,R,543401,L,0,Groundout,2,1,170817_231115,11c5594c-6744-4a6c-bbc8-6b78e05d26c0,0,1,0,C,Called Strike,SI,8,2.0,3.33,1.52,91.4,84.5,47.59,-3.07,50.0,6.25,0.06,1.71,-9.01,7.23,11.31,-132.46,-8.27,-16.18,25.44,-19.19,34.8,6.0,24.0,1858,233,,,,,,,0,1,0,top
2017-08-17,491893,1,642083,R,543401,L,0,Groundout,2,2,170817_231140,5c58f227-c922-471a-9be3-9cf833a59929,0,1,0,X,In play- out(s),SI,4,2.0,3.07,1.27,92.9,86.1,48.1,-3.23,50.0,6.16,-0.62,2.27,-8.05,6.9,9.8,-134.87,-6.82,-15.04,25.46,-19.29,32.4,4.8,24.0,1970,231,,,,,,,0,1,0,top
2017-08-17,491893,1,642083,R,596019,L,1,Lineout,8,1,170817_231216,50157b0c-3f95-4259-92fa-31fa90d9577a,0,0,1,B,Ball,SL,11,2.0,3.19,1.33,83.9,77.3,73.52,-3.27,50.0,6.46,-0.84,4.07,-0.8,2.0,6.12,-121.98,0.26,-1.21,22.59,-29.14,0.0,7.2,24.0,2133,182,,,,,,,0,1,0,top
2017-08-17,491893,1,642083,R,596019,L,1,Lineout,8,2,170817_231228,985919f7-d064-409e-88f3-d60caaf993ba,1,0,1,S,Swinging Strike,SI,11,2.0,3.06,1.33,91.3,84.2,59.48,-3.3,50.0,6.19,-0.48,3.29,-9.16,7.14,10.56,-132.59,-3.94,-16.49,25.48,-19.33,36.0,6.0,24.0,1973,233,,,,,,,0,1,0,top
2017-08-17,491893,1,642083,R,596019,L,1,Lineout,8,3,170817_231245,3c7e867e-9126-4c5e-be6f-185722a69601,1,2,1,F,Foul,SI,11,2.0,3.06,1.33,92.9,85.7,58.98,-3.37,50.0,6.15,-1.13,2.48,-10.12,6.22,9.53,-134.96,-5.95,-18.84,26.97,-20.61,38.4,6.0,24.0,1979,241,,,,,,,0,1,0,top
2017-08-17,491893,1,642083,R,596019,L,1,Lineout,8,4,170817_231302,cb7440b4-6add-415f-acc9-e00c03234655,1,2,1,F,Foul,FF,12,2.0,3.06,1.33,92.4,85.4,50.64,-3.31,50.0,6.15,0.71,2.53,-4.61,11.91,12.29,-133.85,-7.68,-8.48,25.16,-10.27,27.6,2.4,24.0,2084,197,,,,,,,0,1,0,top
2017-08-17,491893,1,642083,R,596019,L,1,Lineout,8,5,170817_231324,b3d57447-ab4b-4251-9700-b7a6d7e2167d,1,2,1,B,Ball,FF,12,2.0,3.33,1.42,91.8,85.0,23.83,-3.11,50.0,6.32,0.13,4.39,-3.76,10.05,9.89,-133.39,-2.52,-6.89,24.18,-13.76,20.4,3.6,24.0,2102,196,,,,,,,0,1,0,top
2017-08-17,491893,1,642083,R,596019,L,1,Lineout,8,6,170817_231339,ea0df4ed-a3e4-430f-9459-e77ff04b84bd,2,2,1,F,Foul,FF,11,2.0,3.06,1.33,93.4,86.6,54.32,-3.25,50.0,6.11,-0.44,3.26,-4.86,10.94,9.3,-135.65,-5.58,-9.21,24.79,-11.44,31.2,3.6,24.0,2043,201,,,,,,,0,1,0,top
2017-08-17,491893,1,642083,R,596019,L,1,Lineout,8,7,170817_231404,1a1ebead-9cfc-4ee9-b484-4848a2a1516a,2,2,1,F,Foul,FF,6,2.0,3.06,1.33,93.8,87.0,47.7,-3.22,50.0,6.06,0.68,2.45,-3.45,11.74,11.77,-136.09,-7.95,-6.58,25.27,-9.79,21.6,2.4,24.0,2005,192,,,,,,,0,1,0,top
2017-08-17,491893,1,642083,R,596019,L,1,Lineout,8,8,170817_231435,fc135557-0bb7-4b49-8119-8b97948aa493,2,2,1,X,In play- out(s),SL,1,2.0,3.06,1.33,86.0,80.0,31.13,-3.1,50.0,6.35,-0.29,2.57,-3.25,9.84,8.03,-125.03,-6.12,-5.24,21.1,-16.33,13.2,4.8,24.0,1536,195,,,,,,,0,1,0,top
