Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-08,490170,1,543045,L,434158,L,5,Groundout,4,1,170408_231955,144107d0-f638-4259-a364-14db803852c8,0,0,0,B,Ball,FF,12,2.0,3.28,1.62,89.5,78.9,60.29,2.83,50.0,5.73,0.14,3.28,10.12,8.03,-10.05,-129.16,-2.37,16.53,35.16,-19.05,34.8,6.0,24.0,2393,127,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,434158,L,5,Groundout,4,2,170408_232004,56c04623-269f-4685-a6a8-d7e130db608b,1,1,0,F,Foul,FF,12,2.0,3.79,1.56,88.9,79.7,49.93,2.85,50.0,5.76,0.84,2.34,11.07,10.0,-8.66,-128.46,-5.49,18.21,30.52,-15.73,43.2,6.0,24.0,2326,130,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,434158,L,5,Groundout,4,3,170408_232024,a06cfb20-4ae9-4389-85ba-0541a99d1c19,1,1,0,B,Ball,FF,12,2.0,3.35,1.46,89.8,81.1,28.3,2.92,50.0,5.9,1.68,2.71,9.32,8.27,-6.28,-130.05,-4.61,15.82,29.71,-18.15,37.2,6.0,24.0,2384,128,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,434158,L,5,Groundout,4,4,170408_232035,159fd8db-1b36-4514-9371-a1ed62f0614a,2,1,0,X,In play- out(s),FF,4,2.0,3.79,1.56,90.2,81.0,35.86,2.72,50.0,5.74,-0.31,1.99,11.16,9.88,-11.45,-130.11,-6.54,18.87,30.73,-15.47,43.2,6.0,24.0,2435,130,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,452678,R,6,Lineout,5,1,170408_232118,9cd052b2-58b2-4927-acbf-551c13f08f35,0,0,1,B,Ball,FF,12,2.0,3.52,1.81,89.0,78.7,68.34,2.84,50.0,5.89,1.17,2.74,9.68,9.71,-7.32,-128.48,-4.59,15.69,34.06,-16.42,38.4,6.0,24.0,2356,132,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,452678,R,6,Lineout,5,2,170408_232131,01c25c66-d15d-4af3-b6cc-1154fec9b3df,1,1,1,F,Foul,CH,9,2.0,3.79,1.56,81.0,72.0,44.1,2.7,50.0,5.9,0.34,1.69,15.68,6.56,-10.01,-116.93,-4.47,21.07,28.08,-23.36,37.2,9.6,24.0,2180,108,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,452678,R,6,Lineout,5,3,170408_232206,d1826758-a21e-4f98-b778-a0c7558f60cd,1,1,1,B,Ball,FF,12,2.0,3.38,1.71,89.7,79.1,60.8,3.04,50.0,5.78,1.18,3.09,11.08,5.81,-8.3,-129.47,-2.27,18.2,35.22,-22.64,34.8,7.2,24.0,2362,114,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,452678,R,6,Lineout,5,4,170408_232221,7fb2a624-a0fe-4e9e-ada2-f40f6adcb1e3,2,1,1,B,Ball,FF,12,2.0,3.5,1.67,89.4,79.3,20.71,2.96,50.0,5.83,1.51,2.57,9.39,6.63,-6.71,-129.19,-3.98,15.4,34.25,-21.3,31.2,6.0,24.0,2391,120,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,452678,R,6,Lineout,5,5,170408_232234,6202d630-ee5a-456b-9474-3e5116ea9e17,3,1,1,X,In play- out(s),FF,14,2.0,3.79,1.56,88.9,78.0,46.2,2.85,50.0,5.86,0.74,2.44,10.7,7.39,-8.69,-128.24,-4.45,17.12,36.19,-20.35,34.8,7.2,24.0,2378,121,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,493316,R,7,Strikeout,5,1,170408_232319,c922a0f7-dcb3-46fd-ac23-f57096231fef,0,1,2,C,Called Strike,FF,6,2.0,3.66,1.66,90.5,80.3,46.37,2.71,50.0,5.82,0.24,2.35,8.9,8.73,-9.25,-130.56,-5.42,14.97,34.19,-17.49,33.6,6.0,24.0,2366,132,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,493316,R,7,Strikeout,5,2,170408_232330,f5c16af5-2f06-44d8-8a4a-aec83f3885f5,0,1,2,B,Ball,FF,11,2.0,3.63,1.78,89.6,78.4,63.94,2.72,50.0,5.87,-0.78,3.48,9.89,9.28,-11.96,-128.96,-2.57,16.03,36.26,-17.13,36.0,6.0,24.0,2389,134,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,493316,R,7,Strikeout,5,3,170408_232341,b41d6234-a1a1-4a80-ba7c-18ca8fa6deec,1,1,2,S,Swinging Strike,SL,13,2.0,3.75,1.53,84.9,74.4,40.48,2.77,50.0,5.78,-1.2,0.67,0.23,0.84,-9.44,-122.13,-5.48,0.33,35.43,-30.97,3.6,9.6,24.0,2193,311,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,493316,R,7,Strikeout,5,4,170408_232404,03aa1ba5-9790-492a-9557-f8eabac5f6b3,1,2,2,F,Foul,FF,11,2.0,3.75,1.53,90.6,79.3,58.51,2.61,50.0,5.71,-0.77,3.31,10.79,9.63,-12.09,-130.39,-2.89,17.89,36.85,-16.2,40.8,6.0,24.0,2253,132,,,,,,,0,1,1,bottom
2017-04-08,490170,1,543045,L,493316,R,7,Strikeout,5,5,170408_232432,0ed59b24-5e42-4748-890b-1dc20da57678,1,2,2,S,Swinging Strike,FF,2,2.0,3.75,1.53,91.0,80.4,40.06,2.83,50.0,5.72,0.23,3.2,10.53,7.08,-10.13,-131.28,-2.51,17.82,35.52,-20.19,36.0,6.0,24.0,2353,122,,,,,,,0,1,1,bottom
2017-04-08,490170,2,543045,L,527038,R,12,Strikeout,5,1,170408_233620,a6a45f9b-262f-415b-baf8-29bde8d80c91,0,1,0,C,Called Strike,FF,9,2.0,3.69,1.65,88.5,79.4,58.37,2.81,50.0,5.78,0.33,1.78,13.59,7.97,-10.6,-127.78,-6.19,22.08,30.63,-19.22,43.2,7.2,24.0,2271,116,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,527038,R,12,Strikeout,5,2,170408_233631,345b6aee-8bd6-4d9d-8ab7-0e9bceebbf97,0,1,0,S,Swinging Strike,FF,14,2.0,3.87,1.6,89.4,79.5,45.87,2.76,50.0,5.87,0.75,2.37,11.81,9.67,-8.93,-129.11,-5.61,19.43,33.16,-16.26,44.4,6.0,24.0,2312,126,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,527038,R,12,Strikeout,5,3,170408_233651,ed494397-063a-4c67-bcb6-848771b01823,0,2,0,B,Ball,SL,13,2.0,3.51,1.51,83.0,74.6,17.84,2.68,50.0,5.7,-1.32,-0.31,2.42,7.41,-10.08,-119.52,-9.38,3.42,28.31,-21.72,3.6,7.2,24.0,2229,171,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,527038,R,12,Strikeout,5,4,170408_233710,7d30f470-f004-4707-88d4-292b44b085f8,1,2,0,B,Ball,FF,12,2.0,3.62,1.55,90.9,81.1,22.54,2.86,50.0,5.97,1.89,4.08,8.7,10.25,-5.4,-131.46,-2.03,14.93,32.83,-14.57,42.0,4.8,24.0,2262,138,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,527038,R,12,Strikeout,5,5,170408_233722,c810a6d2-4989-49a5-808d-8ee70bff05dc,2,2,0,S,Swinging Strike,FF,5,2.0,3.87,1.6,90.5,81.5,27.09,2.68,50.0,5.88,0.16,2.3,8.09,9.78,-9.16,-130.86,-6.2,13.85,30.9,-15.43,34.8,4.8,24.0,2366,139,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,435522,R,13,Strikeout,8,1,170408_233753,2cf79a27-0b8a-4f9d-8bcb-46bf867792ae,0,0,1,S,Swinging Strike,FF,3,2.0,3.87,1.6,89.9,81.0,62.67,2.84,50.0,5.82,0.54,3.11,9.76,8.19,-9.12,-130.0,-3.33,16.54,29.88,-18.3,37.2,6.0,24.0,2218,128,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,435522,R,13,Strikeout,8,2,170408_233808,b1e2c9e8-045b-456d-93a5-4a68d174d65a,0,2,1,F,Foul,FF,6,2.0,3.87,1.6,89.7,80.6,45.71,2.7,50.0,5.89,0.64,2.87,8.14,8.79,-7.94,-129.73,-4.28,13.68,30.8,-17.41,32.4,4.8,24.0,2433,136,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,435522,R,13,Strikeout,8,3,170408_233830,f7307282-e8a0-428b-9e34-26724161840e,0,2,1,B,Ball,FF,12,2.0,3.74,1.78,90.6,80.1,31.3,2.87,50.0,5.93,2.07,3.29,7.11,9.74,-4.38,-131.06,-3.67,11.99,35.6,-15.75,32.4,4.8,24.0,2465,141,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,435522,R,13,Strikeout,8,4,170408_233848,d2c285ed-f040-407d-828d-89844212e181,1,2,1,B,Ball,SL,13,2.0,3.48,1.67,84.6,76.4,26.19,2.6,50.0,5.85,-1.93,1.87,2.43,3.59,-11.61,-122.13,-3.93,3.61,27.66,-26.84,2.4,7.2,24.0,2222,161,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,435522,R,13,Strikeout,8,5,170408_233903,e95cd05f-ac35-4bfb-8b01-52c3273ed75f,2,2,1,B,Ball,FF,12,2.0,3.48,1.65,92.4,82.2,65.77,2.71,50.0,5.91,1.05,3.83,8.23,10.08,-7.13,-133.69,-2.71,14.56,34.95,-14.35,39.6,4.8,24.0,2387,140,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,435522,R,13,Strikeout,8,6,170408_233918,7964a57f-6ce4-418a-9a7c-4b187fef010c,3,2,1,F,Foul,FF,14,2.0,3.87,1.6,91.1,81.3,54.18,2.75,50.0,5.68,0.75,2.13,11.17,7.65,-8.86,-131.61,-5.45,19.16,33.59,-19.04,39.6,6.0,24.0,2322,121,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,435522,R,13,Strikeout,8,7,170408_233942,2545e73e-1522-4a64-8f86-73da9b9eaf35,3,2,1,F,Foul,FF,8,2.0,3.87,1.6,92.0,82.7,31.53,2.66,50.0,5.76,0.15,2.23,9.7,6.54,-9.83,-132.9,-5.24,17.09,32.44,-20.65,33.6,6.0,24.0,2537,121,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,435522,R,13,Strikeout,8,8,170408_234026,d3bfadf7-ce66-409a-9ec2-09aa1c10ba69,3,3,1,T,Foul Tip,FF,2,2.0,3.87,1.6,90.3,80.8,31.23,2.72,50.0,5.75,-0.16,2.96,9.98,9.77,-10.67,-130.37,-4.07,16.89,31.69,-15.64,40.8,4.8,24.0,2442,134,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,457803,L,14,Flyout,4,1,170408_234058,ba558157-fa62-4544-8b82-b94b58ded656,0,0,2,B,Ball,FF,12,2.0,3.69,1.83,90.5,80.8,39.34,2.86,50.0,5.86,0.11,4.1,10.79,9.16,-10.63,-130.7,-1.26,18.34,32.0,-16.61,43.2,6.0,24.0,2404,131,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,457803,L,14,Flyout,4,2,170408_234109,ab3ee93c-3d33-464d-8df4-c48ecab90011,1,1,2,C,Called Strike,FF,13,2.0,3.71,1.97,89.7,80.8,51.95,2.68,50.0,5.61,-1.09,2.37,9.43,9.38,-12.71,-129.4,-5.03,15.83,29.53,-16.43,36.0,4.8,24.0,2416,135,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,457803,L,14,Flyout,4,3,170408_234122,e9e323b0-b5ef-47db-9493-c7489691afc9,1,2,2,F,Foul,CH,12,2.0,3.87,1.6,84.9,75.8,20.93,3.07,50.0,5.82,1.54,2.78,14.24,8.89,-8.09,-122.82,-3.37,21.26,29.46,-18.91,44.4,7.2,24.0,2182,119,,,,,,,0,1,2,bottom
2017-04-08,490170,2,543045,L,457803,L,14,Flyout,4,4,170408_234148,1aa7ab1d-3adf-4dd3-b3a5-87d2b2c02891,1,2,2,X,In play- out(s),FF,2,2.0,3.87,1.6,92.4,82.6,31.37,2.84,50.0,5.72,-0.08,2.96,10.36,8.71,-11.14,-133.42,-4.01,18.34,33.39,-16.75,40.8,6.0,24.0,2305,129,,,,,,,0,1,2,bottom
