Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-25,565336,1,592644,R,542340,L,0,Groundout,5,1,190518_201037,0f0d9e60-34bf-4a60-b8a3-bcdfd4b85236,0,0,0,S,Foul,FF,7,2.0,3.34,1.63,90.7,84.3,,-1.54,50.0,5.97,-0.47,1.71,-3.14,10.54,3.88,-131.82,-8.61,-5.61,23.54,-13.31,18.0,3.6,24.0,2152,195,,,,,,,0,1,0,top
2019-09-25,565336,1,592644,R,542340,L,0,Groundout,5,2,190518_201109,425647d6-268e-46e8-ad2c-f439fbd03430,0,1,0,B,Ball,FF,11,2.0,3.37,1.65,89.6,83.3,,-1.48,50.0,6.26,-0.33,4.27,-2.79,9.6,3.93,-130.55,-2.21,-4.9,22.66,-15.3,15.6,3.6,24.0,2081,194,,,,,,,0,1,0,top
2019-09-25,565336,1,592644,R,542340,L,0,Groundout,5,3,190518_201125,7deb8fc4-b08e-4c16-9c52-f82390aeef21,1,1,0,S,Called Strike,FF,9,2.0,3.42,1.68,91.8,85.4,,-1.31,50.0,5.95,0.65,1.91,-3.89,9.65,6.54,-133.45,-7.98,-7.14,23.92,-14.47,20.4,3.6,24.0,2221,199,,,,,,,0,1,0,top
2019-09-25,565336,1,592644,R,542340,L,0,Groundout,5,4,190518_201141,ee9d19d6-c949-49e6-8ae4-e789478e77f2,1,1,0,S,Foul,FF,11,2.0,3.35,1.64,91.3,84.6,,-1.57,50.0,6.11,-0.69,3.61,-3.0,10.01,3.35,-132.89,-3.97,-5.45,24.07,-13.98,18.0,3.6,24.0,2189,195,,,,,,,0,1,0,top
2019-09-25,565336,1,592644,R,542340,L,0,Groundout,5,5,190518_201204,a67f7b9a-904e-494f-8dc1-8adef1d4fbba,1,2,0,X,In play- out(s),FF,12,2.0,3.35,1.64,91.8,85.1,,-1.25,50.0,6.04,1.02,2.51,-3.28,10.77,7.17,-133.48,-7.02,-6.0,24.85,-12.46,19.2,3.6,24.0,2301,194,,,,,,,0,1,0,top
2019-09-25,565336,1,592644,R,596105,L,1,Lineout,1,1,190518_201244,6c1f0b44-ca4b-48de-ac40-844debfdb4ca,0,0,1,X,In play- out(s),FF,1,2.0,3.45,1.57,91.1,84.3,,-1.59,50.0,6.07,-0.54,2.99,-3.45,10.83,3.97,-132.61,-5.72,-6.23,24.69,-12.62,21.6,3.6,24.0,2345,196,,,,,,,0,1,0,top
2019-09-25,565336,1,592644,R,641820,R,2,Groundout,4,1,190518_201317,406d817c-87bb-4da4-b8be-055a137160fc,0,0,2,S,Foul,FF,13,2.0,3.62,1.7,93.0,85.8,,-1.49,50.0,6.0,-0.84,2.62,-3.33,10.84,2.92,-135.29,-6.84,-6.23,26.73,-11.88,22.8,3.6,24.0,2401,196,,,,,,,0,1,0,top
2019-09-25,565336,1,592644,R,641820,R,2,Groundout,4,2,190518_201331,4f657528-f581-4a22-8e05-8d097330b0e6,0,1,2,B,Ball,CU,11,2.0,3.44,1.63,75.5,70.4,,-1.71,50.0,6.51,-1.14,3.68,4.82,-5.5,-0.12,-109.75,2.77,5.97,16.68,-38.99,8.4,13.2,24.0,2943,44,,,,,,,0,1,0,top
2019-09-25,565336,1,592644,R,641820,R,2,Groundout,4,3,190518_201346,511713d8-90a1-410b-b3dd-f8c41c74314f,1,1,2,S,Foul,FF,5,2.0,3.62,1.7,92.4,85.6,,-1.46,50.0,5.96,0.02,2.35,-3.47,11.02,5.14,-134.33,-7.44,-6.43,25.04,-11.73,22.8,3.6,24.0,2482,195,,,,,,,0,1,0,top
2019-09-25,565336,1,592644,R,641820,R,2,Groundout,4,4,190518_201409,bd7eab44-08e7-4dcc-94c0-1974481d8cb9,1,2,2,X,In play- out(s),SL,14,2.0,3.65,1.72,87.0,81.4,,-1.45,50.0,5.99,1.26,2.21,-0.74,5.45,7.06,-126.54,-4.93,-1.23,20.67,-23.15,0.0,6.0,24.0,2457,180,,,,,,,0,1,0,top
