Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-05-07,490566,1,573244,L,543829,L,0,Lineout,5,1,170507_171050,d6babd1a-9c80-4067-bd58-58cf4d246622,0,1,0,C,Called Strike,FF,5,2.0,3.63,1.64,86.9,79.0,43.82,2.11,50.0,5.83,0.14,2.19,6.1,9.84,-6.85,-125.88,-5.73,9.74,26.65,-16.46,25.2,4.8,24.0,2323,147,,,,,,,0,1,0,top
2017-05-07,490566,1,573244,L,543829,L,0,Lineout,5,2,170507_171103,5ef692e8-d3be-49b6-bd3d-7741ebef458f,0,1,0,B,Ball,FF,13,2.0,3.71,1.74,86.3,79.5,49.05,1.91,50.0,5.56,-0.94,-0.22,8.41,6.68,-9.74,-124.83,-9.9,13.32,24.32,-21.6,26.4,7.2,24.0,2053,122,,,,,,,0,1,0,top
2017-05-07,490566,1,573244,L,543829,L,0,Lineout,5,3,170507_171121,8586793e-2700-476a-9d89-ea5b97d82993,1,1,0,B,Ball,FF,14,2.0,3.71,1.73,87.7,80.8,32.25,2.2,50.0,5.66,0.37,0.87,9.35,4.89,-7.66,-127.11,-7.26,15.39,24.7,-24.13,28.8,7.2,24.0,2187,111,,,,,,,0,1,0,top
2017-05-07,490566,1,573244,L,543829,L,0,Lineout,5,4,170507_171141,0fff527b-29f1-4edf-8f93-a8fab8cf4003,2,2,0,F,Foul,SL,8,2.0,3.34,1.41,83.6,77.1,25.72,2.16,50.0,5.91,0.04,1.76,-1.21,5.89,-4.71,-121.46,-5.1,-1.82,22.66,-23.33,6.0,6.0,24.0,2222,201,,,,,,,0,1,0,top
2017-05-07,490566,1,573244,L,543829,L,0,Lineout,5,5,170507_171213,076af7cb-b381-4ab5-bb20-fb7886504058,2,2,0,X,In play- out(s),CU,7,2.0,3.69,1.51,77.9,72.8,34.84,2.09,50.0,5.94,-0.6,2.0,-4.13,-1.26,-4.84,-113.25,-1.33,-5.43,18.06,-33.83,9.6,10.8,24.0,2222,294,,,,,,,0,1,0,top
2017-05-07,490566,1,573244,L,592885,L,1,Walk,7,1,170507_171247,e378890b-ca08-4e7a-9046-1ea182408e91,0,0,1,B,Ball,FF,13,2.0,3.82,2.0,88.5,81.6,79.82,1.8,50.0,5.76,-1.16,1.73,7.42,6.29,-9.96,-128.14,-6.0,12.46,23.87,-21.61,25.2,6.0,24.0,2168,127,,,,592885,,,0,0,0,top
2017-05-07,490566,1,573244,L,592885,L,1,Walk,7,2,170507_171304,35980b50-0836-4d68-9fd9-c689429b3e29,1,1,1,C,Called Strike,FF,1,2.0,3.85,1.95,88.6,80.6,42.58,1.98,50.0,5.92,-0.4,3.07,6.24,9.2,-8.09,-128.44,-3.88,10.39,27.36,-16.86,26.4,4.8,24.0,2263,146,,,,592885,,,0,0,0,top
2017-05-07,490566,1,573244,L,592885,L,1,Walk,7,3,170507_171320,19eb8ac8-ee28-4121-ba03-e1221b74354d,1,1,1,B,Ball,CH,14,2.0,3.87,1.99,81.8,75.3,49.64,2.21,50.0,5.77,0.42,1.34,6.96,3.99,-6.32,-118.67,-4.76,9.95,22.05,-26.46,18.0,8.4,24.0,1542,112,,,,592885,,,0,0,0,top
2017-05-07,490566,1,573244,L,592885,L,1,Walk,7,4,170507_171338,4ba68f0a-3fcc-4926-bf0b-7ef7e3626418,2,1,1,B,Ball,CH,11,2.0,3.85,2.01,83.7,76.9,45.73,2.05,50.0,5.97,-1.05,2.61,4.97,6.33,-9.01,-121.36,-3.36,7.45,22.71,-22.69,14.4,6.0,24.0,1550,142,,,,592885,,,0,0,0,top
2017-05-07,490566,1,573244,L,592885,L,1,Walk,7,5,170507_171403,3673341a-704f-4ebe-bee5-8813d6e255a2,3,2,1,F,Foul,FF,6,2.0,3.56,1.72,87.6,80.3,48.14,2.19,50.0,5.86,0.7,2.73,6.74,9.3,-5.95,-127.15,-4.52,11.07,25.05,-16.88,28.8,4.8,24.0,2209,143,,,,592885,,,0,0,0,top
