Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-05-11,490617,9,456379,R,488721,R,64,Strikeout,3,1,170511_194920,4b297eea-d040-410e-8cfc-7347831f382b,0,0,0,S,Swinging Strike,FT,5,2.0,3.7,1.99,92.5,84.5,30.57,-0.45,50.0,5.68,-0.05,2.82,-11.31,5.03,4.96,-134.18,-3.24,-20.64,28.65,-23.0,39.6,7.2,24.0,2312,249,,,,,,,0,1,6,bottom
2017-05-11,490617,9,456379,R,488721,R,64,Strikeout,3,2,170511_194933,c676ddce-eb58-4b00-b456-4ba8a871333b,0,1,0,S,Swinging Strike,SL,8,2.0,3.69,2.04,87.3,80.5,31.68,-0.92,50.0,5.63,0.03,2.04,-1.52,2.47,2.89,-126.78,-3.43,-2.5,24.03,-28.12,3.6,7.2,24.0,2205,221,,,,,,,0,1,6,bottom
2017-05-11,490617,9,456379,R,488721,R,64,Strikeout,3,3,170511_194946,df375df4-250f-4ba8-b026-c93fff14ee85,0,2,0,S,Swinging Strike,SL,14,2.0,3.69,2.09,89.1,81.9,52.68,-0.66,50.0,5.63,0.9,2.22,-3.42,3.43,5.14,-129.35,-3.57,-5.83,25.75,-26.33,10.8,6.0,24.0,2251,230,,,,,,,0,1,6,bottom
2017-05-11,490617,9,456379,R,542921,R,65,Single,2,1,170511_195022,368c8e88-b93d-4d83-815b-691f7dd3260a,0,0,1,S,Swinging Strike,SL,14,2.0,3.69,1.87,88.6,81.6,83.27,-0.8,50.0,5.59,0.92,2.14,-1.61,3.47,4.92,-128.61,-3.61,-2.71,24.89,-26.32,3.6,6.0,24.0,2299,203,,,,542921,,,0,0,6,bottom
2017-05-11,490617,9,456379,R,542921,R,65,Single,2,2,170511_195046,4c6dc275-7c9f-4f33-aa66-f9577ca67693,0,1,1,D,In play- no out,FT,11,2.0,3.72,1.97,94.8,86.2,53.38,-0.72,50.0,5.45,-1.08,2.71,-10.1,7.23,2.59,-137.57,-4.02,-19.28,31.77,-18.39,44.4,6.0,24.0,2386,238,,,,542921,,,0,0,6,bottom
2017-05-11,490617,9,456379,R,572816,L,66,Grounded Into DP,1,1,170511_195136,24a7c8ab-bece-4755-83c2-2d9880799496,0,0,1,X,In play- out(s),FT,7,2.0,3.29,1.67,94.7,86.9,61.53,-0.61,50.0,5.25,-0.64,1.86,-9.56,4.88,3.3,-137.56,-5.04,-18.4,29.37,-22.78,37.2,6.0,24.0,2397,247,542921,,,,,,0,2,6,bottom
2017-05-14,490655,6,456379,R,475247,L,56,Groundout,8,1,170514_202431,42c0e15f-86bf-44f5-bfcb-6931ac7c8627,0,1,0,C,Called Strike,FT,5,2.0,3.93,1.91,92.7,85.8,31.32,-0.87,50.0,5.63,-0.07,2.96,-10.4,6.86,5.77,-134.71,-3.51,-19.42,24.91,-19.36,42.0,6.0,24.0,2226,238,,,,,,,0,1,2,top
2017-05-14,490655,6,456379,R,475247,L,56,Groundout,8,2,170514_202444,5f9f5783-2613-4a79-b410-639d8bc00dc7,0,1,0,B,Ball,SL,13,2.0,4.04,1.96,87.7,81.6,18.91,-0.87,50.0,5.49,-0.04,1.17,-2.34,4.06,2.87,-127.54,-5.93,-3.91,22.54,-25.39,7.2,6.0,24.0,2205,216,,,,,,,0,1,2,top
2017-05-14,490655,6,456379,R,475247,L,56,Groundout,8,3,170514_202458,65d4820d-940b-4920-b352-068204f8ffc4,1,2,0,F,Foul,SL,5,2.0,3.72,1.72,87.8,82.1,22.76,-0.98,50.0,5.65,-0.14,3.04,-2.28,1.46,2.9,-127.89,-0.82,-3.86,20.83,-29.71,6.0,7.2,24.0,2213,247,,,,,,,0,1,2,top
2017-05-14,490655,6,456379,R,475247,L,56,Groundout,8,4,170514_202527,ee4f6771-f1fb-4727-8247-1108c92892ef,1,2,0,F,Foul,FT,7,2.0,3.72,1.72,93.9,86.6,40.94,-0.94,50.0,5.37,-0.35,2.38,-9.17,6.97,4.84,-136.56,-4.61,-17.49,27.22,-18.87,39.6,6.0,24.0,2375,235,,,,,,,0,1,2,top
2017-05-14,490655,6,456379,R,475247,L,56,Groundout,8,5,170514_202551,152012b9-80f8-4b25-ac1b-f8830051357a,1,2,0,B,Ball,SL,14,2.0,3.79,1.82,88.4,82.1,22.54,-0.71,50.0,5.32,1.59,0.47,-3.29,2.69,6.94,-128.29,-6.91,-5.54,23.78,-27.64,8.4,7.2,24.0,2376,242,,,,,,,0,1,2,top
