Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-26,565765,7,460086,R,543257,L,63,Groundout,2,1,190827_025553,451ebf8f-1293-4b14-9d88-f83bbdfe8e91,0,0,0,B,Ball,CU,13,,3.39,1.75,75.1,69.4,,-2.44,50.0,4.62,-1.02,1.83,-9.26,2.66,5.67,-109.01,0.65,-11.26,17.34,-28.94,20.4,10.8,24.0,1898,250,,,,,,,0,1,-12,top
2019-08-26,565765,7,460086,R,543257,L,63,Groundout,2,2,190827_025614,a91db601-c25c-4e1e-85f4-47108d125214,1,0,0,X,In play- out(s),CU,5,,3.28,1.7,75.8,70.2,,-2.15,50.0,4.79,-0.14,2.29,-9.98,4.2,7.24,-110.15,0.71,-12.42,17.17,-26.94,22.8,9.6,24.0,1905,243,,,,,,,0,1,-12,top
2019-08-26,565765,7,460086,R,656305,R,64,Home Run,3,1,190827_025643,a1e19eb5-8044-45c8-a8a2-a91ec92df91f,0,0,1,B,Ball,CU,11,,3.63,1.81,79.5,73.0,,-2.23,50.0,4.6,-1.23,2.69,-11.1,2.5,5.59,-115.47,1.94,-15.06,20.53,-28.78,26.4,9.6,24.0,2039,253,,,,,,,1,0,-12,top
2019-08-26,565765,7,460086,R,656305,R,64,Home Run,3,2,190827_025656,3e6edc5a-6216-4d2f-940c-0f282934c073,1,0,1,B,Ball,CU,14,,3.64,1.72,79.0,72.8,,-1.71,50.0,4.76,1.43,2.47,-10.67,5.08,10.28,-114.55,0.37,-14.33,19.01,-25.35,26.4,8.4,24.0,1959,240,,,,,,,1,0,-12,top
2019-08-26,565765,7,460086,R,656305,R,64,Home Run,3,3,190827_025714,48fff376-4b1d-4020-930e-4bc52e2937e7,2,0,1,X,In play- run(s),CU,9,,3.63,1.74,68.1,63.0,,-1.81,50.0,4.89,0.62,2.02,-11.11,3.98,7.58,-98.78,1.59,-11.08,14.41,-28.21,19.2,12.0,24.0,1717,245,,,,,,,1,0,-12,top
2019-08-26,565765,7,460086,R,621566,L,65,Single,2,1,190827_025752,ec6e68d1-97ad-47c2-964a-575478d69b0b,0,0,1,B,Ball,CU,11,,3.7,1.91,65.8,60.3,,-2.77,50.0,5.18,-3.11,4.2,-0.02,4.81,-0.63,-95.47,5.49,-0.02,14.22,-27.72,0.0,12.0,24.0,1807,181,,,,621566,,,0,0,-13,top
2019-08-26,565765,7,460086,R,621566,L,65,Single,2,2,190827_025806,1d789e97-d3bb-49be-83b5-5cf94d5e3f5e,1,0,1,X,In play- no out,CU,13,,3.68,1.89,76.1,70.2,,-2.6,50.0,4.59,-0.74,2.48,-9.64,3.29,6.82,-110.51,1.78,-12.03,17.96,-28.07,21.6,9.6,24.0,1722,246,,,,621566,,,0,0,-13,top
2019-08-26,565765,7,460086,R,592192,R,66,Pop Out,5,1,190827_025834,cba5ce2e-68fe-4a87-ba44-85824485c2f7,0,0,1,B,Ball,CU,11,,3.57,1.74,77.3,71.4,,-1.87,50.0,6.02,-0.11,4.36,-4.94,7.58,5.36,-112.46,1.31,-6.4,18.24,-22.36,14.4,7.2,24.0,1888,208,621566,,,,,,0,1,-13,top
2019-08-26,565765,7,460086,R,592192,R,66,Pop Out,5,2,190827_025848,8c8b2163-c2ed-428a-85ed-ff9bc8048a61,1,0,1,S,Foul,CU,4,,3.56,1.55,77.6,71.6,,-2.0,50.0,4.87,-0.43,2.45,-8.94,5.59,6.12,-112.76,0.16,-11.62,18.64,-24.9,22.8,8.4,24.0,1883,234,621566,,,,,,0,1,-13,top
2019-08-26,565765,7,460086,R,592192,R,66,Pop Out,5,3,190827_025903,259d535b-4b54-4d4a-8a2c-4d8f9f7f0cf0,1,1,1,B,Ball,CU,14,,3.5,1.77,80.6,74.6,,-2.12,50.0,4.82,1.77,1.55,-8.09,6.18,11.46,-116.77,-2.5,-11.32,19.29,-23.53,21.6,7.2,24.0,1956,228,621566,,,,,,0,1,-13,top
2019-08-26,565765,7,460086,R,592192,R,66,Pop Out,5,4,190827_025916,7653f817-e597-49f9-a3d7-e586df3c9668,2,1,1,B,Ball,CU,12,,3.47,1.7,78.8,72.8,,-1.98,50.0,4.87,1.48,2.58,-9.17,5.03,10.55,-114.26,0.42,-12.28,18.44,-25.44,22.8,8.4,24.0,2023,236,621566,,,,,,0,1,-13,top
2019-08-26,565765,7,460086,R,592192,R,66,Pop Out,5,5,190827_025930,66bcdf68-8ee4-4b3f-9e94-9223f03f6ce6,3,1,1,X,In play- out(s),CU,1,,3.42,1.55,77.8,71.8,,-2.15,50.0,4.99,-0.57,3.28,-8.97,5.85,6.16,-113.09,1.63,-11.75,18.39,-24.5,24.0,8.4,24.0,1925,232,621566,,,,,,0,1,-13,top
2019-08-26,565765,7,460086,R,664913,L,67,Pop Out,3,1,190827_030003,811fcf7e-ec78-4ef1-9050-8126e43f594c,0,0,2,B,Ball,CH,14,,3.58,1.75,81.6,75.1,,-2.08,50.0,4.69,1.02,2.02,-9.95,6.05,10.33,-118.38,-1.26,-14.25,20.71,-23.51,27.6,7.2,24.0,2038,235,,,,,,,0,1,-13,top
2019-08-26,565765,7,460086,R,664913,L,67,Pop Out,3,2,190827_030015,af9f13cb-b91c-4855-b586-f333d3dfe470,1,0,2,B,Ball,CH,12,,3.56,1.79,82.2,75.5,,-2.14,50.0,5.56,0.04,4.56,-6.82,7.66,7.25,-119.45,2.07,-9.94,21.21,-21.02,22.8,6.0,24.0,2059,216,,,,,,,0,1,-13,top
2019-08-26,565765,7,460086,R,664913,L,67,Pop Out,3,3,190827_030027,a56c1fd9-0ef5-43e8-9d51-1f0bbc06773a,2,0,2,X,In play- out(s),CU,1,,3.59,1.6,78.8,72.5,,-2.35,50.0,4.98,-0.64,3.22,-9.02,6.53,6.53,-114.58,1.17,-12.1,19.53,-23.42,25.2,7.2,24.0,1824,230,,,,,,,0,1,-13,top
2019-08-26,565765,8,460086,R,501981,R,71,Single,2,1,190827_031243,d1f175d5-d91a-4c48-af4c-c6035b578033,0,0,0,B,Ball,CU,14,,3.58,1.74,79.1,73.0,,-1.37,50.0,4.6,2.41,0.53,-11.08,3.7,11.82,-114.44,-3.2,-14.81,19.59,-27.23,25.2,9.6,24.0,1937,249,,,,501981,,,0,0,-13,top
2019-08-26,565765,8,460086,R,501981,R,71,Single,2,2,190827_031300,d2c8c023-5e91-47fa-89ee-1ddd36601a0f,1,0,0,X,In play- no out,CU,2,,3.4,1.65,70.5,64.8,,-1.82,50.0,4.99,-0.08,3.3,-9.5,4.14,6.02,-102.27,3.43,-10.14,15.74,-27.75,19.2,10.8,24.0,1728,240,,,,501981,,,0,0,-13,top
2019-08-26,565765,8,460086,R,595777,L,72,Single,3,1,190827_031328,c0b601ff-78a1-4c71-8421-23ca0e532ce2,0,0,0,B,Ball,CU,11,,3.47,1.72,68.7,62.6,,-2.27,50.0,5.07,-1.14,3.4,3.07,7.43,1.43,-99.7,3.01,3.08,16.61,-24.72,7.2,9.6,24.0,1823,158,501981,,,595777,,501981,0,0,-13,top
2019-08-26,565765,8,460086,R,595777,L,72,Single,3,2,190827_031340,ac03a739-0bd7-4daf-ad25-1249e1d7c339,1,0,0,S,Called Strike,CU,11,,3.48,1.63,79.3,73.1,,-2.08,50.0,4.68,-0.85,2.62,-9.7,4.63,5.71,-115.27,0.95,-13.17,19.65,-25.89,25.2,8.4,24.0,2050,241,501981,,,595777,,501981,0,0,-13,top
2019-08-26,565765,8,460086,R,595777,L,72,Single,3,3,190827_031359,5f096f69-319e-483e-ada9-83e979f3c226,1,1,0,X,In play- no out,CU,5,,3.47,1.57,80.4,74.2,,-1.99,50.0,4.68,0.12,2.54,-9.21,5.01,7.67,-116.84,0.49,-12.86,19.93,-25.18,25.2,8.4,24.0,2036,237,501981,,,595777,,501981,0,0,-13,top
2019-08-26,565765,8,460086,R,572033,R,73,Single,5,1,190827_031431,f5a1e531-6f04-46d2-9515-87e6132aa9ed,0,0,0,S,Called Strike,CU,12,,3.41,1.65,78.5,72.2,,-1.62,50.0,4.65,0.76,2.51,-10.7,4.33,8.51,-113.88,1.03,-14.16,19.43,-26.45,26.4,8.4,24.0,1960,244,595777,,501981,572033,,,1,0,-13,top
2019-08-26,565765,8,460086,R,572033,R,73,Single,5,2,190827_031446,54730864-f04b-4ad9-a46e-6ae63c729ffe,0,1,0,B,Ball,CH,12,,3.47,1.65,81.4,74.7,,-1.58,50.0,5.05,1.18,3.96,-9.29,5.7,9.27,-118.0,2.59,-13.21,20.58,-24.06,26.4,7.2,24.0,2048,232,595777,,501981,572033,,,1,0,-13,top
2019-08-26,565765,8,460086,R,572033,R,73,Single,5,3,190827_031501,59e9cab5-fdcf-45c1-ac6c-d70bcce70eca,1,1,0,B,Ball,CU,14,,3.44,1.62,79.1,72.7,,-1.76,50.0,4.61,1.06,2.01,-10.18,6.03,9.42,-114.68,-0.59,-13.67,19.59,-24.07,26.4,8.4,24.0,1991,235,595777,,501981,572033,,,1,0,-13,top
2019-08-26,565765,8,460086,R,572033,R,73,Single,5,4,190827_031515,b6a8d979-30b7-4317-9157-3f7a2577d9ca,2,1,0,B,Ball,CU,11,,3.39,1.64,80.2,73.6,,-1.65,50.0,5.8,-0.08,4.37,-5.63,8.4,5.31,-116.58,1.16,-7.8,20.6,-20.54,19.2,6.0,24.0,2112,209,595777,,501981,572033,,,1,0,-13,top
2019-08-26,565765,8,460086,R,572033,R,73,Single,5,5,190827_031534,a132f0dc-647f-4be5-a64c-7d96b45597a4,3,1,0,X,In play- run(s),CU,7,,3.3,1.52,78.3,72.2,,-1.92,50.0,4.86,-0.43,1.85,-9.62,5.93,6.18,-113.86,-1.39,-12.71,19.68,-24.35,25.2,8.4,24.0,1922,236,595777,,501981,572033,,,1,0,-13,top
2019-08-26,565765,8,460086,R,543760,R,74,Forceout,7,1,190827_031604,cc57d4a3-4931-4265-8f66-aaaeaf7447c6,0,0,0,S,Called Strike,CU,11,,3.47,1.68,68.3,62.8,,-2.02,50.0,5.16,-0.73,3.47,-9.18,4.81,4.88,-99.14,3.66,-9.2,14.81,-27.35,18.0,10.8,24.0,1725,236,572033,,,,,,1,1,-14,top
2019-08-26,565765,8,460086,R,543760,R,74,Forceout,7,2,190827_031618,8bfd0767-8bfe-45cd-bf8a-e1901e367232,0,1,0,S,Foul,CU,4,,3.31,1.63,65.6,60.5,,-1.8,50.0,4.95,-0.27,2.76,-8.74,5.65,5.03,-95.18,3.01,-8.07,13.61,-26.95,15.6,12.0,24.0,1520,231,572033,,,,,,1,1,-14,top
2019-08-26,565765,8,460086,R,543760,R,74,Forceout,7,3,190827_031633,e7168830-4b42-4e0a-9a57-4707a00afc33,0,1,0,S,Foul,CU,6,,3.36,1.64,72.5,67.5,,-2.07,50.0,4.97,0.35,2.46,1.19,2.25,4.74,-105.45,1.81,1.36,15.48,-29.6,3.6,10.8,24.0,1812,146,572033,,,,,,1,1,-14,top
2019-08-26,565765,8,460086,R,543760,R,74,Forceout,7,4,190827_031649,b1632bd6-a4da-44b3-a15e-ef1364be7bc0,0,1,0,S,Foul,CU,12,,3.36,1.68,81.3,74.4,,-1.88,50.0,4.73,0.39,3.38,-10.48,4.17,8.47,-117.83,2.48,-14.83,21.12,-26.28,27.6,8.4,24.0,2015,243,572033,,,,,,1,1,-14,top
2019-08-26,565765,8,460086,R,543760,R,74,Forceout,7,5,190827_031707,ae0ca9c4-051e-48f2-8c53-e99101777bda,0,2,0,B,Ball In Dirt,CU,14,,3.43,1.68,73.4,68.1,,-2.1,50.0,4.78,2.13,0.83,-0.79,3.32,9.13,-106.49,-1.61,-0.91,17.28,-28.34,1.2,9.6,24.0,1958,171,572033,,,,,,1,1,-14,top
2019-08-26,565765,8,460086,R,543760,R,74,Forceout,7,6,190827_031731,a6a3814a-e1da-47e6-beca-fea68a4cc23e,1,1,0,S,Foul,CU,9,,3.43,1.63,72.2,66.6,,-2.1,50.0,5.14,0.48,2.08,1.13,4.15,5.04,-104.88,0.3,1.27,17.19,-27.53,3.6,9.6,24.0,1965,157,572033,,,,,,1,1,-14,top
2019-08-26,565765,8,460086,R,543760,R,74,Forceout,7,7,190827_031757,51092994-3d77-4777-acd4-d64e1fa0fb15,1,2,0,X,In play- run(s),CH,14,,3.36,1.68,83.0,76.3,,-1.94,50.0,4.56,1.15,2.17,-9.74,4.73,10.39,-120.27,-0.41,-14.39,21.54,-25.19,26.4,7.2,24.0,2174,240,572033,,,,,,1,1,-14,top
2019-08-26,565765,8,460086,R,543257,L,75,Walk,6,1,190827_031831,a3754a8a-c11a-49bc-98b8-a53c808b46d8,0,0,1,B,Ball,CU,14,,3.26,1.63,71.7,66.1,,-2.39,50.0,4.69,0.14,0.54,1.02,3.06,4.93,-104.16,-1.54,1.12,17.69,-28.81,3.6,10.8,24.0,1849,150,,,,543257,543760,,0,0,-15,top
2019-08-26,565765,8,460086,R,543257,L,75,Walk,6,2,190827_031845,bb5a3aca-98d9-4287-accd-bfeabc53c7a9,1,0,1,S,Foul,CU,11,,3.31,1.56,78.7,72.4,,-2.14,50.0,4.94,-0.84,3.08,-9.82,4.3,5.83,-114.36,1.62,-13.1,19.67,-26.44,25.2,8.4,24.0,1949,242,,,,543257,543760,,0,0,-15,top
