Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-09-01,531441,5,607755,L,425783,L,37,Field Error,6,1,180902_014058,323b1169-4fce-4dfb-9f47-e6c750911c51,0,0,0,B,Ball,CU,12,2.0,3.43,1.64,81.6,75.2,95.25,3.08,50.0,6.38,1.29,3.45,-10.71,-2.92,-0.95,-118.61,0.89,-15.29,22.27,-36.34,22.8,10.8,24.0,2219,283,,,,425783,,,0,0,-2,bottom
2018-09-01,531441,5,607755,L,425783,L,37,Field Error,6,2,180902_014117,dcd48857-f117-4102-8cfd-4f5155990d40,1,0,0,B,Ball,CU,12,2.0,3.38,1.59,82.2,75.5,49.52,3.18,50.0,6.34,1.28,3.73,-10.72,-3.27,-1.19,-119.42,1.67,-15.46,23.26,-36.9,22.8,10.8,24.0,2180,284,,,,425783,,,0,0,-2,bottom
2018-09-01,531441,5,607755,L,425783,L,37,Field Error,6,3,180902_014134,b203921b-be04-498c-9b5e-0e122dc2890d,2,1,0,C,Called Strike,SI,2,2.0,3.48,1.51,89.2,81.7,11.99,2.44,50.0,6.57,-0.0,2.84,10.04,4.45,-9.57,-129.42,-4.73,17.05,26.83,-24.62,31.2,7.2,24.0,1853,114,,,,425783,,,0,0,-2,bottom
2018-09-01,531441,5,607755,L,425783,L,37,Field Error,6,4,180902_014149,3588ff57-58ef-4e27-b993-171b4d2d8543,2,2,0,C,Called Strike,CU,3,2.0,3.32,1.64,81.9,75.3,38.07,3.11,50.0,6.3,0.63,3.11,-9.1,-3.45,-3.04,-118.91,0.43,-13.01,23.1,-37.1,20.4,10.8,24.0,2100,288,,,,425783,,,0,0,-2,bottom
2018-09-01,531441,5,607755,L,425783,L,37,Field Error,6,5,180902_014206,cfc09783-edb8-4d65-9647-2cbbd6232353,2,2,0,B,Ball,CU,13,2.0,3.45,1.69,83.6,77.2,37.35,2.98,50.0,6.12,-0.41,1.52,-9.26,-4.3,-5.24,-121.46,-2.95,-13.76,24.83,-38.57,20.4,10.8,24.0,2390,294,,,,425783,,,0,0,-2,bottom
2018-09-01,531441,5,607755,L,425783,L,37,Field Error,6,6,180902_014227,db30450f-952a-4103-8b9e-600e07492294,3,2,0,D,In play- no out,CU,6,2.0,3.32,1.64,82.4,75.8,16.13,3.11,50.0,6.19,0.36,2.46,-8.15,-5.44,-3.98,-119.77,-0.33,-11.78,24.19,-40.04,16.8,12.0,24.0,2423,301,,,,425783,,,0,0,-2,bottom
2018-09-01,531441,5,607755,L,596059,L,38,Single,2,1,180902_014324,cd89bc09-b1fe-4aae-ade9-f5c41e6053ae,0,0,0,B,Ball,SI,12,2.0,3.38,1.54,90.1,83.0,29.2,2.45,50.0,6.71,0.08,4.47,9.12,2.28,-9.24,-130.86,-0.37,15.97,25.08,-28.19,26.4,7.2,24.0,1801,106,425783,,,596059,,425783,0,0,-2,bottom
2018-09-01,531441,5,607755,L,596059,L,38,Single,2,2,180902_014353,4b18454a-6c3b-4016-a7e1-9163a8ec11ac,1,0,0,D,In play- no out,CU,5,2.0,3.43,1.54,81.0,74.9,11.85,2.9,50.0,6.29,0.1,2.22,-9.09,-3.6,-3.78,-117.73,-1.43,-12.74,22.63,-37.21,19.2,12.0,24.0,2392,290,425783,,,596059,,425783,0,0,-2,bottom
2018-09-01,531441,5,607755,L,462101,R,39,Flyout,3,1,180902_014439,3e588100-acc4-4f7d-b5ee-13bd3ff08861,0,0,0,B,Ball,SI,13,2.0,3.5,1.52,89.9,82.5,58.44,2.3,50.0,6.4,-0.38,1.17,11.05,5.41,-10.57,-130.1,-8.99,18.95,27.08,-22.89,34.8,7.2,24.0,1893,114,596059,,425783,596059,,425783,0,1,-2,bottom
2018-09-01,531441,5,607755,L,462101,R,39,Flyout,3,2,180902_014458,cfda5af9-9c86-44db-9007-a71e8cc571eb,1,1,0,F,Foul,SI,1,2.0,3.43,1.52,89.4,82.1,38.86,2.4,50.0,6.57,-0.26,3.07,9.55,6.47,-10.01,-129.71,-4.87,16.35,25.93,-21.1,33.6,6.0,24.0,1853,125,596059,,425783,596059,,425783,0,1,-2,bottom
2018-09-01,531441,5,607755,L,462101,R,39,Flyout,3,3,180902_014532,1095a374-6132-4a5f-8102-56465c4f302a,1,1,0,X,In play- out(s),CU,5,2.0,3.36,1.47,82.5,76.4,14.77,2.88,50.0,6.22,-0.21,2.62,-5.8,-3.12,-5.53,-119.86,-0.78,-8.46,22.37,-36.73,14.4,10.8,24.0,2493,294,596059,,425783,596059,,425783,0,1,-2,bottom
2018-09-01,531441,5,607755,L,608577,L,40,Groundout,6,1,180902_014725,2390e7c4-637c-4dd0-8acd-a36a0dcb0518,0,0,1,B,Ball,CU,12,2.0,3.73,1.82,82.2,75.6,71.51,2.98,50.0,6.43,0.05,3.98,-11.02,-2.33,-3.54,-119.43,1.76,-15.91,23.08,-35.53,25.2,10.8,24.0,2551,279,596059,,425783,,,596059,1,1,-2,bottom
2018-09-01,531441,5,607755,L,608577,L,40,Groundout,6,2,180902_014744,befaaf3f-d949-427b-9b0e-e36fb5d5d300,1,1,1,C,Called Strike,CU,3,2.0,3.48,1.69,81.6,74.7,32.39,2.92,50.0,6.39,0.43,3.36,-9.6,-5.15,-2.91,-118.39,1.39,-13.52,24.1,-39.44,19.2,12.0,24.0,2453,295,596059,,425783,,,596059,1,1,-2,bottom
2018-09-01,531441,5,607755,L,608577,L,40,Groundout,6,3,180902_014807,11dfb121-7440-4ab7-8726-deafd5491e12,1,1,1,B,Ball,CU,12,2.0,3.45,1.74,81.2,74.6,22.03,3.03,50.0,6.43,1.39,3.79,-11.11,-4.55,-0.46,-117.92,2.15,-15.64,22.5,-38.58,22.8,12.0,24.0,2414,289,596059,,425783,,,596059,1,1,-2,bottom
2018-09-01,531441,5,607755,L,608577,L,40,Groundout,6,4,180902_014830,99ea84a6-d75c-40d4-83b9-83cd1193f20d,2,2,1,F,Foul,SI,14,2.0,3.4,1.79,89.4,82.4,32.0,2.47,50.0,6.51,0.27,1.79,10.25,4.12,-9.05,-129.72,-7.22,17.55,25.77,-25.11,31.2,7.2,24.0,1893,110,596059,,425783,,,596059,1,1,-2,bottom
2018-09-01,531441,5,607755,L,608577,L,40,Groundout,6,5,180902_014900,8b904fdc-83ae-4ab6-b906-3eeb4b5aa0ae,2,2,1,X,In play- out(s),CU,3,2.0,3.55,1.79,82.2,76.1,42.3,3.07,50.0,6.37,0.66,3.51,-7.3,-4.15,-3.46,-119.53,1.32,-10.62,21.72,-38.22,16.8,10.8,24.0,2410,296,596059,,425783,,,596059,1,1,-2,bottom
2018-09-05,531499,5,607755,L,435263,L,42,Walk,6,1,180906_020051,ebee7945-ffca-49b3-ab28-1026a68cd74b,0,1,2,C,Called Strike,CU,2,2.0,3.36,1.61,82.3,74.7,61.99,2.87,50.0,6.35,0.04,3.01,-8.68,-3.03,-4.0,-119.47,-0.03,-12.34,26.6,-36.48,19.2,10.8,24.0,2356,286,493329,,608324,435263,493329,608324,0,0,-4,bottom
2018-09-05,531499,5,607755,L,435263,L,42,Walk,6,2,180906_020109,f84d9e7d-00f8-4f1b-b671-ce50c7d4b78f,0,2,2,C,Called Strike,CU,12,2.0,3.28,1.77,81.0,73.8,31.38,2.94,50.0,6.34,0.25,3.5,-8.57,-3.47,-3.65,-117.55,1.43,-11.84,24.72,-36.97,19.2,10.8,24.0,2285,288,493329,,608324,435263,493329,608324,0,0,-4,bottom
2018-09-05,531499,5,607755,L,435263,L,42,Walk,6,3,180906_020132,02ec859b-fa79-43c8-a414-1eec80c37ced,0,2,2,B,Ball,CU,12,2.0,3.29,1.72,81.6,74.3,31.76,2.87,50.0,6.41,1.11,3.76,-8.69,-3.08,-1.47,-118.44,1.66,-12.23,24.6,-36.51,19.2,10.8,24.0,2264,286,493329,,608324,435263,493329,608324,0,0,-4,bottom
2018-09-05,531499,5,607755,L,435263,L,42,Walk,6,4,180906_020153,a6dbcc83-510d-4d50-b00a-616b09bcfebe,1,2,2,B,Ball,SI,4,2.0,3.35,1.82,90.7,83.0,28.9,2.24,50.0,6.56,-0.63,2.65,11.48,4.48,-11.31,-131.53,-5.48,20.1,27.98,-24.33,34.8,7.2,24.0,1796,111,493329,,608324,435263,493329,608324,0,0,-4,bottom
2018-09-05,531499,5,607755,L,435263,L,42,Walk,6,5,180906_020244,283150ea-7755-4bd8-8656-2a4fd286dec6,2,2,2,B,Ball,CU,12,2.0,3.32,1.67,81.7,74.4,31.67,2.85,50.0,6.38,0.81,4.03,-9.58,-2.22,-1.84,-118.7,2.07,-13.54,24.66,-35.32,21.6,10.8,24.0,2333,279,493329,,608324,435263,493329,608324,0,0,-4,bottom
2018-09-05,531499,5,607755,L,435263,L,42,Walk,6,6,180906_020314,b94d832f-179e-4071-8d6d-fe648559e541,3,2,2,B,Ball,CU,11,2.0,3.21,1.61,83.2,75.7,51.63,2.8,50.0,6.3,-1.1,3.4,-8.71,-2.92,-6.57,-120.65,0.82,-12.67,26.49,-36.41,21.6,10.8,24.0,2403,284,493329,,608324,435263,493329,608324,0,0,-4,bottom
