Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-05-16,530036,1,607455,L,593160,R,9,Pop Out,2,1,180516_003428,7a7529fd-82b4-4aaf-bc14-2913d938bd35,0,0,0,S,Called Strike,FF,4,0.9,3.53,1.57,93.5,85.9,51.55,1.83,50.0,5.71,-0.57,2.44,6.75,8.47,-8.83,-135.82,-5.75,12.68,27.99,-16.25,32.4,4.8,24.0,2214,144,,,,,,,0,1,3,bottom
2018-05-16,530036,1,607455,L,593160,R,9,Pop Out,2,2,180516_003437,07cda748-55cc-49ef-8c46-6ab4992ff00a,0,1,0,X,In play- out(s),FF,2,0.91,3.24,1.33,95.0,87.4,31.12,1.75,50.0,5.8,-0.04,3.18,5.81,9.16,-6.95,-138.22,-4.57,11.33,28.69,-14.32,33.6,3.6,24.0,2281,150,,,,,,,0,1,3,bottom
2018-05-16,530036,1,607455,L,445055,L,10,Single,4,1,180516_003516,d13714c7-b6f9-4196-bf94-d28a59e46194,0,0,1,S,Called Strike,FF,8,0.91,3.48,1.58,94.9,87.8,50.38,1.69,50.0,5.64,-0.22,1.81,5.79,8.86,-7.28,-138.03,-7.79,11.31,27.44,-14.88,31.2,3.6,24.0,2228,148,,,,445055,,,0,0,3,bottom
2018-05-16,530036,1,607455,L,445055,L,10,Single,4,2,180516_003527,2ab72835-d62f-4277-bed4-15242ccdbbe5,0,1,1,S,Foul,FF,1,0.91,3.28,1.36,95.2,87.6,38.37,1.55,50.0,5.79,-0.41,2.9,5.33,8.92,-7.28,-138.38,-5.25,10.42,28.46,-14.73,30.0,3.6,24.0,2247,151,,,,445055,,,0,0,3,bottom
2018-05-16,530036,1,607455,L,445055,L,10,Single,4,3,180516_003543,a755ec5a-5b9b-4512-83a5-f9c5ecb0b598,0,2,1,B,Ball,CH,13,0.89,3.36,1.58,86.3,79.9,13.12,1.56,50.0,5.59,-1.38,0.17,4.05,3.31,-8.58,-125.27,-8.02,6.46,24.19,-26.89,9.6,7.2,24.0,2120,129,,,,445055,,,0,0,3,bottom
2018-05-16,530036,1,607455,L,445055,L,10,Single,4,4,180516_003600,d2bedd83-3138-4188-98c9-e0800a48cc46,1,2,1,X,In play- no out,FF,7,0.91,3.28,1.36,95.1,87.6,33.28,1.64,50.0,5.63,-0.32,1.95,6.03,8.3,-7.52,-138.17,-7.14,11.75,28.28,-15.99,30.0,3.6,24.0,2282,145,,,,445055,,,0,0,3,bottom
2018-05-16,530036,1,607455,L,521692,R,11,Grounded Into DP,1,1,180516_003645,feb82096-2624-4cc4-8f8f-b1caeb3cde7d,0,0,1,X,In play- out(s),FF,9,0.9,3.36,1.36,94.0,86.6,68.53,2.1,50.0,5.54,0.7,1.51,5.67,8.83,-5.79,-136.61,-8.07,10.8,27.88,-15.36,30.0,3.6,24.0,2078,148,445055,,,,,,0,2,3,bottom
2018-05-16,530036,2,607455,L,519058,L,16,Double,4,1,180516_004942,1a93f358-aaad-4f8a-8b92-8496547a6b2a,0,0,0,B,Ball,FF,11,0.88,3.51,1.6,94.2,87.3,66.94,1.73,50.0,5.77,-0.9,2.96,-6.48,-0.76,-4.84,-137.22,-1.47,-12.45,28.1,-33.63,21.6,7.2,24.0,2178,276,,,,,519058,,0,0,3,bottom
2018-05-16,530036,2,607455,L,519058,L,16,Double,4,2,180516_005010,1cebc0b2-d476-4c70-b996-1b432bb43c50,1,0,0,S,Foul,FF,1,0.91,3.21,1.36,94.3,86.1,40.83,1.81,50.0,5.66,-0.54,2.74,6.89,8.28,-8.77,-136.97,-4.86,13.1,30.18,-16.45,32.4,4.8,24.0,2144,143,,,,,519058,,0,0,3,bottom
2018-05-16,530036,2,607455,L,519058,L,16,Double,4,3,180516_005026,c3cf6923-1a48-45a4-ad81-a9da28b45a89,1,1,0,S,Swinging Strike,FF,4,0.91,3.21,1.36,95.6,87.5,40.88,1.69,50.0,5.56,-0.65,2.02,6.51,9.76,-8.74,-138.74,-7.32,12.74,30.11,-13.08,37.2,3.6,24.0,2325,148,,,,,519058,,0,0,3,bottom
