Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-06-05,530307,1,543101,R,518934,R,0,Single,4,1,180605_231104,1ffaf822-bcfd-47f9-be4b-e0e37cdb478e,0,0,0,B,Ball,FF,12,2.0,3.42,1.63,93.8,86.0,49.87,-1.54,50.0,5.56,1.31,3.59,-4.86,8.81,9.39,-136.36,-2.44,-9.19,28.5,-15.49,24.0,3.6,24.0,2144,203,,,,518934,,,0,0,0,top
2018-06-05,530307,1,543101,R,518934,R,0,Single,4,2,180605_231118,4753af8e-8aa4-4ffa-9508-4413a64c8a6d,1,1,0,C,Called Strike,FT,8,2.0,3.42,1.63,93.3,85.5,37.46,-1.6,50.0,5.34,0.16,1.87,-8.44,7.83,7.66,-135.61,-6.02,-15.74,29.19,-17.57,37.2,4.8,24.0,2056,226,,,,518934,,,0,0,0,top
2018-06-05,530307,1,543101,R,518934,R,0,Single,4,3,180605_231134,f7b3e904-acbd-468e-b15c-fb6bf4f535de,1,1,0,B,Ball,FT,11,2.0,3.39,1.62,93.5,85.9,25.53,-1.8,50.0,5.45,-1.6,2.7,-10.1,4.29,4.07,-136.23,-2.93,-19.02,29.28,-24.1,36.0,7.2,24.0,1961,247,,,,518934,,,0,0,0,top
2018-06-05,530307,1,543101,R,518934,R,0,Single,4,4,180605_231152,5ef9d9bf-5f7a-4a13-8854-da529fc2948a,2,1,0,D,In play- no out,FT,8,2.0,3.36,1.62,93.5,86.2,41.56,-1.46,50.0,5.43,0.21,1.84,-9.03,4.94,7.65,-135.99,-5.4,-17.03,27.98,-22.86,32.4,6.0,24.0,1928,241,,,,518934,,,0,0,0,top
2018-06-05,530307,1,543101,R,453568,L,1,Triple,3,1,180605_231235,3cb53e8a-98ba-475c-96d8-c72d76cd2099,0,1,0,L,Foul Bunt,FF,3,2.0,3.23,1.33,93.9,85.9,53.43,-1.74,50.0,5.46,0.25,3.11,-4.4,9.88,6.91,-136.64,-3.85,-8.34,29.61,-13.47,25.2,3.6,24.0,2126,200,518934,,,,,453568,1,0,0,top
2018-06-05,530307,1,543101,R,453568,L,1,Triple,3,2,180605_231322,944b513d-73f5-4f20-9d0d-33019f63d052,0,2,0,F,Foul,FF,12,2.0,3.23,1.33,94.0,86.5,48.2,-1.46,50.0,5.46,0.93,2.54,-5.99,8.17,8.59,-136.72,-4.86,-11.41,28.27,-16.6,28.8,4.8,24.0,2125,213,518934,,,,,453568,1,0,0,top
2018-06-05,530307,1,543101,R,453568,L,1,Triple,3,3,180605_231353,7fe7f9f8-07a7-49af-901f-5869dfc462c8,0,2,0,E,In play- run(s),KC,6,2.0,3.23,1.33,80.1,74.5,43.01,-1.74,50.0,5.55,0.61,2.36,1.13,-2.13,5.1,-116.68,0.22,1.57,19.98,-35.15,3.6,10.8,24.0,1686,42,518934,,,,,453568,1,0,0,top
2018-06-05,530307,1,543101,R,571448,R,2,Walk,5,1,180605_231444,3d1c9909-8e81-4a64-a852-2796639cbde7,0,0,0,B,Ball,FF,14,2.0,3.36,1.6,94.2,86.3,69.85,-1.46,50.0,5.38,0.62,1.51,-6.5,9.52,7.92,-136.95,-7.87,-12.36,30.06,-14.08,33.6,3.6,24.0,2290,212,,,453568,571448,,453568,0,0,-1,top
2018-06-05,530307,1,543101,R,571448,R,2,Walk,5,2,180605_231501,db57de3b-9e4c-4e59-b69b-bf4b09deec42,1,0,0,B,Ball,SL,12,2.0,3.43,1.59,87.4,81.6,39.94,-1.66,50.0,5.55,1.05,2.71,3.58,2.6,5.69,-127.4,-1.71,5.98,21.91,-27.83,13.2,7.2,24.0,2464,121,,,453568,571448,,453568,0,0,-1,top
2018-06-05,530307,1,543101,R,571448,R,2,Walk,5,3,180605_231521,4331756b-171e-41a4-b3c6-06748eb5327b,2,0,0,B,Ball,FF,14,2.0,3.37,1.59,94.4,86.8,14.07,-1.31,50.0,5.31,1.53,1.09,-6.0,9.06,9.82,-137.04,-8.7,-11.46,28.77,-14.86,30.0,3.6,24.0,2204,210,,,453568,571448,,453568,0,0,-1,top
