Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-05,490130,12,455374,L,455759,R,83,Flyout,4,1,170406_025049,8a97c56c-3022-4b0a-ad30-7573adcb0d9f,0,0,0,B,Ball,SL,14,2.0,3.61,1.79,81.6,75.3,48.31,2.01,50.0,5.65,0.1,0.98,-3.1,3.6,-3.53,-118.67,-5.17,-4.42,22.69,-27.04,9.6,8.4,24.0,807,229,,,,,,,0,1,0,bottom
2017-04-05,490130,12,455374,L,455759,R,83,Flyout,4,2,170406_025105,b674f247-8f01-440a-a61a-cf0ca14801ab,1,0,0,B,Ball,FF,13,2.0,3.62,1.85,89.8,82.1,47.26,1.82,50.0,5.51,-0.89,0.86,1.87,12.54,-7.58,-130.28,-9.85,3.21,27.99,-10.68,7.2,3.6,24.0,1999,175,,,,,,,0,1,0,bottom
2017-04-05,490130,12,455374,L,455759,R,83,Flyout,4,3,170406_025131,e25b28d8-1820-4fad-be98-0fd7d84e0ca6,2,0,0,S,Called Strike,FF,3,2.0,3.63,1.86,90.5,82.2,48.04,2.03,50.0,5.7,0.65,2.91,4.35,10.7,-5.04,-131.63,-4.62,7.58,29.74,-13.52,24.0,3.6,24.0,2016,160,,,,,,,0,1,0,bottom
2017-04-05,490130,12,455374,L,455759,R,83,Flyout,4,4,170406_025151,f748e10c-0cd4-4da1-8e8c-cfdffbf85ad8,2,1,0,X,In play- out(s),FF,7,2.0,3.75,1.53,90.0,81.9,41.87,1.96,50.0,5.61,-0.39,2.05,4.21,8.64,-7.46,-130.63,-5.81,7.23,28.83,-17.32,16.8,4.8,24.0,1929,158,,,,,,,0,1,0,bottom
2017-04-05,490130,12,455374,L,598265,L,84,Walk,5,1,170406_025232,babecfc4-08ef-4e4a-aabc-cef4ba4f186d,0,0,1,B,Ball,FF,13,2.0,3.2,1.53,90.4,82.5,47.98,1.77,50.0,5.47,-0.36,0.99,5.94,11.56,-7.52,-131.15,-9.25,10.31,28.37,-12.09,32.4,3.6,24.0,1892,154,,,,598265,,,0,0,0,bottom
2017-04-05,490130,12,455374,L,598265,L,84,Walk,5,2,170406_025251,96a1f161-a658-40ea-92e9-8278b0973dc1,1,0,1,B,Ball,SL,14,2.0,3.24,1.54,83.0,76.1,36.71,2.09,50.0,5.57,0.13,1.19,-4.07,6.39,-3.41,-120.65,-5.64,-5.97,24.46,-22.8,15.6,7.2,24.0,2265,218,,,,598265,,,0,0,0,bottom
2017-04-05,490130,12,455374,L,598265,L,84,Walk,5,3,170406_025313,e9e23afb-a0f4-4065-a021-bd61bab4d207,2,0,1,S,Called Strike,FF,11,2.0,3.43,1.66,91.6,83.6,45.59,1.87,50.0,5.63,-0.74,2.62,5.11,9.94,-8.59,-133.04,-5.17,9.14,29.02,-14.39,25.2,3.6,24.0,2055,156,,,,598265,,,0,0,0,bottom
2017-04-05,490130,12,455374,L,598265,L,84,Walk,5,4,170406_025331,f1cdee77-0150-457f-a260-2297f0c4479e,2,1,1,B,Ball,FF,13,2.0,3.64,1.69,91.6,83.6,54.26,1.81,50.0,5.45,-0.45,1.23,5.24,12.72,-7.71,-132.9,-9.25,9.36,28.96,-9.46,33.6,3.6,24.0,2072,159,,,,598265,,,0,0,0,bottom
2017-04-05,490130,12,455374,L,598265,L,84,Walk,5,5,170406_025354,582c8234-2ecc-42e5-8080-f5948054bfdd,3,1,1,B,Ball,FF,13,2.0,3.3,1.58,90.5,82.6,58.61,1.81,50.0,5.55,-1.02,1.9,4.85,11.04,-8.97,-131.28,-6.94,8.45,28.11,-12.92,24.0,3.6,24.0,1955,160,,,,598265,,,0,0,0,bottom
2017-04-05,490130,12,455374,L,467055,R,85,Walk,10,1,170406_025512,e3905102-f2e3-4a62-9a2e-bed0b149fb21,0,0,1,B,Ball,FF,11,2.0,3.51,1.79,90.6,82.1,64.21,1.76,50.0,5.79,-0.84,4.11,4.52,13.07,-8.25,-131.57,-2.52,7.88,29.57,-9.41,31.2,2.4,24.0,2004,165,598265,,,467055,598265,,0,0,0,bottom
2017-04-05,490130,12,455374,L,467055,R,85,Walk,10,2,170406_025536,b40b7bbe-3e28-4f5f-afb1-8ca95adc4809,1,0,1,S,Swinging Strike,FF,5,2.0,3.68,1.5,90.8,82.9,32.24,1.77,50.0,5.55,0.22,2.11,4.8,11.79,-5.66,-131.88,-6.76,8.46,28.2,-11.42,30.0,3.6,24.0,2019,159,598265,,,467055,598265,,0,0,0,bottom
2017-04-05,490130,12,455374,L,467055,R,85,Walk,10,3,170406_025602,5881dca1-c474-48d2-a37b-549ae9a75649,1,1,1,S,Foul,FF,13,2.0,3.68,1.5,90.5,82.3,52.19,1.78,50.0,5.53,-0.81,2.11,6.09,11.0,-8.76,-131.39,-6.33,10.59,29.18,-13.04,31.2,3.6,24.0,2020,154,598265,,,467055,598265,,0,0,0,bottom
2017-04-05,490130,12,455374,L,467055,R,85,Walk,10,4,170406_025644,901c0b2b-d027-4f79-889b-c21d900c9023,1,2,1,B,Ball,FF,12,2.0,3.33,1.73,90.6,83.0,47.17,2.1,50.0,5.76,1.24,4.14,4.34,7.79,-3.72,-131.92,-0.7,7.67,27.11,-18.39,20.4,4.8,24.0,1907,153,598265,,,467055,598265,,0,0,0,bottom
2017-04-05,490130,12,455374,L,467055,R,85,Walk,10,5,170406_025710,516c5988-fb93-46c2-a765-cc69210c1db6,2,1,1,S,Foul,FF,1,2.0,3.68,1.5,91.1,83.2,54.1,1.89,50.0,5.61,-0.54,3.23,4.31,10.61,-7.81,-132.45,-3.69,7.65,28.18,-13.31,22.8,3.6,24.0,1894,161,598265,,,467055,598265,,0,0,0,bottom
2017-04-05,490130,12,455374,L,467055,R,85,Walk,10,6,170406_025922,f4a9b1de-13c8-416c-8c3b-9aeeb97f599f,2,2,1,B,Ball,FF,13,2.0,3.45,1.79,92.0,83.4,27.08,1.88,50.0,5.37,-0.22,0.91,4.0,12.5,-6.88,-133.35,-9.82,7.13,31.1,-9.88,25.2,3.6,24.0,2080,164,598265,,,467055,598265,,0,0,0,bottom
2017-04-05,490130,12,455374,L,467055,R,85,Walk,10,7,170406_025948,da40f118-cb87-4732-9b4c-c96cbf461dd0,3,1,1,S,Foul,FF,12,2.0,3.68,1.5,91.4,83.0,60.29,2.03,50.0,5.62,1.23,3.05,4.42,12.52,-3.59,-132.93,-4.83,7.86,30.26,-9.92,32.4,2.4,24.0,2082,161,598265,,,467055,598265,,0,0,0,bottom
2017-04-05,490130,12,455374,L,467055,R,85,Walk,10,8,170406_030033,7ac1cf6c-5878-4fab-a754-89653aaccd7a,3,2,1,B,Ball,FF,13,2.0,3.19,1.51,91.0,82.7,29.39,1.73,50.0,5.56,-1.56,1.86,4.56,11.97,-10.08,-131.91,-7.46,7.99,29.52,-11.2,24.0,3.6,24.0,2063,163,598265,,,467055,598265,,0,0,0,bottom
2017-04-05,490130,12,455374,L,506702,R,86,Home Run,3,1,170406_030257,ce63c1cd-eaad-41b1-8edc-e288c1b783fe,0,0,1,S,Swinging Strike,FF,3,2.0,3.69,1.51,91.3,83.1,69.39,1.9,50.0,5.63,0.57,3.23,5.24,10.03,-5.27,-132.76,-3.54,9.33,29.26,-14.34,28.8,3.6,24.0,1987,154,467055,598265,,,,,3,0,0,bottom
2017-04-05,490130,12,455374,L,506702,R,86,Home Run,3,2,170406_030346,82a74cc1-b5eb-418c-8708-de8e447effec,0,1,1,X,In play- run(s),FF,5,2.0,3.69,1.51,91.9,83.5,24.49,1.91,50.0,5.43,0.11,2.5,4.68,11.15,-6.33,-133.5,-5.39,8.4,30.2,-12.17,27.6,3.6,24.0,2122,159,467055,598265,,,,,3,0,0,bottom
2017-04-09,490178,7,455374,L,621020,R,51,Flyout,4,1,170409_193131,1b6b2050-87b9-4ba6-ae3c-3ed2b5954199,0,0,0,S,Called Strike,FF,12,2.0,3.49,1.67,88.5,81.0,71.62,1.74,50.0,5.86,1.17,3.06,3.46,15.07,-2.6,-128.8,-5.79,5.82,26.18,-6.79,33.6,2.4,24.0,2394,167,,,,,,,0,1,-1,top
2017-04-09,490178,7,455374,L,621020,R,51,Flyout,4,2,170409_193147,f11974f1-60a5-49a9-98a2-25eb2759a38a,0,1,0,B,Ball,FF,12,2.0,3.65,1.67,90.4,82.7,36.05,1.87,50.0,5.86,1.31,3.55,2.03,14.04,-2.15,-131.54,-4.55,3.56,27.35,-7.52,20.4,2.4,24.0,2457,172,,,,,,,0,1,-1,top
2017-04-09,490178,7,455374,L,621020,R,51,Flyout,4,3,170409_193203,bf279dab-017a-4d3f-9a38-179e59991b77,1,1,0,S,Foul,FF,2,2.0,3.79,1.56,90.2,82.3,44.33,1.71,50.0,5.79,0.23,3.57,3.1,14.02,-4.89,-131.24,-4.24,5.4,28.03,-7.75,26.4,2.4,24.0,2463,169,,,,,,,0,1,-1,top
2017-04-09,490178,7,455374,L,621020,R,51,Flyout,4,4,170409_193229,866fb9f6-5eb1-4d8d-a8e3-6c0dab8e1d1e,1,2,0,X,In play- out(s),SL,8,2.0,3.79,1.56,80.7,75.4,34.53,1.87,50.0,5.78,-0.2,1.8,-4.3,3.8,-3.53,-117.47,-3.55,-6.1,18.98,-26.78,13.2,8.4,24.0,,232,,,,,,,0,1,-1,top
2017-04-09,490178,7,455374,L,518692,L,52,Home Run,6,1,170409_193315,4f4cdac6-b3d6-4060-8f79-e400f4968d45,0,0,1,S,Called Strike,FF,3,2.0,3.79,1.78,90.3,83.3,68.5,1.87,50.0,5.76,0.65,3.19,2.28,11.65,-3.96,-131.42,-4.49,4.04,25.09,-11.58,14.4,2.4,24.0,2401,170,,,,,,,1,0,-1,top
2017-04-09,490178,7,455374,L,518692,L,52,Home Run,6,2,170409_193330,99f21a63-1701-4711-886d-9bbc5bca1051,0,1,1,S,Swinging Strike,SL,4,2.0,3.79,1.56,80.2,74.6,34.18,1.84,50.0,5.75,-0.5,2.39,-3.67,5.57,-4.31,-116.81,-2.51,-5.13,19.45,-24.39,13.2,7.2,24.0,,217,,,,,,,1,0,-1,top
2017-04-09,490178,7,455374,L,518692,L,52,Home Run,6,3,170409_193409,f08f91e6-0982-4e1b-bb86-d5ff7dbd61df,0,2,1,B,Ball,SL,12,2.0,3.69,1.66,81.8,75.4,22.8,2.09,50.0,5.77,1.34,3.14,-4.26,4.7,-0.45,-119.14,-0.83,-6.16,21.65,-25.39,13.2,7.2,24.0,2570,222,,,,,,,1,0,-1,top
2017-04-09,490178,7,455374,L,518692,L,52,Home Run,6,4,170409_193426,600b05a5-d46a-4ee4-b93e-46d9fb2a4419,1,1,1,S,Foul,FF,3,2.0,3.79,1.71,90.7,83.5,53.21,1.84,50.0,5.68,0.58,3.48,2.24,10.85,-4.07,-132.01,-3.28,3.99,25.84,-12.87,13.2,3.6,24.0,2367,170,,,,,,,1,0,-1,top
2017-04-09,490178,7,455374,L,518692,L,52,Home Run,6,5,170409_193454,aea06b05-50f3-45aa-a3db-d987bda610d5,1,2,1,B,Ball,FF,13,2.0,3.79,1.72,91.5,83.5,62.95,1.68,50.0,5.46,-0.69,1.51,5.23,12.46,-7.99,-132.71,-8.46,9.31,28.6,-9.97,32.4,3.6,24.0,2314,159,,,,,,,1,0,-1,top
