Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-05-28,490849,8,455376,R,570560,L,62,Groundout,4,1,170528_210641,e428198c-0426-48b9-ae7d-a28f3f808f60,0,0,0,B,Ball,FF,12,2.0,3.35,1.77,95.5,87.7,56.15,-0.94,50.0,6.27,0.04,3.61,-6.21,7.93,4.92,-138.83,-4.29,-12.2,29.01,-16.6,32.4,4.8,24.0,2081,219,,,,,,,0,1,-4,bottom
2017-05-28,490849,8,455376,R,570560,L,62,Groundout,4,2,170528_210652,c3865fbb-738f-4f10-9277-5cb200c691c5,1,0,0,B,Ball,FF,13,2.0,3.39,1.79,95.8,88.5,45.23,-0.98,50.0,6.12,-0.25,1.59,-5.53,10.75,4.0,-139.04,-10.51,-10.95,27.64,-10.87,38.4,3.6,24.0,2047,209,,,,,,,0,1,-4,bottom
2017-05-28,490849,8,455376,R,570560,L,62,Groundout,4,3,170528_210707,bee3bfcc-a6ab-419d-8c8b-f5befe032a13,2,0,0,S,Foul,FF,8,2.0,3.27,1.53,95.4,88.0,30.35,-0.98,50.0,6.17,0.04,1.98,-5.48,10.12,4.77,-138.47,-9.24,-10.76,27.77,-12.31,34.8,3.6,24.0,2121,210,,,,,,,0,1,-4,bottom
2017-05-28,490849,8,455376,R,570560,L,62,Groundout,4,4,170528_210743,0711cdb2-ccc9-4a01-875c-1c3c532b095e,2,1,0,X,In play- out(s),FF,6,2.0,3.69,1.51,96.0,88.5,31.99,-0.75,50.0,6.15,0.29,2.6,-6.24,7.86,5.12,-139.57,-6.86,-12.42,28.73,-16.53,32.4,4.8,24.0,2065,220,,,,,,,0,1,-4,bottom
2017-05-28,490849,8,455376,R,553882,L,63,Groundout,2,1,170528_210817,9fe0bc33-4897-4a22-84fc-0b382588bc28,0,0,1,S,Called Strike,FF,6,2.0,3.62,1.78,96.8,88.7,49.62,-0.67,50.0,6.2,0.38,2.57,-6.79,8.01,5.38,-140.48,-7.2,-13.61,30.8,-16.11,34.8,4.8,24.0,2000,223,,,,,,,0,1,-4,bottom
2017-05-28,490849,8,455376,R,553882,L,63,Groundout,2,2,170528_210832,70ffceba-23f9-485e-9368-fbf3edd23676,0,1,1,X,In play- out(s),FT,12,2.0,3.69,1.51,96.6,89.0,62.87,-0.49,50.0,6.23,1.15,3.01,-7.54,7.1,7.29,-140.37,-5.76,-15.19,28.94,-17.86,36.0,4.8,24.0,2061,228,,,,,,,0,1,-4,bottom
2017-05-28,490849,8,455376,R,591994,R,64,Strikeout,5,1,170528_210911,c5fea56e-89e9-46f2-8657-47b0cf0d013b,0,0,2,B,Ball,SL,14,2.0,3.37,1.67,85.6,79.6,73.73,-0.97,50.0,5.93,1.06,0.23,4.11,-0.38,3.69,-124.45,-7.37,6.48,23.98,-32.77,12.0,8.4,24.0,2691,67,,,,,,,0,1,-4,bottom
2017-05-28,490849,8,455376,R,591994,R,64,Strikeout,5,2,170528_210933,3051b768-5a0f-4b8b-a9dd-092768c6df2c,1,0,2,S,Foul,SL,9,2.0,3.84,1.59,85.2,78.3,35.5,-0.95,50.0,6.18,0.33,2.05,4.39,-1.61,1.72,-123.83,-2.98,6.8,25.47,-34.67,10.8,9.6,24.0,2520,59,,,,,,,0,1,-4,bottom
2017-05-28,490849,8,455376,R,591994,R,64,Strikeout,5,3,170528_210953,cdd82345-ba95-4b85-879b-1c888328de88,1,1,2,B,Ball,FF,11,2.0,3.72,1.9,96.7,88.8,22.37,-0.92,50.0,6.36,-1.73,4.34,-4.07,9.01,-0.79,-140.69,-3.12,-8.2,30.06,-14.01,30.0,3.6,24.0,2165,207,,,,,,,0,1,-4,bottom
2017-05-28,490849,8,455376,R,591994,R,64,Strikeout,5,4,170528_211016,672ad14d-c9d8-419c-a67d-d692316d67d5,2,1,2,S,Foul,FF,6,2.0,3.84,1.59,97.5,89.9,46.69,-0.63,50.0,6.22,0.68,2.93,-4.5,7.69,5.32,-141.71,-6.31,-9.25,29.22,-16.37,25.2,3.6,24.0,2142,211,,,,,,,0,1,-4,bottom
