Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-18,529660,1,664641,L,543807,R,0,Strikeout,4,1,180418_021055,dbbd6b6b-1e64-4ef9-8dd1-540e2344f675,0,0,0,B,Ball,FS,13,2.0,3.67,1.68,84.5,76.8,75.61,1.49,50.0,5.71,-0.58,-0.49,13.08,10.75,-9.05,-121.99,-11.51,19.52,26.07,-16.13,43.2,7.2,24.0,2440,128,,,,,,,0,1,0,top
2018-04-18,529660,1,664641,L,543807,R,0,Strikeout,4,2,180418_021120,373ae6b4-3ba8-4a4a-b4d1-9326c60be0d4,1,0,0,S,Foul,FF,6,2.0,3.58,1.53,91.7,83.1,24.97,1.37,50.0,6.05,0.3,2.41,8.7,11.31,-5.75,-133.0,-7.2,15.47,30.48,-12.06,45.6,4.8,24.0,2434,142,,,,,,,0,1,0,top
2018-04-18,529660,1,664641,L,543807,R,0,Strikeout,4,3,180418_021140,bd06881e-a305-42d7-b199-eead0d26f2d6,1,1,0,S,Foul,SL,14,2.0,5.36,2.01,80.4,73.9,40.96,1.79,50.0,6.09,0.44,1.65,8.09,3.63,-5.54,-116.76,-4.33,11.16,22.18,-27.17,20.4,8.4,24.0,1026,113,,,,,,,0,1,0,top
2018-04-18,529660,1,664641,L,543807,R,0,Strikeout,4,4,180418_021202,e646e846-a6b1-455d-980d-ead8f1715553,1,2,0,S,Called Strike,FF,13,2.0,3.52,1.69,92.9,84.1,41.54,0.97,50.0,6.03,-0.77,2.43,8.76,11.67,-7.64,-134.63,-7.49,15.95,31.25,-10.91,48.0,4.8,24.0,2350,144,,,,,,,0,1,0,top
2018-04-18,529660,1,664641,L,514888,R,1,Groundout,1,1,180418_021233,a4cc7e57-83e7-4e02-ae20-dec1b60bb65e,0,0,1,X,In play- out(s),FF,6,2.0,2.86,1.19,92.2,83.5,53.8,1.32,50.0,6.02,0.56,1.79,9.29,10.56,-5.16,-133.7,-8.58,16.65,31.56,-13.26,45.6,4.8,24.0,2437,138,,,,,,,0,1,0,top
2018-04-18,529660,1,664641,L,621043,R,2,Strikeout,4,1,180418_021315,e128f5d7-19d1-402b-b304-c2203b07322d,0,0,2,S,Called Strike,FF,9,2.0,3.54,1.65,92.9,83.9,66.28,1.4,50.0,6.04,0.63,1.78,7.71,10.82,-4.66,-134.64,-8.87,13.98,32.54,-12.56,40.8,4.8,24.0,2528,144,,,,,,,0,1,0,top
2018-04-18,529660,1,664641,L,621043,R,2,Strikeout,4,2,180418_021333,c624c336-fdd2-465b-a867-d9d5d30ca4cb,0,1,2,S,Foul,FS,14,2.0,5.26,2.04,85.3,77.1,26.33,1.64,50.0,5.96,0.03,1.73,9.17,9.76,-6.79,-123.61,-6.69,14.0,27.68,-17.27,33.6,6.0,24.0,2345,137,,,,,,,0,1,0,top
2018-04-18,529660,1,664641,L,621043,R,2,Strikeout,4,3,180418_021406,365879c9-6f2c-43fb-a455-cd9ca3f89e9b,0,1,2,S,Foul,FF,5,2.0,5.26,2.04,92.8,83.9,21.28,1.07,50.0,6.28,0.1,4.14,8.87,11.19,-5.61,-134.82,-3.45,16.17,32.06,-11.79,49.2,4.8,24.0,2457,143,,,,,,,0,1,0,top
2018-04-18,529660,1,664641,L,621043,R,2,Strikeout,4,4,180418_021429,1654bd0d-ec3b-4988-8cc3-d0e0e38700df,0,2,2,S,Swinging Strike,SL,12,2.0,3.51,1.54,81.3,74.6,34.58,1.54,50.0,6.25,0.27,3.57,6.73,7.39,-5.02,-118.07,-1.6,9.54,21.57,-21.7,21.6,7.2,24.0,1009,140,,,,,,,0,1,0,top
2018-04-18,529660,2,664641,L,493329,R,7,Double,5,1,180418_022458,dc30e8b9-1ed1-410f-9e6b-dd3f35103d11,0,0,0,B,Ball,FF,14,2.0,3.45,1.66,91.1,82.4,73.78,1.46,50.0,5.96,0.74,1.28,8.35,11.84,-4.69,-131.89,-9.9,14.56,30.67,-11.54,44.4,4.8,24.0,2478,144,,,,,493329,,0,0,1,top
2018-04-18,529660,2,664641,L,493329,R,7,Double,5,2,180418_022517,f8b75713-c5cb-402d-af59-9eea134b6007,1,0,0,S,Foul,FF,7,2.0,3.31,1.46,91.6,82.8,48.42,1.12,50.0,6.06,-0.7,1.82,8.84,11.98,-7.74,-132.61,-8.95,15.57,31.05,-11.06,46.8,4.8,24.0,2487,144,,,,,493329,,0,0,1,top
2018-04-18,529660,2,664641,L,493329,R,7,Double,5,3,180418_022537,eebfbec3-1c65-4db0-a6df-c932bf4d5a69,1,1,0,B,Ball,FF,12,2.0,3.43,1.64,92.3,83.6,37.74,1.37,50.0,6.14,0.13,3.69,8.93,10.76,-6.33,-134.05,-4.06,16.13,31.07,-12.75,46.8,4.8,24.0,2444,142,,,,,493329,,0,0,1,top
2018-04-18,529660,2,664641,L,493329,R,7,Double,5,4,180418_022555,64fb0fe4-a3f0-48fa-9aaf-303698536455,2,1,0,S,Swinging Strike,FS,13,2.0,3.31,1.45,82.4,74.8,9.85,1.72,50.0,5.86,-0.1,0.97,10.09,10.22,-7.34,-119.21,-7.72,14.4,24.67,-17.59,33.6,6.0,24.0,2351,135,,,,,493329,,0,0,1,top
2018-04-18,529660,2,664641,L,493329,R,7,Double,5,5,180418_022618,ad65e6c5-abe1-431d-bea7-fe3409cf71c7,2,2,0,X,In play- no out,SL,12,2.0,3.31,1.45,81.3,74.5,31.63,1.6,50.0,6.13,0.73,2.48,7.67,6.17,-4.35,-118.03,-3.47,10.83,22.34,-23.46,22.8,7.2,24.0,1088,129,,,,,493329,,0,0,1,top
2018-04-18,529660,2,664641,L,608324,R,8,Single,4,1,180418_022709,fa36da6f-daa0-4729-8c4a-5f547a50ae64,0,0,0,B,Ball,FS,13,2.0,3.28,1.53,82.0,74.8,86.11,1.42,50.0,5.96,-0.33,1.4,10.59,9.14,-7.31,-118.78,-6.6,15.06,23.64,-19.17,33.6,7.2,24.0,2193,131,,493329,,608324,,493329,0,0,1,top
2018-04-18,529660,2,664641,L,608324,R,8,Single,4,2,180418_022732,5884752a-615a-4e7c-9d6b-4aa3546bf853,1,0,0,S,Called Strike,FF,7,2.0,3.33,1.66,91.2,82.9,38.88,0.98,50.0,6.04,-0.32,1.72,8.14,12.5,-6.14,-132.09,-9.29,14.32,29.28,-10.18,46.8,3.6,24.0,2561,147,,493329,,608324,,493329,0,0,1,top
2018-04-18,529660,2,664641,L,608324,R,8,Single,4,3,180418_022757,22466a3b-ebfd-4100-b20f-db796b53719c,1,1,0,B,Ball,FF,14,2.0,3.28,1.65,91.5,82.9,31.71,1.28,50.0,6.0,1.32,1.59,10.92,10.1,-3.59,-132.63,-8.74,19.25,31.2,-14.37,48.0,6.0,24.0,2633,131,,493329,,608324,,493329,0,0,1,top
2018-04-18,529660,2,664641,L,608324,R,8,Single,4,4,180418_022827,b15e0f4b-7244-4750-b8e7-9d6a75a25fbc,2,1,0,X,In play- no out,FS,8,2.0,3.13,1.35,82.0,74.4,19.49,1.46,50.0,5.95,-0.1,1.73,12.08,9.95,-7.31,-118.7,-5.98,17.08,24.52,-18.1,39.6,7.2,24.0,2383,130,,493329,,608324,,493329,0,0,1,top
2018-04-18,529660,2,664641,L,502210,L,9,Forceout,6,1,180418_022921,2b746d42-b1c8-423a-aa94-2a759960fe4c,0,0,0,S,Swinging Strike,FF,9,2.0,4.63,1.9,91.0,82.6,57.8,1.14,50.0,6.17,0.57,2.62,8.63,11.91,-4.4,-132.16,-7.06,15.15,30.09,-11.27,48.0,4.8,24.0,2553,144,608324,,493329,,,,1,1,1,top
2018-04-18,529660,2,664641,L,502210,L,9,Forceout,6,2,180418_022943,5e8bdc25-4efa-43f5-be98-366ff5e5e6d5,0,1,0,B,Ball In Dirt,FF,13,2.0,3.37,1.67,91.0,82.6,43.44,0.87,50.0,5.91,-0.86,0.64,9.22,12.49,-7.59,-131.69,-11.66,16.07,29.93,-10.4,48.0,4.8,24.0,2611,143,608324,,493329,,,,1,1,1,top
2018-04-18,529660,2,664641,L,502210,L,9,Forceout,6,3,180418_023011,c16a00b0-d8e6-4d09-bfe7-f680a31b93e6,1,1,0,S,Swinging Strike,FS,13,2.0,3.16,1.46,82.3,74.8,37.22,1.32,50.0,6.1,-0.79,2.12,11.1,8.49,-8.33,-119.28,-5.08,15.87,24.52,-20.04,33.6,7.2,24.0,2055,128,608324,,493329,,,,1,1,1,top
2018-04-18,529660,2,664641,L,502210,L,9,Forceout,6,4,180418_023102,74254eb8-756a-4005-a439-9a212b537ebf,1,2,0,B,Ball,SL,12,2.0,3.23,1.75,81.0,74.2,5.68,1.26,50.0,6.25,0.0,3.85,6.65,6.93,-4.94,-117.64,-0.76,9.34,21.78,-22.44,20.4,7.2,24.0,1050,139,608324,,493329,,,,1,1,1,top
2018-04-18,529660,2,664641,L,502210,L,9,Forceout,6,5,180418_023125,e37d85a9-b04c-4dd5-acbe-769c2280a15e,2,2,0,X,In play- run(s),FS,13,2.0,3.16,1.47,81.7,74.3,40.51,1.47,50.0,5.96,-0.79,1.79,11.43,8.4,-8.72,-118.23,-5.32,16.09,23.86,-20.36,33.6,7.2,24.0,2187,127,608324,,493329,,,,1,1,1,top
2018-04-18,529660,2,664641,L,594828,R,10,Single,3,1,180418_023206,98bade01-8fc5-4b45-bd52-d140a64c0288,0,0,1,B,Ball,FF,12,2.0,3.36,1.63,91.6,82.3,35.9,1.3,50.0,6.37,1.43,4.54,9.31,10.28,-2.82,-132.97,-2.09,16.41,32.82,-14.07,46.8,4.8,24.0,2537,138,,,,594828,502210,,0,0,0,top
2018-04-18,529660,2,664641,L,594828,R,10,Single,3,2,180418_023225,9d80db53-0e2e-4935-acd4-87b763e1871c,1,0,1,S,Called Strike,FF,13,2.0,3.28,1.62,90.7,81.8,48.94,0.88,50.0,6.01,-0.71,1.91,11.02,10.49,-7.77,-131.26,-7.82,18.98,31.09,-14.11,46.8,6.0,24.0,2581,134,,,,594828,502210,,0,0,0,top
