Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-15,565903,7,657117,R,607680,R,49,Walk,6,1,190417_011120,f82487b9-20fd-4d42-a45c-b3c287e0f7da,0,0,0,B,Ball,FF,12,2.0,3.44,1.69,93.1,84.6,,-2.1,50.0,5.84,1.1,3.0,-7.65,9.36,11.16,-134.93,-4.72,-14.04,30.41,-14.99,36.0,4.8,24.0,2137,215,,,,607680,,,0,0,-3,top
2019-09-15,565903,7,657117,R,607680,R,49,Walk,6,2,190417_011135,bd8404fe-b448-4c22-a97e-c42dbfd10e18,1,0,0,B,Ball,SL,14,2.0,3.4,1.65,80.7,74.9,,-2.33,50.0,5.68,1.62,-0.13,3.74,-0.88,7.99,-117.05,-6.2,5.19,22.12,-33.4,10.8,10.8,24.0,2242,72,,,,607680,,,0,0,-3,top
2019-09-15,565903,7,657117,R,607680,R,49,Walk,6,3,190417_011153,d7524ca4-1338-4679-8c37-ae70393bc77c,2,0,0,B,Ball,SL,14,2.0,3.4,1.59,80.3,73.5,,-2.4,50.0,5.84,1.43,2.17,3.03,-0.8,7.89,-116.54,-1.15,4.13,23.74,-33.26,9.6,9.6,24.0,2180,79,,,,607680,,,0,0,-3,top
2019-09-15,565903,7,657117,R,607680,R,49,Walk,6,4,190417_011208,dbdc660b-210d-40ad-ac35-49f797bb871d,3,0,0,S,Called Strike,FF,1,2.0,3.37,1.68,91.8,83.6,,-2.37,50.0,5.84,-0.45,2.92,-8.45,9.32,7.93,-133.27,-4.73,-15.15,29.33,-15.46,39.6,4.8,24.0,2185,220,,,,607680,,,0,0,-3,top
2019-09-15,565903,7,657117,R,607680,R,49,Walk,6,5,190417_011226,87da5b35-a7a5-4288-be06-c278a60e790b,3,1,0,S,Foul,FF,11,2.0,3.38,1.56,91.6,83.3,,-2.45,50.0,5.75,-0.85,3.14,-8.22,8.45,6.99,-133.17,-3.59,-14.68,29.97,-17.08,36.0,4.8,24.0,2167,222,,,,607680,,,0,0,-3,top
2019-09-15,565903,7,657117,R,607680,R,49,Walk,6,6,190417_011250,46e5b71d-89a0-4582-bf06-1624deb31f57,3,2,0,B,Ball,FF,11,2.0,3.37,1.59,92.1,83.7,,-2.51,50.0,5.84,-0.84,4.01,-7.95,9.24,7.12,-133.84,-1.89,-14.38,29.85,-15.48,38.4,4.8,24.0,2208,217,,,,607680,,,0,0,-3,top
2019-09-15,565903,7,657117,R,467827,L,50,Double,6,1,190417_011350,67bf23ef-bcc7-4b33-930f-697628a7c382,0,0,0,B,Ball,SL,14,2.0,3.3,1.49,80.2,73.8,,-2.49,50.0,5.74,1.36,1.15,5.6,-2.71,7.17,-116.5,-2.7,7.63,23.63,-35.87,13.2,10.8,24.0,2114,66,607680,,,,467827,,1,0,-3,top
2019-09-15,565903,7,657117,R,467827,L,50,Double,6,2,190417_011415,64c260be-cd10-4ad6-9b64-863f2e4066f9,1,0,0,S,Swinging Strike,SL,13,2.0,3.3,1.55,79.4,73.1,,-2.47,50.0,5.73,-0.02,0.85,2.99,-1.69,4.68,-115.33,-3.5,4.0,22.53,-34.44,7.2,10.8,24.0,2188,61,607680,,,,467827,,1,0,-3,top
2019-09-15,565903,7,657117,R,467827,L,50,Double,6,3,190417_011445,b9d8b594-b0f6-4d10-8dd8-c8f1d77379a9,1,1,0,S,Swinging Strike,SL,14,2.0,3.3,1.55,80.5,73.8,,-2.57,50.0,5.75,0.04,1.18,4.82,-3.44,4.58,-116.9,-2.47,6.6,24.19,-36.89,10.8,10.8,24.0,2171,56,607680,,,,467827,,1,0,-3,top
2019-09-15,565903,7,657117,R,467827,L,50,Double,6,4,190417_011514,b939bd0c-5b70-430e-aa9e-024d3bdc742d,1,2,0,B,Ball In Dirt,SL,14,2.0,3.14,1.47,80.8,74.4,,-2.42,50.0,5.53,1.5,-0.48,4.42,-3.55,7.71,-117.2,-5.79,6.07,24.87,-37.04,10.8,12.0,24.0,2130,53,607680,,,,467827,,1,0,-3,top
2019-09-15,565903,7,657117,R,467827,L,50,Double,6,5,190417_011552,f1a16357-656f-485d-b02f-019a55eea6df,2,2,0,X,In play- run(s),SL,11,2.0,3.3,1.55,79.9,73.9,,-2.51,50.0,5.96,-0.1,3.48,5.38,-1.63,3.95,-116.18,1.77,7.41,20.28,-34.42,13.2,10.8,24.0,2196,78,607680,,,,467827,,1,0,-3,top
2019-09-15,565904,8,657117,R,446334,R,66,Strikeout,3,1,190418_013455,c5fcb15b-d9cb-4431-8d07-a15d28d75d6c,0,0,2,S,Foul,FF,7,,3.77,1.75,91.4,83.9,,-2.22,50.0,5.63,-0.28,1.98,-9.01,7.61,8.19,-132.72,-6.03,-16.14,27.38,-18.55,36.0,6.0,24.0,2159,228,,,,,,,0,1,7,top
2019-09-15,565904,8,657117,R,446334,R,66,Strikeout,3,2,190418_013515,bd9b2967-c812-47c5-a8a9-701d62216ebb,0,1,2,S,Called Strike,SL,6,,3.65,1.69,80.2,74.1,,-2.5,50.0,5.77,0.4,2.55,1.79,-2.45,6.17,-116.56,0.29,2.47,21.09,-35.56,6.0,10.8,24.0,1924,49,,,,,,,0,1,7,top
2019-09-15,565904,8,657117,R,446334,R,66,Strikeout,3,3,190418_013532,edfd7e29-d174-461f-a9f3-2057416fe81c,0,2,2,S,Swinging Strike (Blocked),SL,14,,3.42,1.58,79.7,74.1,,-2.42,50.0,5.58,1.14,-0.15,4.37,-2.2,6.84,-115.7,-5.38,5.92,21.57,-35.15,10.8,10.8,24.0,2164,62,,,,,,,0,1,7,top
2019-09-15,565904,9,657117,R,607680,R,73,Single,7,1,190418_014944,0c6281da-64d2-4be9-a6f3-98ebb13c989b,0,0,0,S,Foul,FF,4,,3.42,1.66,92.1,84.0,,-2.18,50.0,5.68,-0.6,2.52,-7.44,8.43,6.71,-133.77,-5.14,-13.45,29.36,-16.92,33.6,4.8,24.0,2109,219,,,,607680,,,0,0,7,top
2019-09-15,565904,9,657117,R,607680,R,73,Single,7,2,190418_015003,c4c753b0-869c-4791-84ab-4063a2c33308,0,1,0,S,Foul,SL,13,,3.42,1.61,79.8,73.4,,-2.64,50.0,5.82,-0.86,2.09,3.82,-4.57,2.94,-115.99,-0.15,5.19,22.48,-38.38,8.4,12.0,24.0,2100,44,,,,607680,,,0,0,7,top
2019-09-15,565904,9,657117,R,607680,R,73,Single,7,3,190418_015027,c071cdcc-3a95-4600-87d4-0cd59db6ccc0,0,2,0,B,Ball,SL,14,,3.31,1.58,79.9,74.1,,-2.34,50.0,5.52,1.23,-0.25,4.35,-3.29,6.87,-116.09,-5.2,5.9,22.65,-36.64,10.8,10.8,24.0,2146,54,,,,607680,,,0,0,7,top
2019-09-15,565904,9,657117,R,607680,R,73,Single,7,4,190418_015049,83fbd296-e0ac-4e6c-a93c-047a54d5f673,1,2,0,B,Ball,SL,14,,3.48,1.69,80.8,74.9,,-2.26,50.0,5.55,1.95,0.2,5.64,-0.39,8.04,-117.23,-5.29,7.84,22.52,-32.72,15.6,9.6,24.0,2167,82,,,,607680,,,0,0,7,top
2019-09-15,565904,9,657117,R,607680,R,73,Single,7,5,190418_015120,5382ff19-5b9d-48a3-ae9b-1310d67e351c,2,2,0,B,Ball,SL,13,,3.37,1.64,81.0,74.9,,-2.52,50.0,5.69,-0.97,1.5,3.08,-2.53,2.67,-117.88,-2.07,4.34,22.07,-35.74,7.2,10.8,24.0,1803,52,,,,607680,,,0,0,7,top
2019-09-15,565904,9,657117,R,607680,R,73,Single,7,6,190418_015140,a6845338-fd98-480c-8378-413af1ac8e52,3,1,0,S,Foul,FF,13,,3.34,1.66,92.0,83.9,,-2.32,50.0,5.53,-0.95,1.63,-7.72,9.9,6.26,-133.5,-7.55,-13.91,29.3,-14.34,38.4,4.8,24.0,2119,217,,,,607680,,,0,0,7,top
