Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-22,567373,7,613534,R,605119,R,59,Walk,6,1,190421_002746,7f140ea7-234e-47dc-abd8-52e9142fed08,0,0,0,B,Ball,FF,11,2.0,3.36,1.55,94.8,88.1,,-3.48,50.0,5.59,-1.9,2.93,-1.69,5.77,4.95,-138.0,-3.53,-3.33,25.43,-20.83,6.0,4.8,24.0,2557,192,,,,605119,,,0,0,-4,bottom
2019-09-22,567373,7,613534,R,605119,R,59,Walk,6,2,190421_002807,e2ba9e1e-2440-4d39-a5e8-0fe3e81c6462,1,0,0,B,Ball,SL,14,2.0,3.28,1.57,88.9,83.2,,-3.22,50.0,5.23,2.48,0.9,2.93,0.22,13.61,-128.73,-4.87,5.0,22.72,-31.8,12.0,8.4,24.0,2914,88,,,,605119,,,0,0,-4,bottom
2019-09-22,567373,7,613534,R,605119,R,59,Walk,6,3,190421_002826,887a12a6-7b56-4981-be96-cb314dae7815,2,0,0,B,Ball,FF,11,2.0,3.38,1.57,94.3,87.2,,-3.42,50.0,5.5,-1.37,3.34,-4.14,5.3,7.04,-137.12,-1.86,-7.98,26.54,-21.95,16.8,4.8,24.0,2638,213,,,,605119,,,0,0,-4,bottom
2019-09-22,567373,7,613534,R,605119,R,59,Walk,6,4,190421_002843,c175a6f5-84b5-4312-a93c-f241d805fe83,3,0,0,S,Called Strike,FF,2,2.0,3.38,1.57,94.6,87.6,,-3.34,50.0,5.42,-0.2,2.83,-4.21,6.19,10.05,-137.3,-3.36,-8.16,25.9,-20.16,16.8,4.8,24.0,2659,208,,,,605119,,,0,0,-4,bottom
2019-09-22,567373,7,613534,R,605119,R,59,Walk,6,5,190421_002900,7ede70c5-09ad-4931-b4f7-1a206e677cc4,3,1,0,S,Called Strike,FF,2,2.0,3.35,1.57,95.5,88.6,,-3.32,50.0,5.37,0.13,2.86,-5.05,5.1,11.33,-138.78,-2.94,-10.0,26.31,-22.07,19.2,4.8,24.0,2706,218,,,,605119,,,0,0,-4,bottom
2019-09-22,567373,7,613534,R,605119,R,59,Walk,6,6,190421_002916,aec162fd-4bdd-4ca3-8f7a-aa7dd2790fe9,3,2,0,B,Ball,SL,13,2.0,3.3,1.54,89.1,82.9,,-3.52,50.0,5.39,-0.31,1.39,3.82,-0.28,6.97,-129.5,-3.92,6.56,24.32,-32.65,13.2,8.4,24.0,2792,83,,,,605119,,,0,0,-4,bottom
2019-09-22,567373,7,613534,R,435522,L,60,Strikeout,7,1,190421_002952,3981e2ec-4ea6-4f53-a75a-69fc7e0c8138,0,0,0,S,Called Strike,FF,11,2.0,3.38,1.62,94.2,86.5,,-3.34,50.0,5.48,-0.76,3.28,-3.85,4.41,8.34,-136.86,-1.57,-7.35,28.63,-23.77,13.2,4.8,24.0,2719,213,605119,,,,605119,,0,1,-4,bottom
2019-09-22,567373,7,613534,R,435522,L,60,Strikeout,7,2,190421_003014,b9317746-e149-4030-8b8e-544a90fc04d1,0,1,0,S,Called Strike,SL,8,2.0,3.35,1.61,88.9,82.5,,-3.48,50.0,5.32,-0.2,2.19,4.27,1.03,6.98,-129.13,-2.07,7.3,23.92,-30.41,15.6,7.2,24.0,,100,605119,,,,605119,,0,1,-4,bottom
2019-09-22,567373,7,613534,R,435522,L,60,Strikeout,7,3,190421_003036,88740227-cffa-4ec6-bee9-c4bfa777ee5f,0,1,0,S,Foul,SL,9,2.0,3.39,1.61,89.8,82.9,,-3.54,50.0,5.34,0.59,1.75,2.28,1.19,9.87,-130.28,-3.4,3.94,26.25,-30.13,10.8,7.2,24.0,2897,105,605119,,,,605119,,0,1,-4,bottom
2019-09-22,567373,7,613534,R,435522,L,60,Strikeout,7,4,190421_003109,19a4ce6c-f165-48af-b0a5-1df122239569,0,2,0,B,Ball,SL,11,2.0,3.31,1.61,89.2,83.2,,-3.57,50.0,5.61,-2.48,5.06,3.03,4.41,1.78,-129.96,3.31,5.3,21.28,-24.46,13.2,6.0,24.0,2670,146,605119,,,,605119,,0,1,-4,bottom
2019-09-22,567373,7,613534,R,435522,L,60,Strikeout,7,5,190421_003148,7f9075dd-f226-414d-a30d-af4d2347a18d,1,2,0,B,Ball,FF,11,2.0,3.38,1.61,93.7,86.9,,-3.53,50.0,5.69,-1.83,5.22,-1.57,4.57,5.17,-136.35,3.03,-3.02,24.74,-23.42,4.8,4.8,24.0,2557,192,605119,,,,605119,,0,1,-4,bottom
2019-09-22,567373,7,613534,R,435522,L,60,Strikeout,7,6,190421_003213,0b697676-afee-4f21-b06d-190b46b63967,2,1,0,S,Foul,SL,14,2.0,3.39,1.61,88.8,82.0,,-3.37,50.0,5.23,0.92,1.12,2.55,-0.48,10.05,-128.81,-3.96,4.3,26.39,-32.99,10.8,8.4,24.0,,78,605119,,,,605119,,0,1,-4,bottom
2019-09-22,567373,7,613534,R,435522,L,60,Strikeout,7,7,190421_003248,fbf23502-aaf7-41be-b59f-e75a071e1390,2,2,0,S,Swinging Strike,SL,13,2.0,3.27,1.61,88.4,82.0,,-3.62,50.0,5.24,-0.3,1.36,4.24,2.13,7.03,-128.5,-4.28,7.15,24.45,-28.59,15.6,7.2,24.0,2729,109,605119,,,,605119,,0,1,-4,bottom
2019-09-22,567373,7,613534,R,516770,R,61,Groundout,7,1,190421_003327,65455d27-33a4-4eb4-ac0a-ac1623570847,0,0,1,S,Called Strike,SL,9,2.0,3.44,1.56,88.2,82.1,,-3.25,50.0,5.46,0.71,2.17,2.66,-2.25,9.16,-128.03,-1.29,4.47,23.3,-35.96,9.6,8.4,24.0,2826,58,,605119,,,,605119,0,1,-4,bottom
2019-09-22,567373,7,613534,R,516770,R,61,Groundout,7,2,190421_003348,e027803c-24e7-4cf5-9eb2-f06a52284116,0,1,1,B,Ball,SL,14,2.0,3.38,1.56,88.1,82.1,,-3.39,50.0,5.36,0.05,1.15,3.25,-1.24,7.64,-127.97,-3.93,5.46,23.43,-34.26,10.8,8.4,24.0,2820,69,,605119,,,,605119,0,1,-4,bottom
2019-09-22,567373,7,613534,R,516770,R,61,Groundout,7,3,190421_003421,b07640bc-e0d0-4f46-a76e-6cfe6b286756,1,1,1,B,Ball In Dirt,SL,14,2.0,3.41,1.57,88.8,82.1,,-3.21,50.0,5.28,1.97,0.64,3.09,1.81,12.15,-128.54,-6.05,5.18,25.97,-29.14,13.2,7.2,24.0,2841,105,,605119,,,,605119,0,1,-4,bottom
2019-09-22,567373,7,613534,R,516770,R,61,Groundout,7,4,190421_003453,d4668736-2936-40cb-862b-7495068a5f10,2,1,1,S,Foul,FF,12,2.0,3.39,1.56,92.8,86.5,,-3.17,50.0,5.54,0.89,3.15,-3.03,5.48,11.96,-134.65,-2.33,-5.7,23.16,-21.9,9.6,4.8,24.0,2438,199,,605119,,,,605119,0,1,-4,bottom
2019-09-22,567373,7,613534,R,516770,R,61,Groundout,7,5,190421_003527,90e9a19d-0986-4037-b1bd-05fedcbc260f,2,1,1,S,Foul,SL,14,2.0,3.39,1.56,88.2,82.0,,-3.27,50.0,5.39,0.86,1.72,3.14,1.26,9.45,-128.05,-3.41,5.27,23.65,-30.06,12.0,7.2,24.0,,104,,605119,,,,605119,0,1,-4,bottom
2019-09-22,567373,7,613534,R,516770,R,61,Groundout,7,6,190421_003606,09ad5342-0f64-4eee-99c3-1168837b36da,2,2,1,B,Ball,FF,11,2.0,3.38,1.55,93.6,87.0,,-3.43,50.0,5.56,-1.35,3.64,-1.85,5.19,6.29,-136.21,-1.11,-3.54,24.49,-22.23,6.0,4.8,24.0,2605,193,,605119,,,,605119,0,1,-4,bottom
2019-09-22,567373,7,613534,R,516770,R,61,Groundout,7,7,190421_003649,d5053534-6e2a-453b-8b16-5e853b84229b,3,2,1,X,In play- out(s),SL,11,2.0,3.41,1.56,87.9,81.7,,-3.51,50.0,5.48,-0.81,3.07,3.04,3.09,5.85,-127.93,-0.81,5.12,22.55,-26.97,13.2,7.2,24.0,2738,130,,605119,,,,605119,0,1,-4,bottom
2019-09-22,567373,7,613534,R,595751,R,62,Hit By Pitch,1,1,190421_003843,f7147891-25d9-4735-abf7-03e2936d0f99,0,0,2,B,Hit By Pitch,SL,11,2.0,3.33,1.54,88.6,82.7,,-3.58,50.0,5.54,-2.15,3.47,1.55,2.54,3.17,-129.02,0.09,2.67,21.38,-27.81,6.0,6.0,24.0,2643,145,,,605119,595751,,,0,0,-4,bottom
2019-09-22,567373,7,613534,R,500743,R,63,Walk,6,1,190421_004052,1763ded8-e2d8-4556-a67b-292a08c03dfe,0,0,2,B,Ball,FF,14,2.0,3.18,1.54,93.6,87.5,,-2.9,50.0,5.36,1.17,1.65,-5.37,5.95,12.91,-135.64,-6.2,-10.25,22.79,-20.81,20.4,4.8,24.0,2456,217,595751,,,500743,595751,,1,0,-4,bottom
2019-09-22,567373,7,613534,R,500743,R,63,Walk,6,2,190421_004116,c26dbc78-fd7b-45ca-b22b-5275aaaac077,1,0,2,B,Ball,FF,12,2.0,3.21,1.51,94.0,87.4,,-2.96,50.0,5.49,1.55,2.84,-6.51,6.22,14.54,-136.15,-3.45,-12.48,23.79,-20.25,25.2,4.8,24.0,2684,220,595751,,,500743,595751,,1,0,-4,bottom
2019-09-22,567373,7,613534,R,500743,R,63,Walk,6,3,190421_004144,7b4ebe9e-79b8-4ddb-abe2-3da331e31b63,2,0,2,B,Ball,FF,14,2.0,3.13,1.57,94.7,88.4,,-3.05,50.0,5.22,2.09,1.01,-7.78,8.0,16.81,-136.78,-8.44,-15.11,23.09,-16.63,34.8,4.8,24.0,2649,220,595751,,,500743,595751,,1,0,-4,bottom
2019-09-22,567373,7,613534,R,500743,R,63,Walk,6,4,190421_004236,f0cb42e3-e532-4f4e-ba33-151e795a4e3e,3,0,2,S,Called Strike,FF,2,2.0,3.13,1.53,93.5,86.8,,-3.22,50.0,5.48,-0.12,2.9,-3.1,5.69,9.45,-135.81,-3.02,-5.89,24.94,-21.36,10.8,4.8,24.0,2483,201,595751,,,500743,595751,,1,0,-4,bottom
2019-09-22,567373,7,613534,R,500743,R,63,Walk,6,5,190421_004300,b9a66b71-da6a-4f03-9541-1fa746a69c5a,3,1,2,S,Foul,FF,12,2.0,3.21,1.52,93.5,86.9,,-3.19,50.0,5.47,0.91,2.42,-4.15,5.43,12.5,-135.62,-4.18,-7.86,24.8,-21.89,14.4,4.8,24.0,2426,209,595751,,,500743,595751,,1,0,-4,bottom
2019-09-22,567373,7,613534,R,500743,R,63,Walk,6,6,190421_004335,ac52e174-3c82-432c-851b-6fe3ddaf6c23,3,2,2,B,Ball,SL,11,2.0,3.16,1.51,88.7,82.4,,-3.56,50.0,5.49,-2.08,2.87,-0.17,1.52,3.84,-129.04,-0.98,-0.29,22.7,-29.57,1.2,7.2,24.0,2645,171,595751,,,500743,595751,,1,0,-4,bottom
