Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-11,565580,8,621294,R,621514,L,74,Strikeout,3,1,190912_201339,f406810b-b6c6-43ac-b00f-b058d3a278a5,0,0,0,S,Called Strike,FT,9,,3.21,1.55,93.6,85.6,,-2.17,50.0,5.44,0.33,1.96,-10.08,7.81,10.2,-135.81,-6.08,-18.85,29.38,-17.56,42.0,6.0,24.0,2467,230,,,,,,,0,1,7,bottom
2019-09-11,565580,8,621294,R,621514,L,74,Strikeout,3,2,190912_201353,f685b4b8-b9c9-4fc8-9a7e-003b6ea28b0a,0,1,0,S,Foul,FT,11,,3.21,1.55,94.1,85.9,,-2.29,50.0,5.46,-1.12,2.51,-11.68,6.96,7.24,-136.71,-4.43,-22.09,30.3,-19.01,45.6,6.0,24.0,2514,238,,,,,,,0,1,7,bottom
2019-09-11,565580,8,621294,R,621514,L,74,Strikeout,3,3,190912_201415,b0ac8b88-1561-4df6-b08f-b974f7b20074,0,2,0,S,Swinging Strike,SL,14,,3.21,1.55,84.0,77.5,,-2.5,50.0,5.14,1.12,2.07,4.89,1.7,7.19,-122.11,-1.29,7.41,23.33,-29.61,15.6,8.4,24.0,2428,106,,,,,,,0,1,7,bottom
2019-09-11,565580,8,621294,R,641513,R,75,Home Run,4,1,190912_201446,8c2ab265-b8b2-4919-8490-5260113f0232,0,0,1,B,Ball,FT,14,,3.5,1.61,94.1,86.6,,-2.08,50.0,5.29,0.68,1.47,-11.54,7.07,11.51,-136.39,-6.87,-21.94,27.36,-18.74,44.4,6.0,24.0,2505,237,,,,,,,1,0,7,bottom
2019-09-11,565580,8,621294,R,641513,R,75,Home Run,4,2,190912_201500,1d58ae51-8c4a-4601-a808-66cb1ba1509d,1,0,1,B,Ball,FT,12,,3.5,1.61,95.1,87.7,,-2.14,50.0,5.38,0.78,3.16,-10.89,6.56,11.86,-138.05,-2.56,-21.28,27.0,-19.35,43.2,6.0,24.0,2533,236,,,,,,,1,0,7,bottom
2019-09-11,565580,8,621294,R,641513,R,75,Home Run,4,3,190912_201518,080df3e7-09c2-4719-a272-659f7a41b3b3,2,0,1,S,Called Strike,FT,7,,3.5,1.61,94.2,87.1,,-2.22,50.0,5.42,-0.45,2.21,-9.68,7.46,8.22,-136.93,-5.44,-18.62,26.59,-17.84,42.0,4.8,24.0,2455,231,,,,,,,1,0,7,bottom
2019-09-11,565580,8,621294,R,641513,R,75,Home Run,4,4,190912_201541,12dbeade-d4ea-4f6c-85c4-ac925b576476,2,1,1,X,In play- run(s),SL,5,,3.5,1.61,83.5,77.3,,-2.49,50.0,5.2,-0.04,2.55,3.96,3.16,4.65,-121.58,-0.71,5.98,21.99,-27.41,13.2,7.2,24.0,2398,125,,,,,,,1,0,7,bottom
2019-09-11,565580,8,621294,R,668670,R,76,Flyout,5,1,190912_201622,4b8324af-ef4e-4329-90ba-345eae0972ca,0,0,1,S,Foul,FT,2,,3.27,1.5,94.2,86.0,,-2.15,50.0,5.41,0.11,2.77,-11.82,4.94,10.25,-136.68,-2.9,-22.39,29.75,-22.81,40.8,7.2,24.0,2390,245,,,,,,,0,1,6,bottom
2019-09-11,565580,8,621294,R,668670,R,76,Flyout,5,2,190912_201641,a975ea9f-81b8-4bf5-b8e1-0aa385bf5830,0,1,1,B,Ball,SL,14,,3.27,1.5,85.7,79.7,,-2.25,50.0,5.1,1.98,0.8,1.98,-1.01,9.79,-124.32,-3.75,3.13,22.87,-33.77,7.2,8.4,24.0,2509,67,,,,,,,0,1,6,bottom
2019-09-11,565580,8,621294,R,668670,R,76,Flyout,5,3,190912_201702,66a811ad-90b6-4c15-90af-2fe0cb3ce5e5,1,1,1,B,Ball,SL,14,,3.27,1.5,84.1,78.6,,-2.34,50.0,4.99,1.53,0.95,4.33,1.85,8.03,-122.31,-3.77,6.65,20.88,-29.34,14.4,8.4,24.0,2476,106,,,,,,,0,1,6,bottom
2019-09-11,565580,8,621294,R,668670,R,76,Flyout,5,4,190912_201719,c9feea7b-6196-474c-a51a-246226beadac,2,1,1,B,Ball,FT,14,,3.27,1.5,94.5,86.6,,-2.19,50.0,5.22,0.91,1.89,-10.74,7.86,12.21,-137.08,-5.85,-20.52,29.1,-17.16,44.4,6.0,24.0,2375,232,,,,,,,0,1,6,bottom
2019-09-11,565580,8,621294,R,668670,R,76,Flyout,5,5,190912_201744,a91737eb-7d66-47fe-8384-83aec1e96725,3,1,1,X,In play- out(s),FT,11,,3.27,1.5,94.0,86.2,,-2.21,50.0,5.36,-1.06,2.68,-9.49,7.49,6.45,-136.76,-3.94,-18.05,29.1,-17.94,42.0,4.8,24.0,2373,230,,,,,,,0,1,6,bottom
2019-09-11,565580,8,621294,R,650489,L,77,Walk,5,1,190912_201821,9d2867c2-bfa2-43d7-a210-88640938a8ab,0,0,2,B,Ball,FT,11,,3.41,1.56,93.8,85.7,,-2.36,50.0,5.37,-2.47,2.76,-10.08,7.63,3.23,-136.47,-3.72,-18.99,30.37,-17.79,44.4,6.0,24.0,2488,232,,,,650489,,,0,0,6,bottom
2019-09-11,565580,8,621294,R,650489,L,77,Walk,5,2,190912_201837,244b3604-e8b8-4a82-937a-b22a5d541064,1,0,2,B,Ball,FT,14,,3.41,1.56,93.5,85.8,,-2.1,50.0,5.34,0.35,1.23,-10.06,6.9,10.08,-135.56,-7.43,-18.8,28.48,-19.27,38.4,6.0,24.0,2316,235,,,,650489,,,0,0,6,bottom
