Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-05,490115,6,453284,R,592387,R,46,Strikeout,5,1,170405_040503,ba1a8533-3dea-4278-8b8a-4638a08539f4,0,0,0,B,Ball,FF,14,2.0,3.44,1.67,94.5,86.1,83.18,-0.49,50.0,6.0,1.09,1.32,-3.89,12.78,5.65,-137.24,-11.18,-7.38,31.73,-7.92,30.0,2.4,24.0,2327,195,,,,,,,0,1,2,bottom
2017-04-05,490115,6,453284,R,592387,R,46,Strikeout,5,2,170405_040526,1bb59efa-a5ac-4f4d-83a2-1e93e5bd072a,1,0,0,S,Called Strike,FF,9,2.0,3.58,1.65,94.1,85.8,45.1,-0.5,50.0,6.09,0.57,2.28,-4.12,11.95,4.33,-136.89,-8.52,-7.79,31.33,-9.59,31.2,2.4,24.0,2331,198,,,,,,,0,1,2,bottom
2017-04-05,490115,6,453284,R,592387,R,46,Strikeout,5,3,170405_040556,e175ef00-6f32-465c-bc88-f69e0a9a9aeb,1,1,0,S,Called Strike,FF,14,2.0,3.58,1.65,94.3,86.1,61.64,-0.6,50.0,5.99,0.69,1.58,-3.58,11.98,4.75,-137.0,-10.16,-6.78,30.85,-9.45,26.4,2.4,24.0,2273,195,,,,,,,0,1,2,bottom
2017-04-05,490115,6,453284,R,592387,R,46,Strikeout,5,4,170405_040625,c672fced-0ebf-4e9c-862a-745be5625e33,1,2,0,B,Ball,FF,12,2.0,3.58,1.65,93.7,84.9,23.15,-0.51,50.0,6.37,0.11,4.76,-3.54,12.2,2.87,-136.43,-2.57,-6.61,32.27,-9.37,31.2,2.4,24.0,2309,194,,,,,,,0,1,2,bottom
2017-04-05,490115,6,453284,R,592387,R,46,Strikeout,5,5,170405_040650,7075661e-adfd-4534-8500-03ee503d1ab3,2,2,0,S,Swinging Strike,FS,14,2.0,3.58,1.65,84.1,77.9,34.05,-0.74,50.0,6.01,0.65,1.1,-5.62,3.52,5.13,-122.32,-6.34,-8.56,22.95,-26.82,15.6,7.2,24.0,1196,239,,,,,,,0,1,2,bottom
2017-04-05,490115,6,453284,R,501981,R,47,Strikeout,4,1,170405_040731,fae1cabb-a204-44c9-b484-a15cdecc3b95,0,0,1,S,Called Strike,FS,6,2.0,3.57,1.64,83.8,78.0,76.24,-0.77,50.0,6.06,0.32,2.36,-4.87,0.41,4.18,-122.14,-2.45,-7.45,21.32,-31.55,12.0,8.4,24.0,1200,266,,,,,,,0,1,2,bottom
2017-04-05,490115,6,453284,R,501981,R,47,Strikeout,4,2,170405_040755,0bd4f9ab-7d1e-4124-85bb-34e54733ec62,0,1,1,S,Called Strike,FF,8,2.0,3.57,1.64,94.4,86.7,32.37,-0.44,50.0,6.13,0.22,2.22,-3.71,11.79,3.09,-137.36,-8.88,-7.11,29.22,-9.55,30.0,2.4,24.0,2322,197,,,,,,,0,1,2,bottom
2017-04-05,490115,6,453284,R,501981,R,47,Strikeout,4,3,170405_040821,30d037f7-9789-42d9-923d-7c377b1b82da,0,2,1,B,Ball,FF,11,2.0,3.57,1.64,92.7,84.3,19.8,-0.58,50.0,6.25,-0.01,4.38,-3.01,11.98,2.56,-135.03,-3.05,-5.52,30.79,-10.16,24.0,2.4,24.0,2310,192,,,,,,,0,1,2,bottom
2017-04-05,490115,6,453284,R,501981,R,47,Strikeout,4,4,170405_040847,f59756bd-aab4-466c-b44e-58b21012cfb0,1,2,1,S,Swinging Strike,FS,14,2.0,3.57,1.64,83.9,78.1,39.48,-0.81,50.0,6.1,0.26,1.3,-6.28,3.41,4.57,-122.1,-6.05,-9.59,21.58,-26.98,18.0,7.2,24.0,1126,243,,,,,,,0,1,2,bottom
2017-04-05,490115,6,453284,R,519390,L,48,Pop Out,3,1,170405_040928,e4c6664f-8b53-4893-868c-576f35af6ded,0,0,2,B,Ball,CU,14,2.0,3.46,1.58,80.7,75.2,68.76,-0.68,50.0,6.08,1.78,0.88,3.41,-4.99,4.67,-117.43,-3.64,4.78,21.38,-39.17,7.2,12.0,24.0,2453,37,,,,,,,0,1,2,bottom
