Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-29,529412,6,502028,R,656305,R,50,Flyout,4,1,180329_220902,0d70404d-fb59-4a7f-aa70-4c035950d8d4,0,0,0,B,Ball,SL,11,2.0,3.83,1.88,90.3,83.3,70.5,-1.61,50.0,6.48,-1.23,3.05,1.96,1.94,0.32,-131.43,-3.4,3.44,26.31,-28.76,7.2,7.2,24.0,2417,130,,,,,,,0,1,1,bottom
2018-03-29,529412,6,502028,R,656305,R,50,Flyout,4,2,180329_220919,0bb09ed9-e8f8-4770-9adf-560544abefd8,1,1,0,F,Foul,FF,4,2.0,3.58,1.36,95.4,87.5,33.86,-1.12,50.0,6.44,-0.52,2.19,-1.4,10.51,2.15,-138.7,-9.5,-2.73,30.43,-11.66,9.6,2.4,24.0,2337,186,,,,,,,0,1,1,bottom
2018-03-29,529412,6,502028,R,656305,R,50,Flyout,4,3,180329_220950,3fccda1f-3d20-46c2-967b-62cdad79245b,1,1,0,B,Ball,FF,14,2.0,3.69,1.79,96.1,87.5,27.66,-0.97,50.0,6.44,1.46,1.97,-1.29,9.85,7.13,-139.41,-9.93,-2.53,33.04,-12.9,3.6,3.6,24.0,2363,182,,,,,,,0,1,1,bottom
2018-03-29,529412,6,502028,R,656305,R,50,Flyout,4,4,180329_221013,d4009b8d-f176-4f34-b8d2-4b49c65152d7,2,1,0,X,In play- out(s),FF,12,2.0,3.55,1.33,95.3,86.8,45.24,-0.93,50.0,6.45,0.88,2.53,-0.04,10.51,4.94,-138.51,-8.54,-0.09,32.42,-11.87,4.8,2.4,24.0,2301,176,,,,,,,0,1,1,bottom
2018-03-29,529412,6,502028,R,518960,R,51,Groundout,2,1,180329_221046,54a9a410-b2ba-4518-9672-94a3e27c2c68,0,1,1,C,Called Strike,FF,3,2.0,3.81,1.81,95.7,87.8,47.69,-1.02,50.0,6.54,0.27,3.3,-1.56,9.6,4.1,-139.13,-6.49,-3.08,30.08,-13.29,8.4,3.6,24.0,2413,187,,,,,,,0,1,1,bottom
2018-03-29,529412,6,502028,R,518960,R,51,Groundout,2,2,180329_221105,452204d9-dd68-4686-80e7-98791da6fa46,0,1,1,X,In play- out(s),SL,14,2.0,3.45,1.44,91.3,84.6,36.58,-1.37,50.0,6.4,0.85,2.44,1.53,3.58,5.33,-132.88,-5.55,2.76,25.97,-25.72,8.4,6.0,24.0,2495,145,,,,,,,0,1,1,bottom
2018-03-29,529412,6,502028,R,621471,L,52,Strikeout,11,1,180329_221144,adbf2eaf-c50e-4f02-be1a-2453e5235581,0,0,2,B,Ball,SI,14,2.0,3.58,1.68,95.7,87.5,73.7,-0.95,50.0,6.42,0.89,1.67,-9.43,7.68,8.39,-138.77,-9.86,-18.36,31.42,-17.22,40.8,4.8,24.0,2316,231,,,,,,,0,1,1,bottom
2018-03-29,529412,6,502028,R,621471,L,52,Strikeout,11,2,180329_221205,d2cecab3-37cd-4b8b-8195-709553cb82e6,1,1,2,C,Called Strike,FF,8,2.0,3.45,1.72,94.6,86.9,26.54,-1.18,50.0,6.48,-0.15,2.21,-0.89,8.96,3.1,-137.55,-8.84,-1.72,29.76,-14.96,3.6,3.6,24.0,2312,183,,,,,,,0,1,1,bottom
2018-03-29,529412,6,502028,R,621471,L,52,Strikeout,11,3,180329_221222,da289ea6-4e1d-4e5f-97cd-db5d3808fb2f,1,2,2,C,Called Strike,SL,13,2.0,3.53,1.8,87.8,81.1,43.39,-1.55,50.0,6.37,-0.96,2.32,1.4,1.47,1.03,-127.84,-4.36,2.33,25.28,-29.74,4.8,7.2,24.0,2382,126,,,,,,,0,1,1,bottom
2018-03-29,529412,6,502028,R,621471,L,52,Strikeout,11,4,180329_221240,aa6c9588-d995-4e7e-8912-fc5f9ead69c3,1,2,2,B,Ball,FS,14,2.0,3.43,1.76,86.4,79.8,9.69,-1.08,50.0,6.19,0.19,0.55,-6.34,4.68,5.19,-125.42,-9.01,-10.12,24.7,-24.69,19.2,7.2,24.0,,236,,,,,,,0,1,1,bottom
