Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-05-11,529966,6,457429,L,621311,L,54,Single,5,1,180511_024534,ce5beca4-929e-401a-ac27-3a949fb40d72,0,0,1,S,Foul,SL,13,2.0,3.31,1.38,85.0,80.1,81.08,1.57,50.0,5.76,-0.87,1.66,-0.19,3.08,-5.96,-123.69,-4.58,-0.3,18.49,-27.28,2.4,7.2,24.0,2477,195,571448,,,621311,571448,,0,0,3,bottom
2018-05-11,529966,6,457429,L,621311,L,54,Single,5,2,180511_024556,a48c3c47-6e12-43bd-ba56-73ddde1b255b,0,1,1,S,Swinging Strike (Blocked),SL,13,2.0,3.31,1.38,84.8,80.7,34.72,1.61,50.0,5.59,-0.81,0.65,-0.35,1.07,-5.85,-123.46,-6.06,-0.56,16.38,-30.47,2.4,8.4,24.0,2578,230,571448,,,621311,571448,,0,0,3,bottom
2018-05-11,529966,6,457429,L,621311,L,54,Single,5,3,180511_024622,544b8d59-705f-41c1-aceb-2ccaee7f8ed9,0,2,1,B,Ball,SL,14,2.0,3.31,1.51,83.5,79.4,56.09,1.78,50.0,5.65,1.02,1.35,-0.01,1.14,-1.85,-121.71,-4.25,-0.02,15.63,-30.41,0.0,8.4,24.0,2484,190,571448,,,621311,571448,,0,0,3,bottom
2018-05-11,529966,6,457429,L,621311,L,54,Single,5,4,180511_024643,2357cbc1-8cd4-46b7-9364-5af7de05d266,1,1,1,S,Foul,FT,6,2.0,3.31,1.38,93.5,86.9,31.71,1.43,50.0,5.8,0.35,2.21,7.58,5.17,-5.61,-136.07,-5.57,14.45,25.24,-22.32,30.0,6.0,24.0,2403,124,571448,,,621311,571448,,0,0,3,bottom
2018-05-11,529966,6,457429,L,621311,L,54,Single,5,5,180511_024714,fb75a6ff-0c16-4beb-92f6-a4144b4e09c6,1,2,1,X,In play- no out,SL,9,2.0,3.31,1.38,84.3,79.3,40.79,1.75,50.0,5.64,0.43,1.55,-0.69,2.02,-3.0,-122.8,-4.09,-1.08,18.83,-29.02,2.4,7.2,24.0,2537,209,571448,,,621311,571448,,0,0,3,bottom
2018-05-12,529977,8,457429,L,453568,L,76,Double,6,1,180512_040545,4b761edb-fb0e-4b2e-baab-da5a523442ef,0,0,0,B,Ball,SL,13,2.0,3.42,1.57,84.5,79.9,70.73,1.53,50.0,5.68,-0.35,1.34,0.74,1.95,-4.86,-123.12,-4.76,1.16,17.59,-29.09,1.2,7.2,24.0,2455,169,,,,,453568,,0,0,-2,bottom
2018-05-12,529977,8,457429,L,453568,L,76,Double,6,2,180512_040559,865aad7b-cdf2-4cf2-9a11-db721ebed176,1,0,0,B,Ball,FF,14,2.0,3.41,1.53,92.3,85.6,15.91,1.56,50.0,5.72,1.44,2.24,6.37,7.0,-2.54,-134.28,-5.69,11.81,24.94,-19.21,28.8,4.8,24.0,2345,137,,,,,453568,,0,0,-2,bottom
2018-05-12,529977,8,457429,L,453568,L,76,Double,6,3,180512_040618,c08cc332-d2f1-42e2-8952-916ad4e49724,2,0,0,S,Called Strike,SL,5,2.0,3.44,1.54,83.0,78.6,20.1,1.57,50.0,5.9,-0.23,2.77,-0.31,1.05,-4.26,-120.94,-1.27,-0.48,15.81,-30.57,1.2,8.4,24.0,2559,211,,,,,453568,,0,0,-2,bottom
2018-05-12,529977,8,457429,L,453568,L,76,Double,6,4,180512_040641,4df7ebea-3746-4bab-80c8-89ccee8b0bea,2,1,0,S,Foul,SL,5,2.0,3.25,1.35,84.3,77.8,18.85,1.62,50.0,5.76,0.2,2.04,0.87,1.66,-3.72,-122.51,-2.9,1.33,23.05,-29.63,1.2,8.4,24.0,2589,164,,,,,453568,,0,0,-2,bottom
2018-05-12,529977,8,457429,L,453568,L,76,Double,6,5,180512_040708,419c9b51-5e5a-4cb7-ac74-133260f44c93,2,2,0,B,Ball,SL,13,2.0,3.41,1.52,85.0,79.7,36.33,1.51,50.0,5.44,-1.0,-0.19,1.85,1.56,-6.76,-123.37,-7.75,2.9,20.45,-29.72,3.6,8.4,24.0,2630,128,,,,,453568,,0,0,-2,bottom
