Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-05-13,530015,7,448167,L,605233,L,59,Sac Fly,3,1,180513_202913,940e9820-9b85-4c57-ba67-25c18969575c,0,0,1,S,Swinging Strike,SL,13,2.0,3.67,1.4,79.6,72.7,48.19,1.42,50.0,6.03,-1.39,1.96,-7.51,-1.94,-4.17,-115.65,-1.59,-10.05,24.19,-34.76,16.8,10.8,24.0,2827,283,545358,594828,493329,545358,594828,,1,1,-5,bottom
2018-05-13,530015,7,448167,L,605233,L,59,Sac Fly,3,2,180513_202934,ec4b6f63-0a0e-4ed8-bc2e-5b3c0c36d90f,0,2,1,C,Called Strike,SL,1,2.0,3.46,1.4,80.0,72.9,31.36,1.67,50.0,6.09,-0.48,2.9,-7.8,-2.5,-2.6,-116.23,0.49,-10.54,24.15,-35.55,16.8,10.8,24.0,2734,284,545358,594828,493329,545358,594828,,1,1,-5,bottom
2018-05-13,530015,7,448167,L,605233,L,59,Sac Fly,3,3,180513_203009,844707f1-3099-42f6-8039-f590e71e417d,0,2,1,E,In play- run(s),SL,7,2.0,3.67,1.4,81.0,74.4,39.35,1.51,50.0,6.04,-0.63,1.85,-6.94,-1.6,-2.87,-117.81,-2.29,-9.69,23.78,-34.4,16.8,10.8,24.0,2792,283,545358,594828,493329,545358,594828,,1,1,-5,bottom
2018-05-13,530015,7,448167,L,545350,R,60,Pop Out,2,1,180513_203045,8fa5d18f-7bc0-4e05-a2d3-e2c6ce2cb86d,0,0,2,S,Swinging Strike,CH,14,2.0,3.51,1.41,80.5,74.4,63.51,1.75,50.0,6.05,0.91,2.42,5.62,2.51,-3.63,-117.14,-2.23,7.86,20.89,-28.66,14.4,8.4,24.0,1813,115,545358,594828,,,,,0,1,-6,bottom
2018-05-13,530015,7,448167,L,545350,R,60,Pop Out,2,2,180513_203104,281be747-b5c3-4db4-8de3-49368fa73544,0,1,2,X,In play- out(s),CH,4,2.0,3.51,1.41,82.1,75.6,25.77,1.65,50.0,5.96,-0.33,2.67,6.31,3.55,-6.62,-119.25,-2.03,9.15,21.63,-27.03,16.8,8.4,24.0,1901,122,545358,594828,,,,,0,1,-6,bottom
2018-05-13,530015,8,448167,L,514888,R,67,Flyout,3,1,180513_204802,2e90d20c-f9d8-4e12-9c5a-4dbb9077bbde,0,0,0,S,Swinging Strike,CH,14,2.0,2.8,1.14,80.8,74.0,70.17,1.49,50.0,5.97,0.53,0.81,8.5,2.78,-4.78,-117.38,-5.78,11.76,23.78,-28.33,20.4,9.6,24.0,1737,105,,,,,,,0,1,-5,bottom
2018-05-13,530015,8,448167,L,514888,R,67,Flyout,3,2,180513_204820,19cfca72-ae0f-4527-b867-03ac6bbb5659,0,1,0,B,Ball,CH,14,2.0,3.01,1.27,81.1,74.4,16.91,1.84,50.0,5.89,1.36,1.82,8.31,2.17,-3.63,-117.94,-3.19,11.66,23.32,-29.13,20.4,9.6,24.0,1726,103,,,,,,,0,1,-5,bottom
2018-05-13,530015,8,448167,L,514888,R,67,Flyout,3,3,180513_204848,f7477602-fd28-4853-b89c-e3c68e6c43c9,1,1,0,X,In play- out(s),CH,2,2.0,2.8,1.14,81.3,74.8,25.75,1.74,50.0,6.0,0.18,2.42,7.97,1.93,-6.07,-118.19,-2.07,11.31,22.02,-29.43,19.2,9.6,24.0,1760,104,,,,,,,0,1,-5,bottom
2018-05-13,530015,8,448167,L,608324,R,68,Single,2,1,180513_204915,808d4ad2-b47b-498f-b920-9f8c6b842bde,0,1,1,C,Called Strike,SI,8,2.0,3.37,1.56,91.4,83.7,42.48,1.34,50.0,5.76,-0.13,1.85,9.91,7.93,-7.23,-132.72,-6.81,17.68,28.18,-18.02,39.6,6.0,24.0,1884,128,,,,608324,,,0,0,-5,bottom
2018-05-13,530015,8,448167,L,608324,R,68,Single,2,2,180513_204945,7a5b1d14-b284-41c7-bef0-37c420a882bc,0,1,1,D,In play- no out,SI,6,2.0,3.08,1.3,91.3,83.7,44.77,1.41,50.0,5.79,0.66,2.34,8.91,6.8,-5.02,-132.79,-5.25,15.94,27.96,-20.01,34.8,6.0,24.0,1812,127,,,,608324,,,0,0,-5,bottom
2018-05-13,530015,8,448167,L,621043,R,69,Flyout,5,1,180513_205014,ab46e79b-41e4-46a2-a4d6-709dd7e761a9,0,0,1,B,Ball,CH,14,2.0,3.73,1.66,83.2,76.8,46.45,1.63,50.0,5.81,0.39,0.47,8.33,2.55,-5.55,-120.82,-6.8,12.31,23.4,-28.4,20.4,8.4,24.0,1756,103,608324,,,608324,,,0,1,-5,bottom
2018-05-13,530015,8,448167,L,621043,R,69,Flyout,5,2,180513_205042,bdb7f32f-1908-496d-bd51-a405c5a6156c,1,0,1,B,Ball,SI,13,2.0,3.59,1.53,91.2,84.1,31.54,1.15,50.0,5.84,-1.96,1.87,8.88,7.85,-11.2,-132.26,-6.94,15.88,25.79,-18.14,34.8,4.8,24.0,2075,133,608324,,,608324,,,0,1,-5,bottom
2018-05-13,530015,8,448167,L,621043,R,69,Flyout,5,3,180513_205104,568d1cfc-a504-41c6-8b2e-52a6e1baa914,2,1,1,C,Called Strike,CH,1,2.0,3.79,1.67,82.3,76.3,30.64,1.79,50.0,5.98,-0.28,3.48,2.12,5.11,-5.57,-119.73,-0.76,3.12,20.14,-24.65,4.8,7.2,24.0,1874,164,608324,,,608324,,,0,1,-5,bottom
2018-05-13,530015,8,448167,L,621043,R,69,Flyout,5,4,180513_205127,2312cf75-c0a7-4556-862c-a88829671ff7,2,1,1,B,Ball,SI,11,2.0,3.69,1.66,91.5,84.3,50.59,1.42,50.0,5.83,-1.11,2.79,8.0,7.34,-9.41,-132.99,-4.4,14.46,26.13,-18.92,32.4,4.8,24.0,1913,135,608324,,,608324,,,0,1,-5,bottom
2018-05-13,530015,8,448167,L,621043,R,69,Flyout,5,5,180513_205151,75e291a1-9c9f-4b69-a35b-4e19d2e3b4d1,3,1,1,X,In play- out(s),SI,11,2.0,3.46,1.49,91.4,83.8,45.01,1.47,50.0,5.91,-0.18,3.7,6.89,7.42,-6.69,-132.97,-2.23,12.38,27.47,-18.84,30.0,4.8,24.0,1970,140,608324,,,608324,,,0,1,-5,bottom
2018-05-13,530015,8,448167,L,493329,R,70,Lineout,8,1,180513_205230,743cbbf1-2784-47eb-96ca-39cfbbe0d3a9,0,0,2,B,Ball,CH,12,2.0,3.61,1.66,83.6,77.1,74.56,1.6,50.0,6.06,0.64,3.86,4.63,4.44,-3.77,-121.68,-0.0,7.0,22.08,-25.46,14.4,7.2,24.0,1682,137,608324,,,,,,0,1,-5,bottom
2018-05-13,530015,8,448167,L,493329,R,70,Lineout,8,2,180513_205246,0223862d-25f2-4c76-be7b-19dd788e88e7,1,1,2,W,Swinging Strike (Blocked),SL,13,2.0,3.26,1.4,81.7,75.7,37.03,1.65,50.0,5.85,-1.27,0.97,-6.77,-2.33,-4.79,-118.76,-3.88,-9.66,22.82,-35.5,15.6,10.8,24.0,2760,289,608324,,,,,,0,1,-5,bottom
2018-05-13,530015,8,448167,L,493329,R,70,Lineout,8,3,180513_205336,9bd63734-55c5-4978-9642-7c38249c340c,1,2,2,F,Foul,SL,13,2.0,3.26,1.4,80.9,74.3,42.67,1.53,50.0,5.99,-0.82,1.91,-6.33,-2.69,-3.54,-117.64,-1.68,-8.8,23.94,-35.91,14.4,10.8,24.0,2785,291,608324,,,,,,0,1,-5,bottom
2018-05-13,530015,8,448167,L,493329,R,70,Lineout,8,4,180513_205403,2635e0b2-9db9-4907-8931-937caa322286,1,2,2,F,Foul,SL,12,2.0,3.26,1.4,80.2,72.5,36.6,1.76,50.0,6.0,0.32,3.65,-9.16,2.5,-0.58,-116.55,0.93,-12.4,25.13,-28.79,24.0,9.6,24.0,2730,252,608324,,,,,,0,1,-5,bottom
