Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-31,529440,1,435221,R,514917,L,0,Strikeout,6,1,180331_231041,7dae9c50-c10c-4f8a-9aec-e3906be3d29b,0,1,0,C,Called Strike,SI,7,2.0,3.23,1.5,89.9,82.4,53.3,-1.45,50.0,6.12,-0.44,1.77,-9.38,4.63,5.75,-130.48,-6.51,-16.16,27.64,-24.2,30.0,7.2,24.0,2103,245,,,,,,,0,1,0,top
2018-03-31,529440,1,435221,R,514917,L,0,Strikeout,6,2,180331_231057,bfabd2b7-b362-498a-932c-3813fd9a007c,0,1,0,B,Ball,FC,14,2.0,3.25,1.51,88.2,81.6,21.78,-1.25,50.0,6.24,1.47,1.71,0.29,5.51,6.79,-128.01,-6.96,0.48,24.56,-22.97,3.6,6.0,24.0,1132,167,,,,,,,0,1,0,top
2018-03-31,529440,1,435221,R,514917,L,0,Strikeout,6,3,180331_231112,f5a5aa72-9805-4e6b-ac16-6a4dd93f31ec,1,2,0,C,Called Strike,CU,13,2.0,3.26,1.51,79.5,73.0,41.43,-1.47,50.0,6.6,-0.78,1.92,5.91,-5.33,-0.16,-115.46,-1.99,7.91,23.06,-39.31,10.8,12.0,24.0,2582,47,,,,,,,0,1,0,top
2018-03-31,529440,1,435221,R,514917,L,0,Strikeout,6,4,180331_231131,b46d1294-dabf-4adf-a833-2c3dbd0a8c70,1,2,0,F,Foul,SI,7,2.0,3.19,1.38,93.0,85.3,40.11,-1.39,50.0,6.2,-0.66,1.67,-8.56,4.7,4.92,-134.97,-7.66,-15.8,29.35,-23.5,30.0,6.0,24.0,2122,243,,,,,,,0,1,0,top
2018-03-31,529440,1,435221,R,514917,L,0,Strikeout,6,5,180331_231148,e3a3df2f-834c-4ab7-8774-ad6fe6057ae1,1,2,0,B,Ball,CU,14,2.0,3.11,1.39,78.9,72.0,11.35,-1.24,50.0,6.59,0.22,0.9,9.11,-6.7,0.64,-114.43,-3.6,11.82,25.4,-40.87,15.6,13.2,24.0,2703,52,,,,,,,0,1,0,top
2018-03-31,529440,1,435221,R,514917,L,0,Strikeout,6,6,180331_231207,336256cc-6377-4c09-9e62-a5b34c4f0292,2,2,0,S,Swinging Strike,CU,9,2.0,3.25,1.42,79.9,73.4,30.83,-1.19,50.0,6.61,0.36,1.51,5.66,-8.08,1.87,-115.96,-2.17,7.62,24.01,-43.04,10.8,13.2,24.0,2627,36,,,,,,,0,1,0,top
2018-03-31,529440,1,435221,R,467793,L,1,Double,5,1,180331_231246,3cfe00c3-c8e0-4c9f-8165-f5b98a61ca04,0,0,1,B,Ball,SI,14,2.0,3.13,1.53,91.2,83.9,54.8,-1.29,50.0,6.06,0.82,1.08,-8.36,5.19,8.36,-132.21,-8.64,-14.85,27.16,-22.94,28.8,6.0,24.0,2136,239,,,,,467793,,0,0,0,top
2018-03-31,529440,1,435221,R,467793,L,1,Double,5,2,180331_231301,65b79703-1141-4e05-bf6e-954770701639,1,0,1,B,Ball,SI,14,2.0,3.28,1.55,91.8,84.4,56.27,-1.3,50.0,6.04,0.53,1.23,-9.41,3.77,8.03,-133.14,-7.82,-16.94,27.88,-25.39,30.0,7.2,24.0,2180,250,,,,,467793,,0,0,0,top
2018-03-31,529440,1,435221,R,467793,L,1,Double,5,3,180331_231317,8925087f-4c9b-46dc-82c3-567981d9c74e,2,1,1,C,Called Strike,SI,6,2.0,3.2,1.53,91.0,83.1,28.71,-1.32,50.0,6.16,0.27,2.38,-9.58,3.87,7.37,-132.08,-4.98,-16.87,28.81,-25.35,30.0,7.2,24.0,2216,248,,,,,467793,,0,0,0,top
2018-03-31,529440,1,435221,R,467793,L,1,Double,5,4,180331_231336,7d9ef9d0-8fab-49ae-b13d-aa26a84daf2c,2,2,1,C,Called Strike,SI,7,2.0,3.33,1.57,92.4,85.2,49.22,-1.41,50.0,6.1,-0.56,1.89,-7.26,5.49,4.76,-134.32,-7.03,-13.34,27.27,-22.08,27.6,6.0,24.0,2123,234,,,,,467793,,0,0,0,top
