Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-05-04,490517,6,519443,R,448801,L,49,Single,1,1,170505_010738,eb3a8ffe-de56-4293-9815-b1799fd545c1,0,0,0,D,In play- no out,FF,6,2.0,3.73,1.69,89.4,82.1,55.11,-1.86,50.0,6.21,0.45,2.95,-2.28,9.56,6.7,-129.94,-5.33,-3.92,26.01,-15.76,8.4,3.6,24.0,2079,190,,,,448801,,,0,0,-5,top
2017-05-04,490517,6,519443,R,444432,R,50,Walk,6,1,170505_010816,0d067997-3dc2-4944-8074-7f285815ef10,0,0,0,B,Ball,FF,11,2.0,3.89,1.97,88.6,81.0,53.24,-1.95,50.0,6.39,-0.52,4.13,-0.43,9.4,3.79,-128.88,-2.54,-0.72,26.64,-16.35,0.0,3.6,24.0,2071,179,448801,,,444432,448801,,0,0,-5,top
2017-05-04,490517,6,519443,R,444432,R,50,Walk,6,2,170505_010840,8fc89f53-8103-4e6f-b6ad-43d77bc19045,1,0,0,B,Ball,FC,13,2.0,3.76,1.87,85.8,79.8,63.3,-2.07,50.0,6.08,-0.65,1.39,-0.37,3.78,3.63,-124.87,-6.32,-0.59,22.61,-26.14,0.0,7.2,24.0,2065,179,448801,,,444432,448801,,0,0,-5,top
2017-05-04,490517,6,519443,R,444432,R,50,Walk,6,3,170505_010906,d993c407-da58-46fd-a9f6-81bcc348a536,2,1,0,F,Foul,FF,11,2.0,3.67,1.66,89.3,81.1,44.0,-1.98,50.0,6.21,-0.28,3.65,-0.59,13.25,4.54,-129.7,-4.62,-1.0,28.57,-9.74,0.0,2.4,24.0,2133,180,448801,,,444432,448801,,0,0,-5,top
2017-05-04,490517,6,519443,R,444432,R,50,Walk,6,4,170505_010930,6388189c-d33c-40ef-a54d-2345e0463618,2,2,0,F,Foul,FC,9,2.0,3.67,1.66,86.7,80.2,43.24,-1.99,50.0,6.25,0.45,2.29,2.18,5.55,5.39,-126.04,-5.24,3.54,23.61,-23.17,10.8,6.0,24.0,2041,146,448801,,,444432,448801,,0,0,-5,top
2017-05-04,490517,6,519443,R,444432,R,50,Walk,6,5,170505_011004,70cac20d-2a86-4b69-ad28-bfcba6654f02,2,2,0,B,Ball,FC,14,2.0,3.8,1.88,85.6,79.8,28.76,-1.96,50.0,6.18,2.02,1.9,1.89,2.21,9.22,-124.31,-4.75,2.99,22.05,-28.68,8.4,7.2,24.0,2008,108,448801,,,444432,448801,,0,0,-5,top
2017-05-04,490517,6,519443,R,444432,R,50,Walk,6,6,170505_011030,cf778b8d-698d-45ef-9681-a7db83b5e92b,3,2,0,B,Ball,FC,11,2.0,3.69,1.76,89.9,83.7,52.25,-1.96,50.0,6.3,-1.23,3.1,-2.85,5.56,2.86,-130.97,-4.06,-5.04,23.01,-22.35,10.8,4.8,24.0,2012,209,448801,,,444432,448801,,0,0,-5,top
2017-05-04,490517,6,519443,R,570731,R,51,Single,1,1,170505_011139,9d3cbbbe-93f8-46a1-b4a5-58919257a1f9,0,0,0,X,In play- out(s),FF,11,2.0,3.92,1.63,89.5,82.5,67.85,-1.94,50.0,6.29,-0.36,3.82,-3.44,9.38,5.23,-130.31,-3.3,-5.97,25.07,-15.91,16.8,3.6,24.0,2052,198,444432,448801,,570731,444432,,0,1,-5,top
2017-05-04,490517,6,519443,R,547957,L,52,Flyout,6,1,170505_011242,132bb935-595a-4834-8327-789eb7cbdd68,0,0,1,B,Ball,KC,9,2.0,3.83,1.94,79.2,72.5,80.55,-1.92,50.0,6.42,0.53,1.7,2.89,-7.59,4.69,-114.93,-1.28,3.81,24.24,-42.18,6.0,13.2,24.0,2500,22,570731,444432,,570731,,444432,0,1,-5,top
2017-05-04,490517,6,519443,R,547957,L,52,Flyout,6,2,170505_011303,9f0dfe59-aeff-4b2e-8e52-42133bef98b7,1,0,1,B,Ball,KC,11,2.0,3.92,1.9,78.6,72.4,62.56,-2.05,50.0,6.5,-1.14,3.0,3.45,-8.87,1.03,-114.22,1.84,4.55,21.39,-43.88,6.0,13.2,24.0,2477,20,570731,444432,,570731,,444432,0,1,-5,top
