Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-13,566373,7,519443,R,429665,R,57,Lineout,2,1,190330_042820,8cccfe8e-ff96-43df-a4ef-a4ccfc06fabf,0,0,0,S,Called Strike,KC,1,2.0,3.37,1.62,76.9,70.5,,-1.98,50.0,6.55,-0.39,3.29,2.94,-10.86,2.66,-111.84,3.23,3.69,21.98,-45.8,4.8,14.4,24.0,2496,18,,,,,,,0,1,-3,bottom
2019-09-13,566373,7,519443,R,429665,R,57,Lineout,2,2,190330_042848,6530cc36-19b9-4204-af34-c7de0cac2eda,0,1,0,X,In play- out(s),FF,2,2.0,3.3,1.56,91.4,84.1,,-1.47,50.0,6.33,-0.18,3.14,-3.46,9.93,4.6,-133.22,-5.71,-6.26,27.24,-14.23,19.2,3.6,24.0,2032,197,,,,,,,0,1,-3,bottom
2019-09-13,566373,7,519443,R,542921,R,58,Flyout,3,1,190330_042921,59d93750-db7b-401d-89c2-35f46beedc2a,0,0,1,B,Ball,KC,14,2.0,3.48,1.67,80.6,74.2,,-1.82,50.0,6.41,0.91,1.37,4.73,-8.03,4.88,-117.26,-2.24,6.5,24.68,-43.22,9.6,13.2,24.0,2559,33,,,,,,,0,1,-3,bottom
2019-09-13,566373,7,519443,R,542921,R,58,Flyout,3,2,190330_042939,91cf5884-d929-464e-ad76-87a99929e83c,1,0,1,S,Called Strike,KC,1,2.0,3.44,1.57,79.1,72.6,,-1.79,50.0,6.52,-0.64,3.14,4.6,-9.73,1.26,-115.1,2.31,6.12,22.94,-45.12,8.4,13.2,24.0,2553,27,,,,,,,0,1,-3,bottom
2019-09-13,566373,7,519443,R,542921,R,58,Flyout,3,3,190330_043010,b6c7bf90-afe6-4046-afdb-3a4bc3b6e930,1,1,1,X,In play- out(s),FC,14,2.0,3.45,1.58,85.9,79.5,,-1.9,50.0,6.23,0.9,2.23,3.97,2.5,5.65,-125.08,-4.21,6.32,24.14,-28.2,14.4,7.2,24.0,2113,114,,,,,,,0,1,-3,bottom
2019-09-13,566373,7,519443,R,553882,L,59,Strikeout,6,1,190330_043046,d8f86ecc-3e01-4c22-af44-405c77703370,0,0,2,S,Called Strike,FC,5,2.0,3.36,1.59,84.5,78.4,,-2.29,50.0,6.24,0.18,2.69,2.52,1.57,5.22,-123.12,-2.56,3.9,22.51,-29.75,8.4,8.4,24.0,2026,113,,,,,,,0,1,-3,bottom
2019-09-13,566373,7,519443,R,553882,L,59,Strikeout,6,2,190330_043104,1f8df756-6a69-417b-b584-e30e9d1b0899,0,1,2,B,Ball,KC,14,2.0,3.31,1.57,79.1,72.7,,-1.58,50.0,6.38,1.58,2.39,4.71,-8.92,5.78,-115.15,0.72,6.24,23.88,-44.01,9.6,13.2,24.0,2564,33,,,,,,,0,1,-3,bottom
2019-09-13,566373,7,519443,R,553882,L,59,Strikeout,6,3,190330_043126,5ec2a14f-1e98-4444-adb9-4c5788bffcaf,1,1,2,S,Foul,KC,12,2.0,3.42,1.51,80.9,74.3,,-1.78,50.0,6.4,1.0,2.53,4.75,-8.73,5.02,-117.73,0.6,6.59,24.6,-44.29,9.6,13.2,24.0,2629,33,,,,,,,0,1,-3,bottom
2019-09-13,566373,7,519443,R,553882,L,59,Strikeout,6,4,190330_043158,50caf9c0-84a1-4d2f-9362-b9a00a1d813c,1,2,2,B,Ball,FF,11,2.0,3.39,1.69,91.3,83.9,,-1.99,50.0,6.3,-0.71,3.88,-4.01,10.0,4.74,-133.12,-3.69,-7.23,27.24,-14.13,22.8,3.6,24.0,2009,199,,,,,,,0,1,-3,bottom
2019-09-13,566373,7,519443,R,553882,L,59,Strikeout,6,5,190330_043225,93f107c7-6bd0-4990-b97b-47f8547fbf45,2,2,2,B,Ball,KC,14,2.0,3.3,1.59,81.0,74.9,,-1.84,50.0,6.31,0.5,1.26,4.49,-10.02,4.08,-117.98,-1.78,6.27,24.29,-46.17,8.4,13.2,24.0,2618,26,,,,,,,0,1,-3,bottom
