Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-03-29,529407,6,488846,L,621446,R,57,Groundout,5,1,180329_184757,28aa2999-b58a-4787-bd43-6710d88eb050,0,0,0,B,Ball,CU,13,2.0,3.6,1.59,72.6,66.9,99.22,2.06,50.0,6.32,-0.87,1.5,-2.28,-7.56,-5.46,-105.43,-0.19,-2.54,19.78,-40.59,4.8,14.4,24.0,2588,336,,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,621446,R,57,Groundout,5,2,180329_184811,a27a2eec-6415-4613-9b73-83808309dfac,1,0,0,S,Swinging Strike,CU,9,2.0,3.74,1.47,73.0,66.6,31.59,2.34,50.0,6.39,0.58,2.05,-5.18,-8.05,-2.26,-106.06,0.91,-5.78,21.36,-41.17,8.4,15.6,24.0,2585,323,,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,621446,R,57,Groundout,5,3,180329_184829,dd23cd5a-32a9-4a4d-ba11-93c5b9de01a8,1,1,0,B,Ball,CH,14,2.0,3.83,1.84,86.0,77.6,16.14,2.36,50.0,5.96,0.21,1.34,10.8,7.0,-8.67,-124.6,-6.92,16.68,29.1,-21.35,32.4,7.2,24.0,1895,122,,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,621446,R,57,Groundout,5,4,180329_184849,04594480-56d6-4978-8453-38c529640048,2,1,0,S,Foul,SI,12,2.0,3.74,1.47,91.4,82.3,51.19,2.41,50.0,6.05,1.01,2.74,11.29,5.73,-7.44,-132.65,-4.37,19.78,32.79,-22.14,38.4,7.2,24.0,2018,117,,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,621446,R,57,Groundout,5,5,180329_184909,dac27b80-4af9-4fc5-86bf-2f4d32180535,2,2,0,X,In play- out(s),SL,5,2.0,3.74,1.47,82.1,75.1,16.67,2.49,50.0,6.1,0.23,2.5,-6.84,2.47,-3.23,-119.48,-2.38,-9.82,24.67,-28.63,19.2,8.4,24.0,,252,,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,518618,L,58,Strikeout,3,1,180329_184948,e222c0bc-7afb-421b-846c-e6bf43a07b5d,0,0,1,S,Foul,CU,8,2.0,3.19,1.36,72.6,66.0,63.53,2.19,50.0,6.33,-0.03,1.62,-6.8,-9.07,-2.76,-105.46,0.55,-7.45,22.65,-42.1,10.8,15.6,24.0,2587,319,,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,518618,L,58,Strikeout,3,2,180329_185018,93bca6f5-14b6-4d90-be38-25f81afa5690,0,1,1,S,Foul,CH,14,2.0,3.19,1.36,84.9,77.0,40.05,2.3,50.0,6.02,1.02,2.17,10.45,5.45,-6.39,-123.34,-4.4,15.89,27.55,-23.88,30.0,7.2,24.0,1719,117,,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,518618,L,58,Strikeout,3,3,180329_185040,f165b22f-d9fc-49b6-806c-1c798b01f3af,0,2,1,S,Swinging Strike,SL,11,2.0,3.19,1.36,81.6,74.7,40.61,2.3,50.0,6.07,-1.23,2.45,-4.26,1.3,-6.95,-118.54,-1.94,-6.01,24.21,-30.34,13.2,9.6,24.0,2467,256,,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,516770,R,59,Walk,4,1,180329_185341,a552d714-ba62-401b-aeb3-d56b571d21b7,0,0,2,B,Ball,SI,14,2.0,3.69,1.73,90.1,82.3,43.93,2.48,50.0,6.02,1.34,1.71,6.62,3.72,-5.15,-130.96,-6.1,11.43,29.06,-25.75,20.4,7.2,24.0,2103,117,,,,516770,,,0,0,1,bottom
2018-03-29,529407,6,488846,L,516770,R,59,Walk,4,2,180329_185342,2b08054b-5d28-4226-ab75-86977878555c,1,0,2,B,Ball,SL,14,2.0,3.51,1.61,80.7,75.2,25.81,2.48,50.0,5.94,1.34,1.26,-4.11,2.67,-1.4,-117.46,-4.8,-5.8,19.98,-28.4,12.0,8.4,24.0,2543,242,,,,516770,,,0,0,1,bottom
2018-03-29,529407,6,488846,L,516770,R,59,Walk,4,3,180329_185341,a7eca895-c1d1-4e45-8bfc-c752872b7a0b,2,0,2,B,Ball,SI,12,2.0,3.59,1.64,91.6,83.4,22.04,2.56,50.0,6.07,1.85,2.86,6.54,4.7,-4.09,-133.23,-3.91,11.67,30.37,-23.78,24.0,6.0,24.0,2062,125,,,,516770,,,0,0,1,bottom
2018-03-29,529407,6,488846,L,516770,R,59,Walk,4,4,180329_185341,7c4eb7bf-6516-4b94-9f6e-32c4ea28644f,3,0,2,B,Ball,SI,14,2.0,3.6,1.63,90.8,82.0,19.74,2.38,50.0,6.09,1.3,2.59,8.54,4.97,-5.65,-131.83,-4.49,14.8,31.99,-23.57,28.8,6.0,24.0,2102,120,,,,516770,,,0,0,1,bottom
2018-03-29,529407,6,488846,L,571506,L,60,Lineout,6,1,180329_190029,1f07300d-6b00-42ea-9ed7-8b442479a3e1,0,0,2,S,Called Strike,SL,11,2.0,3.82,1.83,80.6,74.3,65.82,2.19,50.0,6.1,-0.76,2.84,-4.19,1.54,-5.57,-117.16,-1.05,-5.83,21.77,-30.02,12.0,9.6,24.0,,252,516770,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,571506,L,60,Lineout,6,2,180329_190029,6d3f1155-d9f5-4acc-ba87-4f36022c1834,0,1,2,S,Foul,SL,13,2.0,3.53,1.54,82.5,75.9,13.28,2.25,50.0,6.01,-1.51,2.18,-3.62,2.72,-7.79,-119.91,-3.11,-5.26,23.69,-28.22,13.2,8.4,24.0,2667,242,516770,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,571506,L,60,Lineout,6,3,180329_190029,a274c419-e181-42d9-bcf7-445045bfe2cd,0,2,2,B,Ball In Dirt,SL,13,2.0,3.72,1.85,80.0,74.4,8.53,2.17,50.0,5.82,-2.74,-0.13,-6.87,-1.43,-9.18,-116.01,-6.16,-9.33,22.42,-34.11,16.8,10.8,24.0,2538,284,516770,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,571506,L,60,Lineout,6,4,180329_190029,69158f24-f97d-4d20-bda4-37d7b456def0,1,2,2,B,Ball,SI,14,2.0,3.7,1.8,91.1,81.3,65.58,2.32,50.0,5.91,0.82,1.54,8.54,5.53,-6.69,-132.12,-6.85,14.66,35.68,-22.69,27.6,6.0,24.0,2076,121,516770,,,,,,0,1,1,bottom
2018-03-29,529407,6,488846,L,571506,L,60,Lineout,6,5,180329_190034,9bf8f84e-b9c7-4b2e-b4d1-4736fcb76f4b,2,2,2,X,In play- out(s),FF,6,2.0,3.53,1.54,92.0,82.9,29.44,2.43,50.0,5.87,0.29,2.21,1.89,9.07,-6.26,-133.62,-6.51,3.35,33.6,-16.07,6.0,3.6,24.0,2062,173,516770,,,,,,0,1,1,bottom
2018-03-31,529431,5,488846,L,571506,L,43,Groundout,3,1,180401_010651,18c7c192-9595-4465-9791-f4b90d06a5e4,0,0,1,S,Foul,FF,4,2.0,3.53,1.54,90.1,82.7,40.39,2.2,50.0,6.06,-0.25,2.43,2.09,8.6,-7.06,-130.87,-6.06,3.63,26.92,-17.21,7.2,4.8,24.0,1927,171,516770,621446,,,516770,621446,0,1,0,bottom
2018-03-31,529431,5,488846,L,571506,L,43,Groundout,3,2,180401_010737,0140361f-e200-4334-a44e-30a79e4bef27,0,1,1,S,Swinging Strike,SL,2,2.0,3.53,1.54,82.3,76.1,22.74,2.27,50.0,6.17,0.01,3.41,-3.15,2.68,-4.4,-119.73,-0.59,-4.6,21.52,-28.25,10.8,8.4,24.0,2392,232,516770,621446,,,516770,621446,0,1,0,bottom
2018-03-31,529431,5,488846,L,571506,L,43,Groundout,3,3,180401_010759,12cd9147-e8ca-4186-a004-ba9dcc81e8d5,0,2,1,X,In play- out(s),SI,14,2.0,3.53,1.54,92.3,84.1,45.13,2.2,50.0,5.98,0.72,2.39,8.82,5.49,-6.94,-134.06,-5.29,15.97,30.31,-22.24,31.2,6.0,24.0,1990,122,516770,621446,,,516770,621446,0,1,0,bottom
2018-03-31,529431,5,488846,L,605119,R,44,Flyout,2,1,180401_010843,883f9241-c4d6-4c2d-8b7c-0f49b50437fc,0,0,2,B,Ball,CH,12,2.0,3.74,1.73,83.0,74.7,75.95,2.13,50.0,6.25,0.85,3.54,11.22,3.94,-6.44,-120.48,-0.8,16.19,27.35,-26.49,28.8,8.4,24.0,1778,111,,516770,621446,,,,0,1,0,bottom
