Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-20,566831,1,656271,L,664058,R,0,Groundout,3,1,190821_000813,ae22e260-c493-4371-ab37-8874725b5bef,0,0,0,B,Ball,FT,14,2.0,3.29,1.55,91.4,84.3,,1.82,50.0,5.99,0.05,1.53,9.03,6.56,-7.74,-132.87,-7.86,16.23,26.97,-20.38,33.6,6.0,24.0,2204,125,,,,,,,0,1,0,top
2019-08-20,566831,1,656271,L,664058,R,0,Groundout,3,2,190821_000827,75e69392-94a2-4c50-bec8-3d5d862fe0eb,1,0,0,S,Called Strike,FF,11,2.0,3.18,1.47,91.7,84.6,,1.7,50.0,6.15,-0.86,2.69,4.86,9.42,-8.44,-133.32,-6.28,8.83,26.22,-15.07,24.0,3.6,24.0,2235,155,,,,,,,0,1,0,top
2019-08-20,566831,1,656271,L,664058,R,0,Groundout,3,3,190821_000847,4d038789-f05e-4db0-9974-fd12edede7d3,1,1,0,X,In play- out(s),CH,7,2.0,3.22,1.54,86.9,80.5,,1.92,50.0,5.98,-0.31,1.64,6.56,3.9,-7.71,-126.39,-5.7,10.69,23.81,-25.81,19.2,7.2,24.0,2297,120,,,,,,,0,1,0,top
2019-08-20,566831,1,656271,L,545361,R,1,Groundout,5,1,190821_000926,e9b6e3f1-48a4-4d89-aae8-88ee28fbeda1,0,0,1,S,Called Strike,FT,5,2.0,3.58,1.71,92.3,84.8,,1.86,50.0,6.06,0.21,2.58,9.87,4.1,-7.76,-134.24,-4.59,18.05,28.39,-24.67,32.4,7.2,24.0,2174,112,,,,,,,0,1,0,top
2019-08-20,566831,1,656271,L,545361,R,1,Groundout,5,2,190821_000941,ee7a8aba-23f9-470b-873e-726477c21c16,0,1,1,B,Ball,FF,11,2.0,3.55,1.71,94.2,86.2,,1.7,50.0,6.24,-1.14,3.27,5.82,9.18,-9.74,-136.91,-5.3,11.05,29.95,-14.73,30.0,3.6,24.0,2313,151,,,,,,,0,1,0,top
2019-08-20,566831,1,656271,L,545361,R,1,Groundout,5,3,190821_000958,6f100037-c498-4d24-a864-26e2750807e5,1,1,1,S,Foul Tip,FF,6,2.0,3.42,1.67,92.9,85.5,,1.82,50.0,6.16,0.52,2.76,5.71,7.87,-5.48,-135.19,-5.81,10.61,28.02,-17.53,26.4,4.8,24.0,2314,145,,,,,,,0,1,0,top
2019-08-20,566831,1,656271,L,545361,R,1,Groundout,5,4,190821_001016,b0274b5f-c327-4c28-8e73-327eeb96c7b5,1,2,1,B,Ball,FF,11,2.0,3.46,1.72,93.3,85.3,,1.76,50.0,6.35,-0.94,4.95,4.64,8.59,-8.84,-135.69,-0.74,8.66,29.37,-16.15,22.8,3.6,24.0,2325,157,,,,,,,0,1,0,top
2019-08-20,566831,1,656271,L,545361,R,1,Groundout,5,5,190821_001033,3e5fd1b1-d647-431b-8732-1292931751cb,2,2,1,X,In play- out(s),CU,7,2.0,3.5,1.67,82.6,76.4,,1.87,50.0,6.09,-0.59,2.06,-2.55,1.23,-5.06,-120.34,-3.22,-3.75,22.75,-30.37,8.4,8.4,24.0,2345,253,,,,,,,0,1,0,top
2019-08-20,566831,1,656271,L,660271,L,2,Groundout,5,1,190821_001118,8adc473b-4d48-4559-b34e-d2c784d7e86a,0,0,2,B,Ball,FF,12,2.0,3.37,1.6,92.6,83.9,,1.73,50.0,6.31,0.24,3.87,5.09,9.56,-5.69,-134.74,-3.66,9.27,31.87,-14.77,26.4,3.6,24.0,2166,154,,,,,,,0,1,0,top
2019-08-20,566831,1,656271,L,660271,L,2,Groundout,5,2,190821_001134,c4e7f0b8-3314-46e4-ad12-44c97319664a,1,0,2,B,Ball,FF,13,2.0,3.36,1.59,92.4,85.0,,1.68,50.0,6.13,-1.23,2.34,6.96,8.57,-10.14,-134.28,-6.96,12.77,27.87,-16.45,31.2,4.8,24.0,2218,143,,,,,,,0,1,0,top
2019-08-20,566831,1,656271,L,660271,L,2,Groundout,5,3,190821_001151,a494cd4d-5aed-46e7-bf16-9e75fd5d2514,2,0,2,S,Foul,FF,1,2.0,3.32,1.63,92.3,84.5,,1.74,50.0,6.26,-0.26,3.3,5.75,8.87,-7.28,-134.27,-4.85,10.51,28.73,-15.97,27.6,4.8,24.0,2216,149,,,,,,,0,1,0,top
2019-08-20,566831,1,656271,L,660271,L,2,Groundout,5,4,190821_001212,d071a7d7-7f36-4a83-8f20-07f4dcc495d3,2,1,2,S,Foul,FT,8,2.0,3.4,1.63,92.2,84.7,,1.76,50.0,6.09,-0.12,1.88,9.35,7.19,-8.2,-134.0,-7.54,17.06,28.1,-19.06,37.2,6.0,24.0,2229,127,,,,,,,0,1,0,top
