Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-02,565576,9,660813,R,608475,R,76,Strikeout,4,1,190901_203157,4f2d8990-8149-43b5-a533-cdc18e5eb53d,0,0,0,S,Called Strike,SI,4,2.0,3.44,1.52,99.6,91.2,,-1.44,50.0,6.05,-0.33,2.46,-9.14,5.5,6.56,-144.64,-6.66,-19.39,33.12,-20.5,39.6,6.0,24.0,1997,239,,,,,,,0,1,5,bottom
2019-09-02,565576,9,660813,R,608475,R,76,Strikeout,4,2,190901_203222,a7572676-61e5-444c-9f86-4f0e4e058578,0,1,0,S,Called Strike,SI,5,2.0,3.54,1.53,99.3,91.5,,-1.76,50.0,5.77,-0.09,2.18,-9.03,3.15,8.14,-144.36,-5.8,-19.2,31.24,-25.47,33.6,6.0,24.0,1929,251,,,,,,,0,1,5,bottom
2019-09-02,565576,9,660813,R,608475,R,76,Strikeout,4,3,190901_203238,b35867f4-b695-49cb-943a-bdd1ee684b72,0,2,0,B,Ball,SI,11,2.0,3.55,1.47,99.0,91.2,,-1.66,50.0,6.14,-0.25,3.84,-8.59,4.98,7.21,-144.0,-2.78,-18.23,30.18,-21.6,37.2,4.8,24.0,1911,238,,,,,,,0,1,5,bottom
2019-09-02,565576,9,660813,R,608475,R,76,Strikeout,4,4,190901_203256,366089cc-5177-4d83-a051-298ec9d64c97,1,2,0,S,Called Strike,SI,2,2.0,3.63,1.5,98.5,91.0,,-1.62,50.0,5.97,-0.05,3.27,-8.31,2.54,7.53,-143.26,-2.95,-17.47,29.55,-26.84,30.0,6.0,24.0,1973,252,,,,,,,0,1,5,bottom
2019-09-02,565576,9,660813,R,641525,R,77,Single,5,1,190901_203331,1efee534-1fd8-4b53-9bb2-996449ce28f5,0,0,1,S,Called Strike,SI,2,2.0,3.47,1.57,98.5,90.8,,-1.57,50.0,6.02,0.08,3.1,-8.04,5.89,7.64,-143.15,-4.79,-16.86,29.84,-19.83,36.0,4.8,24.0,2022,232,,,,641525,,,0,0,5,bottom
2019-09-02,565576,9,660813,R,641525,R,77,Single,5,2,190901_203347,7eeb4d15-3ff0-40c9-bbda-f5647423dc25,0,1,1,B,Ball,SI,12,2.0,3.45,1.61,99.1,91.2,,-1.46,50.0,6.13,0.28,3.73,-8.21,6.12,8.02,-143.97,-3.47,-17.41,30.3,-19.21,38.4,4.8,24.0,1936,231,,,,641525,,,0,0,5,bottom
2019-09-02,565576,9,660813,R,641525,R,77,Single,5,3,190901_203405,838d3996-35da-4cdc-ab80-7c7f5e7f91d0,1,1,1,S,Called Strike,SL,6,2.0,3.4,1.62,88.4,81.5,,-1.69,50.0,6.08,0.39,2.6,3.52,5.2,4.12,-128.61,-4.24,5.93,25.55,-23.42,15.6,6.0,24.0,2580,140,,,,641525,,,0,0,5,bottom
2019-09-02,565576,9,660813,R,641525,R,77,Single,5,4,190901_203422,382d12f5-4cf1-42dd-86ed-672c7b502060,1,2,1,B,Ball,SI,14,2.0,3.48,1.63,98.6,91.0,,-1.34,50.0,5.9,1.03,1.67,-8.57,4.08,9.88,-143.08,-7.82,-17.92,30.13,-23.63,32.4,6.0,24.0,1864,245,,,,641525,,,0,0,5,bottom
2019-09-02,565576,9,660813,R,641525,R,77,Single,5,5,190901_203451,a6d9e224-3bf9-4e33-82a4-fd227bc24a76,2,2,1,X,In play- no out,SL,3,2.0,3.31,1.63,89.9,83.2,,-1.42,50.0,6.15,0.45,2.82,4.52,4.24,3.34,-130.79,-3.84,7.91,25.17,-24.76,18.0,6.0,24.0,,129,,,,641525,,,0,0,5,bottom
2019-09-02,565576,9,660813,R,474568,R,78,Single,4,1,190901_203533,68c112b8-1d2f-4847-a06d-aefea269e19a,0,0,1,S,Called Strike,SI,9,2.0,3.31,1.59,99.3,91.5,,-1.34,50.0,5.94,0.68,1.68,-7.56,7.33,8.6,-144.15,-9.26,-16.05,30.87,-16.62,37.2,4.8,24.0,2049,225,641525,,,474568,,641525,0,0,5,bottom
