Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-06,567060,1,669060,R,457705,R,4,Flyout,6,1,190330_201328,0728f7a8-8393-4788-be67-ee58f05841c6,0,0,0,S,Called Strike,FF,4,2.0,3.24,1.55,91.1,82.3,,-2.8,50.0,5.39,-0.24,2.17,-4.84,10.11,8.27,-132.27,-5.57,-8.45,31.7,-14.51,22.8,3.6,24.0,2195,201,,,,,,,0,1,1,bottom
2019-09-06,567060,1,669060,R,457705,R,4,Flyout,6,2,190330_201342,07a98723-fbbe-42f3-bce0-7aa9e79b9d7d,0,1,0,B,Ball,FF,14,2.0,3.38,1.62,91.3,82.2,,-2.76,50.0,5.18,0.76,1.3,-5.38,11.02,10.95,-132.24,-7.56,-9.37,32.63,-12.99,24.0,3.6,24.0,2200,200,,,,,,,0,1,1,bottom
2019-09-06,567060,1,669060,R,457705,R,4,Flyout,6,3,190330_201355,9140b0c4-e69c-4978-a636-c11c8d8d7f67,1,1,0,S,Foul,CU,14,2.0,3.37,1.51,80.9,73.9,,-3.08,50.0,5.24,0.12,1.39,1.78,-1.71,6.86,-117.46,-1.41,2.46,24.58,-34.54,6.0,10.8,24.0,2064,58,,,,,,,0,1,1,bottom
2019-09-06,567060,1,669060,R,457705,R,4,Flyout,6,4,190330_201423,92c2b56f-621c-4d12-bf9d-9d38c9ef1a1a,1,1,0,S,Foul,CU,8,2.0,3.29,1.51,78.5,72.3,,-3.02,50.0,5.24,-0.19,1.87,1.81,-2.03,5.85,-114.07,0.15,2.38,21.18,-34.85,6.0,10.8,24.0,2297,55,,,,,,,0,1,1,bottom
2019-09-06,567060,1,669060,R,457705,R,4,Flyout,6,5,190330_201445,a32009d0-4342-4744-8811-78e4ef8a3f18,1,2,0,B,Ball,FF,11,2.0,3.33,1.59,91.9,83.8,,-2.88,50.0,5.58,-0.91,4.73,-5.95,8.19,7.24,-133.63,1.05,-10.76,28.56,-17.36,28.8,4.8,24.0,2266,211,,,,,,,0,1,1,bottom
2019-09-06,567060,1,669060,R,457705,R,4,Flyout,6,6,190330_201500,925d3bb9-e463-4a8d-a187-3ef0830ae8c9,2,2,0,X,In play- out(s),CH,13,2.0,3.35,1.56,83.2,76.6,,-2.9,50.0,5.34,-0.72,1.77,-11.17,0.82,8.69,-120.93,-2.05,-16.58,22.95,-30.96,25.2,9.6,24.0,1827,265,,,,,,,0,1,1,bottom
2019-09-06,567060,1,669060,R,516416,R,5,Double,3,1,190330_201540,cebea44a-ab89-4b52-b933-6da5b7133b01,0,0,1,B,Ball,FF,11,2.0,3.26,1.61,92.5,83.9,,-2.75,50.0,5.3,-0.73,3.36,-4.5,9.68,6.9,-134.42,-2.38,-8.17,30.98,-14.59,24.0,3.6,24.0,2225,200,,,,,516416,,0,0,1,bottom
2019-09-06,567060,1,669060,R,516416,R,5,Double,3,2,190330_201554,a05ffbc4-5161-46f3-9d1f-e83d9948445f,1,0,1,B,Ball,FF,14,2.0,3.18,1.57,91.3,83.4,,-2.75,50.0,5.21,0.93,1.66,-6.25,8.78,11.74,-132.3,-6.1,-11.06,28.41,-16.62,25.2,4.8,24.0,2188,210,,,,,516416,,0,0,1,bottom
2019-09-06,567060,1,669060,R,516416,R,5,Double,3,3,190330_201618,a350ec5a-c958-4592-9504-8f406937b041,2,0,1,X,In play- no out,FF,8,2.0,3.12,1.5,91.6,83.6,,-2.89,50.0,5.16,0.2,2.01,-6.76,9.21,10.43,-132.98,-5.27,-12.09,28.77,-15.69,30.0,4.8,24.0,2199,212,,,,,516416,,0,0,1,bottom
2019-09-06,567060,1,669060,R,547180,L,6,Double Play,6,1,190330_201719,317edfee-08db-4326-ad53-a0b708da4c41,0,0,1,S,Called Strike,FF,13,2.0,3.13,1.46,91.7,83.8,,-2.84,50.0,5.25,-1.04,2.38,-4.59,8.06,6.3,-133.29,-4.2,-8.26,28.76,-17.69,20.4,4.8,24.0,2165,206,,516416,,,,,0,2,1,bottom
2019-09-06,567060,1,669060,R,547180,L,6,Double Play,6,2,190330_201746,04e8f00d-189b-45f3-bb15-23393e3e0a64,0,1,1,B,Ball,CH,13,2.0,2.96,1.49,83.7,76.9,,-2.71,50.0,5.19,-1.1,1.4,-11.13,1.91,7.34,-121.68,-3.01,-16.68,23.98,-29.31,27.6,9.6,24.0,1852,260,,516416,,,,,0,2,1,bottom
2019-09-06,567060,1,669060,R,547180,L,6,Double Play,6,3,190330_201815,547bce8b-4eba-4984-9d2f-414bf2467dd9,1,1,1,S,Swinging Strike,FF,1,2.0,3.03,1.48,92.0,83.8,,-2.64,50.0,5.42,-0.48,3.32,-6.33,8.15,7.88,-133.8,-2.22,-11.45,29.65,-17.45,28.8,4.8,24.0,2133,213,,516416,,,,,0,2,1,bottom
2019-09-06,567060,1,669060,R,547180,L,6,Double Play,6,4,190330_201853,e7af24e9-fe94-478d-810d-b4a2a771136b,1,1,1,S,Foul,FF,2,2.0,2.87,1.61,93.9,85.7,,-2.55,50.0,5.39,-0.11,3.04,-6.96,8.38,9.0,-136.36,-3.28,-13.1,29.8,-16.39,33.6,4.8,24.0,2270,216,,516416,,,,,0,2,1,bottom
2019-09-06,567060,1,669060,R,547180,L,6,Double Play,6,5,190330_201926,a17f6ba8-b873-4b99-a6b4-155126c189f9,1,2,1,B,Ball,CH,13,2.0,2.9,1.4,83.4,76.2,,-2.86,50.0,5.36,-2.46,2.44,-11.8,0.85,4.63,-121.43,-0.5,-17.51,25.25,-30.91,27.6,9.6,24.0,1938,265,,516416,,,,,0,2,1,bottom
2019-09-06,567060,1,669060,R,547180,L,6,Double Play,6,6,190330_202016,96f20158-d314-48f7-8fb0-c51f39379f63,2,2,1,X,In play- out(s),FF,3,2.0,2.92,1.46,93.5,85.0,,-2.64,50.0,5.4,0.25,3.41,-6.69,9.02,10.05,-135.74,-2.44,-12.43,30.82,-15.4,32.4,3.6,24.0,2225,211,,516416,,,,,0,2,1,bottom
