Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-18,567180,1,615698,R,645277,L,4,Triple,2,1,190501_232948,92c1f86d-fb9f-4dfa-b4f9-1bcb551eb113,0,0,0,B,Ball,FT,11,2.0,3.25,1.55,94.9,86.8,,-1.39,50.0,6.32,-1.49,2.99,-9.07,7.83,2.93,-138.05,-5.93,-17.48,30.98,-17.07,42.0,4.8,24.0,2044,230,,,,,,645277,0,0,0,bottom
2019-09-18,567180,1,615698,R,645277,L,4,Triple,2,2,190501_233015,c0d9c782-7bb7-4abd-a882-038b65436919,1,0,0,X,In play- no out,FT,9,2.0,3.2,1.53,94.3,86.4,,-1.15,50.0,6.12,0.4,1.6,-9.9,9.05,7.65,-136.77,-9.44,-18.8,29.42,-14.98,45.6,4.8,24.0,2141,228,,,,,,645277,0,0,0,bottom
2019-09-18,567180,1,615698,R,621020,R,5,Sac Fly,4,1,190501_233114,ae699920-5507-4f49-be02-584af8b6cca9,0,0,0,S,Swinging Strike,FF,6,2.0,3.48,1.62,95.8,87.6,,-1.12,50.0,6.23,0.57,2.52,-5.14,10.45,6.5,-139.17,-8.08,-10.09,31.02,-11.67,32.4,3.6,24.0,2220,204,,,645277,,,,1,1,0,bottom
2019-09-18,567180,1,615698,R,621020,R,5,Sac Fly,4,2,190501_233136,4985e796-b803-449e-89c6-bb0cfc1a5977,0,1,0,B,Ball,FT,13,2.0,3.48,1.63,95.0,87.4,,-1.1,50.0,6.05,-0.43,1.18,-8.29,8.84,4.77,-138.02,-10.54,-16.05,29.74,-15.07,40.8,4.8,24.0,2063,224,,,645277,,,,1,1,0,bottom
2019-09-18,567180,1,615698,R,621020,R,5,Sac Fly,4,3,190501_233155,5cc9c83b-5e04-44fb-914f-d21eceb5e024,1,1,0,B,Ball,SL,14,2.0,3.5,1.64,86.5,79.9,,-1.27,50.0,6.16,1.34,1.39,1.69,1.24,5.94,-125.68,-5.76,2.7,24.9,-30.18,7.2,8.4,24.0,2372,106,,,645277,,,,1,1,0,bottom
2019-09-18,567180,1,615698,R,621020,R,5,Sac Fly,4,4,190501_233227,bb7d8dc9-35d4-49d7-8199-a3a4275736a4,2,1,0,X,In play- run(s),FF,8,2.0,3.47,1.61,95.8,87.7,,-1.02,50.0,6.16,0.03,1.82,-4.91,9.63,4.65,-139.07,-9.51,-9.63,30.92,-13.3,28.8,3.6,24.0,2202,206,,,645277,,,,1,1,0,bottom
2019-09-18,567180,1,615698,R,518692,L,6,Double,5,1,190501_233259,e5cd39d2-9f43-47ae-be01-a28d3c31e19d,0,0,1,S,Swinging Strike,CH,13,2.0,3.57,1.73,85.5,78.8,,-1.5,50.0,6.22,-0.08,1.56,-4.94,7.32,5.07,-124.28,-7.23,-7.76,23.88,-20.68,16.8,6.0,24.0,1398,213,,,,,518692,,0,0,-1,bottom
2019-09-18,567180,1,615698,R,518692,L,6,Double,5,2,190501_233314,0c5827d0-fe81-4908-8e6c-ae627e944bc9,0,1,1,B,Ball,CH,13,2.0,3.52,1.75,86.0,79.7,,-1.44,50.0,6.14,-1.28,1.4,-6.31,7.29,2.42,-125.02,-7.62,-10.08,22.97,-20.53,24.0,6.0,24.0,1557,222,,,,,518692,,0,0,-1,bottom
2019-09-18,567180,1,615698,R,518692,L,6,Double,5,3,190501_233330,99204a33-47a7-48eb-8d21-0a584d1fec91,1,1,1,S,Foul,FF,6,2.0,3.48,1.73,95.6,87.7,,-1.27,50.0,6.15,0.43,2.76,-5.57,9.09,6.67,-138.89,-6.73,-10.93,29.64,-14.33,31.2,3.6,24.0,2205,209,,,,,518692,,0,0,-1,bottom
2019-09-18,567180,1,615698,R,518692,L,6,Double,5,4,190501_233352,fbe61a1b-3688-4872-bdd2-06bce816421d,1,2,1,B,Ball,CH,13,2.0,3.52,1.73,86.1,79.9,,-1.37,50.0,6.03,-0.13,0.88,-4.67,8.34,4.6,-125.1,-9.0,-7.48,22.71,-18.82,18.0,6.0,24.0,1512,209,,,,,518692,,0,0,-1,bottom
2019-09-18,567180,1,615698,R,518692,L,6,Double,5,5,190501_233421,3061f7eb-14e7-4606-b08c-d7db8a880e87,2,2,1,X,In play- no out,FT,13,2.0,3.5,1.73,95.7,88.7,,-1.35,50.0,6.07,-0.67,1.26,-8.34,7.28,4.86,-139.12,-10.07,-16.53,27.98,-17.75,38.4,4.8,24.0,2067,230,,,,,518692,,0,0,-1,bottom
