Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-14,567363,1,592761,L,642708,R,0,Strikeout,5,1,190401_231013,53943cd4-2c6d-4df8-94d0-243a646ef8d6,0,0,0,B,Ball,FF,14,2.0,3.49,1.74,92.4,84.4,,1.89,50.0,5.96,0.75,1.21,7.32,11.4,-5.52,-133.88,-10.38,13.27,29.07,-11.49,42.0,3.6,24.0,2594,147,,,,,,,0,1,0,top
2019-08-14,567363,1,592761,L,642708,R,0,Strikeout,5,2,190401_231026,479e561e-5382-46dc-a008-df9e112a1339,1,0,0,S,Called Strike,FF,14,2.0,3.47,1.7,92.9,84.9,,1.82,50.0,5.83,0.63,1.26,9.2,10.39,-6.34,-134.56,-9.69,16.89,28.9,-13.11,45.6,4.8,24.0,2576,138,,,,,,,0,1,0,top
2019-08-14,567363,1,592761,L,642708,R,0,Strikeout,5,3,190401_231041,4be71010-c03d-4197-8b46-7d64c88e1b1f,1,1,0,S,Foul,FF,8,2.0,3.47,1.59,94.0,85.8,,1.68,50.0,5.94,-0.11,1.86,8.2,10.62,-7.69,-136.2,-8.71,15.4,29.9,-12.23,44.4,4.8,24.0,2545,143,,,,,,,0,1,0,top
2019-08-14,567363,1,592761,L,642708,R,0,Strikeout,5,4,190401_231056,180fdd2a-86fc-4152-9b63-4d4c5e38b7ea,1,2,0,B,Ball,SL,13,2.0,3.33,1.54,84.6,78.1,,1.74,50.0,5.91,-1.83,-0.15,0.65,0.78,-8.83,-122.43,-8.22,0.99,24.38,-30.99,1.2,8.4,24.0,2372,279,,,,,,,0,1,0,top
2019-08-14,567363,1,592761,L,642708,R,0,Strikeout,5,5,190401_231117,8e9a1923-6818-476e-bb03-3e9e2a40b248,2,2,0,S,Swinging Strike,FF,3,2.0,3.33,1.59,94.4,86.1,,1.64,50.0,6.12,0.68,3.36,7.96,10.91,-5.41,-137.11,-5.38,15.15,30.36,-11.4,48.0,3.6,24.0,2549,144,,,,,,,0,1,0,top
2019-08-14,567363,1,592761,L,624413,R,1,Strikeout,5,1,190401_231144,f5021e53-124e-4382-8259-828d5acb2635,0,0,1,S,Swinging Strike,FF,2,2.0,3.4,1.6,94.0,85.3,,1.37,50.0,6.23,-0.21,3.32,8.24,10.19,-7.11,-136.32,-5.39,15.44,31.31,-13.09,44.4,4.8,24.0,2382,142,,,,,,,0,1,0,top
2019-08-14,567363,1,592761,L,624413,R,1,Strikeout,5,2,190401_231201,f5412755-15d9-44ff-8258-a2bec338c6af,0,1,1,B,Ball,FF,12,2.0,3.35,1.44,94.5,85.8,,1.67,50.0,6.22,1.08,3.74,7.86,10.37,-4.34,-137.22,-4.39,14.9,31.83,-12.5,45.6,3.6,24.0,2503,143,,,,,,,0,1,0,top
2019-08-14,567363,1,592761,L,624413,R,1,Strikeout,5,3,190401_231216,0d735655-af48-43d2-add9-097c29a9c48a,1,1,1,B,Ball,SL,14,2.0,3.21,1.46,84.6,78.4,,1.99,50.0,6.11,1.33,1.92,0.71,3.1,-1.82,-122.99,-4.62,1.1,22.06,-27.38,1.2,7.2,24.0,2490,169,,,,,,,0,1,0,top
2019-08-14,567363,1,592761,L,624413,R,1,Strikeout,5,4,190401_231231,b2cbd32f-eaa6-4309-b58c-def9a897c3fc,2,1,1,S,Swinging Strike,CH,13,2.0,3.49,1.6,84.5,77.8,,1.7,50.0,6.07,-0.07,1.27,10.47,6.57,-7.58,-122.58,-7.07,15.99,23.34,-22.13,32.4,7.2,24.0,2005,121,,,,,,,0,1,0,top
2019-08-14,567363,1,592761,L,624413,R,1,Strikeout,5,5,190401_231249,879ec10e-727e-43c9-9be6-74b296dabe41,2,2,1,S,Swinging Strike,CH,14,2.0,3.49,1.6,84.3,77.1,,1.9,50.0,6.0,1.48,1.98,10.84,6.46,-4.42,-122.38,-5.07,16.4,24.75,-22.4,33.6,7.2,24.0,1951,120,,,,,,,0,1,0,top
