Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-24,565702,1,607074,L,593160,R,3,Lineout,2,1,190328_220735,f760898f-bd37-4824-b2df-3d650662f44b,0,0,0,S,Foul,FF,5,2.0,3.37,1.53,90.6,84.3,,1.99,50.0,6.7,0.05,2.36,3.09,7.63,-6.13,-131.67,-7.83,5.52,23.54,-18.56,13.2,4.8,24.0,2010,160,,,,,,,0,1,0,bottom
2019-08-24,565702,1,607074,L,593160,R,3,Lineout,2,2,190328_220801,528c7531-f1c6-4c72-be6f-291112df39ca,0,1,0,X,In play- out(s),SL,8,2.0,3.41,1.56,82.7,77.4,,2.02,50.0,6.75,-0.16,1.67,-5.16,0.79,-3.6,-120.24,-5.63,-7.65,20.35,-31.0,14.4,8.4,24.0,2414,266,,,,,,,0,1,0,bottom
2019-08-24,565702,1,607074,L,609275,R,4,Strikeout,6,1,190328_220836,8535c02e-7404-4591-aeb0-fbf2d5d45aff,0,0,1,B,Ball,FF,12,2.0,3.41,1.56,92.1,85.4,,2.12,50.0,6.9,2.21,3.35,4.6,8.99,-1.34,-133.95,-6.52,8.48,24.86,-15.59,26.4,3.6,24.0,2141,152,,,,,,,0,1,0,bottom
2019-08-24,565702,1,607074,L,609275,R,4,Strikeout,6,2,190328_220850,ebc4077f-00f3-42c6-ac30-6a604edaf2f9,1,0,1,S,Called Strike,FF,3,2.0,3.41,1.56,91.0,83.9,,1.92,50.0,6.73,0.54,3.03,4.0,10.21,-4.97,-132.28,-7.03,7.15,25.86,-13.93,21.6,3.6,24.0,2023,160,,,,,,,0,1,0,bottom
2019-08-24,565702,1,607074,L,609275,R,4,Strikeout,6,3,190328_220903,bd53a965-116b-445d-b026-ff5a015f463a,1,1,1,S,Swinging Strike,FF,4,2.0,3.41,1.56,90.7,83.5,,1.98,50.0,6.75,-0.48,2.75,5.18,10.28,-8.16,-131.66,-7.74,9.16,26.1,-13.99,26.4,3.6,24.0,2082,155,,,,,,,0,1,0,bottom
2019-08-24,565702,1,607074,L,609275,R,4,Strikeout,6,4,190328_220920,d5522eef-db6f-40db-80ad-32b8921f0439,1,1,1,S,Foul,FF,11,2.0,3.41,1.56,91.5,84.0,,1.81,50.0,6.75,-0.76,2.75,4.64,9.35,-8.31,-132.88,-7.58,8.31,27.77,-15.41,21.6,3.6,24.0,2115,156,,,,,,,0,1,0,bottom
2019-08-24,565702,1,607074,L,609275,R,4,Strikeout,6,5,190328_220938,d9bec677-9ff5-43a1-8c4a-2dd2f815873a,1,1,1,S,Foul,SL,13,2.0,3.41,1.56,84.5,79.1,,2.08,50.0,6.76,-0.7,1.51,-2.12,-2.3,-6.1,-122.82,-5.48,-3.29,21.39,-35.73,6.0,9.6,24.0,2405,314,,,,,,,0,1,0,bottom
2019-08-24,565702,1,607074,L,609275,R,4,Strikeout,6,6,190328_220956,4e2083eb-d2f6-49bd-96b0-95e373a7ff25,1,2,1,S,Swinging Strike (Blocked),SL,13,2.0,3.41,1.56,82.9,77.5,,2.03,50.0,6.59,-1.0,0.17,-3.07,-1.63,-6.25,-120.29,-8.03,-4.53,21.75,-34.58,8.4,9.6,24.0,2595,302,,,,,,,0,1,0,bottom
2019-08-24,565702,1,607074,L,460086,L,5,Flyout,4,1,190328_221037,43874a38-1248-4ac3-a003-b7f86d84259d,0,0,2,B,Ball,FF,14,2.0,3.24,1.54,86.1,81.1,,2.46,50.0,6.4,0.11,0.65,3.24,8.58,-6.93,-124.97,-10.68,5.27,18.77,-18.24,12.0,4.8,24.0,1878,161,,,,,,,0,1,0,bottom
2019-08-24,565702,1,607074,L,460086,L,5,Flyout,4,2,190328_221105,a1467515-6e30-44e2-9bee-df7a13d1034e,1,0,2,S,Foul,FF,14,2.0,3.41,1.56,91.5,85.4,,2.08,50.0,6.74,0.26,1.54,5.03,8.2,-6.55,-132.83,-10.49,9.16,23.33,-17.23,22.8,4.8,24.0,2240,149,,,,,,,0,1,0,bottom
