Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-08-21,490606,1,608334,R,572821,R,0,Groundout,2,1,170822_012215,0aded14f-ad94-4fd9-be6e-6b6fed03316c,0,0,0,B,Ball,FF,14,2.0,2.9,1.25,94.2,86.8,80.1,-2.05,50.0,5.34,0.85,1.3,-7.5,9.95,10.48,-136.48,-8.48,-14.3,27.11,-13.22,39.6,3.6,24.0,2349,217,,,,,,,0,1,0,top
2017-08-21,490606,1,608334,R,572821,R,0,Groundout,2,2,170822_012231,9bc384d8-da26-4f4c-a3f0-0b445d1ffba3,1,0,0,X,In play- out(s),FF,3,2.0,2.77,1.08,94.1,86.2,41.04,-1.96,50.0,5.49,0.38,2.35,-7.25,10.33,8.88,-136.52,-6.16,-13.76,28.47,-12.57,40.8,3.6,24.0,2392,214,,,,,,,0,1,0,top
2017-08-21,490606,1,608334,R,592696,L,1,Pop Out,3,1,170822_012328,21f01456-6f12-4b5d-97e6-1c6340893899,0,0,1,B,Ball,FF,7,2.0,3.14,1.5,94.0,86.5,65.65,-2.18,50.0,5.42,-0.48,1.64,-6.34,10.75,6.82,-136.35,-8.03,-12.05,27.19,-11.74,38.4,3.6,24.0,2332,211,,,,,,,0,1,0,top
2017-08-21,490606,1,608334,R,592696,L,1,Pop Out,3,2,170822_012346,a340280f-da69-47a3-8f1c-7b4cc95e3725,1,1,1,F,Foul,FF,13,2.0,3.03,1.32,94.5,86.5,39.62,-2.12,50.0,5.37,-0.09,1.31,-6.7,11.1,7.86,-136.87,-8.94,-12.77,28.82,-11.01,40.8,3.6,24.0,2374,211,,,,,,,0,1,0,top
2017-08-21,490606,1,608334,R,592696,L,1,Pop Out,3,3,170822_012408,8427dd98-282c-4ae8-9458-f7c390b8fea2,1,1,1,X,In play- out(s),CH,13,2.0,3.03,1.32,87.4,80.2,47.91,-2.32,50.0,5.34,-1.1,2.04,-9.64,4.24,6.19,-126.9,-3.26,-15.77,25.13,-25.24,30.0,7.2,24.0,1398,250,,,,,,,0,1,0,top
2017-08-21,490606,1,608334,R,408045,L,2,Lineout,2,1,170822_012447,f540ed28-658d-4186-ae3d-8ec6e579e1bb,0,1,2,C,Called Strike,FF,13,2.0,3.37,1.63,95.1,87.3,61.95,-2.26,50.0,5.46,-0.73,2.44,-7.92,10.19,7.0,-138.07,-6.02,-15.39,28.75,-12.37,45.6,3.6,24.0,2321,218,,,,,,,0,1,0,top
2017-08-21,490606,1,608334,R,408045,L,2,Lineout,2,2,170822_012508,f46de3a8-89fa-4258-b6fa-0e140da7c11c,0,1,2,X,In play- out(s),CU,8,2.0,3.36,1.51,82.0,76.2,18.66,-2.12,50.0,5.63,-0.13,2.12,3.5,-2.35,3.63,-119.21,-0.76,5.09,20.8,-35.59,8.4,9.6,24.0,2681,51,,,,,,,0,1,0,top
2017-08-21,490606,2,608334,R,573627,L,6,Walk,10,1,170822_013214,244ac847-d894-42fa-bd63-96db279fdeac,0,0,0,B,Ball,FF,14,2.0,3.53,1.6,93.6,85.7,55.1,-1.81,50.0,5.4,1.85,1.46,-4.32,13.55,11.29,-135.4,-9.27,-8.06,28.13,-6.89,33.6,2.4,24.0,2514,194,,,,573627,,,0,0,0,top
2017-08-21,490606,2,608334,R,573627,L,6,Walk,10,2,170822_013228,c0d70650-73d5-4c58-b98b-14e89271ac3d,1,0,0,B,Ball,FF,14,2.0,3.61,1.64,93.6,86.2,62.73,-2.0,50.0,5.42,0.82,1.75,-7.64,9.63,10.26,-135.62,-7.24,-14.39,26.58,-14.04,38.4,4.8,24.0,2454,218,,,,573627,,,0,0,0,top
2017-08-21,490606,2,608334,R,573627,L,6,Walk,10,3,170822_013242,554cadac-454e-4d6a-9082-f2b3340ea65a,2,0,0,S,Swinging Strike,CH,14,2.0,3.49,1.52,87.9,80.6,52.31,-2.18,50.0,5.24,0.47,1.24,-9.7,8.15,9.86,-127.22,-6.34,-15.99,24.69,-18.73,36.0,6.0,24.0,1879,231,,,,573627,,,0,0,0,top
