Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-08-04,531074,1,664856,R,605141,R,3,Groundout,4,1,180804_201301,ffcbde34-1e7c-4ca9-8df7-019fb1def654,0,0,0,S,Called Strike,FF,3,2.0,3.31,1.46,91.8,84.8,53.1,-1.36,50.0,5.56,0.27,3.14,-3.69,8.02,5.59,-133.74,-3.11,-6.75,25.92,-17.5,18.0,3.6,24.0,2273,201,,,,,,,0,1,0,bottom
2018-08-04,531074,1,664856,R,605141,R,3,Groundout,4,2,180804_201313,7d726cca-f241-42dc-952e-6b6acc64609e,0,1,0,B,Ball,FF,12,2.0,3.22,1.55,94.4,87.1,16.69,-1.43,50.0,5.47,1.55,2.53,-1.76,9.18,8.71,-137.16,-5.34,-3.38,27.52,-14.51,6.0,3.6,24.0,2429,185,,,,,,,0,1,0,bottom
2018-08-04,531074,1,664856,R,605141,R,3,Groundout,4,3,180804_201327,81916821-e54e-4a27-984e-5010d27913ef,1,1,0,B,Ball,FF,14,2.0,3.22,1.52,93.0,86.0,22.13,-1.28,50.0,5.4,1.49,1.95,-2.83,7.18,8.41,-135.21,-5.75,-5.3,26.39,-18.73,10.8,4.8,24.0,2391,196,,,,,,,0,1,0,bottom
2018-08-04,531074,1,664856,R,605141,R,3,Groundout,4,4,180804_201351,d1180f83-9757-4c57-b252-2aded23bf12c,2,1,0,X,In play- out(s),FF,9,2.0,3.37,1.51,93.3,86.5,43.14,-1.6,50.0,5.42,0.52,1.82,-3.9,7.17,7.1,-135.67,-6.24,-7.37,25.71,-18.62,16.8,4.8,24.0,2334,205,,,,,,,0,1,0,bottom
2018-08-04,531074,1,664856,R,643217,L,4,Single,2,1,180804_201419,f709c4de-3a9b-46ff-af8b-e304e3042d34,0,0,1,B,Ball,FF,11,2.0,3.44,1.46,93.8,86.4,36.41,-1.68,50.0,5.49,-1.56,2.83,-4.56,8.22,1.92,-136.55,-4.15,-8.68,27.66,-16.52,25.2,3.6,24.0,2450,208,,,,643217,,,0,0,0,bottom
2018-08-04,531074,1,664856,R,643217,L,4,Single,2,2,180804_201436,a21c1735-cbe5-4acb-9200-0fb9d5ad3af9,1,0,1,X,In play- no out,FF,11,2.0,3.3,1.5,93.4,86.0,39.07,-1.48,50.0,5.64,-0.17,3.56,-0.53,9.58,3.72,-135.98,-2.98,-1.01,27.53,-14.08,1.2,3.6,24.0,2419,180,,,,643217,,,0,0,0,bottom
2018-08-04,531074,1,664856,R,519048,L,5,Home Run,5,1,180804_201534,f6bb5de5-9eaf-4fd3-b440-899f3c390d2e,0,0,1,B,Ball,FF,11,2.0,3.55,1.74,93.9,86.4,35.9,-1.53,50.0,5.61,-1.32,4.03,-2.31,8.69,1.37,-136.76,-1.43,-4.4,27.78,-15.58,14.4,3.6,24.0,2374,194,643217,,,,,,2,0,0,bottom
2018-08-04,531074,1,664856,R,519048,L,5,Home Run,5,2,180804_201557,af77b075-5a29-4e41-9a1a-4aaf246237e2,1,0,1,B,Ball,FF,14,2.0,3.49,1.68,92.6,85.4,62.21,-1.25,50.0,5.41,1.07,1.44,-1.6,10.04,6.75,-134.64,-8.03,-2.97,27.02,-13.59,6.0,3.6,24.0,2329,185,643217,,,,,,2,0,0,bottom
2018-08-04,531074,1,664856,R,519048,L,5,Home Run,5,3,180804_201635,ed7acb9c-8c1e-4785-bb6f-2b26dcce3347,2,0,1,S,Called Strike,CU,13,2.0,3.33,1.52,75.8,69.7,41.6,-1.56,50.0,5.68,-0.91,1.96,9.58,-3.73,-1.3,-110.31,0.37,11.73,20.81,-36.74,16.8,13.2,24.0,2648,69,643217,,,,,,2,0,0,bottom
2018-08-04,531074,1,664856,R,519048,L,5,Home Run,5,4,180804_201704,12728056-4835-41f7-a3b4-779a244d525c,2,1,1,X,In play- run(s),SL,8,2.0,3.61,1.7,82.2,76.1,23.6,-1.63,50.0,5.46,0.11,1.88,5.11,0.44,2.55,-119.72,-1.83,7.47,21.85,-31.53,14.4,9.6,24.0,2823,94,643217,,,,,,2,0,0,bottom
2018-08-04,531074,1,664856,R,502110,R,6,Lineout,4,1,180804_201754,21048e89-2fbd-4bc7-ba70-9425cde57142,0,0,1,S,Called Strike,CU,6,2.0,3.77,1.82,77.4,71.3,66.79,-1.34,50.0,5.76,0.33,3.08,4.68,-4.64,2.36,-112.49,2.62,6.01,20.18,-38.13,9.6,12.0,24.0,2649,51,,,,,,,0,1,-2,bottom
2018-08-04,531074,1,664856,R,502110,R,6,Lineout,4,2,180804_201817,3dad2488-0192-4387-9231-fcead57b66b9,0,1,1,S,Foul,FF,7,2.0,3.49,1.6,92.9,85.3,27.64,-1.35,50.0,5.47,-0.33,2.22,-2.92,9.2,3.74,-135.23,-5.86,-5.42,28.44,-15.07,15.6,3.6,24.0,2340,196,,,,,,,0,1,-2,bottom
2018-08-04,531074,1,664856,R,502110,R,6,Lineout,4,3,180804_201834,05c6d307-9b76-47ea-8a56-e5757b069241,0,1,1,S,Foul,CU,8,2.0,3.49,1.6,78.3,71.8,18.57,-1.48,50.0,5.57,0.12,1.92,6.84,-3.37,1.62,-113.86,-0.02,8.92,22.39,-36.56,14.4,12.0,24.0,2716,65,,,,,,,0,1,-2,bottom
2018-08-04,531074,1,664856,R,502110,R,6,Lineout,4,4,180804_201902,a896d4d7-e10c-4133-90d0-1230b0fdfc6f,0,2,1,X,In play- out(s),FF,3,2.0,3.49,1.6,93.5,86.0,31.75,-1.34,50.0,5.51,0.29,3.17,-2.43,8.59,5.26,-136.11,-3.35,-4.59,27.93,-15.95,12.0,3.6,24.0,2388,192,,,,,,,0,1,-2,bottom
2018-08-04,531074,1,664856,R,593428,R,7,Flyout,5,1,180804_201934,4dddb631-48b3-47a3-92f4-926c3275fbc4,0,0,2,S,Called Strike,FF,14,2.0,3.62,1.68,94.0,85.9,60.8,-1.34,50.0,5.5,0.96,2.57,-3.98,8.29,7.61,-136.67,-4.84,-7.53,30.32,-16.5,18.0,3.6,24.0,2372,201,,,,,,,0,1,-2,bottom
2018-08-04,531074,1,664856,R,593428,R,7,Flyout,5,2,180804_201948,f254a889-d6be-4c29-b55a-a01936632ebb,0,1,2,S,Called Strike,FF,9,2.0,3.62,1.68,93.4,85.6,44.7,-1.31,50.0,5.36,0.5,1.88,-3.76,7.97,6.17,-135.79,-6.12,-7.03,29.26,-17.26,16.8,4.8,24.0,2328,202,,,,,,,0,1,-2,bottom
2018-08-04,531074,1,664856,R,593428,R,7,Flyout,5,3,180804_202001,7d3dbddf-156c-4355-9e12-fd3201c28fb3,0,2,2,B,Ball,CU,14,2.0,3.62,1.79,81.3,74.8,3.73,-1.55,50.0,5.3,2.19,-0.01,9.79,-1.23,5.74,-118.13,-5.02,13.67,25.14,-33.89,22.8,10.8,24.0,2978,80,,,,,,,0,1,-2,bottom
2018-08-04,531074,1,664856,R,593428,R,7,Flyout,5,4,180804_202022,a117dedc-7bc4-4629-8955-ab116d4beae1,1,1,2,S,Foul,FF,12,2.0,3.62,1.59,92.7,85.5,55.17,-1.43,50.0,5.46,0.74,3.75,-1.05,7.72,6.17,-135.04,-1.27,-1.96,26.7,-17.77,2.4,3.6,24.0,2294,182,,,,,,,0,1,-2,bottom
2018-08-04,531074,1,664856,R,593428,R,7,Flyout,5,5,180804_202045,3f4a045a-2e6c-4c78-b431-025f62a88d96,1,2,2,X,In play- out(s),CU,14,2.0,3.62,1.59,79.2,73.0,33.24,-1.43,50.0,5.57,1.2,2.48,8.51,-1.83,3.48,-115.2,0.6,11.43,21.55,-34.63,19.2,10.8,24.0,2753,80,,,,,,,0,1,-2,bottom
2018-08-04,531074,2,664856,R,456488,R,11,Groundout,1,1,180804_203041,9d033306-8ebe-4823-9078-5712b545f1a7,0,0,0,X,In play- out(s),SL,14,2.0,3.37,1.53,83.8,77.9,70.76,-1.4,50.0,5.5,0.35,1.4,3.92,0.06,3.01,-121.93,-3.27,5.96,21.78,-32.08,10.8,8.4,24.0,2565,87,,,,,,,0,1,-2,bottom
2018-08-04,531074,2,664856,R,571788,L,12,Groundout,6,1,180804_203108,20cde470-071d-416e-b1cb-5a391a4dfde2,0,0,1,B,Ball,FF,14,2.0,3.3,1.55,93.6,86.4,58.36,-1.25,50.0,5.34,1.13,0.89,-4.07,9.42,7.85,-135.94,-9.31,-7.68,27.39,-14.39,20.4,3.6,24.0,2441,200,,,,,,,0,1,-2,bottom
2018-08-04,531074,2,664856,R,571788,L,12,Groundout,6,2,180804_203123,f8492bca-688f-4909-b2d3-5c35fcb91794,1,0,1,B,Ball,FF,14,2.0,3.2,1.57,93.5,86.3,62.04,-1.42,50.0,5.36,1.16,1.41,-3.45,8.37,8.13,-135.78,-7.57,-6.5,27.04,-16.41,15.6,3.6,24.0,2428,198,,,,,,,0,1,-2,bottom
2018-08-04,531074,2,664856,R,571788,L,12,Groundout,6,3,180804_203137,a699f120-cef4-4a9c-8b5d-492dde09d4aa,2,0,1,S,Called Strike,FF,13,2.0,3.3,1.57,91.6,84.4,37.1,-1.51,50.0,5.24,-0.17,1.55,-3.3,8.76,4.67,-133.24,-6.66,-5.97,26.57,-16.31,15.6,3.6,24.0,2219,198,,,,,,,0,1,-2,bottom
2018-08-04,531074,2,664856,R,571788,L,12,Groundout,6,4,180804_203151,eb1edd48-d414-409e-8c75-f63b984ec6ce,2,1,1,S,Called Strike,FF,7,2.0,3.31,1.46,92.3,85.2,39.32,-1.57,50.0,5.34,-0.49,1.92,-3.04,8.48,3.92,-134.36,-6.0,-5.6,26.78,-16.53,15.6,3.6,24.0,2411,198,,,,,,,0,1,-2,bottom
2018-08-04,531074,2,664856,R,571788,L,12,Groundout,6,5,180804_203206,b396cfb9-9b32-4162-bfe9-6a41d472432e,2,2,1,B,Ball,SL,13,2.0,3.25,1.5,84.9,78.6,8.75,-1.69,50.0,5.35,-1.38,0.73,-7.91,7.81,3.27,-123.44,-7.19,-12.3,22.68,-20.02,28.8,6.0,24.0,1814,226,,,,,,,0,1,-2,bottom
2018-08-04,531074,2,664856,R,571788,L,12,Groundout,6,6,180804_203225,b8b10279-5abc-4cb9-9ae9-1bc6d788b032,3,2,1,X,In play- out(s),FF,4,2.0,3.3,1.5,92.2,85.1,26.89,-1.55,50.0,5.36,-0.33,2.19,-2.72,7.16,4.19,-134.25,-4.86,-5.01,26.74,-19.0,12.0,4.8,24.0,2222,198,,,,,,,0,1,-2,bottom
2018-08-04,531074,2,664856,R,506702,L,13,Lineout,8,1,180804_203259,95c70aa8-f440-4cc8-a624-1ade156f6c02,0,0,2,B,Ball,FF,11,2.0,3.33,1.71,93.3,85.6,55.32,-1.29,50.0,5.53,-0.74,3.95,-2.46,8.29,2.32,-135.87,-1.16,-4.62,28.21,-16.6,14.4,3.6,24.0,2225,194,,,,,,,0,1,-2,bottom
2018-08-04,531074,2,664856,R,506702,L,13,Lineout,8,2,180804_203313,f174a4e5-0f14-47ef-a4ef-98b8da05fd2d,1,0,2,B,Ball,FF,14,2.0,3.3,1.66,91.5,84.7,38.12,-1.59,50.0,5.26,0.71,0.81,-0.22,7.63,6.12,-133.04,-8.25,-0.39,25.91,-18.36,2.4,4.8,24.0,2405,176,,,,,,,0,1,-2,bottom
2018-08-04,531074,2,664856,R,506702,L,13,Lineout,8,3,180804_203335,03ad5e7b-e9d6-4da6-80d8-bf6df39446f4,2,0,2,B,Ball,FF,11,2.0,3.3,1.63,92.6,85.3,24.99,-1.5,50.0,5.53,-0.32,4.08,-3.31,7.66,4.3,-134.86,-0.52,-6.16,26.63,-17.93,16.8,3.6,24.0,2244,200,,,,,,,0,1,-2,bottom
