Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-08-17,531237,9,518586,R,455104,R,77,Groundout,2,1,180818_025234,a508ead2-2a74-4617-9a0f-62b7fc843d18,0,0,0,S,Swinging Strike,FF,6,0.7,3.37,1.53,91.4,84.0,49.34,-1.27,50.0,5.29,0.51,2.56,-4.61,5.39,6.25,-132.84,-2.92,-8.28,26.87,-22.49,16.8,6.0,24.0,2301,216,,,,,,,0,1,-8,top
2018-08-17,531237,9,518586,R,455104,R,77,Groundout,2,2,180818_025251,6aadfa9b-9eb6-40af-b6c0-34b17db8158e,0,1,0,X,In play- out(s),FT,3,0.82,3.37,1.53,93.6,85.8,53.42,-1.14,50.0,5.39,0.66,3.07,-5.63,5.09,6.8,-135.88,-2.05,-10.58,28.22,-22.6,21.6,4.8,24.0,2412,224,,,,,,,0,1,-8,top
2018-08-17,531237,9,518586,R,641857,L,78,Groundout,1,1,180818_025332,acb4070b-7f84-41a1-a549-6b59ed7c7ea7,0,0,1,X,In play- out(s),FF,5,0.72,3.49,1.6,92.9,85.5,37.45,-1.37,50.0,5.25,-0.07,2.83,-4.32,5.45,4.97,-134.95,-2.37,-8.04,26.66,-22.02,18.0,4.8,24.0,2457,215,,,,,,,0,1,-8,top
2018-08-17,531237,9,518586,R,453568,L,79,Double,2,1,180818_025417,ba7a28dd-a28f-4169-94cb-11fc4ea29afa,0,0,2,B,Ball,FF,12,0.92,3.69,1.6,93.0,85.1,64.88,-1.44,50.0,5.31,0.48,4.11,-3.47,7.65,6.35,-135.13,0.14,-6.45,28.08,-17.96,15.6,3.6,24.0,2339,199,,,,,453568,,0,0,-8,top
2018-08-17,531237,9,518586,R,453568,L,79,Double,2,2,180818_025436,02b0b3d3-1896-40a9-afc2-9018f6fea8b6,1,0,2,X,In play- no out,FT,2,0.88,3.49,1.6,93.7,85.3,26.33,-1.55,50.0,5.09,0.03,2.86,-6.42,5.76,6.47,-136.14,-1.99,-12.02,30.74,-21.39,26.4,4.8,24.0,2476,224,,,,,453568,,0,0,-8,top
2018-08-17,531237,9,518586,R,518934,R,80,Single,1,1,180818_025528,ce89b85d-0cc6-4b92-9878-5794be660de2,0,0,2,X,In play- run(s),SL,3,0.86,3.55,1.63,83.5,76.7,66.8,-1.22,50.0,5.42,0.37,3.42,1.59,4.27,3.32,-121.33,0.57,2.39,22.49,-25.78,7.2,7.2,24.0,2568,156,,453568,,518934,,,1,0,-8,top
2018-08-17,531237,9,518586,R,571448,R,81,Groundout,4,1,180818_025605,803ad3a7-b94a-415e-b486-d77087340ed1,0,0,2,B,Ball,FF,12,0.91,3.34,1.67,92.3,85.2,34.74,-1.01,50.0,5.26,2.22,2.75,-1.71,6.95,9.2,-134.01,-3.02,-3.15,25.8,-19.38,3.6,4.8,24.0,2424,186,518934,,,,,,0,1,-9,top
2018-08-17,531237,9,518586,R,571448,R,81,Groundout,4,2,180818_025620,67ccfedd-0117-4cba-9a99-6a6ffa2e1154,1,0,2,B,Ball,FF,12,0.77,3.37,1.45,90.1,82.5,51.97,-1.26,50.0,5.44,0.56,3.46,-3.83,4.83,6.01,-131.0,-0.52,-6.67,27.14,-23.77,13.2,6.0,24.0,2483,212,518934,,,,,,0,1,-9,top
2018-08-17,531237,9,518586,R,571448,R,81,Groundout,4,3,180818_025639,07f17899-0128-43db-973d-548cf1888973,2,0,2,S,Swinging Strike,FF,2,0.81,3.47,1.59,90.5,83.0,33.39,-1.44,50.0,5.28,0.12,3.39,-2.55,4.18,4.9,-131.51,-0.15,-4.49,26.72,-24.82,8.4,6.0,24.0,2502,204,518934,,,,,,0,1,-9,top
2018-08-17,531237,9,518586,R,571448,R,81,Groundout,4,4,180818_025659,17ea15c4-1cef-45e5-b573-5e5a5a9fbec0,2,1,2,X,In play- out(s),FT,9,0.52,3.47,1.59,92.0,84.6,47.51,-1.27,50.0,5.21,0.61,2.13,-3.83,4.21,6.28,-133.79,-3.5,-6.98,27.41,-24.51,13.2,6.0,24.0,2476,218,518934,,,,,,0,1,-9,top
