Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-06,490137,1,502624,R,453568,L,0,Strikeout,4,1,170406_174127,3e1e88e6-051f-4040-b244-4828af0d50ca,0,0,0,S,Called Strike,FF,4,2.0,3.63,1.7,92.2,83.9,63.1,-1.71,50.0,6.11,-0.68,2.77,-6.72,12.38,5.03,-133.87,-6.97,-12.15,29.76,-9.78,44.4,3.6,24.0,2137,207,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,453568,L,0,Strikeout,4,2,170406_174141,07afaac6-f528-459a-bcae-d0c7da3e444b,0,1,0,S,Foul,FF,2,2.0,3.87,1.6,92.9,84.6,35.03,-1.76,50.0,6.08,0.2,3.01,-3.75,12.75,6.51,-134.85,-6.52,-6.9,29.73,-8.72,28.8,2.4,24.0,2123,193,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,453568,L,0,Strikeout,4,3,170406_174206,cc715891-04d1-4072-8976-be307dbce143,0,2,0,B,Ball,FF,11,2.0,3.7,1.79,92.3,83.9,25.07,-1.95,50.0,6.15,-1.74,4.3,-3.51,11.51,1.75,-134.34,-2.78,-6.39,30.37,-11.23,26.4,2.4,24.0,2147,196,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,453568,L,0,Strikeout,4,4,170406_174222,534a64f2-d4fa-4843-adb5-f1e41ce3fb1b,1,2,0,S,Swinging Strike,CU,13,2.0,3.87,1.6,78.8,72.2,23.49,-2.01,50.0,6.2,-1.49,1.72,1.63,-5.06,0.7,-114.51,-1.48,2.14,23.23,-38.82,3.6,12.0,24.0,2118,19,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,518934,R,1,Groundout,7,1,170406_174258,780beb6e-56b1-4da6-bd5d-ab0e3aeb843b,0,0,1,S,Called Strike,FF,9,2.0,3.9,1.87,93.7,85.4,55.94,-1.81,50.0,5.95,0.24,1.97,-4.99,12.13,7.23,-135.91,-8.9,-9.32,30.23,-9.52,33.6,3.6,24.0,2217,200,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,518934,R,1,Groundout,7,2,170406_174315,ff549142-e42f-4d6c-8055-88f0f672398f,0,1,1,B,Ball,FF,13,2.0,3.84,1.86,93.3,84.8,26.76,-2.05,50.0,6.0,-2.44,2.24,-6.28,11.28,1.12,-135.61,-7.92,-11.61,31.79,-11.32,40.8,3.6,24.0,2133,210,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,518934,R,1,Groundout,7,3,170406_174333,a2ca8a54-a39c-493e-b5ed-77c3351d3af3,1,1,1,S,Foul,FF,4,2.0,3.92,1.63,92.6,84.7,45.28,-1.96,50.0,6.0,-0.61,2.37,-5.66,11.29,5.54,-134.57,-7.5,-10.39,28.99,-11.45,34.8,3.6,24.0,2198,205,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,518934,R,1,Groundout,7,4,170406_174358,4e6f19c1-03be-4c02-a8d5-edbce11da9bc,1,2,1,B,Ball,FF,11,2.0,3.53,1.66,92.8,84.0,25.09,-1.76,50.0,6.1,-1.54,4.16,-3.51,11.88,1.8,-134.89,-3.18,-6.42,31.54,-10.47,27.6,2.4,24.0,2141,195,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,518934,R,1,Groundout,7,5,170406_174417,4ac7673f-de62-4793-8e43-63b8c93a4bf6,2,1,1,S,Foul,FF,11,2.0,3.92,1.63,92.9,84.2,56.26,-1.82,50.0,6.09,-1.12,3.11,-7.75,11.91,4.51,-134.79,-5.93,-14.16,31.22,-10.41,48.0,3.6,24.0,2146,212,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,518934,R,1,Groundout,7,6,170406_174447,a3b6bacb-fc71-4f16-a893-64bb6d41854f,2,2,1,B,Ball,CU,14,2.0,3.55,1.71,79.0,73.1,12.63,-1.98,50.0,6.01,0.12,0.44,2.31,-6.79,4.07,-114.81,-3.48,3.06,22.59,-41.18,4.8,13.2,24.0,2216,22,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,518934,R,1,Groundout,7,7,170406_174518,5d958045-808a-4ffa-9b3f-492584e5bece,3,2,1,X,In play- out(s),FF,13,2.0,3.92,1.63,93.8,85.8,37.65,-1.72,50.0,5.88,-0.12,1.66,-8.19,10.5,7.15,-136.08,-9.0,-15.37,29.65,-12.47,44.4,4.8,24.0,2129,217,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,471865,L,2,Flyout,6,1,170406_174613,ae630463-9dfa-473a-9e5e-101e2e1dfc26,0,0,2,B,Ball,FF,13,2.0,3.88,1.86,92.1,83.9,64.19,-1.88,50.0,5.84,-1.11,0.71,-7.51,12.47,4.59,-133.38,-11.62,-13.47,29.71,-9.79,45.6,3.6,24.0,2136,211,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,471865,L,2,Flyout,6,2,170406_174633,ba7911f0-81cf-490d-b743-cf02e37b7792,1,0,2,S,Foul,FF,4,2.0,3.92,1.63,92.8,84.3,45.15,-1.7,50.0,6.07,-0.62,2.86,-8.75,11.86,5.88,-134.75,-6.55,-16.02,30.6,-10.47,50.4,4.8,24.0,2147,215,,,,,,,0,1,0,top
2017-04-06,490137,1,502624,R,471865,L,2,Flyout,6,3,170406_174658,c5f795e7-fbdf-4e57-9968-2b1af10263f8,1,1,2,S,Swinging Strike,FF,11,2.0,3.92,1.63,93.1,84.9,38.7,-1.79,50.0,6.09,-0.01,3.91,-5.56,9.07,6.67,-135.31,-2.94,-10.31,29.57,-15.35,28.8,3.6,24.0,2129,208,,,,,,,0,1,0,top
