Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-06-25,491237,9,607473,R,543063,L,83,Groundout,2,1,170625_233956,9af53dbc-901f-479d-8b0a-e575fd9a4fbe,0,0,0,B,Ball,SI,11,2.0,3.36,1.46,89.0,81.4,49.8,-3.03,50.0,5.02,-1.37,3.4,-7.76,1.8,6.79,-129.08,1.56,-13.15,25.91,-29.12,22.8,7.2,24.0,2102,259,,,,,,,0,1,6,bottom
2017-06-25,491237,9,607473,R,543063,L,83,Groundout,2,2,170625_234016,4843da47-eb8b-4df3-9eb9-f9d02867d14d,1,0,0,X,In play- out(s),SI,5,2.0,3.17,1.35,88.3,81.7,36.87,-2.89,50.0,5.02,0.23,2.03,-6.82,3.12,10.2,-128.12,-2.29,-11.49,23.26,-26.92,19.2,7.2,24.0,2242,248,,,,,,,0,1,6,bottom
2017-06-25,491237,9,607473,R,491676,R,84,Single,4,1,170625_234051,69e4dfec-5d0f-46e0-9345-1e93f490abe6,0,0,1,B,Ball,FF,14,2.0,3.3,1.56,90.2,83.9,37.53,-2.72,50.0,5.0,1.44,2.31,-1.02,6.82,11.18,-130.79,-3.12,-1.81,22.62,-20.14,0.0,4.8,24.0,2369,179,,,,491676,,,0,0,6,bottom
2017-06-25,491237,9,607473,R,491676,R,84,Single,4,2,170625_234108,52dbefbe-e298-49d5-ac5f-3219fe5b821d,1,0,1,S,Swinging Strike,SL,14,2.0,3.1,1.29,84.1,76.6,58.09,-3.06,50.0,4.81,1.09,1.3,1.62,2.91,9.41,-121.66,-2.58,2.41,25.67,-27.84,8.4,8.4,24.0,2546,118,,,,491676,,,0,0,6,bottom
2017-06-25,491237,9,607473,R,491676,R,84,Single,4,3,170625_234126,a98d4c47-2103-4abe-8a22-489d557fa7a1,1,1,1,B,Ball,SL,13,2.0,3.38,1.58,83.3,75.6,31.31,-3.38,50.0,4.74,-1.38,1.18,4.74,2.68,3.3,-120.79,-2.49,6.93,26.04,-28.26,14.4,8.4,24.0,2691,105,,,,491676,,,0,0,6,bottom
2017-06-25,491237,9,607473,R,491676,R,84,Single,4,4,170625_234153,c5bf2c56-4044-4814-9716-c5dbbf89b703,2,1,1,X,In play- no out,FF,9,2.0,3.1,1.29,90.4,83.3,35.61,-2.88,50.0,4.97,0.33,1.8,-2.03,6.73,9.0,-131.13,-4.31,-3.57,25.63,-20.36,4.8,4.8,24.0,2316,190,,,,491676,,,0,0,6,bottom
2017-06-25,491237,9,607473,R,460026,R,85,Strikeout,4,1,170625_234233,fd24b77e-2299-41f0-ad62-00b9c3fd0ec3,0,0,1,S,Foul Tip,FF,2,2.0,3.33,1.37,91.3,83.9,52.74,-2.83,50.0,5.24,0.23,2.88,-1.8,9.75,8.65,-132.48,-3.38,-3.23,26.1,-14.7,6.0,3.6,24.0,2269,185,491676,,,,,,0,1,6,bottom
2017-06-25,491237,9,607473,R,460026,R,85,Strikeout,4,2,170625_234253,51990210-295c-4ca5-b46f-7abb725ffd58,0,1,1,S,Swinging Strike,FF,3,2.0,3.33,1.37,92.2,85.1,50.74,-2.68,50.0,5.22,0.6,2.96,-0.04,8.11,8.73,-133.81,-2.73,-0.07,25.69,-17.29,4.8,3.6,24.0,2389,173,491676,,,,,,0,1,6,bottom
2017-06-25,491237,9,607473,R,460026,R,85,Strikeout,4,3,170625_234317,af5d73db-f99f-476d-9b57-fc1d9dd4b795,0,1,1,S,Foul,SL,9,2.0,3.33,1.37,85.4,80.5,48.11,-3.0,50.0,4.79,0.57,1.46,4.69,-1.53,7.34,-124.29,-1.28,7.52,18.93,-34.63,13.2,8.4,24.0,2933,68,491676,,,,,,0,1,6,bottom
2017-06-25,491237,9,607473,R,460026,R,85,Strikeout,4,4,170625_234342,36318402-1b93-47cf-9eb4-a33e4e9ff802,0,2,1,S,Swinging Strike,SL,14,2.0,3.33,1.37,84.0,78.0,55.19,-3.04,50.0,4.71,0.67,1.09,5.29,0.74,7.3,-121.98,-2.31,8.04,21.86,-31.05,16.8,8.4,24.0,2763,87,491676,,,,,,0,1,6,bottom
