Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-20,566575,1,623167,R,572761,L,3,Flyout,3,1,190420_182328,5eb9e6ff-7c25-4f0e-a744-0039d84a3cf6,0,0,0,B,Ball,FF,11,2.0,3.47,1.76,93.9,85.9,,-0.91,50.0,6.45,-1.25,2.98,-3.52,11.12,0.32,-136.53,-7.27,-6.66,29.69,-11.15,27.6,3.6,24.0,2050,198,,,,,,,0,1,0,bottom
2019-08-20,566575,1,623167,R,572761,L,3,Flyout,3,2,190420_182343,65e80ee9-fcb1-400c-bcca-a4bf077ed494,1,0,0,S,Foul,FF,5,2.0,3.56,1.76,93.4,86.0,,-0.8,50.0,6.32,0.08,2.72,-1.12,10.9,2.74,-135.83,-7.51,-2.11,27.54,-11.64,7.2,2.4,24.0,2024,184,,,,,,,0,1,0,bottom
2019-08-20,566575,1,623167,R,572761,L,3,Flyout,3,3,190420_182415,a30957e3-33b4-44fa-86b1-d375aaea20a7,1,1,0,X,In play- out(s),CH,11,2.0,3.42,1.66,83.9,77.4,,-0.98,50.0,6.32,-0.94,2.86,-8.35,6.23,2.71,-122.18,-3.66,-12.68,22.98,-22.71,27.6,7.2,24.0,1299,233,,,,,,,0,1,0,bottom
2019-08-20,566575,1,623167,R,502671,R,4,Flyout,3,1,190420_182446,c16ba1de-0584-4674-84a0-5089c8293ad3,0,0,1,B,Ball,FF,14,2.0,3.34,1.66,94.8,86.6,,-0.54,50.0,6.33,0.97,1.57,-5.79,10.98,6.14,-137.47,-10.86,-11.06,30.75,-11.18,36.0,3.6,24.0,2120,207,,,,,,,0,1,0,bottom
2019-08-20,566575,1,623167,R,502671,R,4,Flyout,3,2,190420_182459,d2ad46ad-db9d-44d8-a54e-9ff2d4d0c17a,1,0,1,S,Swinging Strike,SL,14,2.0,3.34,1.66,88.2,81.0,,-0.78,50.0,6.23,1.27,1.13,1.76,4.85,4.61,-128.12,-8.11,2.92,27.12,-24.13,8.4,6.0,24.0,2532,149,,,,,,,0,1,0,bottom
2019-08-20,566575,1,623167,R,502671,R,4,Flyout,3,3,190420_182524,789e18c1-ea98-4674-bf7e-005b3a58e80e,1,1,1,X,In play- out(s),FF,2,2.0,3.32,1.61,95.8,86.9,,-0.7,50.0,6.47,0.1,3.3,-4.32,11.38,3.74,-139.16,-6.85,-8.41,33.41,-10.03,32.4,2.4,24.0,2181,199,,,,,,,0,1,0,bottom
2019-08-20,566575,1,623167,R,657557,R,5,Pop Out,4,1,190420_182550,48dddedc-d8b9-44b6-9df9-b8e52004744c,0,0,2,B,Ball,FF,14,2.0,3.39,1.55,95.0,86.7,,-0.57,50.0,6.27,0.65,1.5,-5.18,10.44,5.13,-137.92,-10.76,-9.94,31.74,-12.13,31.2,3.6,24.0,2129,206,,,,,,,0,1,0,bottom
2019-08-20,566575,1,623167,R,657557,R,5,Pop Out,4,2,190420_182604,85fd1d66-c910-4461-b5d6-12ae7699a1cb,1,0,2,B,Ball,FF,12,2.0,3.33,1.61,95.5,87.7,,-0.48,50.0,6.43,1.61,2.74,-3.33,10.37,6.93,-138.75,-7.96,-6.52,29.64,-11.85,20.4,2.4,24.0,2219,194,,,,,,,0,1,0,bottom
2019-08-20,566575,1,623167,R,657557,R,5,Pop Out,4,3,190420_182622,343ce6d4-3dac-4249-adb4-915d51c192e2,2,0,2,B,Ball,FF,14,2.0,3.36,1.61,96.0,88.6,,-0.43,50.0,6.24,0.84,0.64,-5.62,10.86,5.49,-139.19,-13.48,-11.11,28.7,-10.69,37.2,3.6,24.0,2369,207,,,,,,,0,1,0,bottom
2019-08-20,566575,1,623167,R,657557,R,5,Pop Out,4,4,190420_182642,6f14e935-cdf1-41b8-93af-cd9dd693def5,3,0,2,X,In play- out(s),FF,1,2.0,3.32,1.61,93.5,87.1,,-0.71,50.0,6.35,-0.33,3.19,-2.42,9.52,1.87,-136.26,-6.01,-4.65,24.38,-13.92,15.6,3.6,24.0,2142,193,,,,,,,0,1,0,bottom
