Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-20,566026,3,607391,R,660670,R,21,Single,2,1,190629_223357,8e713218-47ad-41ca-83e0-be83bb7267a3,0,0,0,S,Foul,SI,11,2.0,3.42,1.66,91.3,84.5,,-3.29,50.0,5.2,-0.87,2.79,-8.34,1.43,9.24,-132.9,-0.75,-15.1,25.25,-29.58,24.0,7.2,24.0,1740,258,,,,660670,,,0,0,-2,top
2019-08-20,566026,3,607391,R,660670,R,21,Single,2,2,190629_223419,568916a2-869f-4705-9766-efd8bc44b70d,0,1,0,X,In play- no out,SL,5,2.0,3.32,1.56,80.0,73.9,,-3.17,50.0,5.5,0.05,2.48,5.94,4.16,5.65,-116.41,-1.21,8.18,21.0,-26.44,19.2,8.4,24.0,2257,122,,,,660670,,,0,0,-2,top
2019-08-20,566026,3,607391,R,621020,R,22,Double,1,1,190629_223500,382afca2-9caf-45e8-9a67-345d6ec611a2,0,0,0,X,In play- run(s),SI,7,2.0,3.41,1.56,91.6,84.6,,-3.31,50.0,5.09,-0.65,2.08,-9.54,1.37,10.29,-133.04,-2.33,-17.29,25.64,-29.69,27.6,7.2,24.0,1898,261,660670,,,,621020,,1,0,-2,top
2019-08-20,566026,3,607391,R,518692,L,23,Strikeout,4,1,190629_223543,41be3f66-de3e-4ba8-9dab-5119a8d1a900,0,0,0,S,Called Strike,CH,1,2.0,3.47,1.77,84.5,77.5,,-2.21,50.0,5.51,-0.63,3.27,-5.84,-0.57,5.68,-122.99,1.37,-8.95,24.31,-33.05,13.2,8.4,24.0,1272,272,,621020,,,,,0,1,-3,top
2019-08-20,566026,3,607391,R,518692,L,23,Strikeout,4,2,190629_223601,f5c14068-781a-481f-9ee1-245d61317651,0,1,0,B,Ball,FC,14,2.0,3.51,1.77,88.5,82.2,,-2.19,50.0,5.31,1.37,1.75,1.1,4.62,8.73,-128.75,-4.31,1.86,24.01,-24.33,7.2,6.0,24.0,2196,154,,621020,,,,,0,1,-3,top
2019-08-20,566026,3,607391,R,518692,L,23,Strikeout,4,3,190629_223642,6ebb3090-1f81-4f91-a054-11826913a3cc,1,1,0,S,Foul,FC,2,2.0,3.55,1.77,89.3,82.4,,-2.47,50.0,5.38,-0.07,3.46,0.93,4.3,5.87,-130.01,-0.14,1.61,25.19,-24.75,6.0,6.0,24.0,2298,160,,621020,,,,,0,1,-3,top
2019-08-20,566026,3,607391,R,518692,L,23,Strikeout,4,4,190629_223702,84d7b871-3682-467a-8454-755d3368039a,1,2,0,S,Called Strike,SI,14,2.0,3.5,1.77,92.0,85.2,,-1.96,50.0,5.14,0.99,2.53,-9.54,1.06,11.12,-133.59,-1.23,-17.49,24.91,-30.22,26.4,7.2,24.0,1849,262,,621020,,,,,0,1,-3,top
2019-08-20,566026,3,607391,R,518626,R,24,Groundout,3,1,190629_223750,7954b9c9-cf2f-428b-bead-c64ba04d8101,0,0,1,B,Ball,SL,13,2.0,3.27,1.58,80.7,75.5,,-3.35,50.0,5.46,-0.99,2.03,3.92,3.28,4.33,-117.63,-2.16,5.6,18.53,-27.49,12.0,8.4,24.0,2253,125,,,,,,,0,1,-3,top
2019-08-20,566026,3,607391,R,518626,R,24,Groundout,3,2,190629_223810,f44e9fa4-b0bc-42e1-85d7-b35b4669bc81,1,0,1,B,Ball,SL,14,2.0,3.04,1.58,81.1,75.3,,-3.04,50.0,5.5,1.01,2.24,6.96,3.69,7.34,-117.9,-1.85,9.87,20.88,-26.94,21.6,8.4,24.0,2186,114,,,,,,,0,1,-3,top
2019-08-20,566026,3,607391,R,518626,R,24,Groundout,3,3,190629_223832,2685c985-339e-47a2-9b25-c7bb955ae4c6,2,0,1,X,In play- out(s),SI,13,2.0,3.3,1.58,90.8,84.3,,-3.49,50.0,4.99,-1.25,2.2,-8.31,0.85,8.72,-132.13,-1.48,-14.92,24.11,-30.65,24.0,7.2,24.0,1753,263,,,,,,,0,1,-3,top
2019-08-20,566026,3,607391,R,645277,L,25,Flyout,2,1,190629_223916,c762595e-2cd9-4fee-8ad8-30ca6c62bc78,0,0,2,S,Swinging Strike,SI,1,2.0,3.26,1.54,93.1,86.3,,-2.4,50.0,5.11,-0.51,2.81,-9.61,1.86,8.46,-135.53,-0.87,-18.13,25.71,-28.67,30.0,7.2,24.0,1842,257,,,,,,,0,1,-3,top
2019-08-20,566026,3,607391,R,645277,L,25,Flyout,2,2,190629_223950,591a2a70-0284-4484-be28-b9621f118c45,0,1,2,X,In play- out(s),FC,6,2.0,3.17,1.48,87.5,81.1,,-2.23,50.0,5.41,0.52,2.51,0.85,3.47,6.67,-127.41,-2.1,1.41,23.48,-26.41,6.0,6.0,24.0,2174,154,,,,,,,0,1,-3,top
2019-08-20,566026,4,607391,R,663586,R,30,Single,5,1,190629_225140,9ef1142d-e854-4385-88c3-fd6722618d15,0,0,0,B,Ball,SI,13,2.0,3.28,1.59,91.9,84.7,,-3.39,50.0,5.14,-1.0,1.59,-10.39,2.79,9.89,-133.52,-4.27,-18.89,26.84,-27.11,31.2,7.2,24.0,1768,255,,,,663586,,,0,0,-2,top
2019-08-20,566026,4,607391,R,663586,R,30,Single,5,2,190629_225153,48d25188-421f-4c8f-ac86-1653e56147ab,1,0,0,S,Foul,SI,13,2.0,3.4,1.59,89.4,82.6,,-3.19,50.0,5.13,-1.09,1.89,-9.88,1.69,8.73,-130.01,-2.68,-17.06,24.94,-29.25,27.6,8.4,24.0,1696,260,,,,663586,,,0,0,-2,top
2019-08-20,566026,4,607391,R,663586,R,30,Single,5,3,190629_225207,4148aab8-4332-4331-bc45-d6ac1497ebd6,1,1,0,B,Ball,SL,14,2.0,3.33,1.59,81.5,75.2,,-3.05,50.0,5.49,1.35,2.49,6.08,4.38,8.45,-118.5,-1.49,8.66,22.44,-25.93,21.6,8.4,24.0,2201,121,,,,663586,,,0,0,-2,top
2019-08-20,566026,4,607391,R,663586,R,30,Single,5,4,190629_225221,7c18719c-fbd2-4b1a-af5b-b30edf1d6995,2,1,0,B,Ball,SI,13,2.0,3.33,1.59,90.1,83.4,,-3.53,50.0,5.08,-2.0,2.21,-8.9,0.9,6.98,-131.06,-1.57,-15.68,24.48,-30.58,25.2,8.4,24.0,1738,263,,,,663586,,,0,0,-2,top
2019-08-20,566026,4,607391,R,663586,R,30,Single,5,5,190629_225241,f8a74ba0-4508-469d-a235-dd18a3b2302c,3,1,0,X,In play- no out,SI,7,2.0,3.4,1.59,91.8,84.9,,-3.19,50.0,5.14,-0.36,1.89,-10.98,1.14,11.28,-133.27,-2.9,-20.0,25.3,-30.1,30.0,8.4,24.0,1777,264,,,,663586,,,0,0,-2,top
