Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-14,566278,1,663978,R,621453,L,0,Flyout,1,1,190331_201152,a2f5c496-4c15-4675-afe6-59aa71d272a8,0,0,0,X,In play- out(s),FF,5,2.0,3.47,1.59,93.0,85.2,,-2.44,50.0,6.08,0.05,2.48,-4.57,11.88,8.24,-135.14,-7.71,-8.47,28.93,-10.16,30.0,2.4,24.0,2212,198,,,,,,,0,1,0,top
2019-08-14,566278,1,663978,R,605412,L,1,Groundout,5,1,190331_201217,aadb8f58-3578-4fb0-ae06-fd5ea4825a59,0,0,1,B,Ball,FF,12,2.0,3.23,1.42,93.9,85.4,,-2.24,50.0,6.06,0.99,2.77,-4.93,11.67,10.39,-136.27,-6.88,-9.21,31.52,-10.35,30.0,2.4,24.0,2331,198,,,,,,,0,1,0,top
2019-08-14,566278,1,663978,R,605412,L,1,Groundout,5,2,190331_201230,27e146bb-dcf9-4919-9290-6172f02512fb,1,0,1,B,Ball,FF,14,2.0,3.23,1.42,94.4,86.3,,-2.41,50.0,5.94,0.72,2.04,-3.87,12.06,9.83,-137.05,-8.83,-7.36,30.32,-9.24,25.2,2.4,24.0,2239,193,,,,,,,0,1,0,top
2019-08-14,566278,1,663978,R,605412,L,1,Groundout,5,3,190331_201245,7935a468-a924-44b6-b97a-4314c9eb55bd,2,0,1,S,Foul,FF,4,2.0,3.23,1.42,93.2,85.5,,-2.44,50.0,6.13,-0.31,2.46,-3.92,11.92,7.06,-135.46,-7.97,-7.31,28.71,-9.95,26.4,2.4,24.0,2226,195,,,,,,,0,1,0,top
2019-08-14,566278,1,663978,R,605412,L,1,Groundout,5,4,190331_201305,6cb671e6-a7f5-4cfc-9e93-eb9507f8ea6b,2,1,1,S,Foul,FF,11,2.0,3.23,1.42,94.7,87.0,,-2.37,50.0,6.15,-0.53,3.31,-6.58,10.72,7.34,-137.69,-5.62,-12.72,28.74,-11.47,42.0,3.6,24.0,2360,209,,,,,,,0,1,0,top
2019-08-14,566278,1,663978,R,605412,L,1,Groundout,5,5,190331_201329,4605b89d-294f-4486-aee5-de51b7dde6fb,2,2,1,X,In play- out(s),CH,9,2.0,3.23,1.42,85.0,78.7,,-2.48,50.0,5.97,0.55,1.97,-6.84,6.78,9.59,-123.44,-5.38,-10.66,22.2,-21.61,21.6,6.0,24.0,1813,222,,,,,,,0,1,0,top
2019-08-14,566278,1,663978,R,500208,L,2,Pop Out,5,1,190331_201407,76a079c3-c160-461b-bb7c-eecf790a78c6,0,0,2,S,Called Strike,FF,8,2.0,3.32,1.51,94.0,85.9,,-2.49,50.0,6.02,-0.15,2.05,-5.91,10.99,8.36,-136.42,-8.55,-11.13,30.01,-11.47,34.8,3.6,24.0,2271,205,,,,,,,0,1,0,top
2019-08-14,566278,1,663978,R,500208,L,2,Pop Out,5,2,190331_201423,84317e17-6781-41e4-b50b-26210039de19,0,1,2,S,Foul,FF,6,2.0,3.32,1.51,94.0,85.9,,-2.23,50.0,6.0,0.63,2.31,-6.31,10.66,9.91,-136.42,-7.68,-11.89,30.08,-12.09,34.8,3.6,24.0,2152,207,,,,,,,0,1,0,top
2019-08-14,566278,1,663978,R,500208,L,2,Pop Out,5,3,190331_201437,789e8cfb-fc6a-4d1f-b891-05a7b1144935,0,2,2,B,Ball,FF,11,2.0,3.32,1.51,95.4,87.0,,-2.33,50.0,6.15,-0.09,3.96,-6.16,9.97,8.33,-138.83,-3.65,-11.99,31.83,-12.76,37.2,3.6,24.0,2271,208,,,,,,,0,1,0,top
2019-08-14,566278,1,663978,R,500208,L,2,Pop Out,5,4,190331_201459,27ef344a-79b3-4f42-972f-4b0a8c599b65,1,2,2,B,Ball,FF,13,2.0,3.32,1.51,94.9,87.0,,-2.54,50.0,6.02,-1.85,1.96,-6.76,10.69,4.27,-138.01,-8.97,-13.05,30.2,-11.52,42.0,3.6,24.0,2244,212,,,,,,,0,1,0,top
