Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-07-09,491416,1,434672,R,516416,R,3,Groundout,5,1,170709_021643,45372317-d2ea-4dd9-beac-1b82054656ef,0,0,0,B,Ball,FF,9,2.0,3.09,1.53,85.2,78.8,64.81,-2.43,50.0,5.43,0.42,1.61,-9.24,8.73,9.93,-123.43,-5.59,-14.47,21.12,-18.5,33.6,6.0,24.0,1906,227,,,,,,,0,1,0,bottom
2017-07-09,491416,1,434672,R,516416,R,3,Groundout,5,2,170709_021701,61c46150-0c81-4055-8410-5e2cb1d48754,1,0,0,S,Called Strike,FF,9,2.0,3.11,1.41,86.7,79.6,41.31,-2.31,50.0,5.44,0.34,1.74,-9.43,10.82,9.62,-125.54,-6.23,-15.17,23.53,-14.78,39.6,4.8,24.0,2133,221,,,,,,,0,1,0,bottom
2017-07-09,491416,1,434672,R,516416,R,3,Groundout,5,3,170709_021715,63d13efa-bf28-41b7-9db1-f61cf543015c,1,1,0,B,Ball,CH,14,2.0,3.1,1.44,74.9,70.4,19.08,-2.37,50.0,5.49,0.07,0.98,-8.78,6.7,7.77,-108.76,-4.26,-10.78,14.65,-23.95,21.6,8.4,24.0,2680,235,,,,,,,0,1,0,bottom
2017-07-09,491416,1,434672,R,516416,R,3,Groundout,5,4,170709_021729,31621a23-b9ef-4f93-a8d6-a22da062dea1,2,1,0,S,Foul,FF,1,2.0,3.19,1.37,85.8,78.8,41.8,-2.32,50.0,5.65,-0.37,2.7,-7.65,10.86,7.26,-124.56,-4.24,-12.11,23.22,-14.98,34.8,4.8,24.0,2105,215,,,,,,,0,1,0,bottom
2017-07-09,491416,1,434672,R,516416,R,3,Groundout,5,5,170709_021748,00235a84-60d5-413e-8b9c-5c99d8900370,2,2,0,X,In play- out(s),CH,14,2.0,3.19,1.37,76.0,71.1,59.79,-2.31,50.0,5.45,1.16,1.47,-7.74,4.85,9.83,-110.17,-2.79,-9.72,15.58,-26.08,18.0,8.4,24.0,1474,240,,,,,,,0,1,0,bottom
2017-07-09,491416,1,434672,R,592325,L,4,Groundout,4,1,170709_021825,6cbf6173-7965-4c23-9995-3cb020612579,0,0,1,B,Ball,FF,11,2.0,3.1,1.51,87.2,80.0,43.74,-2.67,50.0,5.6,-2.49,2.7,-7.51,10.73,2.91,-126.66,-4.36,-12.28,24.44,-14.64,37.2,4.8,24.0,2113,217,,,,,,,0,1,0,bottom
2017-07-09,491416,1,434672,R,592325,L,4,Groundout,4,2,170709_021842,c6463d04-9b3f-478a-a87d-21905021f319,1,0,1,S,Called Strike,FF,7,2.0,3.13,1.48,86.5,79.8,51.15,-2.6,50.0,5.38,-0.65,1.85,-8.01,10.34,7.44,-125.52,-5.69,-12.93,22.53,-15.48,34.8,4.8,24.0,2059,218,,,,,,,0,1,0,bottom
2017-07-09,491416,1,434672,R,592325,L,4,Groundout,4,3,170709_021856,81a4a26f-a313-4d51-b446-2476f82096d9,1,1,1,S,Swinging Strike,CH,13,2.0,3.3,1.41,76.2,70.9,23.58,-2.41,50.0,5.4,-0.21,0.59,-5.82,6.89,6.5,-110.61,-5.2,-7.3,17.21,-23.52,14.4,8.4,24.0,1514,222,,,,,,,0,1,0,bottom
2017-07-09,491416,1,434672,R,592325,L,4,Groundout,4,4,170709_021922,ae6ab3aa-54fe-470e-a7c7-e2dfaac0b85c,1,2,1,X,In play- out(s),CH,13,2.0,3.3,1.41,75.7,70.7,35.86,-2.57,50.0,5.42,-1.69,1.18,-6.45,5.67,3.77,-110.19,-3.55,-8.06,16.58,-25.08,16.8,8.4,24.0,1441,233,,,,,,,0,1,0,bottom
2017-07-09,491416,1,434672,R,429664,L,5,Strikeout,6,1,170709_022010,d5f49982-5d0f-4a3f-914a-4b5c2d954cd5,0,0,2,S,Called Strike,FF,8,2.0,3.69,1.72,86.7,79.5,46.22,-2.47,50.0,5.41,0.04,2.17,-7.72,9.59,8.75,-125.65,-4.7,-12.41,24.0,-16.75,31.2,4.8,24.0,2158,218,,,,,,,0,1,0,bottom
