Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-05-07,490561,1,501957,R,466320,L,0,Walk,4,1,170507_173746,7facec80-2cee-468c-a326-a8395b00829d,0,0,0,B,Ball,FC,11,2.0,3.51,1.96,89.4,81.3,74.71,-3.13,50.0,6.19,-0.62,3.57,5.74,13.59,4.51,-129.99,-4.91,9.74,29.16,-9.1,46.8,3.6,24.0,2236,154,,,,466320,,,0,0,0,top
2017-05-07,490561,1,501957,R,466320,L,0,Walk,4,2,170507_173800,0ead3c3a-0c02-4b04-a52a-5e60783c2fad,1,0,0,B,Ball,FF,11,2.0,3.77,1.83,90.0,82.1,18.97,-3.15,50.0,6.14,-1.68,2.64,-1.12,12.96,4.19,-130.87,-7.13,-1.94,28.39,-9.77,4.8,2.4,24.0,2299,182,,,,466320,,,0,0,0,top
2017-05-07,490561,1,501957,R,466320,L,0,Walk,4,3,170507_173817,e186aa51-cf51-4a5e-80f1-ce661b56b707,2,0,0,B,Ball,FF,13,2.0,3.77,1.82,90.7,81.9,37.9,-3.13,50.0,5.89,-0.53,1.05,-0.04,14.31,6.71,-131.32,-11.03,-0.08,31.51,-7.55,8.4,2.4,24.0,2338,176,,,,466320,,,0,0,0,top
2017-05-07,490561,1,501957,R,466320,L,0,Walk,4,4,170507_173833,bb8e9b35-c3e9-4f53-a0dc-fdda649b90ef,3,0,0,B,Ball,FF,11,2.0,3.66,1.85,89.6,81.0,33.77,-3.13,50.0,6.2,-1.82,3.26,-1.06,14.92,3.71,-130.21,-6.19,-1.81,30.12,-6.83,7.2,2.4,24.0,2207,182,,,,466320,,,0,0,0,top
2017-05-07,490561,1,501957,R,544725,L,1,Walk,6,1,170507_173910,e7ef96cc-7c5f-4506-9d5a-dc701261e17f,0,0,0,B,Ball,SL,13,2.0,3.75,1.79,85.2,78.3,47.61,-3.02,50.0,6.25,-1.54,2.32,3.4,6.24,2.54,-124.01,-5.02,5.29,24.85,-22.47,13.2,6.0,24.0,2350,147,466320,,,544725,466320,,0,0,0,top
2017-05-07,490561,1,501957,R,544725,L,1,Walk,6,2,170507_173930,cd93c4d0-bbcc-4dfb-a503-896643995aa6,1,0,0,B,Ball,SL,14,2.0,3.67,1.73,85.4,79.0,46.81,-3.09,50.0,6.08,0.43,1.18,5.04,7.66,7.03,-123.97,-7.89,7.89,23.6,-20.19,22.8,6.0,24.0,2308,139,466320,,,544725,466320,,0,0,0,top
2017-05-07,490561,1,501957,R,544725,L,1,Walk,6,3,170507_174017,82767500-7b32-48fd-ab08-e8d0aa89ff2a,2,0,0,B,Ball,FF,11,2.0,3.71,1.78,88.5,81.4,22.37,-3.02,50.0,6.28,-1.83,4.06,-1.11,9.86,3.41,-128.82,-2.62,-1.88,25.12,-15.49,4.8,3.6,24.0,2217,184,466320,,,544725,466320,,0,0,0,top
2017-05-07,490561,1,501957,R,544725,L,1,Walk,6,4,170507_174053,14c3ee58-18a6-4b26-8eb0-daa4a6118c1b,3,1,0,C,Called Strike,FC,11,2.0,3.74,1.83,89.1,82.2,60.9,-3.08,50.0,6.18,-0.72,3.16,1.78,13.98,5.45,-129.57,-6.18,3.06,24.51,-8.16,24.0,2.4,24.0,2174,169,466320,,,544725,466320,,0,0,0,top
2017-05-07,490561,1,501957,R,544725,L,1,Walk,6,5,170507_174115,08d9b1c1-3765-4cbf-86f8-c7ea88802564,3,1,0,B,Ball,FC,11,2.0,3.72,1.84,89.0,81.7,61.17,-3.02,50.0,6.22,-0.94,3.22,3.0,13.03,4.32,-129.39,-5.72,5.1,25.95,-10.0,27.6,3.6,24.0,2230,164,466320,,,544725,466320,,0,0,0,top
2017-05-07,490561,1,501957,R,547989,R,2,Pop Out,8,1,170507_174150,d8ab5d32-6247-4aa8-886a-4573d1152836,0,0,0,B,Ball,KC,13,2.0,3.94,1.89,73.6,68.0,83.49,-2.91,50.0,6.42,-1.1,2.14,7.38,-5.46,1.81,-107.05,0.09,8.52,19.28,-38.48,13.2,14.4,24.0,1976,55,544725,466320,,544725,466320,,0,1,0,top
