Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-05,490125,8,432934,R,543257,L,65,Groundout,4,1,170405_200234,5d1947c8-b78e-41ec-b3b0-ab249824ee99,0,0,0,B,Ball,SL,14,2.0,3.64,1.83,80.3,74.4,58.79,-0.53,50.0,6.57,0.38,0.78,2.8,9.79,1.27,-116.33,-9.32,3.87,19.89,-18.63,10.8,6.0,24.0,2243,159,,,,,,,0,1,-8,bottom
2017-04-05,490125,8,432934,R,543257,L,65,Groundout,4,2,170405_200248,8de28f1a-f8ab-4946-89c1-84999442197f,1,0,0,B,Ball,FF,13,2.0,3.61,1.79,86.9,78.5,35.86,-0.2,50.0,6.42,-0.54,1.0,-2.32,17.26,-0.1,-125.67,-12.4,-3.66,28.16,-4.88,25.2,2.4,24.0,2365,189,,,,,,,0,1,-8,bottom
2017-04-05,490125,8,432934,R,543257,L,65,Groundout,4,3,170405_200301,f103e66e-d6c3-404e-9501-79dc7c809f73,2,1,0,C,Called Strike,FF,11,2.0,3.66,1.68,87.2,79.2,52.44,-0.39,50.0,6.51,-0.88,2.63,-2.8,16.38,-0.31,-126.34,-8.51,-4.5,26.66,-5.8,31.2,2.4,24.0,2420,191,,,,,,,0,1,-8,bottom
2017-04-05,490125,8,432934,R,543257,L,65,Groundout,4,4,170405_200316,8f604a81-2cf8-4956-b879-4929d82f2e19,2,1,0,X,In play- out(s),SL,7,2.0,3.75,1.53,81.8,75.1,43.47,-0.62,50.0,6.55,-0.38,1.59,2.04,9.39,-0.05,-118.48,-7.59,2.9,22.04,-18.79,8.4,6.0,24.0,2273,164,,,,,,,0,1,-8,bottom
2017-04-05,490125,8,432934,R,572821,R,66,Flyout,3,1,170405_200350,e4efe7ad-7b7a-4354-a671-25b57c93215d,0,1,1,C,Called Strike,SL,11,2.0,3.09,1.47,80.5,74.2,75.17,-0.91,50.0,6.72,-0.3,3.14,3.49,6.47,0.37,-116.82,-3.29,4.86,20.33,-23.16,12.0,7.2,24.0,2344,145,,,,,,,0,1,-8,bottom
2017-04-05,490125,8,432934,R,572821,R,66,Flyout,3,2,170405_200404,f868bd62-58c0-4f33-b039-99b14cf05a66,0,1,1,S,Swinging Strike,SL,12,2.0,3.75,1.53,81.6,74.3,51.95,-0.59,50.0,6.69,0.79,2.66,2.96,10.53,2.31,-118.19,-5.67,4.17,23.41,-17.35,14.4,6.0,24.0,2288,159,,,,,,,0,1,-8,bottom
2017-04-05,490125,8,432934,R,572821,R,66,Flyout,3,3,170405_200420,7fe79ab9-b80d-40a4-8b6f-3a54a0cb4e07,0,2,1,X,In play- out(s),SL,9,2.0,3.75,1.53,81.3,74.7,48.92,-0.6,50.0,6.47,0.66,1.48,3.22,9.63,1.95,-117.81,-7.61,4.54,21.96,-18.61,13.2,6.0,24.0,2301,155,,,,,,,0,1,-8,bottom
2017-04-05,490125,8,432934,R,596146,L,67,Single,5,1,170405_200452,4ae5875d-014e-4e3a-aee2-0c3b178aab4f,0,1,2,C,Called Strike,SL,13,2.0,3.61,1.76,81.9,75.0,83.62,-0.83,50.0,6.54,-0.76,1.9,3.45,10.01,-0.88,-118.8,-7.06,4.93,22.93,-17.87,14.4,6.0,24.0,2282,157,,,,596146,,,0,0,-8,bottom
2017-04-05,490125,8,432934,R,596146,L,67,Single,5,2,170405_200507,926462e3-a226-403d-9a9c-a9825930500e,0,2,2,F,Foul,FF,4,2.0,3.69,1.51,88.0,79.3,27.8,-0.43,50.0,6.41,-0.29,2.53,-3.59,17.67,1.51,-127.46,-9.01,-5.84,29.18,-3.46,44.4,2.4,24.0,2416,192,,,,596146,,,0,0,-8,bottom
2017-04-05,490125,8,432934,R,596146,L,67,Single,5,3,170405_200528,e24ce5a7-d972-47e6-9f78-5f6a7986e768,0,2,2,B,Ball,FF,12,2.0,3.63,1.88,87.9,79.2,48.54,-0.25,50.0,6.52,0.84,4.34,-3.63,15.82,3.91,-127.3,-4.18,-5.91,28.23,-6.43,34.8,2.4,24.0,2454,192,,,,596146,,,0,0,-8,bottom
2017-04-05,490125,8,432934,R,596146,L,67,Single,5,4,170405_200543,b1777f24-7797-460a-b808-fe409356ee16,1,2,2,F,Foul,SL,2,2.0,3.69,1.51,81.6,75.1,25.87,-0.49,50.0,6.58,-0.09,3.03,2.56,8.45,0.17,-118.54,-4.04,3.66,21.45,-20.09,9.6,6.0,24.0,2214,160,,,,596146,,,0,0,-8,bottom
2017-04-05,490125,8,432934,R,596146,L,67,Single,5,5,170405_200610,9df46b33-c233-41ee-bbac-fcad683bd35c,1,2,2,D,In play- no out,FF,9,2.0,3.69,1.51,88.9,80.5,45.83,-0.15,50.0,6.39,0.47,1.88,-3.84,16.6,2.84,-128.84,-10.51,-6.39,29.12,-4.53,39.6,2.4,24.0,2405,193,,,,596146,,,0,0,-8,bottom
2017-04-05,490125,8,432934,R,621439,R,68,Single,3,1,170405_200649,40ebebcf-5150-4496-ab35-441f17067136,0,0,2,B,Ball,SL,12,2.0,3.5,1.77,81.3,74.3,73.42,-0.86,50.0,6.73,1.2,3.91,0.17,7.91,4.75,-117.92,-2.04,0.24,22.51,-21.05,2.4,6.0,24.0,2390,173,596146,,,621439,596146,,0,0,-8,bottom
2017-04-05,490125,8,432934,R,621439,R,68,Single,3,2,170405_200704,9c7931af-c217-4c91-bee9-f36a75a03f08,1,0,2,S,Swinging Strike,SL,14,2.0,3.92,1.63,81.1,74.7,14.95,-0.63,50.0,6.58,1.52,2.29,2.31,8.12,4.31,-117.64,-5.53,3.25,21.36,-20.74,10.8,6.0,24.0,2310,156,596146,,,621439,596146,,0,0,-8,bottom
2017-04-05,490125,8,432934,R,621439,R,68,Single,3,3,170405_200725,34a91f22-d426-4e9a-926a-c5b5469a0787,1,1,2,D,In play- no out,SL,8,2.0,3.92,1.63,81.9,75.0,22.81,-0.86,50.0,6.54,-0.06,2.0,4.97,9.77,0.38,-118.78,-6.75,7.09,23.13,-18.24,20.4,6.0,24.0,2274,147,596146,,,621439,596146,,0,0,-8,bottom
2017-04-05,490125,8,432934,R,460269,R,69,Pop Out,3,1,170405_200821,b95fc996-68f0-47d5-a0b0-aadf6a2408c8,0,1,2,C,Called Strike,SL,4,2.0,3.79,1.75,81.4,73.7,56.85,-0.96,50.0,6.7,-0.3,2.44,0.41,9.14,1.4,-117.87,-5.65,0.57,24.89,-19.47,2.4,6.0,24.0,2253,175,621439,596146,,,,,0,1,-8,bottom
2017-04-05,490125,8,432934,R,460269,R,69,Pop Out,3,2,170405_200840,b8eb5046-5ab3-441f-b432-572d9f368fce,0,2,2,F,Foul,SL,4,2.0,3.76,1.73,81.1,73.2,36.94,-0.89,50.0,6.63,-0.66,2.43,0.29,8.09,0.45,-117.4,-5.12,0.39,25.19,-21.05,1.2,6.0,24.0,2158,176,621439,596146,,,,,0,1,-8,bottom
2017-04-05,490125,8,432934,R,460269,R,69,Pop Out,3,3,170405_200909,892809c5-78ca-462a-b317-78ab935cb9cd,0,2,2,X,In play- out(s),SL,2,2.0,3.84,1.59,81.9,74.9,24.11,-0.76,50.0,6.65,0.14,2.84,2.91,7.67,1.23,-118.89,-4.42,4.15,23.38,-21.22,10.8,6.0,24.0,2162,153,621439,596146,,,,,0,1,-8,bottom
2017-04-09,490183,7,432934,R,543807,R,54,Groundout,1,1,170409_202543,50212025-aef5-4865-a3cb-68220f507176,0,0,2,X,In play- out(s),SL,9,2.0,3.93,1.87,83.0,76.5,78.02,-0.45,50.0,6.52,0.6,2.17,-0.47,8.54,2.65,-120.51,-6.27,-0.69,22.2,-19.55,1.2,6.0,24.0,2178,181,,,,,,,0,1,0,bottom
2017-04-09,490183,8,432934,R,608324,R,58,Strikeout,6,1,170409_203337,215bc4f5-244f-48d4-8958-25042b79827a,0,1,0,C,Called Strike,SL,14,2.0,3.51,1.73,81.2,75.4,84.27,-0.44,50.0,6.55,0.79,1.99,2.05,6.57,2.27,-118.05,-5.82,2.92,20.02,-22.79,8.4,7.2,24.0,2154,155,,,,,,,0,1,0,bottom
2017-04-09,490183,8,432934,R,608324,R,58,Strikeout,6,2,170409_203351,94b13e78-e264-4b75-adf7-59921b1a3296,0,2,0,C,Called Strike,SL,9,2.0,3.51,1.69,80.3,74.8,48.04,-0.43,50.0,6.48,0.59,1.79,2.03,4.24,1.76,-116.79,-5.21,2.84,19.48,-26.25,6.0,8.4,24.0,2260,141,,,,,,,0,1,0,bottom
2017-04-09,490183,8,432934,R,608324,R,58,Strikeout,6,3,170409_203408,4bf5da3f-6595-4f6d-aae7-ae9c4dafe677,0,2,0,F,Foul,SL,14,2.0,3.47,1.69,81.5,75.5,53.96,-0.44,50.0,6.44,0.93,2.0,2.32,7.81,2.51,-118.38,-5.96,3.33,20.4,-20.97,9.6,6.0,24.0,2200,157,,,,,,,0,1,0,bottom
