Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-24,565809,1,477132,L,592200,R,0,Groundout,8,1,190416_021111,cc797e8a-ddf8-43aa-93c5-11d506a552d2,0,0,0,S,Called Strike,FF,3,2.0,3.42,1.55,90.2,83.1,,1.62,50.0,6.17,0.59,3.39,-0.32,10.65,-2.55,-131.32,-4.65,-0.56,25.51,-13.42,3.6,3.6,24.0,2419,183,,,,,,,0,1,0,top
2019-08-24,565809,1,477132,L,592200,R,0,Groundout,8,2,190416_021124,a25b1c83-b0bd-4b07-8319-ed54cc325fd2,0,1,0,S,Foul,SL,8,2.0,3.42,1.55,87.7,81.3,,1.6,50.0,6.17,-0.17,1.76,-2.19,6.07,-3.75,-127.62,-6.77,-3.65,23.88,-22.07,10.8,6.0,24.0,2539,205,,,,,,,0,1,0,top
2019-08-24,565809,1,477132,L,592200,R,0,Groundout,8,3,190416_021145,dccbfc36-686d-42ad-bba9-7b968631386f,0,1,0,S,Foul,SL,8,2.0,3.43,1.55,88.1,82.0,,1.58,50.0,6.11,-0.04,1.84,-1.94,4.84,-3.49,-128.26,-6.15,-3.28,23.2,-24.01,8.4,6.0,24.0,2675,208,,,,,,,0,1,0,top
2019-08-24,565809,1,477132,L,592200,R,0,Groundout,8,4,190416_021212,83274ec6-6f9f-4f99-8f51-3919a2189360,0,1,0,S,Foul,CU,14,2.0,3.43,1.55,74.5,69.0,,1.35,50.0,6.48,0.79,1.73,-2.08,-8.41,-0.6,-108.4,-0.29,-2.46,19.72,-42.13,3.6,14.4,24.0,2552,345,,,,,,,0,1,0,top
2019-08-24,565809,1,477132,L,592200,R,0,Groundout,8,5,190416_021231,565fcfcf-a539-479a-a85e-2f1da100def6,0,2,0,B,Ball,SL,12,2.0,3.44,1.55,89.2,82.5,,1.86,50.0,6.14,1.62,2.73,-2.82,5.52,0.33,-129.96,-4.41,-4.87,24.89,-22.64,12.0,6.0,24.0,2685,208,,,,,,,0,1,0,top
2019-08-24,565809,1,477132,L,592200,R,0,Groundout,8,6,190416_021249,ae5c5311-7965-4d33-8eec-5e105a3088d5,1,2,0,B,Ball,FF,11,2.0,3.42,1.54,91.2,83.8,,1.49,50.0,6.34,-0.24,5.15,1.45,9.55,-5.05,-132.89,-0.26,2.6,26.63,-14.99,6.0,3.6,24.0,2569,174,,,,,,,0,1,0,top
2019-08-24,565809,1,477132,L,592200,R,0,Groundout,8,7,190416_021306,19318fc3-99fd-4f9a-8563-1e62b2c84aaf,2,2,0,B,Ball,CU,14,2.0,3.42,1.55,74.2,69.2,,1.26,50.0,6.31,0.21,0.29,-3.25,-8.58,-1.35,-107.95,-2.9,-3.83,19.35,-42.27,4.8,14.4,24.0,2410,338,,,,,,,0,1,0,top
2019-08-24,565809,1,477132,L,592200,R,0,Groundout,8,8,190416_021337,99ad611d-2ceb-4539-a9dd-26c0a5ef34de,3,2,0,X,In play- out(s),SL,9,2.0,3.41,1.55,88.4,82.0,,1.65,50.0,6.03,0.48,1.75,-2.27,6.15,-2.24,-128.78,-6.66,-3.84,24.43,-21.75,10.8,6.0,24.0,2721,204,,,,,,,0,1,0,top
2019-08-24,565809,1,477132,L,553993,R,1,Single,1,1,190416_021416,81a35083-4218-47fe-a278-524f4c9bf7a5,0,0,1,X,In play- no out,FF,5,2.0,3.64,1.62,90.3,82.6,,1.61,50.0,6.09,-0.04,2.89,-0.5,10.84,-4.09,-131.44,-5.76,-0.88,28.15,-13.24,7.2,3.6,24.0,2507,185,,,,553993,,,0,0,0,top
2019-08-24,565809,1,477132,L,624577,R,2,Home Run,5,1,190416_021453,e18bb7f7-941f-4fe7-8bde-3baccaaff8ad,0,0,1,S,Foul,SL,7,2.0,3.53,1.62,87.5,80.4,,1.22,50.0,6.15,-0.47,2.08,-3.7,5.9,-3.04,-127.27,-5.73,-6.07,26.3,-22.51,15.6,6.0,24.0,2794,217,553993,,,,,,2,0,0,top
2019-08-24,565809,1,477132,L,624577,R,2,Home Run,5,2,190416_021524,9e5822a6-4712-4922-b586-660df700a19b,0,1,1,S,Swinging Strike,CU,14,2.0,3.55,1.62,74.9,69.4,,0.96,50.0,6.47,0.4,0.89,-0.7,-8.49,-1.01,-108.92,-2.1,-0.83,20.43,-42.3,1.2,14.4,24.0,2494,354,553993,,,,,,2,0,0,top
2019-08-24,565809,1,477132,L,624577,R,2,Home Run,5,3,190416_021610,5815cbe1-b6e8-406e-999e-389f4545e054,0,2,1,B,Ball,FF,12,2.0,3.55,1.62,90.5,82.8,,1.26,50.0,6.36,0.27,5.51,-1.16,9.81,-2.2,-131.85,0.64,-2.05,27.62,-14.88,9.6,3.6,24.0,2372,188,553993,,,,,,2,0,0,top
