Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-26,566087,9,592102,R,595777,L,71,Pop Out,7,1,190330_045333,12e12f4b-bb43-4e37-af34-3d610fef61c1,0,0,0,B,Ball,FF,12,2.0,3.43,1.66,91.1,82.8,,-1.46,50.0,5.92,1.05,3.11,-7.37,12.48,9.03,-132.22,-5.4,-13.01,29.06,-10.15,44.4,3.6,24.0,2490,207,,,,,,,0,1,4,bottom
2019-08-26,566087,9,592102,R,595777,L,71,Pop Out,7,2,190330_045350,cb4beff0-a29c-4ba0-867d-33cd3ec9ac8f,1,0,0,B,Ball,FF,14,2.0,3.39,1.65,91.4,83.4,,-1.34,50.0,5.88,1.76,2.39,-6.84,12.72,10.44,-132.58,-7.31,-12.17,28.65,-9.56,42.0,3.6,24.0,2497,204,,,,,,,0,1,4,bottom
2019-08-26,566087,9,592102,R,595777,L,71,Pop Out,7,3,190330_045412,466f12ab-3d98-4077-974b-be06494bfac9,2,0,0,B,Ball,FF,14,2.0,3.4,1.64,91.1,83.0,,-1.25,50.0,5.73,1.35,1.3,-5.71,13.48,8.71,-132.15,-9.93,-10.07,29.14,-8.42,37.2,3.6,24.0,2420,200,,,,,,,0,1,4,bottom
2019-08-26,566087,9,592102,R,595777,L,71,Pop Out,7,4,190330_045430,29a69ab0-90de-46a2-88e1-a39794684e04,3,0,0,S,Called Strike,FF,2,2.0,3.38,1.64,91.5,83.0,,-1.56,50.0,5.85,0.1,2.98,-7.48,11.99,6.89,-132.91,-5.42,-13.3,30.16,-10.86,44.4,3.6,24.0,2423,209,,,,,,,0,1,4,bottom
2019-08-26,566087,9,592102,R,595777,L,71,Pop Out,7,5,190330_045448,111ff274-f9d8-45e2-9fba-de89c37fc4ca,3,1,0,S,Foul,FF,14,2.0,3.37,1.53,91.4,82.7,,-1.43,50.0,5.84,0.91,2.12,-7.31,12.3,8.55,-132.67,-7.67,-12.88,31.43,-10.5,42.0,3.6,24.0,2419,208,,,,,,,0,1,4,bottom
2019-08-26,566087,9,592102,R,595777,L,71,Pop Out,7,6,190330_045525,80d5d852-06d7-4107-a51f-806e585a0b71,3,1,0,S,Foul,FF,14,2.0,3.37,1.53,91.8,83.9,,-1.48,50.0,5.68,0.73,1.64,-8.17,12.88,8.59,-133.15,-8.89,-14.68,28.29,-9.02,50.4,3.6,24.0,2467,210,,,,,,,0,1,4,bottom
2019-08-26,566087,9,592102,R,595777,L,71,Pop Out,7,7,190330_045554,2798f881-0d0f-40fe-ab43-0a0bff1889a7,3,2,0,X,In play- out(s),FF,11,2.0,3.37,1.53,92.2,84.0,,-1.54,50.0,5.92,-0.45,3.84,-9.09,10.64,6.01,-134.14,-3.06,-16.51,29.78,-12.85,48.0,4.8,24.0,2360,218,,,,,,,0,1,4,bottom
2019-08-26,566087,9,592102,R,543760,R,72,Walk,4,1,190330_045634,c659f06f-eeaf-4f43-a8f7-a6b20cf4f83b,0,0,1,B,Ball,FF,14,2.0,3.37,1.49,91.5,83.7,,-1.52,50.0,5.62,0.36,0.27,-8.93,12.45,7.96,-132.58,-12.1,-15.9,28.33,-10.01,49.2,4.8,24.0,2476,215,,,,543760,,,0,0,4,bottom
2019-08-26,566087,9,592102,R,543760,R,72,Walk,4,2,190330_045658,692ff1a1-e73e-4db2-8763-5f0b4e736f69,1,0,1,B,Ball,FF,12,2.0,3.35,1.52,91.4,83.5,,-1.58,50.0,6.02,0.31,4.21,-7.36,10.05,7.49,-133.05,-2.06,-13.21,28.28,-14.15,38.4,4.8,24.0,2308,213,,,,543760,,,0,0,4,bottom
2019-08-26,566087,9,592102,R,543760,R,72,Walk,4,3,190330_045715,22d07126-cb69-4d04-a444-e234bd5f62dc,2,0,1,B,Ball,FF,14,2.0,3.35,1.52,91.6,83.4,,-1.53,50.0,5.64,0.58,1.03,-9.03,12.69,8.58,-132.75,-10.21,-16.06,29.36,-9.6,50.4,4.8,24.0,2627,214,,,,543760,,,0,0,4,bottom
2019-08-26,566087,9,592102,R,543760,R,72,Walk,4,4,190330_045734,8aa54d18-1cc0-4dcd-9b42-4ddf4e292f9c,3,0,1,B,Ball,FF,12,2.0,3.31,1.52,91.4,82.7,,-1.5,50.0,5.96,0.81,4.11,-8.43,11.73,8.9,-132.79,-2.66,-14.93,30.73,-11.41,46.8,3.6,24.0,2503,212,,,,543760,,,0,0,4,bottom
2019-08-26,566087,9,592102,R,657656,R,73,Strikeout,4,1,190330_045829,09d1d611-bdf9-48f7-8a1a-ee8648f31add,0,0,1,S,Called Strike,FF,5,2.0,3.25,1.51,91.3,83.6,,-1.52,50.0,5.77,-0.03,2.25,-9.37,11.07,7.11,-132.65,-6.86,-16.74,27.79,-12.41,48.0,4.8,24.0,2592,219,543760,,,,,,0,1,4,bottom
2019-08-26,566087,9,592102,R,657656,R,73,Strikeout,4,2,190330_045853,052d5ea2-f72b-4d80-8f31-2ac9ca5c6eb5,0,1,1,B,Ball In Dirt,KC,14,2.0,3.27,1.51,82.2,76.6,,-1.59,50.0,5.78,1.64,-0.04,2.3,-3.86,6.92,-119.5,-5.75,3.33,22.78,-37.76,6.0,10.8,24.0,2688,35,543760,,,,,,0,1,4,bottom
2019-08-26,566087,9,592102,R,657656,R,73,Strikeout,4,3,190330_045929,c3e9a7ff-fdf9-46a9-94c3-347e1d05dd1a,1,1,1,S,Called Strike,FF,14,2.0,3.22,1.51,91.4,83.7,,-1.44,50.0,5.68,0.96,1.67,-7.36,12.01,8.79,-132.59,-8.45,-13.13,27.59,-10.74,42.0,3.6,24.0,2513,209,543760,,,,,,0,1,4,bottom
2019-08-26,566087,9,592102,R,657656,R,73,Strikeout,4,4,190330_045956,9ba1316e-9dc3-4de3-8574-582b85095d96,1,2,1,S,Swinging Strike (Blocked),KC,14,2.0,3.32,1.51,81.7,76.3,,-1.76,50.0,5.81,0.6,0.73,4.87,-2.81,4.08,-118.91,-4.28,7.02,21.11,-36.23,12.0,10.8,24.0,2628,59,543760,,,,,,0,1,4,bottom
2019-08-26,566087,9,592102,R,640461,R,74,Pop Out,1,1,190330_050043,5d902a32-5e95-4ffe-a56b-a421bbf60f54,0,0,2,X,In play- out(s),KC,14,2.0,3.47,1.59,81.5,74.4,,-1.65,50.0,5.96,0.85,2.25,4.99,-6.5,4.32,-118.5,0.24,6.99,25.66,-41.28,10.8,12.0,24.0,2807,42,,,,,,,0,1,4,bottom
2019-08-26,564734,9,592102,R,523253,R,79,Strikeout,6,1,190405_054230,d4a1bf63-e881-47a0-b8d2-e3a10751528a,0,0,0,S,Foul,FF,3,2.0,3.16,1.36,92.7,84.7,,-1.05,50.0,5.74,0.52,2.83,-7.11,11.38,6.64,-134.68,-5.63,-13.08,28.79,-11.24,43.2,3.6,24.0,2538,210,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,523253,R,79,Strikeout,6,2,190405_054248,d634f016-5b92-408b-90f2-e3c321808867,0,1,0,B,Ball,KC,14,2.0,3.39,1.72,82.4,76.3,,-1.45,50.0,5.76,0.2,0.92,5.13,-6.22,2.32,-119.98,-2.74,7.46,23.88,-41.22,10.8,12.0,24.0,2555,40,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,523253,R,79,Strikeout,6,3,190405_054305,16898671-35eb-4889-8298-0d268366e082,1,1,0,B,Ball,KC,13,2.0,3.34,1.62,82.7,76.5,,-1.37,50.0,5.79,-0.04,0.94,4.54,-5.27,1.75,-120.3,-3.12,6.65,23.6,-39.88,9.6,10.8,24.0,2624,40,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,523253,R,79,Strikeout,6,4,190405_054323,fff35b2a-9fbd-40cd-b0ae-87371fe95fd5,2,1,0,S,Called Strike,FF,14,2.0,3.34,1.51,93.2,85.1,,-1.1,50.0,5.65,0.75,1.68,-7.67,10.65,7.6,-135.34,-8.27,-14.2,29.99,-12.45,42.0,3.6,24.0,2483,214,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,523253,R,79,Strikeout,6,5,190405_054347,61caf20d-bfa8-48db-8a03-a14695a4f0d0,2,1,0,S,Foul,FF,6,2.0,2.93,1.27,93.5,85.1,,-1.12,50.0,5.68,0.49,2.29,-8.49,10.31,7.26,-135.73,-6.63,-15.79,30.55,-13.0,44.4,4.8,24.0,2503,218,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,523253,R,79,Strikeout,6,6,190405_054417,820d5d94-4e7b-4ece-87c5-5bfd8d876968,2,2,0,S,Swinging Strike,KC,1,2.0,2.9,1.15,83.1,76.7,,-1.39,50.0,5.93,-0.51,3.25,4.86,-3.94,0.6,-120.89,1.54,7.24,22.43,-38.03,10.8,10.8,24.0,2521,54,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,643396,R,80,Groundout,5,1,190405_054447,e657ff67-dd29-469d-a386-fbe93c53d739,0,0,1,S,Called Strike,FF,3,2.0,3.3,1.57,93.1,84.4,,-1.14,50.0,5.72,0.39,3.21,-6.3,12.24,6.25,-135.31,-4.88,-11.6,31.41,-9.63,43.2,3.6,24.0,2738,205,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,643396,R,80,Groundout,5,2,190405_054503,903b4ca8-6eea-4b5a-aa16-1a4df22dc825,0,1,1,S,Called Strike,KC,6,2.0,3.26,1.56,83.2,76.8,,-1.33,50.0,5.84,0.36,2.37,4.36,-4.14,2.69,-121.02,-0.28,6.48,23.05,-38.33,10.8,10.8,24.0,2807,49,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,643396,R,80,Groundout,5,3,190405_054519,0a88d81d-a8a0-4d0a-a187-50268785d0f5,0,2,1,B,Ball,KC,14,2.0,3.26,1.49,82.1,75.3,,-1.09,50.0,5.87,1.52,2.2,5.22,-4.95,4.53,-119.41,-0.26,7.48,24.67,-39.27,12.0,10.8,24.0,2782,50,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,643396,R,80,Groundout,5,4,190405_054536,aa0b89dd-e855-483e-82ab-4f2ed7e11e65,1,2,1,B,Ball,FF,12,2.0,3.31,1.51,93.6,85.2,,-0.93,50.0,5.73,1.48,2.86,-9.55,10.66,9.77,-135.9,-5.4,-17.81,30.47,-12.3,49.2,4.8,24.0,2782,219,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,643396,R,80,Groundout,5,5,190405_054557,8075fe1d-0b2a-4121-a079-2fb38ad98e70,2,2,1,X,In play- out(s),KC,5,2.0,2.98,1.26,82.3,75.6,,-1.34,50.0,5.86,-0.04,2.15,5.32,-4.86,1.44,-119.74,-0.44,7.68,24.1,-39.19,10.8,10.8,24.0,2698,49,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,592261,R,81,Pop Out,6,1,190405_054633,a63488c4-9b1f-4438-9949-4c8a56e2a7ba,0,0,2,B,Ball,FF,13,2.0,3.47,1.79,92.8,84.1,,-1.15,50.0,5.53,-0.38,1.36,-9.84,13.08,5.42,-134.65,-9.45,-17.89,31.77,-8.38,57.6,4.8,24.0,2712,217,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,592261,R,81,Pop Out,6,2,190405_054650,85487221-8834-4f4f-94bd-cb1e95dff096,1,0,2,S,Foul,FF,8,2.0,2.96,1.32,93.2,84.5,,-1.15,50.0,5.6,-0.2,1.66,-9.47,13.04,5.79,-135.29,-8.96,-17.4,31.9,-8.22,57.6,4.8,24.0,2779,215,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,592261,R,81,Pop Out,6,3,190405_054714,b2769677-e427-437a-861f-d14818b04a84,1,1,2,B,Ball,KC,12,2.0,3.39,1.69,81.7,75.3,,-1.27,50.0,5.89,0.67,3.53,7.01,-2.99,2.42,-118.85,2.22,10.05,22.18,-36.46,15.6,10.8,24.0,2469,71,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,592261,R,81,Pop Out,6,4,190405_054743,43ae0a6b-52da-4837-91ad-a0c3f2ee1458,2,1,2,S,Foul,FF,11,2.0,3.05,1.33,93.1,84.4,,-1.22,50.0,5.7,-0.22,3.29,-6.83,11.71,5.01,-135.39,-4.44,-12.58,31.74,-10.62,44.4,3.6,24.0,2760,208,,,,,,,0,1,-8,top
2019-08-26,564734,9,592102,R,592261,R,81,Pop Out,6,5,190405_054806,e639a61d-c104-493c-9cae-aa2f555d2d8d,2,2,2,B,Ball,KC,12,2.0,3.44,1.67,83.2,76.2,,-1.2,50.0,5.9,0.73,3.58,6.4,-4.2,2.64,-121.04,2.49,9.45,24.53,-38.38,14.4,10.8,24.0,2805,61,,,,,,,0,1,-8,top
