Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-03,490101,7,608349,R,453568,L,56,Forceout,3,1,170403_203503,0cc16f2a-1cb0-4b09-b0a7-3e29a2a95c70,0,0,1,B,Ball,FF,14,2.0,3.48,1.61,97.2,87.7,76.42,-2.42,50.0,5.8,0.65,1.26,-5.19,10.55,10.34,-140.79,-10.48,-10.26,36.42,-11.31,28.8,3.6,24.0,2540,202,506924,547172,,,,547172,1,1,1,top
2017-04-03,490101,7,608349,R,453568,L,56,Forceout,3,2,170403_203526,a9707d52-05dd-4a09-bf52-992760c28608,1,0,1,B,Ball In Dirt,KC,14,2.0,3.39,1.57,82.6,75.3,33.04,-2.3,50.0,5.83,1.36,0.83,5.94,-7.38,6.79,-119.9,-2.62,8.45,28.01,-42.67,13.2,13.2,24.0,2658,42,506924,547172,,,,547172,1,1,1,top
2017-04-03,490101,7,608349,R,453568,L,56,Forceout,3,3,170403_203619,b7895111-42e9-443f-936d-d69565bf8d73,2,0,1,X,In play- run(s),FF,8,2.0,3.4,1.57,98.0,89.4,36.29,-2.28,50.0,5.78,-0.03,1.63,-3.69,12.27,7.64,-142.14,-10.37,-7.54,33.12,-7.11,31.2,2.4,24.0,2417,194,506924,547172,,,,547172,1,1,1,top
2017-04-03,490101,7,608349,R,518934,R,57,Strikeout,4,1,170403_203718,ec735b8a-662a-43e3-963c-cb2f9d5461c7,0,0,2,S,Called Strike,FF,4,2.0,3.5,1.57,96.5,86.9,52.89,-2.17,50.0,5.98,-0.42,2.48,-3.49,13.38,6.08,-140.17,-8.54,-6.84,36.28,-5.96,32.4,2.4,24.0,2560,192,,,547172,,453568,,1,1,0,top
2017-04-03,490101,7,608349,R,518934,R,57,Strikeout,4,2,170403_203747,dc1a0200-0fca-47b6-8bb1-063383dac3e7,0,1,2,B,Ball,KC,9,2.0,3.58,1.81,82.2,75.0,58.2,-2.26,50.0,6.11,0.53,1.86,5.11,-5.01,4.98,-119.48,-1.56,7.26,26.63,-39.3,12.0,12.0,24.0,,49,,,547172,,453568,,1,1,0,top
2017-04-03,490101,7,608349,R,518934,R,57,Strikeout,4,3,170403_203813,498d35d7-aea7-4eac-9e77-a64dc2f087e9,1,1,2,S,Swinging Strike,FF,4,2.0,3.29,1.57,96.8,87.5,32.21,-2.14,50.0,6.05,-0.27,2.9,-5.32,11.03,7.06,-140.63,-6.82,-10.52,35.49,-10.36,36.0,3.6,24.0,2470,203,,,547172,,453568,,1,1,0,top
2017-04-03,490101,7,608349,R,518934,R,57,Strikeout,4,4,170403_203901,898a95aa-1f72-4c07-9d29-5d7227df0d92,1,2,2,S,Called Strike,KC,9,2.0,3.18,1.57,82.4,75.1,52.97,-2.22,50.0,6.16,0.52,2.13,5.36,-7.11,4.8,-119.81,-0.43,7.64,27.15,-42.31,10.8,12.0,24.0,2671,41,,,547172,,453568,,1,1,0,top
2017-04-06,490123,8,608349,R,572863,R,54,Groundout,1,1,170406_022836,43fd08b0-44d5-427a-94ab-b0ff7531d20b,0,0,0,X,In play- out(s),FF,13,2.0,3.73,1.53,96.0,88.0,65.49,-2.13,50.0,6.06,-1.21,2.39,-5.07,11.95,4.35,-139.65,-8.57,-10.03,30.8,-8.52,40.8,2.4,24.0,2371,202,,,,,,,0,1,4,top
2017-04-06,490123,8,608349,R,453568,L,55,Strikeout,7,1,170406_022923,08e03f63-e885-4710-b126-c6fc722bbd02,0,0,1,S,Called Strike,FF,13,2.0,3.57,1.87,96.2,87.5,68.71,-2.44,50.0,5.86,-1.04,2.32,-4.1,14.07,5.33,-139.71,-8.93,-8.08,32.72,-4.49,45.6,2.4,24.0,2623,194,,,,,,,0,1,4,top
2017-04-06,490123,8,608349,R,453568,L,55,Strikeout,7,2,170406_022941,e5f8ad9f-f8e4-4c86-9732-ac9503e97b0e,0,1,1,B,Ball,KC,14,2.0,3.66,1.85,81.1,74.2,39.36,-2.36,50.0,6.11,0.39,1.12,4.17,-7.51,5.09,-117.8,-2.31,5.77,25.89,-42.55,8.4,13.2,24.0,2699,33,,,,,,,0,1,4,top
