Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-09-13,492267,6,543508,R,500871,L,51,Home Run,5,1,170913_020139,1d6772a5-82c9-47a1-ac97-64a2cd05b39a,0,0,0,B,Ball,SL,11,2.0,3.41,1.49,82.9,76.8,86.09,-1.75,50.0,5.91,-1.19,3.19,3.52,-1.34,0.23,-120.52,0.65,5.24,20.93,-34.17,8.4,9.6,24.0,2665,60,,,,,,,1,0,-12,bottom
2017-09-13,492267,6,543508,R,500871,L,51,Home Run,5,2,170913_020153,44f8cd48-3ad2-48a3-8c9a-edc281712fa0,1,0,0,S,Foul,FF,12,2.0,2.94,1.18,95.3,86.7,39.6,-1.4,50.0,5.87,0.14,2.97,-2.86,13.65,5.23,-138.26,-6.85,-5.53,31.12,-5.78,31.2,1.2,24.0,2230,190,,,,,,,1,0,-12,bottom
2017-09-13,492267,6,543508,R,500871,L,51,Home Run,5,3,170913_020213,7f9ff823-ad71-4949-8358-b5ec2337f02a,1,1,0,B,Ball,FF,12,2.0,3.15,1.46,95.0,87.3,38.48,-1.1,50.0,6.0,0.55,3.73,-3.32,11.89,5.7,-137.94,-4.55,-6.47,27.71,-9.02,28.8,2.4,24.0,2212,194,,,,,,,1,0,-12,bottom
2017-09-13,492267,6,543508,R,500871,L,51,Home Run,5,4,170913_020230,fd59c2fe-75f2-4879-8b80-9a467d0d87a9,2,1,0,S,Swinging Strike,FF,4,2.0,2.94,1.18,93.5,86.5,44.05,-1.31,50.0,5.71,-0.7,2.09,-4.79,8.87,3.33,-135.85,-6.93,-9.07,25.98,-15.37,26.4,3.6,24.0,2197,210,,,,,,,1,0,-12,bottom
2017-09-13,492267,6,543508,R,500871,L,51,Home Run,5,5,170913_020302,c1d4fa5a-2487-4a59-86c7-76d588909a57,2,2,0,X,In play- run(s),SL,12,2.0,2.94,1.18,84.3,77.8,38.99,-1.38,50.0,5.82,0.74,2.09,4.08,3.05,3.87,-122.42,-3.35,6.22,23.04,-27.53,13.2,7.2,24.0,2637,112,,,,,,,1,0,-12,bottom
2017-09-13,492267,6,543508,R,643335,L,52,Groundout,5,1,170913_020348,592de9db-9577-4b3a-b15c-e66649ac8a05,0,0,0,B,Ball,FF,13,2.0,3.36,1.57,95.1,87.2,60.41,-1.38,50.0,5.56,-0.18,1.48,-7.87,10.8,6.07,-137.84,-9.08,-15.22,29.05,-11.28,46.8,3.6,24.0,2392,218,,,,,,,0,1,-13,bottom
2017-09-13,492267,6,543508,R,643335,L,52,Groundout,5,2,170913_020403,050e6761-7141-4475-aa35-3124b3827b34,1,0,0,B,Ball,FF,13,2.0,3.39,1.58,95.3,88.2,40.12,-1.35,50.0,5.5,-0.6,1.06,-7.42,7.94,4.72,-138.42,-9.19,-14.58,27.3,-16.59,37.2,4.8,24.0,2285,227,,,,,,,0,1,-13,bottom
2017-09-13,492267,6,543508,R,643335,L,52,Groundout,5,3,170913_020420,69470a20-ac3b-4657-93f8-8f2f5e3bef92,2,0,0,B,Ball,FF,13,2.0,3.38,1.54,95.0,87.4,48.22,-1.56,50.0,5.69,-1.15,2.44,-6.44,9.75,3.42,-137.96,-6.48,-12.52,28.16,-13.23,39.6,3.6,24.0,2347,215,,,,,,,0,1,-13,bottom
2017-09-13,492267,6,543508,R,643335,L,52,Groundout,5,4,170913_020438,1cfdc593-df91-4660-ba7c-efcac018ad77,3,0,0,S,Called Strike,FF,4,2.0,3.39,1.57,94.5,86.5,32.97,-1.35,50.0,5.84,-0.3,2.66,-6.34,11.69,5.1,-137.11,-6.83,-12.13,28.87,-9.8,44.4,3.6,24.0,2339,209,,,,,,,0,1,-13,bottom
2017-09-13,492267,6,543508,R,643335,L,52,Groundout,5,5,170913_020456,9b5eb594-214e-4f4e-82f1-1ae2fa608e40,3,1,0,X,In play- out(s),FF,8,2.0,3.64,1.38,93.9,86.2,33.27,-1.23,50.0,5.59,0.06,1.74,-5.72,11.64,5.47,-136.16,-8.49,-10.82,27.93,-10.16,39.6,3.6,24.0,2354,206,,,,,,,0,1,-13,bottom
2017-09-13,492267,6,543508,R,592696,L,53,Groundout,2,1,170913_020539,717f49ef-a81a-4d34-a2be-4cf78f0672e6,0,0,1,B,Ball,CH,14,2.0,3.06,1.65,84.9,77.0,40.2,-1.44,50.0,5.52,0.04,0.58,-4.54,8.63,5.0,-123.02,-7.99,-6.86,27.3,-19.12,15.6,6.0,24.0,1313,210,,,,,,,0,1,-13,bottom
