Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-06-05,530304,9,605486,R,622666,L,75,Walk,7,1,180606_045303,a0d5d0f3-266e-432b-8f15-6550262fcd93,0,1,0,C,Called Strike,CH,4,0.93,3.67,1.85,84.9,76.9,50.51,-0.29,50.0,5.78,-0.46,2.69,-6.5,9.08,1.62,-123.39,-3.73,-9.91,27.07,-18.34,26.4,6.0,24.0,2127,215,,,,622666,,,0,0,-13,top
2018-06-05,530304,9,605486,R,622666,L,75,Walk,7,2,180606_045315,ac10ae83-3438-4bc0-a463-93096bc4cb35,0,1,0,B,Ball,CH,13,0.92,3.73,1.84,86.2,78.5,42.2,-0.4,50.0,5.9,-1.21,2.6,-7.72,8.86,0.46,-125.26,-4.46,-12.2,26.55,-18.18,32.4,6.0,24.0,2014,222,,,,622666,,,0,0,-13,top
2018-06-05,530304,9,605486,R,622666,L,75,Walk,7,3,180606_045331,609be413-6128-4024-9ddc-392b16618704,1,2,0,F,Foul,CH,2,0.94,3.6,1.38,85.3,77.7,25.66,-0.09,50.0,5.93,0.17,3.06,-7.86,8.37,3.14,-124.0,-3.07,-12.18,25.88,-19.21,30.0,6.0,24.0,1955,222,,,,622666,,,0,0,-13,top
2018-06-05,530304,9,605486,R,622666,L,75,Walk,7,4,180606_045341,a42b9b0a-9602-44a7-a3a2-80da32635fed,1,2,0,B,Ball,FF,11,0.79,3.76,1.89,88.3,80.8,30.58,-0.32,50.0,6.2,-0.43,5.48,-5.83,8.45,1.64,-128.35,1.72,-9.77,25.3,-18.01,27.6,4.8,24.0,2150,212,,,,622666,,,0,0,-13,top
2018-06-05,530304,9,605486,R,622666,L,75,Walk,7,5,180606_045353,56063485-4b5d-4a78-9b55-c5204e755440,2,2,0,B,Ball,CH,11,0.64,3.77,1.84,83.4,76.6,29.79,-0.57,50.0,5.87,-1.79,3.87,-7.35,4.9,-0.63,-121.29,0.38,-11.0,22.81,-24.84,24.0,7.2,24.0,2015,235,,,,622666,,,0,0,-13,top
2018-06-05,530304,9,605486,R,622666,L,75,Walk,7,6,180606_045404,77b279dd-20fd-43c8-8018-8ad365033095,3,2,0,F,Foul,CH,11,0.92,3.6,1.38,84.6,77.5,51.66,-0.55,50.0,5.86,-0.72,3.54,-6.4,8.39,1.62,-123.01,-1.68,-9.82,23.94,-19.29,26.4,6.0,24.0,2091,216,,,,622666,,,0,0,-13,top
2018-06-05,530304,9,605486,R,622666,L,75,Walk,7,7,180606_045423,e8378a6c-e11b-4d51-be01-5aa4c12e25e7,3,2,0,B,Ball,CH,11,0.92,3.77,1.78,84.0,76.7,22.65,-0.44,50.0,6.06,-0.35,4.96,-5.73,8.18,2.02,-122.13,1.45,-8.67,23.63,-19.8,22.8,6.0,24.0,2150,212,,,,622666,,,0,0,-13,top
2018-06-05,530304,9,605486,R,488721,R,76,Single,2,1,180606_045450,67bb9acb-7869-4683-b011-21c9c44eaf4e,0,0,0,B,Ball,CH,11,0.73,3.73,1.79,83.3,76.3,69.9,-0.37,50.0,6.01,-0.52,4.07,-9.75,5.19,2.68,-121.12,0.46,-14.52,23.04,-24.44,30.0,7.2,24.0,2023,239,622666,,,488721,622666,,0,0,-13,top
2018-06-05,530304,9,605486,R,488721,R,76,Single,2,2,180606_045509,160d0bbf-b20c-4be3-8e0e-32b44d430713,1,0,0,D,In play- no out,CH,2,0.89,3.42,1.54,83.6,76.6,32.02,-0.31,50.0,5.82,0.23,3.22,-6.02,9.65,3.17,-121.61,-2.57,-9.04,23.16,-17.68,25.2,6.0,24.0,2102,210,622666,,,488721,622666,,0,0,-13,top
2018-06-05,530304,9,605486,R,592426,R,77,Grounded Into DP,3,1,180606_045530,ae6cc0b3-4029-4de9-8b94-77cfd90618e0,0,0,0,B,Ball,CH,12,0.91,3.66,1.66,83.5,76.0,80.01,-0.03,50.0,6.06,1.29,3.93,-5.41,9.72,4.84,-121.34,-1.4,-8.03,24.6,-17.74,21.6,4.8,24.0,2059,205,488721,622666,,,,622666,0,2,-13,top
2018-06-05,530304,9,605486,R,592426,R,77,Grounded Into DP,3,2,180606_045541,0b0fa3e9-74c9-44c2-b4bb-5c1431009371,1,1,0,F,Foul,CH,4,0.55,3.7,1.44,82.5,75.8,32.48,-0.34,50.0,5.76,-0.47,2.21,-8.71,7.96,2.37,-119.95,-4.07,-12.71,22.8,-20.56,30.0,7.2,24.0,1921,227,488721,622666,,,,622666,0,2,-13,top
2018-06-05,530304,9,605486,R,592426,R,77,Grounded Into DP,3,3,180606_045558,e14a6567-3d24-43d0-910e-704efa115fdb,1,1,0,X,In play- out(s),CH,5,0.71,3.7,1.44,82.7,75.1,14.22,-0.19,50.0,5.93,0.04,2.69,-9.4,7.88,3.45,-120.13,-3.25,-13.62,25.12,-20.76,31.2,7.2,24.0,2036,229,488721,622666,,,,622666,0,2,-13,top
