Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-04-28,529806,8,592769,L,608369,L,62,Groundout,1,1,180429_044714,2b75ed7e-3c8d-4852-b028-d95001109161,0,0,0,X,In play- out(s),FF,4,2.0,3.35,1.39,89.2,81.7,43.65,1.28,50.0,6.29,-0.28,2.6,8.56,4.55,-6.86,-129.73,-4.68,14.57,27.36,-24.42,27.6,7.2,24.0,1601,118,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,518735,R,63,Strikeout,7,1,180429_044745,5044e6ec-ef6e-4f0c-9306-74f4fed1d85b,0,1,1,C,Called Strike,FF,2,2.0,3.26,1.41,89.3,83.1,43.08,1.17,50.0,6.36,0.04,2.97,7.29,4.38,-5.37,-129.94,-4.02,12.7,22.61,-24.55,25.2,6.0,24.0,1568,121,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,518735,R,63,Strikeout,7,2,180429_044758,e8eab213-3039-44eb-ac44-fd7ae8e32e19,0,1,1,B,Ball,FF,12,2.0,3.32,1.39,88.6,82.2,56.1,1.38,50.0,6.45,0.67,3.45,7.43,4.67,-4.31,-129.1,-2.97,12.71,23.57,-24.19,26.4,6.0,24.0,1566,122,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,518735,R,63,Strikeout,7,3,180429_044810,bffb8b75-c68c-482d-825a-e9a0ad0b116a,1,1,1,S,Swinging Strike,CH,8,2.0,3.19,1.39,77.2,71.7,27.14,1.15,50.0,6.27,-0.18,1.76,6.13,1.6,-4.74,-112.38,-3.25,7.89,19.12,-30.11,13.2,9.6,24.0,1845,103,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,518735,R,63,Strikeout,7,4,180429_044824,2dbd41ab-f13b-41ab-8414-b1f71638d686,1,2,1,F,Foul,CH,9,2.0,3.32,1.46,77.9,72.0,40.46,1.15,50.0,6.29,0.54,1.78,7.84,2.25,-3.66,-113.31,-3.58,10.23,20.12,-29.24,18.0,9.6,24.0,1879,104,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,518735,R,63,Strikeout,7,5,180429_044844,9766ff61-76b5-46d1-a758-66152ae3a266,1,2,1,B,Ball,FF,12,2.0,3.23,1.44,91.0,83.5,44.81,1.28,50.0,6.29,1.12,2.36,6.68,6.09,-2.69,-132.25,-6.17,11.84,27.93,-21.37,26.4,6.0,24.0,1814,130,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,518735,R,63,Strikeout,7,6,180429_044858,877a1763-906b-4fd4-8698-4f225738793d,2,2,1,F,Foul,FF,11,2.0,3.23,1.39,90.2,82.6,44.46,1.11,50.0,6.2,-0.96,2.37,7.12,7.07,-7.75,-130.96,-6.07,12.38,27.33,-19.88,27.6,6.0,24.0,1890,136,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,518735,R,63,Strikeout,7,7,180429_044911,dcbfa9be-40f1-48dc-979f-757a1b923ee0,2,3,1,W,Swinging Strike (Blocked),CH,14,2.0,3.23,1.41,79.2,73.2,29.78,1.0,50.0,6.2,0.55,0.77,9.33,3.77,-3.78,-115.18,-6.37,12.53,21.52,-27.11,22.8,9.6,24.0,1845,109,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,641355,L,64,Flyout,10,1,180429_044943,513b4d6d-55fe-4a57-9054-53819f1ccf70,0,1,2,C,Called Strike,FF,2,2.0,3.65,1.73,90.2,83.5,46.03,1.26,50.0,6.34,-0.23,3.15,6.31,6.84,-6.02,-131.23,-4.46,11.13,24.54,-20.09,25.2,4.8,24.0,1630,138,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,641355,L,64,Flyout,10,2,180429_045002,81296178-4d9c-4671-a711-5f9ce55bfad5,0,1,2,B,Ball,SL,14,2.0,3.67,1.61,81.4,76.1,22.66,0.97,50.0,6.25,0.45,0.11,0.13,-1.06,-1.27,-118.43,-7.23,0.18,21.02,-33.69,0.0,9.6,24.0,1634,359,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,641355,L,64,Flyout,10,3,180429_045020,297bd379-29d7-4c68-a872-cb2ecc59ebde,1,1,2,S,Swinging Strike,FF,2,2.0,3.67,1.7,91.4,83.8,35.19,1.35,50.0,6.26,-0.21,3.62,4.7,8.79,-5.72,-132.93,-3.82,8.45,27.32,-16.37,22.8,4.8,24.0,1755,154,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,641355,L,64,Flyout,10,4,180429_045034,425f4a82-968e-417c-8737-64a0e0549143,1,2,2,B,Ball,CH,13,2.0,3.72,1.68,80.0,74.0,32.23,0.64,50.0,6.3,-0.62,1.07,8.7,5.07,-5.5,-116.25,-6.52,11.94,21.15,-25.22,22.8,8.4,24.0,1892,118,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,641355,L,64,Flyout,10,5,180429_045048,676fe7cb-3202-4d56-84ae-56579ccfe6b4,2,2,2,F,Foul,FF,3,2.0,3.72,1.75,91.5,83.9,41.9,1.26,50.0,6.35,0.44,3.37,8.11,5.63,-4.92,-133.17,-3.65,14.58,28.23,-22.05,31.2,6.0,24.0,1779,125,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,641355,L,64,Flyout,10,6,180429_045108,32845dea-7a3f-42d0-82f5-c6235010008a,2,2,2,F,Foul,FF,12,2.0,3.65,1.68,91.7,84.3,23.21,1.35,50.0,6.33,1.41,3.2,7.86,4.35,-2.52,-133.5,-3.65,14.23,27.78,-24.29,28.8,6.0,24.0,1841,118,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,641355,L,64,Flyout,10,7,180429_045140,6cb952a2-00a1-4e47-bcae-67596b3e0dab,2,2,2,F,Foul,FF,4,2.0,3.74,1.75,92.8,84.8,32.85,1.2,50.0,6.33,-0.46,2.94,5.47,8.06,-6.3,-134.84,-5.76,10.05,29.71,-17.36,25.2,4.8,24.0,1883,147,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,641355,L,64,Flyout,10,8,180429_045153,3558b4f8-7ee4-476c-a637-2991a79dabfa,2,2,2,B,Ball,CH,11,2.0,3.63,1.64,78.8,72.8,15.81,0.91,50.0,6.41,-1.29,2.92,7.61,1.59,-7.22,-114.5,-1.28,10.16,19.97,-30.05,16.8,9.6,24.0,1867,103,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,641355,L,64,Flyout,10,9,180429_045215,4044788a-fcc7-4bd4-8536-bf280ca93a09,3,2,2,F,Foul,FF,2,2.0,3.67,1.66,91.5,84.3,28.48,1.05,50.0,6.37,-0.06,3.29,6.87,5.32,-5.29,-133.18,-3.86,12.42,26.91,-22.56,26.4,6.0,24.0,1734,128,,,,,,,0,1,5,top
2018-04-28,529806,8,592769,L,641355,L,64,Flyout,10,10,180429_045235,b466f271-21d2-4179-8f9f-97cd17ea6688,3,2,2,X,In play- out(s),FF,9,2.0,3.72,1.68,90.6,83.7,34.3,1.59,50.0,6.16,0.39,2.27,7.46,5.97,-5.68,-131.85,-6.01,13.24,25.96,-21.58,27.6,6.0,24.0,1835,128,,,,,,,0,1,5,top
