Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-07-28,530972,7,641712,R,656941,L,52,Strikeout,6,1,180728_220744,a45fa491-ebb7-4455-87c0-c2d4dc767b82,0,0,0,B,Ball,SI,14,2.0,3.67,1.67,96.0,89.0,62.6,-1.53,50.0,6.15,0.5,1.35,-6.46,4.95,7.95,-139.52,-9.26,-12.88,28.2,-22.31,25.2,6.0,24.0,2178,233,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,656941,L,52,Strikeout,6,2,180728_220801,99c4f88f-a905-43be-9481-53e994ef491e,1,0,0,B,Ball,SI,11,2.0,3.46,1.61,95.6,88.4,36.26,-1.87,50.0,6.25,-1.36,3.46,-6.47,4.1,3.73,-139.31,-3.36,-12.85,28.34,-24.03,26.4,6.0,24.0,2220,237,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,656941,L,52,Strikeout,6,3,180728_220820,80c8caaa-3ffc-4046-b5cd-ceca38137ff3,2,1,0,F,Foul,SI,7,2.0,3.64,1.79,96.1,88.8,46.15,-1.71,50.0,6.1,-0.32,1.85,-7.09,5.14,6.4,-139.71,-7.8,-14.13,29.03,-21.92,28.8,6.0,24.0,2267,235,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,656941,L,52,Strikeout,6,4,180728_220843,fd9af812-ee35-416d-a20e-b99212afb173,2,1,0,B,Ball,CU,12,2.0,3.46,1.64,85.8,79.8,26.46,-1.87,50.0,6.26,0.1,3.74,5.47,3.24,3.13,-125.05,-0.83,8.78,21.81,-26.98,19.2,7.2,24.0,2477,119,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,656941,L,52,Strikeout,6,5,180728_220906,a4bee4cf-c874-4b16-a8aa-017af52669a2,3,1,0,S,Swinging Strike,SL,13,2.0,3.61,1.52,89.9,83.4,35.68,-1.79,50.0,6.0,-0.31,1.41,0.54,2.15,3.66,-130.93,-6.42,0.94,25.87,-28.42,3.6,7.2,24.0,2382,148,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,656941,L,52,Strikeout,6,6,180728_220932,665abbf2-f878-40be-8474-16ff7559db3b,3,2,0,S,Swinging Strike,SL,14,2.0,3.58,1.76,90.9,83.9,54.28,-1.72,50.0,6.1,0.98,1.71,0.09,1.84,7.02,-132.15,-5.93,0.16,27.49,-28.91,2.4,7.2,24.0,2507,144,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,664023,L,53,Strikeout,5,1,180728_221009,88a215d9-e1cf-4b2c-94d0-94492047e776,0,1,1,C,Called Strike,SL,2,2.0,3.61,1.79,89.9,83.1,48.05,-1.83,50.0,6.15,-0.04,3.09,1.53,0.64,4.13,-131.0,-1.94,2.68,26.07,-31.05,6.0,7.2,24.0,2191,105,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,664023,L,53,Strikeout,5,2,180728_221026,5f425cee-8fee-49c3-96a4-e0a8388da152,0,1,1,S,Swinging Strike,SI,13,2.0,3.64,1.82,95.8,88.8,58.05,-1.55,50.0,6.11,-1.03,2.13,-7.31,4.2,4.08,-139.62,-6.7,-14.58,28.48,-23.81,28.8,6.0,24.0,2074,242,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,664023,L,53,Strikeout,5,3,180728_221048,e8775149-e31b-4d40-b739-3cf501c0f8e5,0,2,1,B,Ball,SI,13,2.0,3.7,1.85,96.7,89.6,48.41,-1.63,50.0,6.12,-1.02,1.35,-7.65,5.42,4.5,-140.64,-9.5,-15.48,28.76,-21.2,32.4,6.0,24.0,2092,237,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,664023,L,53,Strikeout,5,4,180728_221106,f6492ea0-6dfe-4ade-bc22-e03a588abf66,1,2,1,B,Ball,SL,14,2.0,3.73,1.82,90.7,83.7,23.02,-1.53,50.0,6.08,1.44,1.88,1.52,1.75,7.23,-131.94,-5.37,2.68,27.64,-29.08,7.2,7.2,24.0,2377,117,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,664023,L,53,Strikeout,5,5,180728_221127,03f51aae-251d-48b6-83c0-d04d61384172,2,2,1,S,Swinging Strike,SL,14,2.0,3.67,1.82,90.4,83.2,52.74,-1.82,50.0,6.06,0.78,1.48,0.71,2.07,6.52,-131.47,-6.38,1.25,28.31,-28.56,4.8,7.2,24.0,2358,133,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,605170,L,54,Groundout,2,1,180728_221223,bccd26cc-22a7-42be-bae8-a4c17ec38020,0,0,2,B,Ball,SI,13,2.0,3.46,1.73,96.2,89.1,35.51,-1.58,50.0,6.03,-0.26,1.03,-7.45,4.45,6.35,-139.92,-9.65,-14.88,29.2,-23.28,28.8,6.0,24.0,2136,242,,,,,,,0,1,4,top
2018-07-28,530972,7,641712,R,605170,L,54,Groundout,2,2,180728_221247,44f8a2f9-d7f6-4838-a8ac-dc9fc5ffb53f,1,0,2,X,In play- out(s),SI,13,2.0,3.4,1.67,95.3,88.6,55.57,-1.7,50.0,6.11,-0.9,2.2,-6.4,3.99,4.5,-138.92,-6.37,-12.67,27.1,-24.26,25.2,6.0,24.0,2271,239,,,,,,,0,1,4,top
2018-07-30,531002,10,641712,R,435622,R,76,Walk,6,1,180731_033248,c14dc3ff-3f7c-4a22-bad5-0dd99caf8909,0,1,0,C,Called Strike,SI,7,2.0,3.58,1.61,94.6,87.6,57.87,-1.59,50.0,6.15,-0.57,1.92,-7.93,3.74,5.62,-137.73,-6.98,-15.37,28.12,-24.93,28.8,6.0,24.0,2338,247,,,,435622,,,0,0,0,top
2018-07-30,531002,10,641712,R,435622,R,76,Walk,6,2,180731_033306,bce0f7e7-2b45-4403-ace1-736d43e9ccec,0,1,0,S,Swinging Strike,SI,14,2.0,3.49,1.6,96.4,88.9,27.0,-1.43,50.0,6.11,0.23,1.09,-8.57,4.6,7.66,-139.98,-9.74,-17.08,30.23,-23.0,32.4,6.0,24.0,2339,244,,,,435622,,,0,0,0,top
2018-07-30,531002,10,641712,R,435622,R,76,Walk,6,3,180731_033327,d256ac84-c24d-4038-98c7-1cc8e3be2fb4,0,2,0,B,Ball,SL,14,2.0,3.25,1.43,90.3,83.2,26.58,-1.5,50.0,6.1,1.92,1.2,0.67,-1.41,8.62,-131.09,-5.97,1.16,28.5,-34.62,4.8,8.4,24.0,2472,40,,,,435622,,,0,0,0,top
2018-07-30,531002,10,641712,R,435622,R,76,Walk,6,4,180731_033403,58739dc3-0bd0-4447-97f5-571f26375d7f,1,2,0,B,Ball,SI,11,2.0,3.4,1.55,95.8,88.7,65.9,-1.59,50.0,6.34,-1.08,3.68,-6.94,4.53,3.91,-139.62,-3.2,-13.87,27.75,-23.13,28.8,6.0,24.0,2171,236,,,,435622,,,0,0,0,top
2018-07-30,531002,10,641712,R,435622,R,76,Walk,6,5,180731_033426,84be85e1-f317-40f5-84ea-b2396a987b68,2,2,0,B,Ball,SI,14,2.0,3.4,1.58,96.6,90.0,49.16,-1.57,50.0,6.08,0.89,0.75,-8.53,5.12,9.96,-140.19,-10.91,-17.25,26.89,-21.82,33.6,6.0,24.0,2324,241,,,,435622,,,0,0,0,top
2018-07-30,531002,10,641712,R,435622,R,76,Walk,6,6,180731_033457,7ae10152-133b-44b5-bd04-10b78ff1773b,4,2,0,*B,Ball In Dirt,SI,14,2.0,3.4,1.58,96.9,89.2,35.74,-1.54,50.0,6.05,0.48,0.62,-9.6,4.49,9.08,-140.7,-10.91,-19.27,31.59,-23.17,34.8,6.0,24.0,2359,248,,,,435622,,,0,0,0,top
2018-07-30,531002,10,641712,R,571448,R,77,Lineout,2,1,180731_033539,88a4a0ba-19d1-40ac-bfba-bb3d4107532f,0,0,0,S,Swinging Strike,SI,4,2.0,3.49,1.6,95.1,87.5,52.65,-1.65,50.0,6.22,-0.66,2.36,-6.94,3.54,5.18,-138.48,-5.94,-13.5,30.36,-25.29,25.2,6.0,24.0,2253,244,435622,,,435622,,,0,1,0,top
2018-07-30,531002,10,641712,R,571448,R,77,Lineout,2,2,180731_033608,055681dd-be6e-4529-9347-b6ea73b6b83a,0,1,0,X,In play- out(s),SL,5,2.0,3.47,1.59,88.8,82.1,10.6,-1.75,50.0,6.16,-0.09,2.5,1.51,-0.14,3.75,-129.37,-3.03,2.57,25.78,-32.41,6.0,8.4,24.0,2514,79,435622,,,435622,,,0,1,0,top
2018-07-30,531002,10,641712,R,471865,L,78,Forceout,1,1,180731_033712,7cc5f606-dc27-44f8-86d4-4c62e167387b,0,0,1,X,In play- out(s),SI,13,2.0,3.41,1.56,94.8,87.3,61.17,-1.71,50.0,6.19,-1.12,2.16,-6.75,4.24,4.01,-138.0,-6.62,-13.07,29.71,-23.96,26.4,6.0,24.0,2241,240,435622,,,471865,,,0,1,0,top
2018-07-30,531002,10,641712,R,641857,L,79,Single,4,1,180731_033803,b12a08d7-44a0-4bbc-b1e2-2f6e4e628f90,0,0,2,B,Ball,SI,11,2.0,3.64,1.73,95.0,87.4,37.5,-1.69,50.0,6.33,-1.35,3.29,-7.61,4.84,3.66,-138.46,-4.15,-14.82,29.94,-22.74,31.2,6.0,24.0,2290,238,471865,,,641857,471865,,0,0,0,top
2018-07-30,531002,10,641712,R,641857,L,79,Single,4,2,180731_033828,b8e36f55-7a84-4239-9848-6b5d0713c5d6,1,0,2,B,Ball,SL,12,2.0,3.67,1.82,89.8,82.7,42.16,-1.61,50.0,6.26,0.91,3.04,-0.17,1.26,6.56,-130.73,-2.52,-0.29,26.86,-29.98,1.2,7.2,24.0,2450,151,471865,,,641857,471865,,0,0,0,top
2018-07-30,531002,10,641712,R,641857,L,79,Single,4,3,180731_033853,54162655-9862-46b9-a45a-633155e0ae53,2,0,2,B,Ball,SI,13,2.0,3.67,1.7,94.8,87.1,37.07,-1.7,50.0,6.1,-1.81,1.58,-8.58,4.87,2.75,-137.93,-8.12,-16.52,30.94,-22.8,32.4,6.0,24.0,2258,243,471865,,,641857,471865,,0,0,0,top
2018-07-30,531002,10,641712,R,641857,L,79,Single,4,4,180731_033932,d3adbf64-a4a5-4700-ade6-f83d0fad9b4d,3,0,2,D,In play- no out,SI,4,2.0,3.47,1.59,95.2,87.5,33.8,-1.48,50.0,6.3,-0.32,2.73,-7.93,4.11,6.01,-138.61,-5.39,-15.46,30.41,-24.17,28.8,6.0,24.0,2263,243,471865,,,641857,471865,,0,0,0,top
2018-07-30,531002,10,641712,R,608596,R,80,Strikeout,6,1,180731_034048,e8598fee-d823-47d8-b0d9-92a8db09d4d3,0,1,2,C,Called Strike,SL,2,2.0,3.52,1.67,89.2,82.8,60.05,-1.84,50.0,6.29,0.18,3.38,1.98,-0.42,4.54,-129.9,-1.09,3.43,24.35,-32.9,7.2,8.4,24.0,2616,80,641857,471865,,,,,0,1,0,top
2018-07-30,531002,10,641712,R,608596,R,80,Strikeout,6,2,180731_034112,5bfa0d96-068b-44c0-9121-d61eadc45694,0,1,2,B,Ball,SI,14,2.0,3.52,1.67,95.7,88.9,32.78,-1.35,50.0,6.17,1.73,1.78,-6.65,4.54,10.89,-139.06,-7.91,-13.2,27.28,-23.16,24.0,6.0,24.0,2287,235,641857,471865,,,,,0,1,0,top
2018-07-30,531002,10,641712,R,608596,R,80,Strikeout,6,3,180731_034138,55cb0819-03ad-4b9d-8662-b981eb4da7ce,1,1,2,B,Ball,SI,13,2.0,3.4,1.61,95.9,87.8,39.06,-1.79,50.0,6.12,-1.36,1.42,-8.87,5.55,4.33,-139.32,-9.04,-17.39,32.22,-21.31,34.8,6.0,24.0,2301,241,641857,471865,,,,,0,1,0,top
2018-07-30,531002,10,641712,R,608596,R,80,Strikeout,6,4,180731_034208,0c23513f-0d11-49a9-b1df-73724472aa17,2,1,2,S,Swinging Strike,SL,3,2.0,3.41,1.56,89.4,83.1,38.6,-1.87,50.0,6.19,0.45,3.37,1.38,1.17,5.52,-130.26,-1.48,2.4,23.86,-30.13,6.0,7.2,24.0,2548,120,641857,471865,,,,,0,1,0,top
2018-07-30,531002,10,641712,R,608596,R,80,Strikeout,6,5,180731_034235,397d5a4e-b02e-4635-91e5-065fe7ce3776,2,2,2,F,Foul,SI,5,2.0,3.41,1.56,96.2,88.6,25.34,-1.63,50.0,6.18,0.07,2.21,-7.42,5.14,7.38,-139.93,-7.02,-14.79,30.12,-21.93,30.0,6.0,24.0,2266,235,641857,471865,,,,,0,1,0,top
2018-07-30,531002,10,641712,R,608596,R,80,Strikeout,6,6,180731_034326,3c4b0c6b-3e2a-4db0-b5de-91ad108fd610,2,2,2,S,Swinging Strike,SL,6,2.0,3.41,1.56,91.5,84.7,28.21,-1.82,50.0,6.14,0.46,2.2,1.62,3.11,5.46,-133.22,-5.38,2.93,26.7,-26.55,8.4,6.0,24.0,2445,139,641857,471865,,,,,0,1,0,top
2018-08-01,531029,7,641712,R,453568,L,57,Groundout,2,1,180802_025956,29644ea1-3dd9-480c-b793-a046c6f59aad,0,1,0,C,Called Strike,SI,4,2.0,3.61,1.67,94.9,88.1,41.65,-1.72,50.0,6.16,-0.38,2.53,-7.33,2.39,6.28,-138.17,-4.94,-14.36,27.02,-27.48,25.2,6.0,24.0,2111,253,,,,,,,0,1,1,top
2018-08-01,531029,7,641712,R,453568,L,57,Groundout,2,2,180802_030013,0e0c01b8-0bad-4127-b4e8-56677e946cf2,0,1,0,X,In play- out(s),SI,5,2.0,3.55,1.7,95.3,88.3,24.78,-1.69,50.0,6.23,-0.14,2.59,-6.47,3.84,6.57,-138.69,-5.56,-12.76,27.53,-24.61,24.0,6.0,24.0,2219,239,,,,,,,0,1,1,top
2018-08-01,531029,7,641712,R,435622,R,58,Groundout,5,1,180802_030057,4573a130-32e8-4e76-8f61-cf7a3682175c,0,1,1,C,Called Strike,SI,8,2.0,3.55,1.61,96.0,88.5,44.51,-1.73,50.0,6.13,0.21,1.98,-7.31,5.12,8.0,-139.58,-7.49,-14.52,29.51,-22.01,28.8,6.0,24.0,2235,235,,,,,,,0,1,1,top
2018-08-01,531029,7,641712,R,435622,R,58,Groundout,5,2,180802_030117,c08c6eb7-8d49-4e7f-a9d8-b698a6268506,0,1,1,B,Ball,SI,13,2.0,3.48,1.64,96.1,88.4,50.78,-1.64,50.0,6.13,-0.35,1.42,-7.78,4.67,6.37,-139.69,-8.87,-15.41,30.8,-22.93,30.0,6.0,24.0,2190,241,,,,,,,0,1,1,top
2018-08-01,531029,7,641712,R,435622,R,58,Groundout,5,3,180802_030139,be26acfb-c138-492c-acfc-977439cb2d06,1,2,1,C,Called Strike,SI,8,2.0,3.48,1.48,96.7,88.9,41.47,-1.58,50.0,6.18,-0.21,1.6,-7.72,7.03,6.6,-140.48,-9.48,-15.46,30.97,-18.08,34.8,4.8,24.0,2274,228,,,,,,,0,1,1,top
2018-08-01,531029,7,641712,R,435622,R,58,Groundout,5,4,180802_030204,6aec6a22-8662-4f91-b8e9-f99334410d55,1,2,1,F,Foul,SI,13,2.0,3.52,1.59,96.4,88.7,54.34,-1.68,50.0,6.29,-0.86,2.24,-7.46,4.64,4.95,-140.23,-7.08,-14.91,30.66,-22.91,30.0,6.0,24.0,2184,240,,,,,,,0,1,1,top
2018-08-01,531029,7,641712,R,435622,R,58,Groundout,5,5,180802_030230,98b88f23-a5e9-420e-a4b2-c14b04fa3c2f,1,2,1,X,In play- out(s),SL,9,2.0,3.48,1.58,89.9,82.5,32.54,-1.77,50.0,6.14,0.29,1.66,2.44,2.09,4.48,-130.77,-6.01,4.2,28.75,-28.58,9.6,7.2,24.0,2453,115,,,,,,,0,1,1,top
2018-08-01,531029,7,641712,R,571448,R,59,Flyout,1,1,180802_030307,00a707d8-265b-4e29-a14c-84fcf8f38a08,0,0,2,X,In play- out(s),SL,2,2.0,3.61,1.73,90.8,83.7,54.4,-1.89,50.0,6.23,0.23,3.08,1.61,3.3,4.99,-132.16,-3.22,2.87,26.86,-26.31,8.4,6.0,24.0,2483,144,,,,,,,0,1,1,top
2018-08-04,531077,5,641712,R,501896,R,49,Groundout,4,1,180805_010707,5edfc785-bba8-4e7c-b389-80efccc9b5fa,0,0,0,B,Ball,SI,14,2.0,3.35,1.58,95.1,88.1,68.61,-1.48,50.0,5.98,0.72,1.56,-7.46,4.17,8.7,-138.28,-7.76,-14.59,27.98,-24.02,26.4,6.0,24.0,2208,242,,,,,,,0,1,2,bottom
2018-08-04,531077,5,641712,R,501896,R,49,Groundout,4,2,180805_010728,bb237187-c7ae-4445-94c1-b381f383dbcc,1,1,0,F,Foul,SI,9,2.0,3.42,1.59,95.7,89.0,48.59,-1.6,50.0,6.03,0.55,1.94,-5.79,4.65,8.02,-139.13,-7.17,-11.52,26.63,-22.91,22.8,4.8,24.0,2324,230,,,,,,,0,1,2,bottom
2018-08-04,531077,5,641712,R,501896,R,49,Groundout,4,3,180805_010747,9055a02d-6573-4dfe-8e9c-5c13730422fc,1,1,0,B,Ball,SI,13,2.0,3.46,1.59,95.7,89.1,37.71,-1.81,50.0,5.97,-1.41,1.51,-7.73,5.16,3.88,-139.31,-8.39,-15.41,26.91,-21.88,32.4,6.0,24.0,2379,238,,,,,,,0,1,2,bottom
2018-08-04,531077,5,641712,R,501896,R,49,Groundout,4,4,180805_010807,7caf5abe-2b15-4e1d-b9d3-4291a02a11af,2,1,0,X,In play- out(s),SL,9,2.0,3.35,1.58,91.2,84.9,41.85,-1.87,50.0,5.93,0.62,1.76,2.12,3.04,5.84,-132.74,-5.92,3.83,25.03,-26.69,9.6,6.0,24.0,2607,132,,,,,,,0,1,2,bottom
2018-08-04,531077,5,641712,R,465041,R,50,Strikeout,5,1,180805_010849,6640efa7-9d8c-43f3-8e7f-3a0e0ca37d63,0,1,1,C,Called Strike,SI,5,2.0,3.44,1.6,94.2,87.9,32.12,-1.58,50.0,6.11,-0.11,2.42,-5.98,2.39,6.14,-137.17,-5.03,-11.6,24.98,-27.53,20.4,6.0,24.0,2247,249,,,,,,,0,1,2,bottom
2018-08-04,531077,5,641712,R,465041,R,50,Strikeout,5,2,180805_010910,ec65c16e-3ad6-4d5f-ba68-ff48c75c108a,0,1,1,B,Ball,SL,4,2.0,3.54,1.77,90.6,83.6,36.29,-1.83,50.0,5.99,-0.71,2.39,-1.17,1.41,3.33,-131.98,-3.73,-2.08,26.76,-29.68,2.4,7.2,24.0,2474,215,,,,,,,0,1,2,bottom
2018-08-04,531077,5,641712,R,465041,R,50,Strikeout,5,3,180805_010931,d328ccc9-3e8b-4904-b98a-e1d52f5d51f6,1,2,1,F,Foul,SL,6,2.0,3.37,1.65,89.6,82.4,19.59,-1.86,50.0,6.1,0.32,2.58,1.16,0.48,5.23,-130.35,-2.97,1.99,27.18,-31.35,4.8,7.2,24.0,2478,98,,,,,,,0,1,2,bottom
2018-08-04,531077,5,641712,R,465041,R,50,Strikeout,5,4,180805_011003,bd301687-f816-46c6-90c5-c47f2b507d1d,1,2,1,B,Ball,SI,14,2.0,3.46,1.7,96.2,88.6,37.12,-1.48,50.0,6.04,0.03,1.28,-5.98,2.76,6.3,-139.87,-8.34,-11.87,30.87,-26.68,20.4,6.0,24.0,2350,249,,,,,,,0,1,2,bottom
2018-08-04,531077,5,641712,R,465041,R,50,Strikeout,5,5,180805_011030,502d9976-87bc-41f2-90d0-3b67b425586e,2,2,1,S,Swinging Strike,CU,14,2.0,3.46,1.65,88.0,80.8,49.67,-1.7,50.0,5.99,0.87,1.7,2.62,-0.36,5.63,-127.85,-4.3,4.31,27.26,-32.76,9.6,8.4,24.0,2563,77,,,,,,,0,1,2,bottom
