Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-06-03,490935,9,571911,R,593871,L,71,Strikeout,5,1,170604_051042,8bc98a72-b3a5-421d-ad94-44ee61c99e4f,0,1,0,C,Called Strike,SL,5,2.0,3.58,1.65,84.9,78.8,52.12,-1.55,50.0,5.82,-0.19,2.56,2.54,-1.5,2.52,-123.5,-0.94,3.97,21.83,-34.52,7.2,9.6,24.0,2771,50,,,,,,,0,1,5,top
2017-06-03,490935,9,571911,R,593871,L,71,Strikeout,5,2,170604_051102,b9b53442-6f5f-4fc4-9ebf-555fbe1cc554,0,2,0,F,Foul,SL,2,2.0,3.25,1.44,83.5,77.2,19.53,-1.55,50.0,5.79,0.01,2.71,2.44,-1.45,2.98,-121.38,-0.26,3.66,21.94,-34.36,7.2,9.6,24.0,2686,51,,,,,,,0,1,5,top
2017-06-03,490935,9,571911,R,593871,L,71,Strikeout,5,3,170604_051126,d9593920-2859-4d0c-b0d2-590444f626ca,0,2,0,B,Ball,FT,11,2.0,3.49,1.62,96.2,88.1,36.15,-1.36,50.0,6.02,-2.25,3.27,-7.42,8.85,0.21,-139.71,-4.94,-14.72,30.48,-14.63,43.2,4.8,24.0,2088,223,,,,,,,0,1,5,top
2017-06-03,490935,9,571911,R,593871,L,71,Strikeout,5,4,170604_051148,3ea82207-72e6-4a08-9578-c7a472c397d3,1,2,0,F,Foul,FT,11,2.0,3.25,1.44,95.1,86.7,65.44,-1.23,50.0,5.86,-1.1,2.84,-7.47,9.37,2.98,-137.97,-5.61,-14.39,30.9,-14.12,42.0,4.8,24.0,2112,221,,,,,,,0,1,5,top
2017-06-03,490935,9,571911,R,593871,L,71,Strikeout,5,5,170604_051213,57d0c8ee-ea4b-44a5-bbcb-4b108cae2685,1,3,0,W,Swinging Strike (Blocked),SL,14,2.0,3.25,1.44,85.1,79.5,28.16,-1.33,50.0,5.74,0.32,0.35,1.77,-1.75,3.48,-123.64,-6.1,2.77,21.9,-34.91,4.8,9.6,24.0,2489,35,,,,,,,0,1,5,top
2017-06-03,490935,9,571911,R,460269,R,72,Walk,7,1,170604_051256,bd009e65-989f-4e9e-b1a3-11ac00bd5c2d,0,1,1,C,Called Strike,SL,14,2.0,3.49,1.56,84.9,79.3,75.95,-1.33,50.0,5.71,0.35,1.43,2.51,-1.36,3.33,-123.53,-3.51,3.93,21.3,-34.3,7.2,9.6,24.0,2722,50,,,,460269,,,0,0,5,top
2017-06-03,490935,9,571911,R,460269,R,72,Walk,7,2,170604_051316,e06e3adc-aa70-4507-8d44-be3ee18694c6,0,2,1,C,Called Strike,SL,3,2.0,3.53,1.69,85.5,79.0,32.17,-1.33,50.0,5.96,0.24,3.22,2.99,-1.93,2.92,-124.25,0.4,4.71,23.03,-35.22,8.4,9.6,24.0,2598,52,,,,460269,,,0,0,5,top
2017-06-03,490935,9,571911,R,460269,R,72,Walk,7,3,170604_051342,68ce4eca-e104-4b40-8dd3-3e03d23b8120,0,2,1,B,Ball,FF,14,2.0,3.46,1.54,96.6,88.4,30.97,-0.91,50.0,5.88,1.61,1.73,-2.24,10.77,7.77,-139.83,-9.54,-4.46,30.46,-10.77,12.0,2.4,24.0,2538,188,,,,460269,,,0,0,5,top
2017-06-03,490935,9,571911,R,460269,R,72,Walk,7,4,170604_051403,8ad80bf1-ffa2-4486-b309-fbd2a431f115,1,2,1,B,Ball,SL,14,2.0,3.5,1.62,84.3,79.3,31.29,-1.34,50.0,5.61,0.54,0.2,2.04,-1.64,3.95,-122.53,-6.08,3.17,19.91,-34.72,6.0,9.6,24.0,2674,40,,,,460269,,,0,0,5,top
2017-06-03,490935,9,571911,R,460269,R,72,Walk,7,5,170604_051431,a5c899da-160b-4346-b7e0-22d00883a812,2,2,1,B,Ball,SL,14,2.0,3.54,1.77,86.5,79.9,16.7,-1.43,50.0,5.67,1.74,1.05,2.67,1.99,7.0,-125.49,-5.61,4.27,24.61,-28.98,10.8,7.2,24.0,2848,100,,,,460269,,,0,0,5,top
