Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-14,565045,7,656186,R,605141,R,54,Walk,5,1,190512_192834,efc92352-551b-40a8-a3fd-4ffd352b2630,0,0,0,B,Ball,FF,11,,3.25,1.52,92.1,83.9,,-2.07,50.0,5.8,-0.21,3.73,-6.94,9.87,7.29,-133.72,-2.76,-12.56,29.0,-14.31,36.0,3.6,24.0,2335,211,,,,605141,,,0,0,-4,bottom
2019-08-14,565045,7,656186,R,605141,R,54,Walk,5,2,190512_192850,af4e1bce-911d-4bfd-9c8b-9d6514507f1d,1,0,0,B,Ball,SL,12,,3.19,1.57,86.0,79.4,,-2.09,50.0,5.79,0.83,3.44,2.27,3.14,6.5,-124.97,-0.33,3.62,23.07,-27.17,9.6,7.2,24.0,2496,137,,,,605141,,,0,0,-4,bottom
2019-08-14,565045,7,656186,R,605141,R,54,Walk,5,3,190512_192907,65f8d943-1636-484c-a390-defc91cc77a6,2,0,0,B,Ball,FF,11,,3.19,1.65,91.4,83.5,,-2.08,50.0,5.7,-0.69,3.64,-5.22,10.15,5.43,-132.94,-2.76,-9.35,28.12,-13.98,30.0,3.6,24.0,2271,204,,,,605141,,,0,0,-4,bottom
2019-08-14,565045,7,656186,R,605141,R,54,Walk,5,4,190512_192929,92e844f6-258c-477e-8d9a-48623232cfa9,3,0,0,S,Called Strike,FF,1,,3.25,1.54,92.7,84.6,,-1.98,50.0,5.66,-0.52,2.93,-5.86,10.78,5.9,-134.65,-4.92,-10.76,29.25,-12.38,34.8,3.6,24.0,2429,206,,,,605141,,,0,0,-4,bottom
2019-08-14,565045,7,656186,R,605141,R,54,Walk,5,5,190512_192947,2a0c313c-46b0-473f-9658-7aab23b876ec,3,1,0,B,Ball,FF,11,,3.14,1.52,92.1,83.5,,-2.16,50.0,5.71,-2.17,4.53,-7.33,9.84,2.47,-133.82,-0.4,-13.22,30.23,-14.42,40.8,4.8,24.0,2426,215,,,,605141,,,0,0,-4,bottom
2019-08-14,565045,7,656186,R,502110,R,55,Walk,9,1,190512_193035,78a03499-9df0-4a25-9d33-a478a9fd1b3c,0,0,0,B,Ball,SL,14,,3.6,1.71,87.2,80.2,,-1.99,50.0,5.54,0.73,1.14,1.19,5.52,6.42,-126.61,-6.37,1.93,25.72,-23.2,7.2,6.0,24.0,2488,157,605141,,,502110,605141,,0,0,-4,bottom
2019-08-14,565045,7,656186,R,502110,R,55,Walk,9,2,190512_193100,a6e34188-3860-4168-bf65-9735e2e3d361,1,0,0,B,Ball In Dirt,SL,14,,3.63,1.71,87.5,80.6,,-1.93,50.0,5.44,1.93,0.43,1.37,5.04,9.2,-126.74,-7.76,2.23,25.53,-23.96,8.4,6.0,24.0,2603,149,605141,,,502110,605141,,0,0,-4,bottom
2019-08-14,565045,7,656186,R,502110,R,55,Walk,9,3,190512_193132,c75f327a-bbb5-40e5-82fc-70392a208db7,2,0,0,B,Ball,FF,11,,3.57,1.63,94.7,86.0,,-2.11,50.0,5.57,-1.49,3.29,-4.28,9.46,3.17,-137.61,-3.57,-8.16,31.9,-14.12,26.4,3.6,24.0,2345,202,605141,,,502110,605141,,0,0,-4,bottom
2019-08-14,565045,7,656186,R,502110,R,55,Walk,9,4,190512_193159,2e2e563e-87f0-4c21-b972-e8d17ca27a5e,3,0,0,S,Called Strike,FF,14,,3.6,1.73,96.0,87.0,,-1.91,50.0,5.46,0.75,2.17,-4.52,10.96,8.9,-139.07,-7.05,-8.8,32.95,-10.84,28.8,2.4,24.0,2332,198,605141,,,502110,605141,,0,0,-4,bottom
2019-08-14,565045,7,656186,R,502110,R,55,Walk,9,5,190512_193225,3acae904-3820-4262-88e5-13ef3df89737,3,1,0,S,Foul,FF,11,,3.52,1.71,94.1,85.1,,-2.11,50.0,5.57,-0.73,3.41,-4.05,10.93,5.1,-136.64,-3.65,-7.58,32.48,-11.69,26.4,3.6,24.0,2252,197,605141,,,502110,605141,,0,0,-4,bottom
