Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-17,566864,10,543339,R,592348,L,61,Double,5,1,190328_221658,d70ebe06-8c27-4791-aaa1-47df0afe452c,0,0,0,B,Ball,FF,13,2.0,4.02,1.9,96.1,87.8,,-2.07,50.0,5.2,-1.21,2.0,-5.27,7.28,4.26,-139.8,-5.6,-10.42,32.04,-17.79,26.4,4.8,24.0,2457,215,,,,,592348,,0,0,0,top
2019-09-17,566864,10,543339,R,592348,L,61,Double,5,2,190328_221717,19140e2e-aafd-4cb7-a793-9ce75d53d539,1,0,0,B,Ball,FF,11,2.0,3.99,1.9,95.7,87.1,,-2.11,50.0,5.35,-1.26,3.19,-5.98,7.74,4.48,-139.24,-2.82,-11.7,32.38,-17.04,31.2,4.8,24.0,2450,215,,,,,592348,,0,0,0,top
2019-09-17,566864,10,543339,R,592348,L,61,Double,5,3,190328_221739,15be8924-8db5-4f67-bd14-97752b29240f,2,0,0,S,Called Strike,FF,4,2.0,3.78,1.81,96.5,88.1,,-1.97,50.0,5.27,-0.69,2.86,-5.38,7.35,5.49,-140.44,-3.51,-10.73,32.35,-17.53,27.6,4.8,24.0,2458,213,,,,,592348,,0,0,0,top
2019-09-17,566864,10,543339,R,592348,L,61,Double,5,4,190328_221801,c10efc42-c591-4668-b8dd-8aeaf35c5217,2,1,0,S,Called Strike,SL,13,2.0,3.99,1.93,89.5,82.9,,-2.09,50.0,5.37,-1.02,2.37,-0.61,2.31,2.96,-130.31,-2.3,-1.05,24.47,-28.16,1.2,7.2,24.0,2598,187,,,,,592348,,0,0,0,top
2019-09-17,566864,10,543339,R,592348,L,61,Double,5,5,190328_221827,0210b118-1013-42fd-bfd4-4c10a7f76c55,2,2,0,X,In play- no out,FF,5,2.0,3.49,1.6,95.9,87.3,,-1.89,50.0,5.25,0.11,2.65,-4.6,8.6,7.15,-139.43,-4.35,-9.02,32.33,-15.31,24.0,3.6,24.0,2536,204,,,,,592348,,0,0,0,top
2019-09-17,566864,10,543339,R,621514,L,62,Home Run,3,1,190328_221916,2353faef-9689-4219-adf8-2952136e72c2,0,0,0,S,Foul,SL,4,2.0,3.37,1.53,88.5,82.3,,-2.04,50.0,5.41,-0.69,2.65,-0.79,2.77,3.7,-128.94,-1.71,-1.36,22.86,-27.43,1.2,6.0,24.0,2551,188,,592348,,,,,2,0,0,top
2019-09-17,566864,10,543339,R,621514,L,62,Home Run,3,2,190328_221943,bd9011a9-7acf-4bfc-a131-a99ab4152022,0,1,0,S,Swinging Strike,FF,11,2.0,3.37,1.53,97.1,88.1,,-2.03,50.0,5.32,-1.05,3.65,-5.12,9.21,4.57,-141.28,-2.21,-10.28,33.98,-13.67,32.4,3.6,24.0,2546,206,,592348,,,,,2,0,0,top
2019-09-17,566864,10,543339,R,621514,L,62,Home Run,3,3,190328_222020,450dfedb-6aff-4b90-9108-cb108742f2f7,0,2,0,X,In play- run(s),SL,6,2.0,3.37,1.53,89.7,82.6,,-1.77,50.0,5.47,0.32,2.54,1.63,2.53,4.82,-130.53,-2.18,2.82,26.52,-27.79,7.2,7.2,24.0,2718,137,,592348,,,,,2,0,0,top
2019-09-17,566864,10,543339,R,606988,R,63,Flyout,1,1,190328_222112,4599c92b-34ae-4b26-aee8-fa5751685322,0,0,0,X,In play- out(s),FF,9,2.0,3.66,1.68,96.6,88.1,,-2.57,50.0,5.18,0.36,2.06,-5.13,9.25,9.94,-140.11,-6.14,-10.19,31.87,-13.79,27.6,3.6,24.0,2562,204,,,,,,,0,1,-2,top
2019-09-17,566864,10,543339,R,474568,R,64,Hit By Pitch,2,1,190328_222141,1a6fa225-19ca-4db6-9e15-f1a64c50d016,0,0,1,B,Ball,SL,12,2.0,3.76,1.83,89.5,82.2,,-2.64,50.0,5.53,1.06,3.25,0.4,1.8,9.37,-130.01,-0.2,0.68,26.71,-29.09,4.8,7.2,24.0,2747,141,,,,474568,,,0,0,-2,top
2019-09-17,566864,10,543339,R,474568,R,64,Hit By Pitch,2,2,190328_222203,22efe606-cd65-402d-a9d3-c87877ffc542,1,0,1,B,Hit By Pitch,CH,11,2.0,3.49,1.6,87.5,78.6,,-2.69,50.0,5.39,-1.97,3.62,-11.57,6.1,5.53,-127.07,0.08,-18.6,30.2,-22.36,37.2,7.2,24.0,2302,239,,,,474568,,,0,0,-2,top
2019-09-17,566864,10,543339,R,543484,R,65,Strikeout,3,1,190328_222252,456d0e92-5e0d-4650-a758-e89b4986a213,0,0,1,S,Called Strike,SL,14,2.0,3.7,1.73,89.3,82.6,,-2.59,50.0,5.38,0.35,1.4,-2.2,3.96,8.32,-129.78,-5.32,-3.79,24.97,-25.37,4.8,6.0,24.0,2725,199,474568,,,,,,0,1,-2,top
