Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-04-07,529530,8,621002,R,571788,L,65,Pop Out,3,1,180407_194639,59e86594-1d2d-47fb-b832-5db4513c0f6c,0,0,0,B,Ball,FT,11,2.0,3.14,1.32,76.5,69.7,63.5,-1.72,50.0,5.75,-1.36,2.93,-9.19,5.74,3.4,-110.98,-0.44,-11.41,20.81,-25.05,22.8,8.4,24.0,1603,235,,,,,,,0,1,-7,bottom
2018-04-07,529530,8,621002,R,571788,L,65,Pop Out,3,2,180407_194649,913e3ba2-200d-40d2-8d46-393e5bf1e33f,1,0,0,B,Ball,FF,11,2.0,3.1,1.35,74.7,68.1,3.82,-2.0,50.0,5.69,-1.79,4.09,-4.57,8.51,1.71,-108.57,1.7,-5.44,19.37,-22.04,13.2,7.2,24.0,1681,205,,,,,,,0,1,-7,bottom
2018-04-07,529530,8,621002,R,571788,L,65,Pop Out,3,3,180407_194710,3663ee31-f5df-4f1e-bc80-0e7ebcdb5500,2,0,0,X,In play- out(s),FF,4,2.0,3.11,1.31,76.0,68.9,19.54,-1.79,50.0,5.69,-0.35,2.45,-7.29,9.27,5.18,-110.22,-2.21,-8.87,21.47,-20.89,20.4,7.2,24.0,1780,215,,,,,,,0,1,-7,bottom
2018-04-07,529530,8,621002,R,643217,L,66,Lineout,6,1,180407_194734,e4c2be80-d19a-4d9a-845a-27fe67431f3b,0,1,1,C,Called Strike,FT,13,2.0,3.46,1.5,75.7,69.0,82.63,-1.68,50.0,5.62,-0.99,2.32,-11.15,6.22,4.64,-109.85,-1.45,-13.55,20.48,-24.61,27.6,9.6,24.0,1607,238,,,,,,,0,1,-7,bottom
2018-04-07,529530,8,621002,R,643217,L,66,Lineout,6,2,180407_194745,2c766493-9a72-4abe-a338-7864c2c1b544,0,1,1,B,Ball,FF,11,2.0,3.41,1.55,77.1,69.8,22.22,-1.88,50.0,5.68,-1.59,3.52,-7.74,9.92,2.85,-111.98,-0.28,-9.73,22.14,-19.7,25.2,7.2,24.0,1684,215,,,,,,,0,1,-7,bottom
2018-04-07,529530,8,621002,R,643217,L,66,Lineout,6,3,180407_194755,6091cceb-81fb-4dcb-908f-12fda99af1c3,1,2,1,F,Foul,FF,11,2.0,3.39,1.48,77.9,70.6,46.49,-1.82,50.0,5.68,-1.05,3.24,-8.14,9.14,4.06,-113.1,-0.84,-10.46,22.2,-20.43,25.2,7.2,24.0,1702,219,,,,,,,0,1,-7,bottom
2018-04-07,529530,8,621002,R,643217,L,66,Lineout,6,4,180407_194815,eaef97e5-4fdd-46a0-8c64-985a5e9f564b,1,2,1,F,Foul,CH,13,2.0,3.36,1.5,69.2,64.0,50.14,-1.81,50.0,5.6,-0.79,1.32,-9.98,5.3,4.6,-100.46,-1.77,-10.25,15.47,-26.73,19.2,10.8,24.0,1527,240,,,,,,,0,1,-7,bottom
2018-04-07,529530,8,621002,R,643217,L,66,Lineout,6,5,180407_194827,bd2e4360-a3be-4e98-876e-8438a4f10232,1,2,1,B,Ball,FF,14,2.0,3.43,1.52,76.3,70.3,47.64,-1.55,50.0,5.57,1.28,1.53,-7.5,8.35,8.34,-110.63,-3.87,-9.35,18.73,-21.77,19.2,7.2,24.0,1767,218,,,,,,,0,1,-7,bottom
2018-04-07,529530,8,621002,R,643217,L,66,Lineout,6,6,180407_194844,e968ccbf-dbef-4b66-9fef-76f2d38b7da1,2,2,1,X,In play- out(s),FF,1,2.0,3.36,1.5,77.4,70.7,36.89,-1.79,50.0,5.68,-0.5,3.34,-7.46,9.5,5.01,-112.34,-0.69,-9.53,20.25,-20.03,22.8,7.2,24.0,1917,214,,,,,,,0,1,-7,bottom
2018-04-07,529530,8,621002,R,596119,L,67,Lineout,2,1,180407_194910,7f806342-f6c4-4f4b-8266-cc52075d9c92,0,1,2,F,Foul,FT,4,2.0,3.24,1.44,74.4,68.6,69.94,-1.65,50.0,5.64,-0.47,2.51,-8.93,5.59,5.0,-108.06,-0.74,-10.63,17.5,-25.51,21.6,9.6,24.0,1725,235,,,,,,,0,1,-7,bottom
2018-04-07,529530,8,621002,R,596119,L,67,Lineout,2,2,180407_194923,324d2527-808a-4aed-a9cf-32336909056a,0,1,2,X,In play- out(s),CH,11,2.0,3.2,1.39,70.5,64.9,34.78,-1.71,50.0,5.65,-1.09,2.45,-7.99,5.7,3.35,-102.39,-0.04,-8.52,16.32,-26.11,16.8,10.8,24.0,1587,231,,,,,,,0,1,-7,bottom
