Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-13,490239,6,642229,R,462101,R,44,Double,4,1,170413_213757,e7e15c4a-7127-43ae-810c-a5062be4f8bd,0,0,0,S,Called Strike,SL,1,2.0,3.32,1.43,81.3,75.1,75.03,-1.02,50.0,6.52,-0.39,3.32,2.96,1.01,0.57,-118.13,-0.93,4.22,20.9,-30.74,8.4,8.4,24.0,2180,91,,,,,462101,,0,0,-5,top
2017-04-13,490239,6,642229,R,462101,R,44,Double,4,2,170413_213808,ba04039f-56eb-42f7-b460-99a9cba7036f,0,1,0,B,Ball,SL,14,2.0,3.26,1.54,81.1,75.6,40.2,-1.08,50.0,6.27,1.27,0.04,3.5,-0.62,4.43,-117.67,-7.41,4.94,21.14,-33.05,9.6,9.6,24.0,,60,,,,,462101,,0,0,-5,top
2017-04-13,490239,6,642229,R,462101,R,44,Double,4,3,170413_213822,50144f27-d82b-494b-9ac8-9982fef93597,1,1,0,S,Foul,SI,13,2.0,3.75,1.53,90.6,83.0,59.43,-1.31,50.0,6.04,-0.5,1.44,-8.51,5.87,4.98,-131.34,-7.71,-14.88,27.67,-21.91,31.2,6.0,24.0,2243,241,,,,,462101,,0,0,-5,top
2017-04-13,490239,6,642229,R,462101,R,44,Double,4,4,170413_213842,7df680ff-1d26-4768-a013-2338082b1888,1,2,0,X,In play- no out,CU,13,2.0,3.75,1.53,75.5,70.1,43.74,-1.17,50.0,6.63,-1.01,2.32,4.91,-8.74,-1.04,-109.75,0.52,6.0,18.97,-42.86,7.2,14.4,24.0,2625,26,,,,,462101,,0,0,-5,top
2017-04-13,490239,6,642229,R,608336,L,45,Walk,6,1,170413_213939,62a55de1-a438-49ef-8bcd-c536f84c7244,0,0,0,B,Ball,CH,14,2.0,3.45,1.68,86.0,79.3,50.58,-1.08,50.0,5.96,0.34,0.87,-6.85,7.22,5.71,-124.72,-8.37,-10.84,23.93,-20.75,24.0,6.0,24.0,2172,228,,462101,,608336,,,0,0,-5,top
2017-04-13,490239,6,642229,R,608336,L,45,Walk,6,2,170413_214027,210d4297-41c9-482f-86c8-d8a47213731c,1,0,0,S,Swinging Strike (Blocked),CU,14,2.0,3.95,1.68,75.1,69.5,15.58,-0.9,50.0,6.39,0.15,0.64,7.25,-6.61,0.23,-109.11,-3.02,8.68,20.49,-40.09,12.0,14.4,24.0,2620,42,,462101,,608336,,,0,0,-5,top
2017-04-13,490239,6,642229,R,608336,L,45,Walk,6,3,170413_214104,bf44f7f5-f30e-4c40-83f0-f556607d1453,1,1,0,B,Ball,SI,13,2.0,3.95,1.68,92.1,85.3,28.94,-0.9,50.0,6.07,-0.51,1.15,-6.38,8.49,3.24,-133.67,-9.93,-11.69,25.37,-16.61,31.2,4.8,24.0,2286,221,,462101,,608336,,,0,0,-5,top
2017-04-13,490239,6,642229,R,608336,L,45,Walk,6,4,170413_214122,7878fe81-45bb-4ad8-bfc7-480158ed2bc4,2,1,0,B,Ball,CH,13,2.0,3.49,1.68,85.8,78.8,20.19,-1.08,50.0,6.26,-1.92,2.29,-7.03,8.11,0.16,-124.63,-5.83,-11.07,24.58,-19.39,28.8,6.0,24.0,2109,226,,462101,,608336,,,0,0,-5,top
2017-04-13,490239,6,642229,R,608336,L,45,Walk,6,5,170413_214141,7754d8d0-31d7-430a-be61-4f1f06bdd091,3,1,0,S,Foul Tip,SI,8,2.0,3.71,1.68,92.0,84.4,40.36,-0.83,50.0,6.13,-0.03,1.88,-6.07,8.49,4.21,-133.45,-8.03,-10.98,27.87,-16.81,28.8,4.8,24.0,2233,219,,462101,,608336,,,0,0,-5,top
2017-04-13,490239,6,642229,R,608336,L,45,Walk,6,6,170413_214203,be75e546-8860-47fa-a47e-d6727c52ac8a,3,2,0,B,Ball,SI,11,2.0,3.64,1.63,92.5,84.9,27.56,-1.15,50.0,6.15,-1.67,2.79,-5.66,9.49,0.58,-134.41,-6.17,-10.41,27.9,-14.73,32.4,3.6,24.0,2338,214,,462101,,608336,,,0,0,-5,top
2017-04-13,490239,6,642229,R,455139,R,46,Single,6,1,170413_214245,a4f113c1-b4ac-453e-a1fc-a8e9ecb98ac7,0,0,0,S,Foul,FF,6,2.0,3.79,1.56,90.9,83.0,59.03,-0.79,50.0,6.07,0.54,2.35,-1.79,10.07,4.07,-131.86,-6.9,-3.15,28.27,-14.46,8.4,3.6,24.0,2294,188,608336,,,455139,,,2,0,-5,top
2017-04-13,490239,6,642229,R,455139,R,46,Single,6,2,170413_214310,5dea638e-8323-4c39-aa2a-9dfcf8b33fba,0,1,0,S,Called Strike,FF,12,2.0,3.19,1.92,91.1,83.2,60.13,-0.54,50.0,6.24,1.06,3.03,-3.32,9.52,5.32,-132.19,-5.44,-5.88,28.06,-15.31,16.8,3.6,24.0,2268,198,608336,,,455139,,,2,0,-5,top
2017-04-13,490239,6,642229,R,455139,R,46,Single,6,3,170413_214332,c830a076-cfd6-4821-acbb-5a233f8b399a,0,1,0,S,Foul,CU,5,2.0,3.79,1.56,76.1,70.2,13.08,-0.83,50.0,6.58,0.05,2.51,3.55,-8.83,0.9,-110.52,1.0,4.37,20.34,-43.06,6.0,14.4,24.0,2452,21,608336,,,455139,,,2,0,-5,top
2017-04-13,490239,6,642229,R,455139,R,46,Single,6,4,170413_214411,91edcbbf-fa37-4f2b-9f6e-0ce7d081edec,0,2,0,B,Ball,CU,14,2.0,2.84,1.27,76.7,71.3,19.28,-0.8,50.0,6.32,0.3,0.31,3.77,-8.55,1.35,-111.54,-3.46,4.73,20.98,-42.9,6.0,14.4,24.0,2615,21,608336,,,455139,,,2,0,-5,top
2017-04-13,490239,6,642229,R,455139,R,46,Single,6,5,170413_214445,c513d0aa-45f9-49e4-bc9f-52bf742f541b,1,2,0,B,Ball In Dirt,SL,14,2.0,2.95,0.99,82.5,76.3,39.39,-0.74,50.0,6.21,1.22,0.29,3.73,-1.89,3.48,-119.7,-6.59,5.4,23.51,-34.91,9.6,10.8,24.0,,50,608336,,,455139,,,2,0,-5,top
2017-04-13,490239,6,642229,R,455139,R,46,Single,6,6,170413_214511,4f7b9c02-ff1e-4188-ac0a-50d7fe11c346,2,2,0,X,In play- run(s),FF,6,2.0,3.79,1.56,92.7,84.7,35.03,-0.71,50.0,6.26,0.52,2.68,-2.09,10.69,3.98,-134.42,-7.14,-3.83,28.69,-12.58,12.0,3.6,24.0,2350,190,608336,,,455139,,,2,0,-5,top
2017-04-13,490239,6,642229,R,595777,L,47,Walk,5,1,170413_214554,869563f9-8201-42b4-baf3-daa57b8217aa,0,0,0,B,Ball,CH,13,2.0,3.08,1.42,84.7,77.5,51.71,-0.9,50.0,6.22,-1.35,1.6,-8.15,4.76,1.47,-123.01,-6.06,-12.43,25.59,-24.92,25.2,7.2,24.0,1825,249,455139,,,595777,455139,,0,0,-7,top
2017-04-13,490239,6,642229,R,595777,L,47,Walk,5,2,170413_214612,85267c2d-1156-4a41-b7c0-50c1c917f966,1,0,0,B,Ball,SI,11,2.0,3.12,1.42,91.1,82.9,63.01,-0.93,50.0,6.17,-1.27,2.77,-7.62,7.69,1.67,-132.2,-5.29,-13.41,29.48,-18.64,33.6,6.0,24.0,2163,229,455139,,,595777,455139,,0,0,-7,top
2017-04-13,490239,6,642229,R,595777,L,47,Walk,5,3,170413_214631,e2c0de62-3204-422f-a88a-bca500a2ddd7,2,0,0,S,Swinging Strike,CH,5,2.0,3.79,1.56,85.4,77.8,21.19,-0.94,50.0,6.1,-0.08,2.45,-7.46,8.03,4.45,-123.9,-4.88,-11.53,25.89,-19.76,27.6,6.0,24.0,2013,226,455139,,,595777,455139,,0,0,-7,top
2017-04-13,490239,6,642229,R,595777,L,47,Walk,5,4,170413_214655,d9d3553e-8b84-4fe3-84e8-a0895287a24d,2,1,0,B,Ball,FF,11,2.0,3.12,1.64,91.5,83.4,49.45,-0.95,50.0,6.24,-1.19,3.64,-4.03,9.27,0.75,-132.77,-3.83,-7.18,28.58,-15.63,22.8,3.6,24.0,2154,205,455139,,,595777,455139,,0,0,-7,top
2017-04-13,490239,6,642229,R,595777,L,47,Walk,5,5,170413_214714,e16a3f4c-bc18-4bc7-bd44-2008963ea21a,3,1,0,B,Ball,CH,11,2.0,3.19,1.42,84.4,76.9,47.21,-0.96,50.0,6.19,-0.31,3.37,-4.1,10.49,2.85,-122.54,-3.46,-6.22,24.76,-16.26,18.0,4.8,24.0,1961,202,455139,,,595777,455139,,0,0,-7,top
2017-04-13,490239,6,642229,R,460576,R,48,Flyout,2,1,170413_214831,950501b9-ccf6-4e46-8928-9a458edf4f21,0,0,0,B,Ball,FF,12,2.0,3.59,1.51,91.1,82.8,55.25,-0.76,50.0,6.21,1.54,3.8,-2.19,12.1,6.74,-132.09,-4.22,-3.85,28.96,-10.86,12.0,2.4,24.0,2267,187,595777,455139,,,,,0,1,-7,top
2017-04-13,490239,6,642229,R,460576,R,48,Flyout,2,2,170413_214848,053f8817-9f2a-4927-a5c9-bf5ffbf48476,1,0,0,X,In play- out(s),FF,3,2.0,3.87,1.6,90.8,82.9,38.02,-1.09,50.0,6.17,0.25,3.4,-2.9,8.92,4.46,-131.78,-4.06,-5.11,27.86,-16.49,13.2,3.6,24.0,2263,197,595777,455139,,,,,0,1,-7,top
