Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-06,490122,1,517593,R,592261,R,3,Strikeout,3,1,170406_001520,956d287e-ca9b-4ba6-b9c8-0cd5d48ab525,0,0,0,S,Called Strike,FT,3,2.0,3.44,1.57,92.4,84.1,50.74,-2.31,50.0,5.52,0.24,3.2,-10.4,6.68,10.3,-134.03,-2.35,-18.89,29.3,-20.04,39.6,6.0,24.0,2518,234,,,,,,,0,1,0,bottom
2017-04-06,490122,1,517593,R,592261,R,3,Strikeout,3,2,170406_001532,3fda808d-42c3-4aaf-bd6d-219c22d79fed,0,1,0,S,Swinging Strike,FT,12,2.0,3.62,1.69,94.5,85.7,51.93,-2.34,50.0,5.6,0.21,3.35,-9.04,9.62,10.07,-137.08,-3.49,-17.12,31.73,-13.97,45.6,4.8,24.0,2498,219,,,,,,,0,1,0,bottom
2017-04-06,490122,1,517593,R,592261,R,3,Strikeout,3,3,170406_001546,41c4f1b6-7d5c-46f9-8b2f-ca9b274415cc,0,2,0,S,Foul Tip,FT,11,2.0,3.53,1.61,94.2,85.3,48.87,-2.4,50.0,5.6,-0.62,4.03,-9.12,9.19,7.97,-136.72,-1.45,-17.15,32.01,-14.9,45.6,4.8,24.0,2498,221,,,,,,,0,1,0,bottom
2017-04-06,490122,1,517593,R,425783,L,4,Walk,6,1,170406_001624,cf3e358b-c48f-416c-9787-39e7e524de7e,0,0,1,B,Ball,FT,11,2.0,3.52,1.65,93.0,84.1,47.83,-2.31,50.0,5.69,-0.57,3.88,-10.72,10.42,8.33,-134.97,-2.33,-19.62,31.49,-13.1,52.8,4.8,24.0,2470,223,,,,425783,,,0,0,0,bottom
2017-04-06,490122,1,517593,R,425783,L,4,Walk,6,2,170406_001634,7e72dfc7-eb84-4e5a-94c9-82aed63bf4cf,1,0,1,S,Called Strike,CH,14,2.0,3.51,1.51,84.2,77.1,50.41,-2.3,50.0,5.55,0.79,1.97,-9.42,2.82,10.4,-122.11,-2.82,-14.2,24.29,-27.92,22.8,8.4,24.0,1866,251,,,,425783,,,0,0,0,bottom
2017-04-06,490122,1,517593,R,425783,L,4,Walk,6,3,170406_001646,66c867d6-964a-4064-9da7-fe9eb4c30646,1,1,1,B,Ball,SL,12,2.0,3.46,1.51,86.3,79.1,26.6,-2.15,50.0,5.67,1.71,2.89,-3.07,4.07,10.53,-125.13,-1.67,-4.88,24.82,-25.71,6.0,7.2,24.0,1996,203,,,,425783,,,0,0,0,bottom
2017-04-06,490122,1,517593,R,425783,L,4,Walk,6,4,170406_001703,3ae16807-8f0a-448c-ab25-77054470c57b,2,1,1,B,Ball,FT,12,2.0,3.54,1.73,94.2,85.6,57.5,-1.95,50.0,5.72,1.28,2.66,-11.27,9.18,12.64,-136.35,-5.47,-21.18,30.5,-14.93,49.2,4.8,24.0,2501,228,,,,425783,,,0,0,0,bottom
2017-04-06,490122,1,517593,R,425783,L,4,Walk,6,5,170406_001718,ded40740-f221-459b-82d2-50104df76b19,3,1,1,S,Called Strike,FT,12,2.0,3.41,1.6,95.0,86.3,75.14,-2.22,50.0,5.72,0.83,3.27,-11.17,9.68,12.22,-137.63,-4.14,-21.39,31.06,-13.64,51.6,4.8,24.0,2455,226,,,,425783,,,0,0,0,bottom
2017-04-06,490122,1,517593,R,425783,L,4,Walk,6,6,170406_001741,f448e7eb-1ca4-480f-8a08-ddb7fd2d8ba2,3,2,1,B,Ball In Dirt,CH,14,2.0,3.38,1.61,87.1,80.5,43.82,-2.13,50.0,5.34,1.29,0.83,-7.5,2.9,11.0,-126.3,-5.78,-12.19,24.03,-27.45,20.4,7.2,24.0,2052,248,,,,425783,,,0,0,0,bottom
2017-04-06,490122,1,517593,R,608577,L,5,Home Run,2,1,170406_001827,e30dce75-1f25-47a3-9341-cabadec71655,0,0,1,S,Called Strike,FT,14,2.0,3.75,1.74,94.2,85.7,55.76,-2.19,50.0,5.61,0.8,2.52,-8.71,9.96,11.08,-136.52,-5.84,-16.39,30.79,-13.43,43.2,4.8,24.0,2502,218,425783,,,,,,2,0,0,bottom
2017-04-06,490122,1,517593,R,608577,L,5,Home Run,2,2,170406_001848,78c78ab2-71f1-4733-9fe0-28fdbfc4b1c5,0,1,1,X,In play- run(s),FT,1,2.0,3.53,1.68,94.6,86.3,44.9,-2.37,50.0,5.48,-0.27,2.95,-8.6,6.23,8.73,-137.38,-3.11,-16.43,30.54,-20.26,34.8,6.0,24.0,2452,231,425783,,,,,,2,0,0,bottom
2017-04-06,490122,1,517593,R,435063,R,6,Strikeout,4,1,170406_001945,f744d099-1c09-49c4-9680-0c51b0c6802e,0,0,1,S,Called Strike,FF,9,2.0,3.5,1.67,95.8,87.5,63.77,-2.2,50.0,5.35,0.47,1.72,-7.14,8.82,9.87,-138.94,-7.23,-13.96,31.13,-14.94,36.0,4.8,24.0,2399,216,,,,,,,0,1,-2,bottom
2017-04-06,490122,1,517593,R,435063,R,6,Strikeout,4,2,170406_001957,6928650a-55b5-45a1-b391-e2820339ac9f,0,1,1,S,Swinging Strike,CH,9,2.0,3.24,1.57,87.9,81.4,41.44,-2.09,50.0,5.53,0.27,1.52,-7.66,3.3,8.48,-127.67,-4.88,-12.77,23.78,-26.68,22.8,7.2,24.0,1767,246,,,,,,,0,1,-2,bottom
2017-04-06,490122,1,517593,R,435063,R,6,Strikeout,4,3,170406_002011,26970fea-d472-443f-9954-9f7e01817397,0,2,1,B,Ball,FT,11,2.0,3.24,1.57,96.4,87.8,28.89,-2.28,50.0,5.49,-0.03,4.04,-8.33,8.22,9.19,-139.97,-1.13,-16.54,31.44,-15.87,42.0,4.8,24.0,2501,221,,,,,,,0,1,-2,bottom
2017-04-06,490122,1,517593,R,435063,R,6,Strikeout,4,4,170406_002029,129397f8-d902-40c6-986b-96a1965c4980,1,2,1,S,Swinging Strike,FT,12,2.0,3.29,1.57,96.3,88.2,71.67,-2.15,50.0,5.58,1.0,3.15,-7.44,8.51,11.39,-139.78,-3.94,-14.78,30.17,-15.27,37.2,3.6,24.0,2447,217,,,,,,,0,1,-2,bottom
2017-04-06,490122,1,517593,R,596059,L,7,Strikeout,5,1,170406_002116,e66d7941-048f-4ff0-931b-65bafb2ddc87,0,0,2,S,Called Strike,CH,6,2.0,3.65,1.56,86.6,79.9,54.64,-2.31,50.0,5.49,0.42,2.12,-8.58,1.67,9.56,-125.66,-2.46,-13.83,23.41,-29.48,21.6,8.4,24.0,1878,258,,,,,,,0,1,-2,bottom
2017-04-06,490122,1,517593,R,596059,L,7,Strikeout,5,2,170406_002129,10b0f08f-9a38-4be6-b515-29317f34e1b2,0,1,2,B,Ball,FT,14,2.0,3.43,1.51,95.1,87.0,30.77,-1.99,50.0,5.43,1.57,2.05,-8.76,8.81,12.81,-137.7,-6.42,-16.88,29.59,-15.2,40.8,4.8,24.0,2474,221,,,,,,,0,1,-2,bottom
2017-04-06,490122,1,517593,R,596059,L,7,Strikeout,5,3,170406_002148,ccc137df-6d60-4a40-b874-52a12e6418ce,1,1,2,S,Swinging Strike,CU,14,2.0,3.31,1.43,82.7,77.2,21.69,-2.14,50.0,5.49,0.39,0.5,-0.39,-9.36,6.13,-120.23,-2.23,-0.58,21.8,-45.97,0.0,13.2,24.0,2651,2,,,,,,,0,1,-2,bottom
2017-04-06,490122,1,517593,R,596059,L,7,Strikeout,5,4,170406_002209,a682930e-3410-42b4-bd29-b5a1bd7ead89,1,2,2,B,Ball,FT,11,2.0,3.51,1.52,94.9,86.6,30.62,-2.38,50.0,5.5,-0.3,3.9,-9.9,4.14,9.18,-137.82,0.1,-19.06,30.29,-24.21,34.8,6.0,24.0,2504,244,,,,,,,0,1,-2,bottom
2017-04-06,490122,1,517593,R,596059,L,7,Strikeout,5,5,170406_002226,6d5fc276-e0c2-43b6-88da-1ed9459aa368,2,2,2,S,Called Strike,CH,3,2.0,3.39,1.51,87.1,80.3,43.77,-2.31,50.0,5.7,0.48,2.78,-5.55,1.47,8.8,-126.49,-1.38,-9.06,23.93,-29.78,14.4,7.2,24.0,2322,252,,,,,,,0,1,-2,bottom
2017-04-06,490122,2,517593,R,460576,R,11,Walk,8,1,170406_003148,257824ed-1a5c-40d3-8f95-a63fd8468f17,0,0,0,B,Ball,FT,12,2.0,3.41,1.6,95.2,86.7,71.28,-2.14,50.0,5.39,1.05,3.3,-7.59,5.3,11.39,-138.06,-1.66,-14.62,31.15,-21.96,28.8,4.8,24.0,2555,230,,,,460576,,,0,0,-2,bottom
2017-04-06,490122,2,517593,R,460576,R,11,Walk,8,2,170406_003201,b8265a7c-2f68-40cd-91fa-aa8af6b2e05b,1,0,0,S,Foul,CH,14,2.0,3.3,1.59,84.8,76.9,58.54,-2.2,50.0,5.57,0.91,1.83,-7.78,2.19,9.94,-122.85,-3.05,-11.75,26.92,-28.86,18.0,8.4,24.0,1779,252,,,,460576,,,0,0,-2,bottom
2017-04-06,490122,2,517593,R,460576,R,11,Walk,8,3,170406_003224,766db0ce-b18d-4b0c-952b-5bdee9b22aac,1,1,0,S,Called Strike,FF,6,2.0,3.6,1.6,95.9,87.0,44.72,-2.15,50.0,5.44,0.67,2.53,-7.31,9.59,10.33,-139.09,-5.48,-14.23,33.04,-13.51,38.4,3.6,24.0,2444,213,,,,460576,,,0,0,-2,bottom
2017-04-06,490122,2,517593,R,460576,R,11,Walk,8,4,170406_003240,16c5d382-64db-44ef-9f5c-4d10b1c3c9cd,1,2,0,B,Ball,CH,14,2.0,3.43,1.6,87.5,79.6,44.41,-1.93,50.0,5.45,1.23,0.76,-9.63,1.91,10.99,-126.7,-5.84,-15.49,28.46,-29.11,24.0,8.4,24.0,1726,261,,,,460576,,,0,0,-2,bottom
2017-04-06,490122,2,517593,R,460576,R,11,Walk,8,5,170406_003302,4df7a055-4173-47db-bc48-ba4e2df41084,2,1,0,S,Foul,CH,13,2.0,3.31,1.6,86.7,79.9,37.86,-2.12,50.0,5.49,-0.07,1.29,-8.38,2.57,7.83,-125.93,-4.84,-13.52,24.49,-28.03,22.8,8.4,24.0,2008,253,,,,460576,,,0,0,-2,bottom
2017-04-06,490122,2,517593,R,460576,R,11,Walk,8,6,170406_003325,9e1178f0-b625-41b3-868d-a33e1654e86c,2,2,0,B,Ball,FT,11,2.0,3.47,1.6,95.2,86.2,54.38,-2.1,50.0,5.61,-0.77,4.81,-10.28,9.18,7.25,-138.33,0.49,-19.78,32.81,-14.5,51.6,4.8,24.0,2630,225,,,,460576,,,0,0,-2,bottom
2017-04-06,490122,2,517593,R,460576,R,11,Walk,8,7,170406_003344,1562462c-1c4f-499c-97cb-10bd175c3ca8,3,1,0,S,Foul,FT,11,2.0,3.48,1.6,96.8,87.5,65.5,-2.3,50.0,5.5,-0.57,3.52,-12.79,10.84,9.36,-140.37,-3.52,-25.34,33.9,-10.7,63.6,4.8,24.0,2576,227,,,,460576,,,0,0,-2,bottom
2017-04-06,490122,2,517593,R,460576,R,11,Walk,8,8,170406_003407,0631089d-42ec-4a0a-b31c-740ebc32042a,3,2,0,B,Ball,FT,12,2.0,3.66,1.67,95.4,87.7,45.55,-2.19,50.0,5.51,0.53,3.87,-8.7,4.55,10.57,-138.62,-0.29,-17.08,28.36,-23.25,32.4,6.0,24.0,2356,238,,,,460576,,,0,0,-2,bottom
2017-04-06,490122,2,517593,R,518960,R,12,Grounded Into DP,2,1,170406_003518,05672f32-109e-43ca-93b5-0401f4b4f82f,0,0,0,X,In play- out(s),FT,1,2.0,3.74,1.68,94.1,85.5,47.37,-2.27,50.0,5.59,-0.28,3.12,-13.58,9.18,10.08,-136.47,-3.88,-25.55,30.63,-14.9,56.4,6.0,24.0,2404,234,460576,,,,,,0,2,-2,bottom
2017-04-06,490122,2,517593,R,608336,L,13,Strikeout,6,1,170406_003553,b750c27d-d33e-4636-8697-8bd0af57d9fb,0,0,2,S,Called Strike,CU,14,2.0,3.73,1.68,82.4,77.2,94.32,-2.26,50.0,5.79,0.77,2.0,-0.68,-5.52,7.42,-119.9,-0.55,-1.0,19.79,-40.33,0.0,10.8,24.0,2495,1,,,,,,,0,1,-2,bottom
2017-04-06,490122,2,517593,R,608336,L,13,Strikeout,6,2,170406_003605,c897663c-aaad-436b-98b8-9bec07775457,0,1,2,S,Swinging Strike,CH,7,2.0,3.9,1.8,86.9,80.1,41.23,-2.35,50.0,5.46,-0.5,2.15,-9.59,0.81,7.73,-126.2,-2.09,-15.57,24.09,-30.86,24.0,8.4,24.0,1694,265,,,,,,,0,1,-2,bottom
2017-04-06,490122,2,517593,R,608336,L,13,Strikeout,6,3,170406_003620,21c63b5e-cb29-4aa5-afcc-249f21f13574,0,2,2,B,Ball,FT,11,2.0,3.99,1.88,96.2,87.2,49.87,-2.3,50.0,5.63,-0.64,4.71,-9.86,9.27,8.07,-139.62,-0.0,-19.38,32.65,-13.95,51.6,4.8,24.0,2440,223,,,,,,,0,1,-2,bottom
2017-04-06,490122,2,517593,R,608336,L,13,Strikeout,6,4,170406_003636,9ef9dd07-8968-4aa0-8845-1e84029cc3fc,1,2,2,B,Ball,CU,14,2.0,3.78,1.71,84.0,78.3,29.85,-2.16,50.0,5.77,0.63,1.05,1.31,-6.24,6.33,-122.13,-2.82,1.99,22.3,-41.67,3.6,10.8,24.0,2919,17,,,,,,,0,1,-2,bottom
2017-04-06,490122,2,517593,R,608336,L,13,Strikeout,6,5,170406_003655,168d37dc-8963-4e77-8225-caafca190197,2,2,2,B,Ball,CH,14,2.0,3.68,1.68,87.1,80.3,53.46,-2.16,50.0,5.37,1.05,2.11,-7.09,0.28,10.34,-126.47,-1.83,-11.55,24.53,-31.71,16.8,8.4,24.0,1603,267,,,,,,,0,1,-2,bottom
2017-04-06,490122,2,517593,R,608336,L,13,Strikeout,6,6,170406_003713,56298521-0447-41d6-ad3b-e792e535a82e,3,2,2,S,Swinging Strike,CH,13,2.0,3.76,1.77,87.7,80.0,40.82,-2.29,50.0,5.52,-0.21,1.7,-8.53,5.19,8.01,-127.28,-4.85,-13.93,27.17,-23.7,26.4,7.2,24.0,1437,237,,,,,,,0,1,-2,bottom
2017-04-06,490122,3,517593,R,462101,R,17,Single,2,1,170406_004508,12789c24-45ff-45bf-b3b6-50cf51aee286,0,0,0,S,Called Strike,FF,2,2.0,3.81,1.61,94.3,85.8,43.95,-2.09,50.0,5.69,-0.03,2.81,-7.27,11.64,8.11,-136.85,-5.89,-13.75,30.96,-10.16,45.6,3.6,24.0,2470,209,,,,462101,,,0,0,-2,bottom
2017-04-06,490122,3,517593,R,462101,R,17,Single,2,2,170406_004520,518a3ba3-d8e9-4d79-960d-2cacaed1f64c,0,1,0,X,In play- no out,CU,6,2.0,3.42,1.54,83.3,77.3,26.61,-2.2,50.0,5.78,0.52,2.44,-1.58,-3.24,7.02,-121.06,-0.29,-2.37,21.49,-37.04,2.4,9.6,24.0,2521,346,,,,462101,,,0,0,-2,bottom
2017-04-06,490122,3,517593,R,592261,R,18,Sac Bunt,2,1,170406_004624,9e30cd73-9d7e-4607-9470-cc8f2af99f4b,0,0,0,X,In play- out(s),FT,1,2.0,3.47,1.49,93.8,85.6,52.22,-2.36,50.0,5.53,-0.29,3.18,-11.87,5.09,9.71,-136.22,-2.12,-22.32,29.8,-22.6,40.8,7.2,24.0,2459,245,462101,,,,462101,,0,1,-2,bottom
2017-04-06,490122,3,517593,R,425783,L,19,Groundout,6,1,170406_004729,4efaa9ee-6ea9-4aaa-ac92-4ce9d1060d23,0,0,1,B,Ball,FT,14,2.0,3.69,1.51,93.1,85.2,73.24,-2.11,50.0,5.48,1.29,1.45,-13.23,3.95,13.62,-134.74,-6.04,-24.36,28.92,-24.91,39.6,7.2,24.0,2493,253,,462101,,,,462101,0,1,-2,bottom
2017-04-06,490122,3,517593,R,425783,L,19,Groundout,6,2,170406_004751,30cf12fb-5345-4c8e-8355-82773f10e545,1,0,1,S,Foul,FT,5,2.0,3.37,1.51,93.2,84.8,32.78,-2.37,50.0,5.46,0.08,2.2,-10.03,10.24,10.02,-135.17,-6.19,-18.51,30.08,-13.28,48.0,4.8,24.0,2394,222,,462101,,,,462101,0,1,-2,bottom
2017-04-06,490122,3,517593,R,425783,L,19,Groundout,6,3,170406_004846,c78787a8-a99d-45b3-baf8-3e375f195e30,1,1,1,S,Called Strike,CH,4,2.0,3.39,1.59,85.9,78.8,30.42,-2.4,50.0,5.77,-0.27,2.56,-9.62,4.19,8.33,-124.7,-2.73,-15.2,24.36,-25.56,27.6,7.2,24.0,1557,244,,462101,,,,462101,0,1,-2,bottom
2017-04-06,490122,3,517593,R,425783,L,19,Groundout,6,4,170406_004917,98daccdf-65d1-49bf-bc91-9098d5d10e2e,1,1,1,S,Foul,CH,11,2.0,3.41,1.58,85.1,78.0,62.17,-2.46,50.0,5.6,-1.03,3.16,-8.46,1.15,6.19,-123.77,0.26,-13.13,24.58,-30.39,21.6,8.4,24.0,1774,260,,462101,,,,462101,0,1,-2,bottom
2017-04-06,490122,3,517593,R,425783,L,19,Groundout,6,5,170406_004953,10162611-5f12-4533-966e-3f20843c406d,1,2,1,B,Ball,CU,14,2.0,3.4,1.51,82.6,77.0,58.24,-2.24,50.0,5.64,1.1,1.25,-0.2,-4.92,8.0,-119.98,-2.16,-0.29,21.14,-39.41,1.2,10.8,24.0,2698,8,,462101,,,,462101,0,1,-2,bottom
2017-04-06,490122,3,517593,R,425783,L,19,Groundout,6,6,170406_005020,62fbdc21-c60a-42a3-8074-e438c9d7697b,2,2,1,X,In play- out(s),CH,3,2.0,3.27,1.51,86.2,79.7,35.12,-2.34,50.0,5.6,0.26,2.9,-7.25,1.63,8.8,-125.27,-0.76,-11.65,22.81,-29.55,19.2,8.4,24.0,1764,254,,462101,,,,462101,0,1,-2,bottom
2017-04-06,490122,3,517593,R,608577,L,20,Lineout,4,1,170406_005135,65a45f99-dc13-49c9-aec0-1d162911add1,0,0,2,B,Ball,CH,14,2.0,3.58,1.74,86.4,79.8,57.75,-2.17,50.0,5.41,1.48,1.54,-9.96,-2.28,12.24,-125.16,-2.37,-15.91,23.54,-35.82,20.4,9.6,24.0,1693,285,,,462101,,,,0,1,-2,bottom
2017-04-06,490122,3,517593,R,608577,L,20,Lineout,4,2,170406_005156,0e0d8c4d-033a-497d-aaa7-ee0919010e43,1,0,2,S,Called Strike,CH,3,2.0,3.56,1.63,86.1,79.5,42.05,-2.28,50.0,5.65,0.37,3.22,-5.22,1.64,8.25,-125.09,-0.08,-8.35,22.84,-29.55,13.2,7.2,24.0,1697,247,,,462101,,,,0,1,-2,bottom
2017-04-06,490122,3,517593,R,608577,L,20,Lineout,4,3,170406_005246,d10de8e5-c04e-471f-b1e5-3d0f87cbf0a8,1,1,2,S,Foul,CH,4,2.0,3.51,1.52,86.3,78.8,41.15,-2.26,50.0,5.58,-0.69,2.48,-10.31,3.54,7.17,-125.37,-2.29,-16.37,25.89,-26.56,28.8,8.4,24.0,1738,250,,,462101,,,,0,1,-2,bottom
2017-04-06,490122,3,517593,R,608577,L,20,Lineout,4,4,170406_005323,b3a58e03-722c-4158-a904-ac4a0055e6af,1,2,2,X,In play- out(s),FT,12,2.0,3.53,1.73,95.0,84.9,48.27,-2.3,50.0,5.47,0.02,3.56,-9.8,8.7,9.67,-137.71,-2.22,-18.45,36.31,-15.81,44.4,4.8,24.0,2412,224,,,462101,,,,0,1,-2,bottom
2017-04-06,490122,4,517593,R,435063,R,26,Strikeout,5,1,170406_010626,038b80fc-a55d-4d75-809f-d9d267092a37,0,0,0,B,Ball,FF,14,2.0,3.34,1.57,94.7,85.9,44.98,-1.84,50.0,5.56,1.64,1.86,-7.59,9.98,12.07,-137.06,-7.53,-14.34,32.15,-13.32,37.2,3.6,24.0,2411,213,,,,,,,0,1,0,bottom
