Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-19,567240,7,503285,R,543685,R,47,Walk,7,1,190908_013731,d5e47d2e-8a5a-466e-be27-6bfa758e0483,0,0,0,B,Ball,FF,11,,3.08,1.65,86.1,79.4,,-2.5,50.0,3.64,-0.9,3.26,-7.5,4.46,6.42,-125.23,4.08,-12.06,22.12,-24.99,24.0,7.2,24.0,2321,233,,,,543685,,,0,0,4,top
2019-09-19,567240,7,503285,R,543685,R,47,Walk,7,2,190908_013754,dd89c3fe-b976-45c1-accf-78894c5bb398,1,0,0,B,Ball,SL,11,,3.07,1.56,78.4,72.7,,-2.83,50.0,3.58,-1.01,2.44,1.96,0.99,3.54,-114.14,4.22,2.62,18.35,-30.84,6.0,9.6,24.0,,124,,,,543685,,,0,0,4,top
2019-09-19,567240,7,503285,R,543685,R,47,Walk,7,3,190908_013820,fa5b1b2e-82c4-4157-bf59-8876b4fc47ae,2,0,0,S,Called Strike,SL,4,,3.22,1.56,78.7,72.7,,-2.78,50.0,3.6,-0.62,2.22,2.63,0.2,4.13,-114.53,3.9,3.53,19.29,-31.91,7.2,9.6,24.0,2220,105,,,,543685,,,0,0,4,top
2019-09-19,567240,7,503285,R,543685,R,47,Walk,7,4,190908_013843,178a2aea-db30-4eb1-a032-34082f9500dc,2,1,0,S,Swinging Strike,FF,2,,3.25,1.62,86.5,79.8,,-2.4,50.0,3.67,-0.1,2.66,-7.9,4.73,8.31,-125.88,2.38,-12.83,22.8,-24.49,25.2,7.2,24.0,2314,233,,,,543685,,,0,0,4,top
2019-09-19,567240,7,503285,R,543685,R,47,Walk,7,5,190908_013911,54809fcf-eaba-4690-99dc-2a34ac0366a0,2,1,0,S,Foul,FF,2,,3.16,1.49,87.4,80.5,,-2.47,50.0,3.67,-0.2,2.71,-7.99,4.79,8.32,-127.06,2.38,-13.2,23.37,-24.26,26.4,6.0,24.0,2300,233,,,,543685,,,0,0,4,top
2019-09-19,567240,7,503285,R,543685,R,47,Walk,7,6,190908_013944,8b92f5fa-bbb8-4956-aa7e-658f25c256ba,2,2,0,B,Ball,SL,14,,3.19,1.56,79.1,73.0,,-2.51,50.0,3.48,2.18,2.14,3.59,0.21,9.6,-114.81,3.97,4.82,20.07,-31.89,12.0,9.6,24.0,2304,100,,,,543685,,,0,0,4,top
2019-09-19,567240,7,503285,R,543685,R,47,Walk,7,7,190908_014011,5e74edac-51d4-45b6-8da9-2b91b4960d35,3,2,0,B,Ball,FF,12,,3.22,1.54,87.5,80.1,,-2.25,50.0,3.96,1.14,3.48,-7.73,6.12,11.06,-127.15,3.18,-12.71,25.06,-22.11,26.4,6.0,24.0,2400,224,,,,543685,,,0,0,4,top
2019-09-19,567132,6,503285,R,664068,R,51,Lineout,2,1,190911_011000,2506b83a-6dc8-4f40-8708-dc6c6e5074d4,0,0,0,B,Ball,SL,14,,3.22,1.46,79.4,73.2,,-2.75,50.0,3.73,1.06,1.78,3.48,-2.53,7.65,-115.47,3.34,4.71,21.19,-35.6,9.6,10.8,24.0,,67,,,,,,,0,1,-1,bottom
2019-09-19,567132,6,503285,R,664068,R,51,Lineout,2,2,190911_011025,f606bc0a-5290-453c-99e9-3a62012d8c2e,1,0,0,X,In play- out(s),SL,14,,3.43,1.58,78.3,72.4,,-2.78,50.0,3.52,0.09,1.42,3.55,-1.84,5.41,-113.98,2.94,4.7,19.86,-34.61,9.6,10.8,24.0,2197,73,,,,,,,0,1,-1,bottom
2019-09-19,567134,7,503285,R,656555,R,60,Double,5,1,190913_015354,21b0236e-ec76-4b06-a18f-562be94fbc0e,0,0,1,S,Swinging Strike,SL,4,,3.54,1.75,78.2,71.2,,-2.7,50.0,3.71,-0.38,2.65,4.69,2.57,3.85,-113.78,4.06,6.11,22.09,-28.82,13.2,9.6,24.0,,122,,,,,656555,,0,0,-1,bottom
