Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-12,566793,4,502304,R,641820,R,33,Walk,5,1,190605_012623,c6b66f80-f253-4e73-bebe-06575578829d,0,0,1,B,Ball,FF,12,,3.66,1.76,93.4,85.9,,-1.64,50.0,5.61,1.73,2.66,-5.79,6.14,11.07,-135.68,-4.06,-10.87,27.92,-20.66,21.6,4.8,24.0,1912,218,593643,,,641820,593643,,0,0,-4,top
2019-09-12,566793,4,502304,R,641820,R,33,Walk,5,2,190605_012639,e17257cd-5228-4767-983f-a4f8c45adc68,1,0,1,B,Ball,FF,12,,3.64,1.69,92.5,85.2,,-1.84,50.0,5.58,1.07,2.96,-4.83,7.98,9.43,-134.48,-3.7,-8.92,26.8,-17.44,21.6,4.8,24.0,1993,206,593643,,,641820,593643,,0,0,-4,top
2019-09-12,566793,4,502304,R,641820,R,33,Walk,5,3,190605_012719,f8e1298c-b118-4e42-9c97-0681431238a4,2,0,1,B,Ball,FF,14,,3.66,1.74,93.7,86.5,,-1.7,50.0,5.42,2.47,1.69,-5.53,8.54,13.17,-135.83,-7.06,-10.44,26.93,-16.05,24.0,3.6,24.0,2115,207,593643,,,641820,593643,,0,0,-4,top
2019-09-12,566793,4,502304,R,641820,R,33,Walk,5,4,190605_012736,ae65082e-7386-4e84-9c24-2769dd20acd8,3,0,1,B,Ball,FF,14,,3.69,1.78,92.9,85.3,,-1.82,50.0,5.54,1.42,2.07,-5.68,8.64,10.6,-134.81,-6.21,-10.5,27.91,-16.2,25.2,4.8,24.0,2084,209,593643,,,641820,593643,,0,0,-4,top
2019-09-12,566793,4,502304,R,600524,R,34,Walk,6,1,190605_012812,0f01398a-c76c-414d-a418-6b9ef9534530,0,0,1,B,Ball,SL,14,,3.41,1.63,85.7,78.9,,-1.88,50.0,5.51,1.22,0.74,0.79,3.63,7.34,-124.4,-6.3,1.24,25.16,-26.49,4.8,7.2,24.0,2334,149,641820,593643,,600524,641820,593643,0,0,-4,top
2019-09-12,566793,4,502304,R,600524,R,34,Walk,6,2,190605_012837,6ea65202-32c9-45e1-98a3-fd2d1d306770,1,0,1,B,Ball,CH,14,,3.4,1.63,85.7,79.2,,-2.1,50.0,5.57,1.11,1.9,2.77,2.75,7.02,-124.67,-3.41,4.38,23.99,-27.83,10.8,7.2,24.0,2248,124,641820,593643,,600524,641820,593643,0,0,-4,top
2019-09-12,566793,4,502304,R,600524,R,34,Walk,6,3,190605_012901,6e745fdb-fbe7-43c8-8f45-55a752efde62,2,0,1,S,Foul,FF,5,,3.45,1.64,93.6,86.4,,-2.01,50.0,5.58,-0.01,2.83,-4.31,8.92,6.93,-136.23,-4.6,-8.18,27.13,-15.25,22.8,3.6,24.0,1944,202,641820,593643,,600524,641820,593643,0,0,-4,top
2019-09-12,566793,4,502304,R,600524,R,34,Walk,6,4,190605_012926,706a8cff-da7d-4b3a-a81e-1dcd00972c70,2,1,1,S,Foul,FF,3,,3.45,1.64,93.4,85.8,,-1.79,50.0,5.63,0.5,3.36,-4.9,6.65,7.89,-135.97,-2.47,-9.22,28.31,-19.66,20.4,4.8,24.0,1977,211,641820,593643,,600524,641820,593643,0,0,-4,top
2019-09-12,566793,4,502304,R,600524,R,34,Walk,6,5,190605_012959,6007b2c2-7be0-4229-9573-0c76ae36a791,2,2,1,B,Ball,FF,14,,3.41,1.63,93.8,86.5,,-1.7,50.0,5.51,1.59,2.23,-4.49,9.08,10.48,-136.2,-6.08,-8.53,27.13,-14.95,21.6,3.6,24.0,2100,201,641820,593643,,600524,641820,593643,0,0,-4,top
2019-09-12,566793,4,502304,R,600524,R,34,Walk,6,6,190605_013022,000249d9-2beb-4cbb-98ab-42b9a981c909,3,2,1,B,Ball,FF,14,,3.39,1.6,94.2,86.5,,-1.67,50.0,5.51,1.97,2.26,-4.71,10.22,11.51,-136.68,-6.43,-8.96,28.4,-12.72,25.2,3.6,24.0,2066,199,641820,593643,,600524,641820,593643,0,0,-4,top
