Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-05-31,490896,1,600944,R,572821,R,5,Single,3,1,170531_172324,96333431-cbe1-4e05-a226-752ffcc05c2e,0,0,0,B,Ball,FF,9,2.0,2.83,1.23,91.4,82.6,65.74,-1.53,50.0,6.66,0.59,1.54,-7.18,12.95,7.92,-132.01,-11.45,-12.54,30.86,-9.57,42.0,3.6,24.0,1863,210,,,,572821,,,0,0,2,bottom
2017-05-31,490896,1,600944,R,572821,R,5,Single,3,2,170531_172339,d9004b09-6f66-4218-8cec-0aa57e56cc98,1,0,0,S,Called Strike,SL,3,2.0,2.84,1.26,81.0,73.3,41.74,-1.4,50.0,6.89,0.61,2.43,-0.38,5.96,4.73,-117.24,-5.05,-0.53,25.08,-24.0,1.2,7.2,24.0,2310,175,,,,572821,,,0,0,2,bottom
2017-05-31,490896,1,600944,R,572821,R,5,Single,3,3,170531_172357,bdd3e84d-2274-454a-9391-9b6b4c02b513,1,1,0,X,In play- no out,FF,11,2.0,2.74,1.05,93.3,85.1,25.91,-1.59,50.0,6.75,-0.25,3.34,-3.42,10.98,4.77,-135.37,-6.9,-6.35,29.84,-11.82,21.6,3.6,24.0,1912,196,,,,572821,,,0,0,2,bottom
2017-05-31,490896,1,600944,R,593871,L,6,Strikeout,3,1,170531_172437,ab5f0c07-ad6c-4ded-a48a-1696c0f32c94,0,0,0,S,Called Strike,FF,8,2.0,3.46,1.74,92.7,83.9,48.06,-1.71,50.0,6.68,0.11,2.15,-5.09,12.78,6.55,-134.09,-10.22,-9.2,31.09,-9.09,33.6,3.6,24.0,1852,201,572821,,,,,,0,1,2,bottom
2017-05-31,490896,1,600944,R,593871,L,6,Strikeout,3,2,170531_172457,6508d601-b2fb-4208-8f10-49bce15c5334,0,1,0,S,Swinging Strike,FF,11,2.0,3.25,1.43,93.6,85.1,59.81,-1.63,50.0,6.73,-0.86,2.92,-3.66,12.14,3.32,-135.79,-8.4,-6.8,30.92,-9.6,27.6,2.4,24.0,1970,197,572821,,,,,,0,1,2,bottom
2017-05-31,490896,1,600944,R,593871,L,6,Strikeout,3,3,170531_172521,28fbed0d-9ab7-4373-9248-2c58724527c8,0,2,0,S,Swinging Strike,FF,11,2.0,3.25,1.43,93.9,85.3,46.57,-1.59,50.0,6.82,-0.79,3.99,-4.57,10.92,3.75,-136.33,-5.42,-8.56,31.18,-11.72,31.2,3.6,24.0,1992,203,572821,,,,,,0,1,2,bottom
2017-05-31,490896,1,600944,R,596146,L,7,Single,2,1,170531_172556,1b0c0e83-4b89-4417-aec7-d119eb2d2546,0,0,1,B,Ball,FF,11,2.0,3.45,1.74,93.4,84.5,73.22,-1.64,50.0,6.84,-0.55,3.78,-4.19,11.52,4.35,-135.52,-6.1,-7.73,31.92,-10.94,28.8,3.6,24.0,1955,200,,,,596146,572821,,0,0,2,bottom
2017-05-31,490896,1,600944,R,596146,L,7,Single,2,2,170531_172624,91485e99-cfdc-40d6-ad6b-acf62500e163,1,0,1,X,In play- no out,SL,1,2.0,3.27,1.38,81.3,73.9,32.4,-1.85,50.0,6.82,-0.31,2.84,-0.58,2.82,3.75,-118.02,-3.14,-0.8,25.01,-28.25,0.0,8.4,24.0,2333,180,,,,596146,572821,,0,0,2,bottom
2017-05-31,490896,1,600944,R,543257,L,8,Grounded Into DP,1,1,170531_172719,297136e9-ada6-4e24-88b4-c6ec204b030c,0,0,1,X,In play- out(s),FF,8,2.0,3.17,1.35,92.7,84.3,48.86,-1.73,50.0,6.59,-0.02,1.58,-3.79,12.7,5.83,-134.17,-11.5,-6.86,30.53,-9.16,25.2,2.4,24.0,1957,196,596146,572821,,,,,0,2,2,bottom
2017-05-31,490896,2,600944,R,592696,L,12,Strikeout,8,1,170531_173605,03a58a05-6b30-4cea-b48e-9396bf4fa058,0,0,0,S,Called Strike,SL,7,2.0,3.39,1.65,81.0,75.3,77.24,-1.79,50.0,6.91,-0.69,2.04,1.44,0.72,2.14,-117.67,-4.65,2.04,20.42,-31.16,4.8,9.6,24.0,2541,69,,,,,,,0,1,2,bottom
