Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-03,490105,6,475479,R,594809,L,43,Lineout,4,1,170403_185142,6ca20f0c-a7d2-4c4b-af3a-74c2fec02a5c,0,0,0,B,Ball,FF,11,2.0,3.55,1.84,94.1,85.6,71.86,-2.73,50.0,5.83,-1.27,2.68,-4.15,9.85,5.38,-136.62,-5.97,-7.81,31.0,-13.61,24.0,3.6,24.0,2173,200,,,,,,,0,1,2,bottom
2017-04-03,490105,6,475479,R,594809,L,43,Lineout,4,2,170403_185156,19f369bf-7119-489c-acd9-638e3864561c,1,0,0,B,Ball,FT,14,2.0,3.33,1.57,92.5,84.0,51.5,-2.35,50.0,5.74,0.2,1.11,-9.7,10.52,10.03,-133.85,-9.71,-17.49,30.68,-13.21,44.4,4.8,24.0,2204,221,,,,,,,0,1,2,bottom
2017-04-03,490105,6,475479,R,594809,L,43,Lineout,4,3,170403_185213,ba86ef61-96a7-4822-beae-af5f691d5a18,2,1,0,F,Foul,FF,9,2.0,3.48,1.41,93.4,84.9,37.71,-2.57,50.0,5.7,0.26,1.86,-4.62,11.73,9.15,-135.35,-8.26,-8.52,31.04,-10.54,27.6,3.6,24.0,2425,197,,,,,,,0,1,2,bottom
2017-04-03,490105,6,475479,R,594809,L,43,Lineout,4,4,170403_185238,3e584f03-9964-4e4e-affa-61bd4adb91e7,2,1,0,X,In play- out(s),FF,3,2.0,3.48,1.41,94.4,86.1,43.57,-2.5,50.0,5.85,0.3,2.93,-4.15,11.54,9.03,-136.89,-5.99,-7.87,30.28,-10.28,26.4,2.4,24.0,2377,195,,,,,,,0,1,2,bottom
2017-04-03,490105,6,475479,R,547180,L,44,Home Run,6,1,170403_185316,4a4bfa17-d094-4964-8a85-c5e66bef7e3d,0,1,1,F,Foul,KC,14,2.0,3.5,1.52,82.8,76.4,81.47,-2.65,50.0,6.08,0.75,1.89,3.81,-3.89,6.9,-120.14,-1.95,5.57,23.43,-37.86,9.6,10.8,24.0,2683,50,,,,,,,1,0,2,bottom
2017-04-03,490105,6,475479,R,547180,L,44,Home Run,6,2,170403_185341,ee3f3f60-a652-4470-8154-0a68bf551e74,0,1,1,B,Ball,FC,14,2.0,3.31,1.52,90.4,83.6,55.42,-2.73,50.0,5.82,0.85,2.05,3.69,8.79,8.07,-131.32,-6.59,6.49,25.73,-16.71,24.0,4.8,24.0,2447,150,,,,,,,1,0,2,bottom
2017-04-03,490105,6,475479,R,547180,L,44,Home Run,6,3,170403_185360,784ab0c9-df48-4d53-9180-0ba931c9796f,1,2,1,C,Called Strike,FC,7,2.0,3.43,1.62,90.0,83.7,45.92,-2.84,50.0,5.84,-0.55,1.8,2.03,7.75,5.27,-130.87,-6.94,3.57,23.54,-18.52,13.2,4.8,24.0,2425,160,,,,,,,1,0,2,bottom
2017-04-03,490105,6,475479,R,547180,L,44,Home Run,6,4,170403_185419,4b406765-b14a-4597-8b21-f29557443ebc,1,2,1,B,Ball,FF,11,2.0,3.36,1.52,95.7,87.3,21.43,-2.76,50.0,5.99,-1.73,3.81,-1.85,10.94,3.48,-139.12,-4.05,-3.62,31.26,-10.73,13.2,2.4,24.0,2395,187,,,,,,,1,0,2,bottom
2017-04-03,490105,6,475479,R,547180,L,44,Home Run,6,5,170403_185441,2a96fa88-411a-465d-a17a-c1173da3b3d0,2,2,1,F,Foul,FC,7,2.0,3.5,1.52,90.8,84.8,38.71,-2.83,50.0,5.78,-0.25,1.93,3.16,7.82,5.68,-132.11,-6.68,5.69,23.03,-18.09,19.2,4.8,24.0,2527,153,,,,,,,1,0,2,bottom
2017-04-03,490105,6,475479,R,547180,L,44,Home Run,6,6,170403_185512,028b60fd-1752-4ec4-9617-414c317ff351,2,2,1,E,In play- run(s),FF,2,2.0,3.5,1.52,94.9,86.4,29.77,-2.27,50.0,5.91,0.09,2.86,-7.81,10.87,9.15,-137.59,-6.2,-14.95,30.85,-11.36,45.6,3.6,24.0,2414,213,,,,,,,1,0,2,bottom
2017-04-03,490105,6,475479,R,502517,L,45,Groundout,6,1,170403_185560,8f805a2b-5630-4d27-986e-03c1196edcfa,0,0,1,B,Ball,FT,14,2.0,3.58,1.67,94.4,86.3,81.37,-2.34,50.0,5.71,0.77,1.36,-8.33,10.73,11.32,-136.62,-9.57,-15.77,29.67,-11.86,44.4,3.6,24.0,2291,215,,,,,,,0,1,1,bottom
2017-04-03,490105,6,475479,R,502517,L,45,Groundout,6,2,170403_185615,d5df749e-c473-4510-95ed-3b15515e354c,1,0,1,B,Ball,FC,13,2.0,3.52,1.71,90.3,83.9,48.19,-2.84,50.0,5.72,-0.19,1.37,2.87,8.44,5.92,-131.21,-8.04,5.06,24.27,-17.26,18.0,4.8,24.0,2542,155,,,,,,,0,1,1,bottom
2017-04-03,490105,6,475479,R,502517,L,45,Groundout,6,3,170403_185634,225dfdb5-c505-4d72-b279-e06f8591beeb,2,1,1,C,Called Strike,FC,7,2.0,3.61,1.67,90.5,83.9,42.46,-2.87,50.0,5.83,-0.47,2.01,2.33,9.5,5.48,-131.55,-7.03,4.14,24.6,-15.31,16.8,3.6,24.0,2579,161,,,,,,,0,1,1,bottom
2017-04-03,490105,6,475479,R,502517,L,45,Groundout,6,4,170403_185652,ac7466a8-96eb-4a6a-940e-72127d268cb1,2,2,1,F,Foul,FF,4,2.0,3.67,1.57,94.6,86.2,35.85,-2.74,50.0,5.74,-0.55,2.58,-1.8,9.81,6.57,-137.37,-6.08,-3.42,31.1,-13.47,7.2,3.6,24.0,2374,186,,,,,,,0,1,1,bottom
2017-04-03,490105,6,475479,R,502517,L,45,Groundout,6,5,170403_185718,d84796ec-eef2-4dce-94bf-2381647dd893,2,2,1,B,Ball,FT,14,2.0,3.53,1.6,93.7,86.0,70.26,-2.29,50.0,5.68,1.17,1.62,-9.22,9.37,12.5,-135.75,-8.19,-17.3,28.16,-14.59,42.0,4.8,24.0,2354,222,,,,,,,0,1,1,bottom
2017-04-03,490105,6,475479,R,502517,L,45,Groundout,6,6,170403_185738,130ebaab-d895-4aa4-bd90-3c22774f7a76,3,2,1,X,In play- out(s),FC,7,2.0,3.52,1.67,89.4,83.7,48.67,-2.9,50.0,5.75,-0.66,1.98,2.63,4.22,4.92,-130.14,-5.0,4.61,21.75,-24.78,12.0,6.0,24.0,2501,141,,,,,,,0,1,1,bottom
2017-04-03,490105,6,475479,R,475582,R,46,Strikeout,5,1,170403_185816,3660e0b5-a7bb-4d7b-8e4f-c07697ff87f8,0,1,2,C,Called Strike,FF,9,2.0,4.07,1.9,93.9,85.8,60.73,-2.55,50.0,5.71,0.39,2.07,-4.53,12.77,9.5,-136.05,-8.24,-8.52,29.05,-8.18,33.6,2.4,24.0,2477,196,,,,,,,0,1,1,bottom
2017-04-03,490105,6,475479,R,475582,R,46,Strikeout,5,2,170403_185831,65390b9b-65b9-4ca6-bf40-124fd2d7ecfd,0,1,2,B,Ball,FF,14,2.0,3.96,2.0,94.3,86.4,55.59,-2.44,50.0,5.7,0.5,1.47,-4.11,10.49,9.38,-136.65,-9.16,-7.8,29.44,-12.28,22.8,3.6,24.0,2227,197,,,,,,,0,1,1,bottom
2017-04-03,490105,6,475479,R,475582,R,46,Strikeout,5,3,170403_185849,cef0dcf0-1faf-422b-9403-33bc7d51e2b9,1,2,2,C,Called Strike,FF,14,2.0,3.87,1.9,94.2,86.2,56.54,-2.33,50.0,5.78,0.86,2.31,-7.37,10.27,11.19,-136.49,-6.99,-13.95,29.07,-12.73,39.6,3.6,24.0,2270,212,,,,,,,0,1,1,bottom
