Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-14,490246,6,500610,R,543333,L,43,Groundout,3,1,170415_015535,9c1ae59f-3f47-4787-8506-61bc1ae536eb,0,1,0,C,Called Strike,CU,13,2.0,3.81,1.87,76.4,71.0,73.12,-1.28,50.0,6.64,-0.49,1.3,-0.07,-10.48,1.75,-111.25,-1.39,-0.09,20.82,-45.24,0.0,14.4,24.0,2367,0,,,,,,,0,1,-4,bottom
2017-04-14,490246,6,500610,R,543333,L,43,Groundout,3,2,170415_015554,3404ece5-10cc-4a1e-bf44-e7e3b63fbe05,0,1,0,B,Ball,FF,13,2.0,3.98,1.88,91.6,84.6,35.86,-1.07,50.0,6.58,-2.01,1.68,-9.38,9.33,0.75,-133.05,-10.0,-16.94,26.53,-15.33,44.4,4.8,24.0,2429,230,,,,,,,0,1,-4,bottom
2017-04-14,490246,6,500610,R,543333,L,43,Groundout,3,3,170415_015610,51544d5a-6427-42be-8dd0-ed0937b83bd5,1,1,0,X,In play- out(s),CH,11,2.0,3.92,1.63,81.7,75.9,48.15,-0.9,50.0,6.59,-0.97,2.91,-9.99,5.0,2.91,-118.94,-3.4,-14.49,20.22,-24.93,28.8,8.4,24.0,1676,248,,,,,,,0,1,-4,bottom
2017-04-14,490246,6,500610,R,521692,R,44,Home Run,8,1,170415_015658,0e31b617-c7b2-4afe-b542-62c678ffd7f6,0,1,1,C,Called Strike,CH,6,2.0,4.08,1.89,82.6,76.9,67.39,-1.04,50.0,6.69,0.53,3.27,-1.41,1.6,4.2,-120.3,-1.93,-2.1,20.14,-29.79,2.4,8.4,24.0,2261,235,,,,,,,1,0,-4,bottom
2017-04-14,490246,6,500610,R,521692,R,44,Home Run,8,2,170415_015716,188998b4-865b-4312-a557-27c62e28c3c3,0,2,1,F,Foul,CH,6,2.0,3.87,1.6,83.2,76.9,26.63,-1.02,50.0,6.69,0.4,2.76,-0.83,1.07,3.66,-121.01,-3.01,-1.24,22.58,-30.58,1.2,8.4,24.0,2312,275,,,,,,,1,0,-4,bottom
2017-04-14,490246,6,500610,R,521692,R,44,Home Run,8,3,170415_015740,cbe249d9-4a0c-4d0a-88ba-0348de3a8b29,0,2,1,B,Ball,CH,13,2.0,4.06,1.91,82.4,76.6,57.67,-0.83,50.0,6.58,-1.19,2.06,-9.56,2.67,2.1,-119.93,-4.79,-14.06,21.0,-28.25,25.2,8.4,24.0,1442,261,,,,,,,1,0,-4,bottom
2017-04-14,490246,6,500610,R,521692,R,44,Home Run,8,4,170415_015758,7df4aefc-9076-46a8-b9d8-043e51710216,1,2,1,F,Foul,CH,14,2.0,3.87,1.6,81.1,75.6,42.09,-0.71,50.0,6.5,0.17,1.39,-10.98,5.04,5.4,-117.99,-6.64,-15.68,19.77,-24.97,30.0,8.4,24.0,1546,251,,,,,,,1,0,-4,bottom
2017-04-14,490246,6,500610,R,521692,R,44,Home Run,8,5,170415_015822,6790b223-ad27-49ca-8250-4665fef56362,1,2,1,F,Foul,FF,8,2.0,3.87,1.6,92.3,85.3,42.98,-0.63,50.0,6.56,0.15,1.66,-9.45,10.15,5.33,-133.96,-10.45,-17.35,26.26,-13.55,46.8,4.8,24.0,2366,226,,,,,,,1,0,-4,bottom
2017-04-14,490246,6,500610,R,521692,R,44,Home Run,8,6,170415_015849,f27664c4-7750-4f9d-8daa-e859d01c4cae,1,2,1,B,Ball,CH,13,2.0,4.06,1.89,81.6,75.4,54.81,-0.74,50.0,6.57,-0.99,2.43,-10.49,7.28,2.62,-118.69,-5.11,-15.07,21.33,-21.72,32.4,7.2,24.0,1535,240,,,,,,,1,0,-4,bottom
2017-04-14,490246,6,500610,R,521692,R,44,Home Run,8,7,170415_015911,ccb9ddf8-c529-4aab-9f26-1e0d3945c4cb,2,2,1,F,Foul,CH,14,2.0,3.87,1.6,84.0,78.6,58.75,-0.88,50.0,6.61,0.9,1.81,-1.28,1.87,4.73,-122.18,-5.63,-1.97,20.2,-29.29,2.4,8.4,24.0,2284,230,,,,,,,1,0,-4,bottom
2017-04-14,490246,6,500610,R,521692,R,44,Home Run,8,8,170415_015951,4e0a3bad-eae2-43ce-bb1a-1d3748d7927a,2,2,1,E,In play- run(s),CH,9,2.0,3.87,1.6,83.1,77.7,41.25,-0.92,50.0,6.61,0.5,1.98,-2.32,0.31,4.14,-120.92,-4.53,-3.48,20.21,-31.72,4.8,8.4,24.0,2300,294,,,,,,,1,0,-4,bottom
2017-04-14,490246,6,500610,R,461235,L,45,Walk,4,1,170415_020038,2e1a9f79-042e-47ae-a959-6c17ac3345b0,0,0,1,B,Ball,CU,11,2.0,3.5,1.64,76.8,70.5,68.98,-1.35,50.0,6.8,-2.32,4.07,2.05,-7.68,-2.72,-111.54,3.48,2.58,20.46,-41.82,2.4,13.2,24.0,1896,11,,,,461235,,,0,0,-5,bottom
2017-04-14,490246,6,500610,R,461235,L,45,Walk,4,2,170415_020054,6ee9152b-4426-471d-9258-a799502c4272,1,0,1,B,Ball,CH,13,2.0,3.32,1.45,82.1,76.0,26.86,-1.0,50.0,6.53,-1.61,1.72,-10.21,4.38,1.69,-119.5,-5.92,-14.82,22.12,-25.82,28.8,8.4,24.0,1556,254,,,,461235,,,0,0,-5,bottom
2017-04-14,490246,6,500610,R,461235,L,45,Walk,4,3,170415_020115,f54833a9-3d9a-4356-be92-cf3815acde3d,2,0,1,B,Ball,FF,13,2.0,3.29,1.45,92.7,85.8,68.46,-0.94,50.0,6.48,-0.8,1.2,-10.03,10.46,3.86,-134.55,-11.71,-18.59,26.23,-12.79,50.4,4.8,24.0,2352,228,,,,461235,,,0,0,-5,bottom
2017-04-14,490246,6,500610,R,461235,L,45,Walk,4,4,170415_020135,0228c550-8d73-4ddc-8266-fbcddb474d1a,3,0,1,B,Ball,FF,13,2.0,3.32,1.57,92.8,85.5,36.54,-0.82,50.0,6.41,-0.5,1.04,-9.65,10.44,4.21,-134.49,-11.87,-17.79,27.29,-12.92,48.0,4.8,24.0,2375,227,,,,461235,,,0,0,-5,bottom
2017-04-14,490246,6,500610,R,449181,R,46,Flyout,2,1,170415_020220,f9a9ff66-7d84-4cd2-91a5-c70f70e2fd69,0,0,1,S,Swinging Strike,CH,14,2.0,3.79,1.56,83.8,78.7,93.84,-1.01,50.0,6.57,0.93,1.33,-1.97,1.28,5.34,-121.9,-6.48,-3.02,19.54,-30.21,4.8,8.4,24.0,2369,270,461235,,,461235,,,0,1,-5,bottom
2017-04-14,490246,6,500610,R,449181,R,46,Flyout,2,2,170415_020248,69027047-6b2d-48b2-8b75-045a1ac2a6cd,0,1,1,X,In play- out(s),CH,14,2.0,3.79,1.56,83.5,77.7,43.96,-1.0,50.0,6.6,0.85,2.52,-2.02,1.85,5.09,-121.5,-3.74,-3.05,21.18,-29.37,4.8,8.4,24.0,2281,242,461235,,,461235,,,0,1,-5,bottom
2017-04-14,490246,6,500610,R,444876,R,47,Groundout,6,1,170415_020336,7384509b-06e2-499d-ab0e-7437dcced8a7,0,0,2,S,Swinging Strike,CH,14,2.0,3.79,1.56,83.8,77.9,80.45,-0.93,50.0,6.51,0.48,1.3,-2.15,0.75,4.09,-121.79,-6.13,-3.26,22.19,-31.04,4.8,8.4,24.0,2306,292,461235,,,,,,0,1,-5,bottom
2017-04-14,490246,6,500610,R,444876,R,47,Groundout,6,2,170415_020357,9e8a012a-5f89-4111-b489-f420255e267a,0,1,2,B,Ball,FF,13,2.0,3.5,1.66,92.3,84.6,37.4,-0.6,50.0,6.56,-0.01,1.46,-8.37,11.54,4.45,-133.84,-11.35,-15.19,28.53,-11.21,46.8,4.8,24.0,2355,219,461235,,,,,,0,1,-5,bottom
2017-04-14,490246,6,500610,R,444876,R,47,Groundout,6,3,170415_020422,3714e252-6bee-4514-9ebb-e81a0bcfb949,1,2,2,F,Foul,CH,13,2.0,3.79,1.56,81.8,75.5,64.31,-0.64,50.0,6.55,-1.04,1.49,-11.91,4.93,2.7,-118.98,-6.54,-17.07,22.85,-25.11,32.4,8.4,24.0,1517,254,461235,,,,,,0,1,-5,bottom
2017-04-14,490246,6,500610,R,444876,R,47,Groundout,6,4,170415_020455,c709cb76-b2da-46e8-a4d5-9c16d989913e,2,2,2,*B,Ball In Dirt,CH,14,2.0,3.61,1.66,85.6,79.6,20.81,-0.66,50.0,6.52,1.49,0.51,-4.76,1.44,6.83,-124.23,-8.69,-7.49,23.14,-29.91,12.0,8.4,24.0,2397,273,461235,,,,,,0,1,-5,bottom
