Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-05-29,530223,2,605446,R,641857,L,13,Lineout,8,1,180530_011658,17e8ded0-1829-4559-a077-82a32b1076ce,0,0,0,S,Swinging Strike,FF,5,2.0,3.67,1.4,91.4,85.2,41.58,-1.35,50.0,6.03,-0.18,2.18,-3.39,8.2,4.27,-133.0,-6.94,-6.19,23.38,-17.21,16.8,4.8,24.0,2085,201,,,,,,,0,1,-2,bottom
2018-05-29,530223,2,605446,R,641857,L,13,Lineout,8,2,180530_011713,b3d1fb0a-15f2-4ca6-badb-724851b98469,0,2,0,C,Called Strike,CH,1,2.0,3.6,1.62,85.2,79.5,27.68,-1.19,50.0,6.15,-0.3,2.99,-6.23,5.61,4.2,-124.12,-3.12,-9.92,20.22,-23.25,21.6,6.0,24.0,2021,226,,,,,,,0,1,-2,bottom
2018-05-29,530223,2,605446,R,641857,L,13,Lineout,8,3,180530_011729,1e7644a0-4f74-460a-957b-6c5a2a6c2128,0,2,0,F,Foul,FF,3,2.0,3.67,1.4,95.5,89.1,42.48,-1.15,50.0,5.99,0.46,3.23,-3.28,6.48,5.66,-139.1,-4.17,-6.58,24.83,-19.21,15.6,3.6,24.0,1926,204,,,,,,,0,1,-2,bottom
2018-05-29,530223,2,605446,R,641857,L,13,Lineout,8,4,180530_011746,9fa9dae9-c22e-4445-a7b2-516748cca7c9,0,2,0,B,Ball,FF,13,2.0,3.62,1.73,93.8,87.7,17.92,-1.48,50.0,5.94,-2.0,2.45,-3.03,7.22,-0.35,-136.73,-6.17,-5.86,24.04,-18.22,16.8,4.8,24.0,2017,204,,,,,,,0,1,-2,bottom
2018-05-29,530223,2,605446,R,641857,L,13,Lineout,8,5,180530_011802,7c05fe26-39da-4b71-beac-afa8167c56f5,1,2,0,B,Ball,CU,11,2.0,3.56,1.73,74.7,69.6,3.73,-1.08,50.0,6.38,-2.04,4.54,4.3,-7.16,-3.27,-108.58,5.48,5.22,15.98,-40.87,7.2,13.2,24.0,2515,31,,,,,,,0,1,-2,bottom
2018-05-29,530223,2,605446,R,641857,L,13,Lineout,8,6,180530_011826,5af226d8-5940-465e-8579-7c1e75c59d13,2,2,0,F,Foul,FF,7,2.0,3.67,1.4,94.5,88.0,27.91,-1.14,50.0,5.89,-0.34,2.16,-2.5,7.12,3.08,-137.59,-6.87,-4.88,25.43,-18.27,12.0,3.6,24.0,1948,198,,,,,,,0,1,-2,bottom
2018-05-29,530223,2,605446,R,641857,L,13,Lineout,8,7,180530_011843,0c576204-a1db-4e30-8dd4-de29438ec2a0,2,2,0,B,Ball,FF,12,2.0,3.58,1.73,95.2,88.8,19.87,-1.03,50.0,5.92,1.45,2.98,-1.7,8.61,7.47,-138.64,-5.4,-3.38,24.94,-15.07,7.2,3.6,24.0,2225,187,,,,,,,0,1,-2,bottom
2018-05-29,530223,2,605446,R,641857,L,13,Lineout,8,8,180530_011906,dcfdc64e-1903-4082-911d-80ab42188069,3,2,0,X,In play- out(s),FF,5,2.0,3.67,1.4,94.5,87.8,26.36,-1.26,50.0,5.86,-0.21,2.19,-2.13,8.59,3.64,-137.56,-7.24,-4.15,25.78,-15.44,12.0,3.6,24.0,2140,192,,,,,,,0,1,-2,bottom
2018-05-29,530223,2,605446,R,455104,R,14,Double,5,1,180530_011933,99bd5a54-cab1-4697-916b-3db52f2ce6e1,0,0,1,S,Swinging Strike,FC,14,2.0,3.18,1.37,88.3,83.5,67.25,-1.15,50.0,5.85,0.94,1.72,0.79,5.83,5.11,-128.69,-6.35,1.37,18.87,-22.09,4.8,4.8,24.0,2392,167,,,,,455104,,0,0,-2,bottom
2018-05-29,530223,2,605446,R,455104,R,14,Double,5,2,180530_011947,72ccc246-0989-4098-9fe7-1b91ce5c9344,0,1,1,B,Ball,FF,12,2.0,3.32,1.52,93.9,87.6,38.71,-1.13,50.0,6.0,0.24,3.55,-4.04,7.77,5.17,-136.8,-3.52,-7.83,23.88,-17.11,21.6,3.6,24.0,2353,205,,,,,455104,,0,0,-2,bottom
