Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-12,566773,6,596071,L,608336,L,44,Home Run,2,1,190417_015022,eeb5d2a4-dfd5-46ec-b136-dd3ea3f7dc81,0,0,0,B,Ball,CU,13,2.0,3.51,1.65,78.7,71.9,,1.65,50.0,5.79,-1.25,2.17,-5.25,-5.7,-4.98,-114.3,0.69,-6.85,23.53,-39.63,10.8,12.0,24.0,2922,311,452254,,,,,,2,0,-3,bottom
2019-09-12,566773,6,596071,L,608336,L,44,Home Run,2,2,190417_015050,d378869f-a2c8-493b-82de-38ff63bfc0ea,1,0,0,X,In play- run(s),FF,9,2.0,3.38,1.61,92.5,85.2,,1.44,50.0,5.36,0.5,1.69,4.41,9.53,-4.06,-134.62,-7.05,8.16,27.26,-14.56,25.2,3.6,24.0,2351,155,452254,,,,,,2,0,-3,bottom
2019-09-12,566773,6,596071,L,452678,R,45,Walk,7,1,190417_015141,194eb9be-136e-4585-bd63-98da3e1ff80a,0,0,0,S,Called Strike,FF,5,2.0,3.36,1.67,92.0,84.6,,1.4,50.0,5.49,-0.03,2.31,3.67,10.64,-5.06,-133.76,-6.02,6.7,26.86,-12.75,22.8,3.6,24.0,2306,162,,,,452678,,,0,0,-5,bottom
2019-09-12,566773,6,596071,L,452678,R,45,Walk,7,2,190417_015157,07218905-a6d6-44c1-b4e0-e18488389fdc,0,1,0,S,Swinging Strike,CH,13,2.0,3.38,1.61,86.2,79.8,,1.36,50.0,5.46,-0.72,1.39,9.15,6.05,-8.13,-125.24,-5.57,14.7,22.64,-22.46,30.0,7.2,24.0,1679,124,,,,452678,,,0,0,-5,bottom
2019-09-12,566773,6,596071,L,452678,R,45,Walk,7,3,190417_015225,9e4ffeba-99f2-4d6f-982e-e32473e122e1,0,1,0,S,Foul,CH,6,2.0,3.38,1.61,86.3,80.5,,1.48,50.0,5.55,0.62,2.64,7.45,5.71,-4.58,-125.76,-2.73,12.16,20.83,-22.85,26.4,6.0,24.0,1752,128,,,,452678,,,0,0,-5,bottom
2019-09-12,566773,6,596071,L,452678,R,45,Walk,7,4,190417_015245,64f1bf23-058e-4ebd-9006-44e4535d8535,0,2,0,B,Ball,FF,12,2.0,3.38,1.61,91.7,83.7,,1.39,50.0,5.79,0.0,4.94,2.72,10.32,-4.59,-133.48,0.32,4.91,28.46,-13.54,16.8,3.6,24.0,2273,168,,,,452678,,,0,0,-5,bottom
2019-09-12,566773,6,596071,L,452678,R,45,Walk,7,5,190417_015305,f4fee426-f97d-4b9f-9ab1-b5dccdc3a815,1,2,0,B,Ball,CU,13,2.0,3.38,1.61,78.8,72.9,,1.37,50.0,5.6,-2.02,0.76,-3.5,-2.87,-6.62,-114.4,-2.96,-4.63,21.49,-35.98,8.4,10.8,24.0,2876,304,,,,452678,,,0,0,-5,bottom
2019-09-12,566773,6,596071,L,452678,R,45,Walk,7,6,190417_015328,b10bab7b-33a1-4715-8d53-fff34be4a50b,2,2,0,B,Ball,FF,12,2.0,3.38,1.61,92.9,84.8,,1.65,50.0,5.51,1.07,2.97,3.65,11.1,-2.81,-135.13,-4.61,6.76,29.39,-11.64,26.4,3.6,24.0,2364,162,,,,452678,,,0,0,-5,bottom
2019-09-12,566773,6,596071,L,452678,R,45,Walk,7,7,190417_015352,621495bb-55ab-4648-815f-4729082a6cfe,3,2,0,B,Ball,FF,12,2.0,3.38,1.61,92.5,84.7,,1.55,50.0,5.57,0.88,3.51,3.87,10.6,-3.14,-134.64,-3.1,7.13,28.24,-12.65,26.4,3.6,24.0,2344,161,,,,452678,,,0,0,-5,bottom
2019-09-12,566773,6,596071,L,542454,R,46,Pop Out,3,1,190417_015426,12e3a01c-9b9c-48bd-b034-ca3036c72087,0,0,0,S,Called Strike,CH,7,2.0,3.31,1.53,86.3,79.1,,1.3,50.0,5.49,-0.29,2.0,9.61,7.89,-7.04,-125.37,-4.68,15.32,25.03,-19.59,34.8,6.0,24.0,1685,130,452678,,,,,,0,1,-5,bottom
2019-09-12,566773,6,596071,L,542454,R,46,Pop Out,3,2,190417_015446,6b2fc78b-33b1-4da8-9428-baa2a5d55fb3,0,1,0,S,Swinging Strike,FF,4,2.0,3.31,1.53,92.9,85.5,,1.25,50.0,5.51,-0.4,2.55,4.18,10.98,-5.88,-135.15,-5.72,7.8,27.3,-11.71,27.6,3.6,24.0,2310,161,452678,,,,,,0,1,-5,bottom
2019-09-12,566773,6,596071,L,542454,R,46,Pop Out,3,3,190417_015509,91d1979f-45ed-4409-8e1c-65ab0af2bacf,0,2,0,X,In play- out(s),FF,4,2.0,3.31,1.53,92.7,84.9,,1.21,50.0,5.42,-0.56,2.66,3.2,11.48,-5.82,-134.81,-5.28,5.91,28.58,-10.99,21.6,2.4,24.0,2379,167,452678,,,,,,0,1,-5,bottom
2019-09-12,566773,6,596071,L,523253,R,47,Strikeout,6,1,190417_015547,2791e115-b9f7-4ef2-a4bd-946e94914ad2,0,0,1,B,Ball,FF,12,2.0,3.27,1.48,93.3,84.7,,1.51,50.0,5.5,0.72,2.95,3.82,12.59,-3.42,-135.64,-5.15,7.07,31.42,-8.87,32.4,2.4,24.0,2361,164,,,,,,,0,1,-5,bottom
2019-09-12,566773,6,596071,L,523253,R,47,Strikeout,6,2,190417_015607,19bf3247-2d52-4d2a-82e3-91244830f3c7,1,0,1,B,Ball,FF,11,2.0,3.3,1.53,92.3,84.6,,1.31,50.0,5.58,-0.14,3.81,4.47,11.13,-5.41,-134.36,-2.5,8.21,27.8,-11.73,30.0,3.6,24.0,2338,160,,,,,,,0,1,-5,bottom
2019-09-12,566773,6,596071,L,523253,R,47,Strikeout,6,3,190417_015635,d745debb-926e-4cbd-a8b8-b1b317b56558,2,0,1,S,Called Strike,FF,7,2.0,3.3,1.59,92.3,85.0,,1.41,50.0,5.31,-0.63,1.68,4.44,12.32,-6.97,-134.02,-7.84,8.15,26.35,-9.54,31.2,2.4,24.0,2275,162,,,,,,,0,1,-5,bottom
