Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-07,490161,1,608678,R,488721,R,15,Groundout,4,1,170407_235146,70f4422e-5d45-4c14-b844-803f4ec0f952,0,0,1,S,Foul,FF,8,2.0,3.79,1.56,92.6,84.4,49.41,-1.97,50.0,5.77,-0.0,1.79,-6.32,10.01,7.38,-134.24,-7.91,-11.5,29.62,-13.95,32.4,3.6,24.0,2114,213,621002,542921,543543,,621002,542921,1,1,-2,bottom
2017-04-07,490161,1,608678,R,488721,R,15,Groundout,4,2,170407_235218,30756880-6851-4971-a255-14eb119759e7,0,1,1,B,Ball,FC,14,2.0,3.34,1.62,87.9,80.9,25.18,-1.97,50.0,5.91,2.05,2.29,-0.28,3.85,10.23,-127.42,-3.98,-0.46,25.14,-25.81,3.6,6.0,24.0,2474,160,621002,542921,543543,,621002,542921,1,1,-2,bottom
2017-04-07,490161,1,608678,R,488721,R,15,Groundout,4,3,170407_235238,af0a1d82-e6d8-4472-8a91-e1a0b5048274,1,1,1,S,Swinging Strike,FC,5,2.0,3.79,1.56,87.8,80.7,21.49,-2.17,50.0,5.94,0.13,2.76,-0.58,2.38,5.97,-127.47,-2.42,-0.97,25.29,-28.25,0.0,7.2,24.0,2482,174,621002,542921,543543,,621002,542921,1,1,-2,bottom
2017-04-07,490161,1,608678,R,488721,R,15,Groundout,4,4,170407_235320,90d5599c-b517-4c12-a672-438b5fbebce7,1,2,1,X,In play- run(s),FC,14,2.0,3.79,1.56,87.9,81.0,51.08,-2.05,50.0,5.88,0.74,2.05,1.07,3.6,6.68,-127.64,-4.46,1.77,25.37,-26.21,6.0,7.2,24.0,2411,141,621002,542921,543543,,621002,542921,1,1,-2,bottom
2017-04-07,490161,1,608678,R,519306,R,16,Flyout,1,1,170407_235408,b025ad08-d92c-4842-8721-0d0283555bea,0,0,2,X,In play- out(s),FC,12,2.0,3.92,1.63,89.4,81.9,62.14,-2.09,50.0,5.98,0.78,2.96,1.44,4.95,6.87,-129.74,-3.13,2.46,26.8,-23.72,8.4,6.0,24.0,2503,149,,621002,542921,,,,0,1,-3,bottom
2017-04-07,490161,2,608678,R,595281,L,20,Pop Out,6,1,170408_000349,8f9c6723-97d2-41f1-bfa2-8157fc7c2d27,0,0,0,S,Called Strike,FF,3,2.0,3.07,1.37,93.4,85.1,58.04,-2.06,50.0,5.83,0.38,2.7,-7.48,9.89,9.12,-135.4,-5.76,-13.88,29.77,-13.83,38.4,4.8,24.0,2238,216,,,,,,,0,1,-3,bottom
2017-04-07,490161,2,608678,R,595281,L,20,Pop Out,6,2,170408_000406,a73a6192-1422-4281-a381-fdaf0a910727,0,1,0,S,Foul,FC,13,2.0,3.79,1.56,88.9,81.8,49.25,-2.45,50.0,5.68,-0.26,1.48,0.23,4.75,5.51,-129.07,-5.99,0.39,26.19,-24.14,3.6,6.0,24.0,2338,165,,,,,,,0,1,-3,bottom
2017-04-07,490161,2,608678,R,595281,L,20,Pop Out,6,3,170408_000429,3e82ebde-cab8-4977-a74c-1309cdec57ab,0,2,0,B,Ball,SL,14,2.0,3.11,1.39,83.8,77.1,17.08,-2.19,50.0,5.85,0.08,0.71,1.4,-2.8,5.02,-121.66,-4.72,2.09,25.02,-36.35,4.8,9.6,24.0,2464,26,,,,,,,0,1,-3,bottom
2017-04-07,490161,2,608678,R,595281,L,20,Pop Out,6,4,170408_000508,33d9c9fb-b46e-40d0-9307-7fafa7e31468,1,2,0,B,Ball,FT,14,2.0,3.1,1.44,95.4,86.8,35.17,-2.03,50.0,5.56,0.35,-0.02,-11.45,6.52,10.48,-137.85,-11.52,-21.89,32.49,-19.71,40.8,6.0,24.0,2295,246,,,,,,,0,1,-3,bottom
2017-04-07,490161,2,608678,R,595281,L,20,Pop Out,6,5,170408_000534,a3a33f72-8d76-4ccd-851e-5e2a4e54f4de,2,2,0,B,Ball,FF,14,2.0,3.32,1.66,93.7,85.4,45.68,-2.19,50.0,5.61,0.15,1.54,-5.94,10.25,8.34,-135.8,-8.47,-11.07,30.33,-13.07,32.4,3.6,24.0,2356,210,,,,,,,0,1,-3,bottom
