Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-16,566195,7,596720,R,543760,R,50,Single,7,1,190505_193215,abc01157-e3d0-4e06-99b0-8d6a3271c0bb,0,0,2,S,Called Strike,FF,4,2.0,3.51,1.77,96.1,88.2,,-1.03,50.0,6.61,-0.33,2.62,-3.84,11.05,3.32,-139.7,-9.19,-7.61,30.36,-10.24,30.0,2.4,24.0,2292,198,543257,,,543760,,543257,0,0,0,top
2019-09-16,566195,7,596720,R,543760,R,50,Single,7,2,190505_193237,1ffadaed-7a59-40ea-894b-ac109175dbb8,0,1,2,B,Ball,FC,13,2.0,3.32,1.64,91.4,84.3,,-1.49,50.0,6.35,-1.29,1.7,-1.79,4.88,1.14,-132.97,-7.78,-3.22,27.38,-23.39,7.2,6.0,24.0,2243,201,543257,,,543760,,543257,0,0,0,top
2019-09-16,566195,7,596720,R,543760,R,50,Single,7,3,190505_193308,662e2f7b-7a81-4159-9202-1d68ae32a3fa,1,1,2,S,Foul,CU,4,2.0,3.4,1.64,84.0,78.0,,-1.47,50.0,6.44,-0.5,2.39,3.48,-3.77,1.26,-122.32,-1.98,5.31,22.72,-37.91,8.4,10.8,24.0,2924,43,543257,,,543760,,543257,0,0,0,top
2019-09-16,566195,7,596720,R,543760,R,50,Single,7,4,190505_193332,707ac8c6-4a87-478f-b5c5-b40f31583fca,1,2,2,B,Ball,CU,14,2.0,3.43,1.72,84.9,78.6,,-1.27,50.0,6.49,1.13,2.13,1.96,-4.45,5.23,-123.47,-2.63,3.03,24.1,-39.05,6.0,10.8,24.0,3018,29,543257,,,543760,,543257,0,0,0,top
2019-09-16,566195,7,596720,R,543760,R,50,Single,7,5,190505_193419,ced312b0-4f34-47dc-b6dc-b4d8974f6830,2,2,2,B,Ball In Dirt,FC,14,2.0,3.46,1.75,91.0,84.7,,-1.38,50.0,6.24,0.63,0.53,0.84,6.15,5.0,-132.26,-10.93,1.5,25.42,-21.17,6.0,4.8,24.0,2373,164,543257,,,543760,,543257,0,0,0,top
2019-09-16,566195,7,596720,R,543760,R,50,Single,7,6,190505_193458,2d36337b-af59-4835-80ac-09cf7c91597e,3,2,2,X,In play- no out,CU,6,2.0,3.4,1.64,83.6,78.0,,-1.45,50.0,6.39,0.54,2.43,2.47,-3.48,4.01,-121.82,-1.81,3.76,21.36,-37.46,6.0,9.6,24.0,2790,39,543257,,,543760,,543257,0,0,0,top
2019-09-16,566195,7,596720,R,657656,R,51,Groundout,7,1,190505_193551,2df587be-3b9f-4764-a164-d22a32ce77f6,0,0,2,S,Called Strike,FC,8,2.0,3.37,1.56,92.6,85.9,,-1.46,50.0,6.33,0.22,1.61,1.63,6.67,3.9,-134.69,-8.9,3.03,26.26,-19.79,9.6,4.8,24.0,2440,160,543760,,543257,,543760,,0,1,0,top
2019-09-16,566195,7,596720,R,657656,R,51,Groundout,7,2,190505_193615,e7d54dae-5f0e-4847-9665-643c4f5152d2,0,1,2,B,Ball,FF,14,2.0,3.34,1.56,96.9,89.2,,-0.81,50.0,6.43,0.14,1.21,-5.28,11.92,4.55,-140.66,-13.07,-10.65,30.01,-8.15,42.0,2.4,24.0,2397,204,543760,,543257,,543760,,0,1,0,top
2019-09-16,566195,7,596720,R,657656,R,51,Groundout,7,3,190505_193644,cb94db61-d3e3-4806-9a0a-2fdb31da92e8,1,1,2,B,Ball,CU,14,2.0,3.34,1.57,84.2,78.0,,-1.5,50.0,6.35,0.46,1.3,3.83,-3.22,3.53,-122.59,-4.54,5.82,24.55,-37.07,9.6,10.8,24.0,2968,49,543760,,543257,,543760,,0,1,0,top
2019-09-16,566195,7,596720,R,657656,R,51,Groundout,7,4,190505_193709,68e16838-bcca-4dcf-959c-95d1e3c0b676,2,1,2,S,Foul,FF,12,2.0,3.25,1.5,96.0,88.1,,-1.09,50.0,6.58,0.2,3.58,-4.67,11.18,5.24,-139.6,-6.46,-9.26,29.75,-9.99,36.0,2.4,24.0,2364,201,543760,,543257,,543760,,0,1,0,top
2019-09-16,566195,7,596720,R,657656,R,51,Groundout,7,5,190505_193742,16c6be84-d63f-4fa4-b52e-f57cacd24051,2,1,2,S,Foul,CU,6,2.0,3.25,1.5,83.9,77.8,,-1.23,50.0,6.48,0.47,2.56,2.35,-4.25,3.37,-122.28,-1.48,3.57,23.22,-38.63,6.0,10.8,24.0,3021,32,543760,,543257,,543760,,0,1,0,top
2019-09-16,566195,7,596720,R,657656,R,51,Groundout,7,6,190505_193810,edfa4d87-8b29-42a3-96eb-74eb19b993f0,2,2,2,B,Ball,FF,11,2.0,3.3,1.56,94.9,87.2,,-0.96,50.0,6.72,-1.33,4.07,-2.3,10.83,-0.21,-138.21,-5.23,-4.48,29.3,-11.12,20.4,2.4,24.0,2316,192,543760,,543257,,543760,,0,1,0,top
2019-09-16,566195,7,596720,R,657656,R,51,Groundout,7,7,190505_193833,3dba06b6-f780-4781-9a46-db4812f16bec,3,2,2,X,In play- out(s),FC,5,2.0,3.25,1.5,91.3,84.9,,-1.19,50.0,6.37,0.04,2.5,-0.12,4.7,3.29,-133.02,-5.74,-0.21,25.0,-23.65,1.2,6.0,24.0,2312,176,543760,,543257,,543760,,0,1,0,top
