Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2020-03-26,567068,7,623454,R,624424,L,60,Lineout,1,1,190416_014601,4e14bbba-f889-439e-9f70-c235f1a0e9ea,0,0,0,X,In play- out(s),FT,1,2.0,3.09,1.5,90.9,83.8,,-1.78,50.0,5.93,-0.31,2.94,-10.75,7.63,7.51,-132.22,-4.31,-19.21,25.73,-18.55,42.0,6.0,24.0,2002,233,,,,,,,0,1,-1,top
2020-03-26,567068,7,623454,R,467092,R,61,Groundout,1,1,190416_014646,e33fa47c-cb17-4050-84d9-662aacdf9878,0,0,1,X,In play- out(s),FF,12,2.0,3.35,1.58,92.1,83.9,,-1.6,50.0,5.76,0.37,3.46,-5.07,8.55,6.94,-133.83,-2.9,-9.18,29.35,-16.7,24.0,4.8,24.0,2144,206,,,,,,,0,1,-1,top
2020-03-26,567068,7,623454,R,643446,L,62,Groundout,1,1,190416_014738,fe0fcb69-0e02-4d62-b9a3-fe0396ed3071,0,0,2,X,In play- out(s),FT,4,2.0,3.39,1.64,92.0,85.0,,-1.72,50.0,5.69,-0.53,2.25,-10.58,8.86,6.79,-133.82,-6.12,-19.4,25.83,-15.93,46.8,6.0,24.0,1935,229,,,,,,,0,1,-1,top
2020-03-26,567068,8,623454,R,642708,R,66,Strikeout,4,1,190416_020058,d045af45-803e-4499-8d82-0402675a12c1,0,0,0,B,Ball,FF,12,2.0,3.43,1.62,88.7,80.9,,-1.78,50.0,5.82,1.38,2.71,-2.84,9.4,8.95,-128.81,-4.65,-4.75,27.78,-16.45,9.6,4.8,24.0,2412,190,,,,,,,0,1,-1,top
2020-03-26,567068,8,623454,R,642708,R,66,Strikeout,4,2,190416_020110,8a220353-6501-4d6c-82e5-8b7fb825afa9,1,1,0,C,Called Strike,FF,14,2.0,3.45,1.6,89.4,82.2,,-1.88,50.0,5.73,0.91,2.22,-4.21,9.1,8.56,-129.86,-5.8,-7.23,25.71,-16.55,18.0,4.8,24.0,2400,200,,,,,,,0,1,-1,top
2020-03-26,567068,8,623454,R,642708,R,66,Strikeout,4,3,190416_020122,333b78bc-8f7b-42f9-815e-a847053b8b98,1,1,0,S,Swinging Strike,CU,13,2.0,3.41,1.62,73.6,66.8,,-1.77,50.0,6.12,-0.77,0.56,0.75,-10.78,1.89,-106.62,-0.94,0.83,23.33,-44.22,1.2,15.6,24.0,2651,6,,,,,,,0,1,-1,top
2020-03-26,567068,8,623454,R,642708,R,66,Strikeout,4,4,190416_020140,4e1a2346-17dc-493c-b7c7-1dfd5d5366d0,1,2,0,S,Swinging Strike,FF,3,2.0,3.48,1.58,92.4,83.9,,-1.68,50.0,5.91,0.55,3.02,-4.01,10.84,7.26,-134.21,-5.26,-7.28,30.7,-12.52,22.8,3.6,24.0,2252,196,,,,,,,0,1,-1,top
2020-03-26,567068,8,623454,R,605204,R,67,Walk,6,1,190416_020211,2ff9fe40-2123-4e36-933d-2fe5c351e240,0,1,1,C,Called Strike,FC,6,2.0,3.59,1.66,91.1,82.8,,-1.88,50.0,5.7,0.45,2.87,-0.98,8.48,6.41,-132.43,-4.08,-1.72,30.29,-17.23,1.2,3.6,24.0,2281,181,,,,605204,,,0,0,-1,top
2020-03-26,567068,8,623454,R,605204,R,67,Walk,6,2,190416_020228,026cbe14-74d0-4121-8737-a887acae9231,0,1,1,B,Ball,CU,14,2.0,3.54,1.66,74.8,68.5,,-1.48,50.0,6.01,1.39,-0.24,3.01,-9.31,5.25,-108.47,-3.11,3.5,23.27,-43.0,6.0,15.6,24.0,2705,22,,,,605204,,,0,0,-1,top
2020-03-26,567068,8,623454,R,605204,R,67,Walk,6,3,190416_020249,08fd0d8d-41b1-45cb-af51-062d9e4da2fa,1,1,1,B,Ball,FC,12,2.0,3.54,1.66,89.3,82.2,,-1.78,50.0,5.83,1.04,3.57,-0.14,5.99,7.29,-129.86,-1.55,-0.23,25.72,-21.89,2.4,4.8,24.0,2325,173,,,,605204,,,0,0,-1,top
2020-03-26,567068,8,623454,R,605204,R,67,Walk,6,4,190416_020308,4e144fc7-ea0f-4604-8f36-ebea58483a63,2,1,1,S,Swinging Strike,FF,1,2.0,3.54,1.66,93.2,84.7,,-1.88,50.0,5.76,-0.41,3.33,-5.55,10.23,5.86,-135.36,-3.99,-10.26,30.55,-13.26,32.4,3.6,24.0,2135,206,,,,605204,,,0,0,-1,top
2020-03-26,567068,8,623454,R,605204,R,67,Walk,6,5,190416_020328,ffac4c20-8a0a-4316-8ba1-383849b1b905,2,2,1,B,Ball,CU,14,2.0,3.54,1.66,74.4,67.5,,-1.48,50.0,6.06,0.6,0.34,2.23,-11.68,3.78,-107.96,-1.19,2.54,24.83,-45.49,3.6,16.8,24.0,2676,14,,,,605204,,,0,0,-1,top
2020-03-26,567068,8,623454,R,605204,R,67,Walk,6,6,190416_020352,b9587c09-85d6-4073-9a40-45a6ea6a6480,3,2,1,B,Ball,FF,14,2.0,3.59,1.78,94.3,86.7,,-1.68,50.0,5.6,0.81,1.35,-5.77,10.0,8.76,-136.77,-9.08,-11.0,28.13,-13.1,32.4,3.6,24.0,2269,207,,,,605204,,,0,0,-1,top
2020-03-26,567068,8,623454,R,501571,R,68,Field Error,2,1,190416_020434,1234209f-0024-4d7e-ba33-7e7228125dce,0,0,1,B,Ball,FF,3,2.0,3.32,1.72,88.9,81.9,,-2.08,50.0,5.73,0.36,3.4,-3.56,6.69,7.43,-129.3,-1.92,-6.08,25.0,-20.76,12.0,4.8,24.0,2309,202,605204,,,,,605204,0,1,-1,top
2020-03-26,567068,8,623454,R,501571,R,68,Field Error,2,2,190416_020500,61d094d7-aadd-49c9-9b80-36ce83986eb1,1,0,1,X,In play- out(s),FC,6,2.0,3.46,1.65,86.0,79.5,,-1.88,50.0,5.74,0.3,2.79,-1.1,4.9,5.76,-125.19,-2.43,-1.76,23.02,-24.32,1.2,6.0,24.0,2221,185,605204,,,,,605204,0,1,-1,top
2020-03-26,567068,8,623454,R,607043,L,69,Intent Walk,4,1,190416_021020,17448b0b-add7-49fe-bc91-b1dc2df87ea0,0,0,2,B,Ball,FF,12,2.0,3.28,1.54,92.4,83.9,,-1.6,50.0,5.82,1.89,3.04,-3.41,10.27,10.4,-133.91,-4.77,-6.17,30.32,-13.62,14.4,3.6,24.0,2203,192,,,605204,607043,,,0,0,-1,top
2020-03-26,567068,8,623454,R,607043,L,69,Intent Walk,4,2,190416_021043,36feae82-7f21-4700-a6f3-410d50dad3ef,1,0,2,B,Ball,FF,12,2.0,3.3,1.56,93.0,84.7,,-1.76,50.0,5.81,1.21,3.27,-3.58,10.41,9.14,-135.03,-4.32,-6.59,30.23,-13.02,18.0,3.6,24.0,2130,193,,,605204,607043,,,0,0,-1,top
2020-03-26,567068,8,623454,R,624413,R,70,Strikeout,3,1,190416_021138,d695e1e9-a101-49b4-86ec-57c7e754384a,0,1,2,F,Foul,FF,5,2.0,3.41,1.64,93.0,84.5,,-1.78,50.0,5.73,-0.13,2.69,-4.89,9.57,6.08,-135.14,-5.35,-8.98,31.12,-14.59,25.2,3.6,24.0,2028,204,607043,,,,,,0,1,-1,top
2020-03-26,567068,8,623454,R,624413,R,70,Strikeout,3,2,190416_021201,4055cbf6-e007-4f3c-a4d5-e4e43a9ed185,0,1,2,S,Swinging Strike,FC,12,2.0,3.34,1.57,89.0,82.7,,-1.93,50.0,5.73,0.82,3.17,-0.43,7.05,7.22,-129.58,-2.71,-0.75,22.95,-19.98,1.2,4.8,24.0,2367,177,607043,,,,,,0,1,-1,top
2020-03-26,567068,8,623454,R,624413,R,70,Strikeout,3,3,190416_021226,ca71bf29-d646-444f-b3d0-7908c9de2278,0,3,2,W,Swinging Strike (Blocked),CU,14,2.0,3.41,1.57,75.9,69.7,,-1.65,50.0,6.03,0.16,0.79,1.95,-10.42,3.37,-110.28,-0.97,2.36,22.56,-44.8,3.6,15.6,24.0,2573,13,607043,,,,,,0,1,-1,top
2020-03-26,565996,5,623454,R,624413,R,37,Flyout,2,1,190424_003854,8e322b5a-f02b-4c10-8183-02c6d4015fa0,0,0,0,B,Ball,CU,14,2.0,3.29,1.5,75.0,68.2,,-2.09,50.0,6.37,0.9,1.02,5.93,-11.07,4.71,-108.8,-0.72,6.89,24.56,-45.04,9.6,15.6,24.0,2997,32,,,,,,,0,1,-4,bottom
2020-03-26,565996,5,623454,R,624413,R,37,Flyout,2,2,190424_003919,c6ecd5f4-7fcf-4522-afeb-fc9eb1f0837b,1,0,0,X,In play- out(s),FT,5,2.0,3.32,1.51,93.9,85.8,,-2.14,50.0,5.92,0.02,2.74,-7.95,9.38,8.62,-136.36,-5.89,-14.98,29.75,-14.49,39.6,4.8,24.0,2395,218,,,,,,,0,1,-4,bottom
2020-03-26,565996,5,623454,R,429664,L,38,Single,4,1,190424_003945,de012e92-6574-4603-8681-7cc240244e99,0,1,1,C,Called Strike,CU,6,2.0,3.68,1.73,75.3,68.8,,-2.09,50.0,6.54,0.6,2.67,5.5,-10.72,4.23,-109.29,2.21,6.53,22.38,-44.92,9.6,15.6,24.0,2727,31,,,,429664,,,0,0,-4,bottom
2020-03-26,565996,5,623454,R,429664,L,38,Single,4,2,190424_004004,b9f54123-9e85-420f-ac61-935114fb5646,0,1,1,B,Ball,FF,12,2.0,3.57,1.68,91.3,83.9,,-2.03,50.0,5.95,2.18,2.98,-2.25,8.6,11.79,-132.31,-4.55,-4.01,26.61,-16.84,6.0,3.6,24.0,2392,186,,,,429664,,,0,0,-4,bottom
2020-03-26,565996,5,623454,R,429664,L,38,Single,4,3,190424_004027,6de4f888-4a56-4d23-840c-01626f496f3b,1,2,1,F,Foul,FC,14,2.0,3.57,1.7,92.8,85.9,,-2.17,50.0,5.87,1.08,2.6,-0.5,9.05,8.86,-134.89,-5.9,-0.93,25.9,-15.29,2.4,3.6,24.0,2495,177,,,,429664,,,0,0,-4,bottom
